"feature id","feature label","shid","geoid","Total Population (2020-2024)"
"publicpolygonfeature:5:47664","ZIP Code 46186","country:us/state:in/zip:46186","46186","1816"
"publicpolygonfeature:5:47665","ZIP Code 46201","country:us/state:in/zip:46201","46201","30335"
"publicpolygonfeature:5:47666","ZIP Code 46176","country:us/state:in/zip:46176","46176","28782"
"publicpolygonfeature:5:47667","ZIP Code 46180","country:us/state:in/zip:46180","46180","1085"
"publicpolygonfeature:5:47668","ZIP Code 46181","country:us/state:in/zip:46181","46181","4964"
"publicpolygonfeature:5:47669","ZIP Code 46229","country:us/state:in/zip:46229","46229","28457"
"publicpolygonfeature:5:47670","ZIP Code 46202","country:us/state:in/zip:46202","46202","20180"
"publicpolygonfeature:5:47671","ZIP Code 46203","country:us/state:in/zip:46203","46203","37758"
"publicpolygonfeature:5:47672","ZIP Code 46204","country:us/state:in/zip:46204","46204","11400"
"publicpolygonfeature:5:47673","ZIP Code 46205","country:us/state:in/zip:46205","46205","28259"
"publicpolygonfeature:5:47675","ZIP Code 46208","country:us/state:in/zip:46208","46208","22379"
"publicpolygonfeature:5:47676","ZIP Code 46214","country:us/state:in/zip:46214","46214","24472"
"publicpolygonfeature:5:47677","ZIP Code 46216","country:us/state:in/zip:46216","46216","2767"
"publicpolygonfeature:5:47678","ZIP Code 46217","country:us/state:in/zip:46217","46217","36917"
"publicpolygonfeature:5:47679","ZIP Code 46218","country:us/state:in/zip:46218","46218","29360"
"publicpolygonfeature:5:47680","ZIP Code 46219","country:us/state:in/zip:46219","46219","38855"
"publicpolygonfeature:5:47681","ZIP Code 46220","country:us/state:in/zip:46220","46220","36952"
"publicpolygonfeature:5:47682","ZIP Code 46221","country:us/state:in/zip:46221","46221","27027"
"publicpolygonfeature:5:47683","ZIP Code 46222","country:us/state:in/zip:46222","46222","38887"
"publicpolygonfeature:5:47684","ZIP Code 46224","country:us/state:in/zip:46224","46224","40228"
"publicpolygonfeature:5:47685","ZIP Code 46225","country:us/state:in/zip:46225","46225","6037"
"publicpolygonfeature:5:47686","ZIP Code 46226","country:us/state:in/zip:46226","46226","47099"
"publicpolygonfeature:5:47687","ZIP Code 46227","country:us/state:in/zip:46227","46227","57587"
"publicpolygonfeature:5:47688","ZIP Code 46228","country:us/state:in/zip:46228","46228","15724"
"publicpolygonfeature:5:47689","ZIP Code 46231","country:us/state:in/zip:46231","46231","10371"
"publicpolygonfeature:5:47690","ZIP Code 46234","country:us/state:in/zip:46234","46234","28300"
"publicpolygonfeature:5:47691","ZIP Code 46235","country:us/state:in/zip:46235","46235","36317"
"publicpolygonfeature:5:47692","ZIP Code 46236","country:us/state:in/zip:46236","46236","26416"
"publicpolygonfeature:5:47693","ZIP Code 46237","country:us/state:in/zip:46237","46237","43473"
"publicpolygonfeature:5:47694","ZIP Code 46239","country:us/state:in/zip:46239","46239","33931"
"publicpolygonfeature:5:47695","ZIP Code 46241","country:us/state:in/zip:46241","46241","32565"
"publicpolygonfeature:5:47696","ZIP Code 46250","country:us/state:in/zip:46250","46250","18147"
"publicpolygonfeature:5:47697","ZIP Code 46254","country:us/state:in/zip:46254","46254","40674"
"publicpolygonfeature:5:47698","ZIP Code 46256","country:us/state:in/zip:46256","46256","20990"
"publicpolygonfeature:5:47699","ZIP Code 46259","country:us/state:in/zip:46259","46259","15169"
"publicpolygonfeature:5:47700","ZIP Code 46260","country:us/state:in/zip:46260","46260","35707"
"publicpolygonfeature:5:48038","ZIP Code 47201","country:us/state:in/zip:47201","47201","47900"
"publicpolygonfeature:5:48043","ZIP Code 47234","country:us/state:in/zip:47234","47234","1617"
"publicpolygonfeature:5:48050","ZIP Code 47235","country:us/state:in/zip:47235","47235","1672"
"publicpolygonfeature:5:48057","ZIP Code 47272","country:us/state:in/zip:47272","47272","1844"
"publicpolygonfeature:5:48160","ZIP Code 47448","country:us/state:in/zip:47448","47448","8117"
"publicpolygonfeature:5:48164","ZIP Code 47456","country:us/state:in/zip:47456","47456","1455"
"publicpolygonfeature:5:48174","ZIP Code 47468","country:us/state:in/zip:47468","47468","1303"
"publicpolygonfeature:5:6676762","ZIP Code 46154","country:us/state:in/zip:46154","46154","189"
"publicpolygonfeature:5:6694575","ZIP Code 46206","country:us/state:in/zip:46206","46206","0"
"publicpolygonfeature:5:6695376","ZIP Code 47435","country:us/state:in/zip:47435","47435","137"
"publicpolygonfeature:5:6703026","ZIP Code 46102","country:us/state:in/zip:46102","46102","390"
"publicpolygonfeature:22:928339","Indianapolis-Carmel-Greenwood, IN Area","country:us/state:in/msa:indianapolis-carmel-greenwood","26900","2130055"
