"feature id","feature label","shid","geoid","Employment Occupation Management (2020-2024)","Employment Occupation Business and Finance (2020-2024)","Employment Occupation Computer and Mathematical (2020-2024)","Employment Occupation Architecture and Engineering (2020-2024)","Employment Occupation Life, Physical, and Social Science (2020-2024)","Employment Occupation Community and Social Service (2020-2024)","Employment Occupation Legal (2020-2024)","Employment Occupation Education, Training and Library (2020-2024)","Employment Occupation Arts, Design, Entertainment, Sports and Media (2020-2024)","Employment Occupation Health Diagnosis and Treating Practitioners (2020-2024)","Employment Occupation Health Technologist and Technicians (2020-2024)","Employment Occupation Healthcare Support (2020-2024)","Employment Occupation Fire Fighting and Prevention (2020-2024)","Employment Occupation Law Enforcement (2020-2024)","Employment Occupation Food Preparation and Serving (2020-2024)","Employment Occupation Building, Grounds Cleaning, and Maintenance (2020-2024)","Employment Occupation Personal Care and Service (2020-2024)","Employment Occupation Sales (2020-2024)","Employment Occupation Office and Administrative Support (2020-2024)","Employment Occupation Farming, Fishing and Forestry (2020-2024)","Employment Occupation Construction and Extraction (2020-2024)","Employment Occupation Installation, Maintenance, and Repair (2020-2024)","Employment Occupation Production (2020-2024)","Employment Occupation Transportation (2020-2024)","Employment Occupation Material Moving (2020-2024)"
"publicpolygonfeature:5:47639","ZIP Code 46143","country:us/state:in/zip:46143","46143","4261","2338","1586","1077","552","404","217","1515","437","2149","423","868","264","119","1038","613","478","2589","3850","45","1563","1007","1636","1086","1455"
"publicpolygonfeature:5:47640","ZIP Code 46144","country:us/state:in/zip:46144","46144","13","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","25","0","0","0","12","28","13"
"publicpolygonfeature:5:47642","ZIP Code 46147","country:us/state:in/zip:46147","46147","162","71","14","0","33","8","2","75","12","26","87","49","7","19","72","51","56","48","79","16","79","41","138","24","37"
"publicpolygonfeature:5:47644","ZIP Code 46157","country:us/state:in/zip:46157","46157","189","137","50","29","6","28","40","109","5","68","35","49","4","56","129","15","57","165","295","0","173","215","150","99","68"
"publicpolygonfeature:5:47645","ZIP Code 46158","country:us/state:in/zip:46158","46158","1112","435","316","176","94","281","18","813","59","464","236","260","97","66","396","246","216","979","1262","35","639","733","939","869","537"
"publicpolygonfeature:5:47647","ZIP Code 46160","country:us/state:in/zip:46160","46160","252","92","52","55","44","45","5","81","61","293","34","112","64","2","119","20","49","164","394","0","354","200","278","167","153"
"publicpolygonfeature:5:47648","ZIP Code 46161","country:us/state:in/zip:46161","46161","184","61","20","37","0","6","0","39","28","5","48","84","0","28","32","23","12","60","258","9","76","39","117","90","26"
"publicpolygonfeature:5:47649","ZIP Code 46162","country:us/state:in/zip:46162","46162","37","0","0","27","0","0","15","0","17","0","0","0","0","0","24","0","0","0","0","0","13","10","0","0","0"
"publicpolygonfeature:5:47650","ZIP Code 46163","country:us/state:in/zip:46163","46163","1041","663","351","174","158","96","125","458","169","516","151","138","131","139","304","126","192","747","711","0","251","205","318","200","209"
"publicpolygonfeature:5:47651","ZIP Code 46164","country:us/state:in/zip:46164","46164","217","66","72","32","14","56","4","33","27","85","114","50","7","24","110","102","98","218","215","0","195","49","217","145","45"
"publicpolygonfeature:5:47652","ZIP Code 46165","country:us/state:in/zip:46165","46165","146","19","3","31","7","0","9","69","1","32","20","19","1","9","18","31","9","114","136","0","92","73","59","37","12"
"publicpolygonfeature:5:47653","ZIP Code 46166","country:us/state:in/zip:46166","46166","114","11","23","8","0","36","0","68","0","32","27","41","9","24","48","93","39","98","76","5","64","246","110","144","43"
"publicpolygonfeature:5:47654","ZIP Code 46167","country:us/state:in/zip:46167","46167","407","220","182","151","38","48","29","352","26","304","0","34","115","0","23","28","14","148","374","0","169","185","109","270","115"
"publicpolygonfeature:5:47655","ZIP Code 46182","country:us/state:in/zip:46182","46182","86","81","0","12","0","23","0","35","9","54","12","62","0","0","11","6","41","37","113","19","73","47","181","40","22"
"publicpolygonfeature:5:47656","ZIP Code 46168","country:us/state:in/zip:46168","46168","2344","1099","668","387","136","501","168","1531","130","783","405","450","185","140","649","343","301","1254","2020","0","340","717","1071","1339","1212"
"publicpolygonfeature:5:47659","ZIP Code 46183","country:us/state:in/zip:46183","46183","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0"
"publicpolygonfeature:5:47660","ZIP Code 46184","country:us/state:in/zip:46184","46184","578","320","221","133","17","67","0","661","152","209","163","144","62","154","541","271","161","658","692","0","545","351","464","264","254"
"publicpolygonfeature:5:47664","ZIP Code 46186","country:us/state:in/zip:46186","46186","66","11","17","15","8","2","0","12","8","15","12","6","4","20","25","5","29","80","115","5","16","36","43","55","39"
"publicpolygonfeature:5:47665","ZIP Code 46201","country:us/state:in/zip:46201","46201","1389","765","352","340","223","428","130","941","630","485","207","343","265","36","993","401","269","1334","1674","15","1036","185","728","672","987"
"publicpolygonfeature:5:47666","ZIP Code 46176","country:us/state:in/zip:46176","46176","1359","567","206","345","98","372","104","550","138","642","242","477","216","51","956","666","424","1107","1308","63","581","495","1702","490","818"
"publicpolygonfeature:5:47667","ZIP Code 46180","country:us/state:in/zip:46180","46180","39","15","12","15","0","2","0","19","11","40","4","28","1","5","38","8","2","42","49","0","15","3","56","47","7"
"publicpolygonfeature:5:47668","ZIP Code 46181","country:us/state:in/zip:46181","46181","343","185","45","36","4","48","62","124","4","117","28","114","78","26","44","44","62","150","323","3","134","105","134","42","34"
"publicpolygonfeature:5:47669","ZIP Code 46229","country:us/state:in/zip:46229","46229","1010","950","435","86","155","434","182","558","562","562","258","507","131","60","444","308","137","1132","1675","22","466","269","1062","1150","1161"
"publicpolygonfeature:5:47670","ZIP Code 46202","country:us/state:in/zip:46202","46202","1902","1128","868","463","540","194","388","907","640","972","124","166","51","26","777","114","161","876","1231","4","100","151","297","201","389"
"publicpolygonfeature:5:47671","ZIP Code 46203","country:us/state:in/zip:46203","46203","2011","1147","523","312","305","441","271","751","542","712","301","529","231","166","1076","721","287","1398","2538","0","1408","521","1123","656","845"
"publicpolygonfeature:5:47672","ZIP Code 46204","country:us/state:in/zip:46204","46204","1064","1096","709","547","418","54","525","173","314","602","90","95","0","0","297","0","97","629","406","9","197","56","51","184","25"
"publicpolygonfeature:5:47673","ZIP Code 46205","country:us/state:in/zip:46205","46205","2110","1239","533","575","231","358","638","1230","411","1245","300","411","148","293","920","242","268","1290","1324","0","469","207","614","311","474"
"publicpolygonfeature:5:47675","ZIP Code 46208","country:us/state:in/zip:46208","46208","1384","962","337","134","100","173","294","854","396","707","322","320","142","16","662","229","385","991","1002","4","261","226","400","272","892"
"publicpolygonfeature:5:47676","ZIP Code 46214","country:us/state:in/zip:46214","46214","1472","543","367","213","155","328","71","628","202","350","235","655","84","174","439","281","222","876","1910","17","306","230","605","861","1400"
"publicpolygonfeature:5:47677","ZIP Code 46216","country:us/state:in/zip:46216","46216","132","186","65","7","0","49","0","117","91","66","16","24","23","0","50","103","17","110","307","0","5","84","44","8","32"
"publicpolygonfeature:5:47678","ZIP Code 46217","country:us/state:in/zip:46217","46217","2144","911","618","412","142","430","170","1364","330","1379","499","285","340","357","665","586","340","2779","1750","0","818","548","1427","777","1197"
"publicpolygonfeature:5:47679","ZIP Code 46218","country:us/state:in/zip:46218","46218","638","432","144","43","65","77","79","260","64","199","219","565","147","52","1141","395","181","582","1376","0","512","495","1047","627","1313"
"publicpolygonfeature:5:47680","ZIP Code 46219","country:us/state:in/zip:46219","46219","1824","986","434","416","310","264","180","824","385","592","465","480","116","113","1091","655","502","1544","2538","132","802","663","1412","662","1306"
"publicpolygonfeature:5:47681","ZIP Code 46220","country:us/state:in/zip:46220","46220","3989","2345","1404","697","440","538","559","1611","775","1699","287","328","208","90","686","258","387","1731","1834","24","560","303","581","402","513"
"publicpolygonfeature:5:47682","ZIP Code 46221","country:us/state:in/zip:46221","46221","971","622","292","193","27","176","137","435","148","247","288","561","339","235","514","591","80","908","1900","62","1106","472","832","777","1677"
