"feature id","feature label","shid","geoid","Employment Occupation Management (2020-2024)","Employment Occupation Business and Finance (2020-2024)","Employment Occupation Computer and Mathematical (2020-2024)","Employment Occupation Architecture and Engineering (2020-2024)","Employment Occupation Life, Physical, and Social Science (2020-2024)","Employment Occupation Community and Social Service (2020-2024)","Employment Occupation Legal (2020-2024)","Employment Occupation Education, Training and Library (2020-2024)","Employment Occupation Arts, Design, Entertainment, Sports and Media (2020-2024)","Employment Occupation Health Diagnosis and Treating Practitioners (2020-2024)","Employment Occupation Health Technologist and Technicians (2020-2024)","Employment Occupation Healthcare Support (2020-2024)","Employment Occupation Fire Fighting and Prevention (2020-2024)","Employment Occupation Law Enforcement (2020-2024)","Employment Occupation Food Preparation and Serving (2020-2024)","Employment Occupation Building, Grounds Cleaning, and Maintenance (2020-2024)","Employment Occupation Personal Care and Service (2020-2024)","Employment Occupation Sales (2020-2024)","Employment Occupation Office and Administrative Support (2020-2024)","Employment Occupation Farming, Fishing and Forestry (2020-2024)","Employment Occupation Construction and Extraction (2020-2024)","Employment Occupation Installation, Maintenance, and Repair (2020-2024)","Employment Occupation Production (2020-2024)","Employment Occupation Transportation (2020-2024)","Employment Occupation Material Moving (2020-2024)"
"publicpolygonfeature:5:63739","ZIP Code 94960","country:us/state:ca/zip:94960","94960","1724","807","588","153","90","236","241","749","438","547","49","33","111","0","304","35","244","903","441","11","90","52","92","62","33"
"publicpolygonfeature:5:63740","ZIP Code 94963","country:us/state:ca/zip:94963","94963","44","79","0","33","0","33","0","0","126","0","7","0","0","0","0","0","0","0","32","0","0","0","0","0","0"
"publicpolygonfeature:5:63741","ZIP Code 94964","country:us/state:ca/zip:94964","94964","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","68","0","0","0","0","0","95","0","0","0"
"publicpolygonfeature:5:63743","ZIP Code 94956","country:us/state:ca/zip:94956","94956","41","0","0","13","20","26","0","36","119","0","0","15","0","0","26","83","0","79","22","3","48","0","10","0","15"
"publicpolygonfeature:5:63744","ZIP Code 94957","country:us/state:ca/zip:94957","94957","340","150","23","12","14","15","125","63","38","12","2","4","0","20","0","0","48","47","62","0","7","12","7","0","4"
"publicpolygonfeature:5:63745","ZIP Code 94965","country:us/state:ca/zip:94965","94965","1724","351","224","165","135","133","146","355","555","384","8","251","34","12","129","22","144","1025","329","4","31","79","28","132","19"
"publicpolygonfeature:5:63746","ZIP Code 94970","country:us/state:ca/zip:94970","94970","23","0","0","0","0","0","0","18","0","0","8","0","0","0","0","0","0","23","13","0","0","0","0","0","0"
"publicpolygonfeature:5:63747","ZIP Code 94971","country:us/state:ca/zip:94971","94971","33","0","0","0","0","5","0","12","25","0","0","0","0","0","0","49","0","0","0","4","0","0","0","9","0"
"publicpolygonfeature:5:63749","ZIP Code 94973","country:us/state:ca/zip:94973","94973","228","0","0","0","85","103","0","106","189","29","0","0","32","0","199","53","0","64","135","0","23","0","0","0","0"
"publicpolygonfeature:5:63826","ZIP Code 95219","country:us/state:ca/zip:95219","95219","1690","657","345","428","257","324","192","829","331","1233","279","636","333","134","874","219","266","1465","1944","18","659","310","656","781","555"
"publicpolygonfeature:5:63933","ZIP Code 95391","country:us/state:ca/zip:95391","95391","1479","806","1823","321","269","124","0","718","141","686","366","453","210","14","457","39","632","780","781","277","246","352","377","307","198"
"publicpolygonfeature:5:6701475","ZIP Code 94188","country:us/state:ca/zip:94188","94188","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:6702208","ZIP Code 94018","country:us/state:ca/zip:94018","94018","344","115","222","60","0","0","0","418","111","141","20","10","0","56","117","19","57","180","47","30","62","0","0","111","103"
"publicpolygonfeature:22:928646","San Francisco-Oakland-Fremont, CA Area","country:us/state:ca/msa:san_francisco-oakland-fremont","41860","363689","194959","200283","84505","63241","37748","45126","138854","79707","104672","33132","78055","26442","12436","102556","74588","57345","190613","210679","6585","86385","43759","65872","65922","57441"
