"feature id","feature label","shid","geoid","Employment Occupation Management (2020-2024)","Employment Occupation Business and Finance (2020-2024)","Employment Occupation Computer and Mathematical (2020-2024)","Employment Occupation Architecture and Engineering (2020-2024)","Employment Occupation Life, Physical, and Social Science (2020-2024)","Employment Occupation Community and Social Service (2020-2024)","Employment Occupation Legal (2020-2024)","Employment Occupation Education, Training and Library (2020-2024)","Employment Occupation Arts, Design, Entertainment, Sports and Media (2020-2024)","Employment Occupation Health Diagnosis and Treating Practitioners (2020-2024)","Employment Occupation Health Technologist and Technicians (2020-2024)","Employment Occupation Healthcare Support (2020-2024)","Employment Occupation Fire Fighting and Prevention (2020-2024)","Employment Occupation Law Enforcement (2020-2024)","Employment Occupation Food Preparation and Serving (2020-2024)","Employment Occupation Building, Grounds Cleaning, and Maintenance (2020-2024)","Employment Occupation Personal Care and Service (2020-2024)","Employment Occupation Sales (2020-2024)","Employment Occupation Office and Administrative Support (2020-2024)","Employment Occupation Farming, Fishing and Forestry (2020-2024)","Employment Occupation Construction and Extraction (2020-2024)","Employment Occupation Installation, Maintenance, and Repair (2020-2024)","Employment Occupation Production (2020-2024)","Employment Occupation Transportation (2020-2024)","Employment Occupation Material Moving (2020-2024)"
"publicpolygonfeature:5:41053","ZIP Code 28101","country:us/state:nc/zip:28101","28101","78","73","25","6","5","19","3","13","0","33","5","5","2","2","21","2","3","49","30","0","17","4","45","0","0"
"publicpolygonfeature:5:41054","ZIP Code 28102","country:us/state:nc/zip:28102","28102","0","0","0","0","0","5","0","0","0","2","0","0","0","4","0","0","0","2","0","20","1","0","1","0","0"
"publicpolygonfeature:5:41144","ZIP Code 28270","country:us/state:nc/zip:28270","28270","3577","2093","1162","345","65","494","363","1050","470","958","83","239","66","60","549","135","331","2187","1097","0","392","211","354","141","392"
"publicpolygonfeature:5:41147","ZIP Code 28273","country:us/state:nc/zip:28273","28273","3486","2340","1463","879","118","339","132","874","329","739","344","1239","367","140","1618","871","858","2429","3558","59","2011","728","1570","1096","1556"
"publicpolygonfeature:5:41153","ZIP Code 28277","country:us/state:nc/zip:28277","28277","7923","5059","4114","854","339","528","402","2262","1173","1831","552","547","238","70","1794","745","853","3881","3028","0","440","426","820","735","751"
"publicpolygonfeature:5:41194","ZIP Code 28012","country:us/state:nc/zip:28012","28012","1614","1080","618","478","101","301","276","678","252","964","168","168","144","99","423","367","270","1227","1104","0","383","504","910","513","571"
"publicpolygonfeature:5:41199","ZIP Code 28278","country:us/state:nc/zip:28278","28278","3336","2494","1275","703","73","433","156","1093","403","1051","176","253","145","109","587","286","430","2837","2120","0","523","310","795","844","735"
"publicpolygonfeature:5:41204","ZIP Code 28280","country:us/state:nc/zip:28280","28280","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:41208","ZIP Code 28282","country:us/state:nc/zip:28282","28282","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:41400","ZIP Code 28006","country:us/state:nc/zip:28006","28006","0","98","0","25","18","0","0","31","16","33","7","32","0","6","0","70","0","30","95","0","22","31","6","7","26"
"publicpolygonfeature:5:41401","ZIP Code 28007","country:us/state:nc/zip:28007","28007","12","0","0","0","0","0","0","14","2","3","5","9","1","0","23","5","4","47","11","24","22","42","229","13","36"
"publicpolygonfeature:5:41404","ZIP Code 28016","country:us/state:nc/zip:28016","28016","466","354","67","86","56","31","16","224","32","93","62","144","29","28","290","225","114","533","636","7","342","188","694","326","603"
"publicpolygonfeature:5:41412","ZIP Code 28021","country:us/state:nc/zip:28021","28021","793","72","67","75","20","94","22","532","52","245","165","109","77","74","272","306","122","524","841","0","450","458","457","283","153"
"publicpolygonfeature:5:41413","ZIP Code 28023","country:us/state:nc/zip:28023","28023","519","249","102","128","9","45","0","644","98","225","195","174","72","18","311","260","243","899","977","32","556","538","603","181","160"
"publicpolygonfeature:5:41414","ZIP Code 28025","country:us/state:nc/zip:28025","28025","2711","1249","924","383","127","533","129","1416","597","1588","633","609","453","356","1333","842","722","2123","3373","112","2165","971","2383","1016","1662"
"publicpolygonfeature:5:41415","ZIP Code 28033","country:us/state:nc/zip:28033","28033","322","23","27","0","0","82","17","90","43","0","24","25","105","11","25","115","0","86","199","0","39","89","174","39","85"
"publicpolygonfeature:5:41417","ZIP Code 28027","country:us/state:nc/zip:28027","28027","5311","2987","3036","1225","363","715","293","2339","511","2036","489","623","565","308","2461","1157","447","4537","4069","91","2321","1242","1439","1264","2166"
"publicpolygonfeature:5:41418","ZIP Code 28031","country:us/state:nc/zip:28031","28031","2867","2252","634","474","464","413","216","913","348","1116","240","144","55","0","705","250","273","2022","1360","0","318","220","142","439","309"
"publicpolygonfeature:5:41419","ZIP Code 28032","country:us/state:nc/zip:28032","28032","168","95","40","18","26","0","9","73","18","131","20","31","4","0","156","39","38","147","124","0","34","88","78","6","43"
"publicpolygonfeature:5:41420","ZIP Code 28034","country:us/state:nc/zip:28034","28034","873","217","232","129","39","177","151","346","81","412","668","260","149","45","383","326","161","728","1271","0","588","591","960","647","701"
