"feature id","feature label","shid","geoid","Employment Occupation Management (2020-2024)","Employment Occupation Business and Finance (2020-2024)","Employment Occupation Computer and Mathematical (2020-2024)","Employment Occupation Architecture and Engineering (2020-2024)","Employment Occupation Life, Physical, and Social Science (2020-2024)","Employment Occupation Community and Social Service (2020-2024)","Employment Occupation Legal (2020-2024)","Employment Occupation Education, Training and Library (2020-2024)","Employment Occupation Arts, Design, Entertainment, Sports and Media (2020-2024)","Employment Occupation Health Diagnosis and Treating Practitioners (2020-2024)","Employment Occupation Health Technologist and Technicians (2020-2024)","Employment Occupation Healthcare Support (2020-2024)","Employment Occupation Fire Fighting and Prevention (2020-2024)","Employment Occupation Law Enforcement (2020-2024)","Employment Occupation Food Preparation and Serving (2020-2024)","Employment Occupation Building, Grounds Cleaning, and Maintenance (2020-2024)","Employment Occupation Personal Care and Service (2020-2024)","Employment Occupation Sales (2020-2024)","Employment Occupation Office and Administrative Support (2020-2024)","Employment Occupation Farming, Fishing and Forestry (2020-2024)","Employment Occupation Construction and Extraction (2020-2024)","Employment Occupation Installation, Maintenance, and Repair (2020-2024)","Employment Occupation Production (2020-2024)","Employment Occupation Transportation (2020-2024)","Employment Occupation Material Moving (2020-2024)"
"publicpolygonfeature:5:41209","ZIP Code 33772","country:us/state:fl/zip:33772","33772","1642","480","490","179","72","118","101","750","255","717","206","376","192","145","895","302","338","1195","1399","10","287","382","415","321","412"
"publicpolygonfeature:5:41241","ZIP Code 33782","country:us/state:fl/zip:33782","33782","1184","813","321","208","107","143","58","424","162","834","151","357","157","129","832","238","253","1030","1649","70","331","213","664","124","411"
"publicpolygonfeature:5:41244","ZIP Code 33785","country:us/state:fl/zip:33785","33785","544","181","62","44","4","17","29","117","29","81","43","49","11","0","187","15","25","442","196","0","55","105","28","12","38"
"publicpolygonfeature:5:41247","ZIP Code 33786","country:us/state:fl/zip:33786","33786","169","83","24","17","4","7","22","27","0","71","16","0","0","0","28","3","0","82","45","0","13","8","18","22","3"
"publicpolygonfeature:5:41336","ZIP Code 33576","country:us/state:fl/zip:33576","33576","456","179","95","6","0","48","18","174","20","157","72","8","56","45","111","87","43","231","238","4","89","37","27","41","47"
"publicpolygonfeature:5:41427","ZIP Code 33603","country:us/state:fl/zip:33603","33603","1656","1003","438","314","115","277","143","491","248","503","226","157","238","18","750","321","373","1283","1246","25","376","502","403","577","350"
"publicpolygonfeature:5:42725","ZIP Code 33503","country:us/state:fl/zip:33503","33503","159","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","15","0","0","0","0","194","0","12"
"publicpolygonfeature:5:42730","ZIP Code 33510","country:us/state:fl/zip:33510","33510","1301","1373","705","54","50","144","265","534","174","629","221","774","98","342","753","452","234","1455","2418","15","821","442","789","744","798"
"publicpolygonfeature:5:42779","ZIP Code 33540","country:us/state:fl/zip:33540","33540","532","318","93","0","29","43","10","305","90","53","105","138","30","38","155","117","53","464","413","0","382","193","128","79","277"
"publicpolygonfeature:5:42797","ZIP Code 33541","country:us/state:fl/zip:33541","33541","1039","698","241","19","0","146","59","434","119","355","172","292","29","20","432","309","133","997","1095","10","544","382","232","483","367"
