"feature id","feature label","shid","geoid","Employment Occupation Management (2020-2024)","Employment Occupation Business and Finance (2020-2024)","Employment Occupation Computer and Mathematical (2020-2024)","Employment Occupation Architecture and Engineering (2020-2024)","Employment Occupation Life, Physical, and Social Science (2020-2024)","Employment Occupation Community and Social Service (2020-2024)","Employment Occupation Legal (2020-2024)","Employment Occupation Education, Training and Library (2020-2024)","Employment Occupation Arts, Design, Entertainment, Sports and Media (2020-2024)","Employment Occupation Health Diagnosis and Treating Practitioners (2020-2024)","Employment Occupation Health Technologist and Technicians (2020-2024)","Employment Occupation Healthcare Support (2020-2024)","Employment Occupation Fire Fighting and Prevention (2020-2024)","Employment Occupation Law Enforcement (2020-2024)","Employment Occupation Food Preparation and Serving (2020-2024)","Employment Occupation Building, Grounds Cleaning, and Maintenance (2020-2024)","Employment Occupation Personal Care and Service (2020-2024)","Employment Occupation Sales (2020-2024)","Employment Occupation Office and Administrative Support (2020-2024)","Employment Occupation Farming, Fishing and Forestry (2020-2024)","Employment Occupation Construction and Extraction (2020-2024)","Employment Occupation Installation, Maintenance, and Repair (2020-2024)","Employment Occupation Production (2020-2024)","Employment Occupation Transportation (2020-2024)","Employment Occupation Material Moving (2020-2024)"
"publicpolygonfeature:5:43116","ZIP Code 32832","country:us/state:fl/zip:32832","32832","3435","1932","947","1347","90","700","117","928","600","1225","383","153","287","75","1146","297","571","2775","1761","58","327","428","229","1793","365"
"publicpolygonfeature:5:43119","ZIP Code 32833","country:us/state:fl/zip:32833","32833","767","568","277","206","36","33","24","269","105","160","120","89","133","59","159","135","168","476","482","0","294","220","204","210","257"
"publicpolygonfeature:5:43128","ZIP Code 32835","country:us/state:fl/zip:32835","32835","3199","1435","1193","638","43","192","297","1248","678","1075","290","852","310","183","2137","1844","879","2988","2486","0","1499","694","486","960","411"
"publicpolygonfeature:5:43161","ZIP Code 32836","country:us/state:fl/zip:32836","32836","2316","832","1016","122","54","29","85","282","418","843","96","205","171","30","572","584","534","1652","1067","0","919","151","316","388","292"
"publicpolygonfeature:5:43165","ZIP Code 32837","country:us/state:fl/zip:32837","32837","3072","1749","1724","534","100","425","293","1147","541","1060","479","532","201","127","2282","890","1385","3371","3185","50","1098","529","691","1882","995"
"publicpolygonfeature:5:43169","ZIP Code 32839","country:us/state:fl/zip:32839","32839","1952","750","526","338","108","324","148","1039","191","651","296","573","407","90","3536","2039","1293","3198","3661","158","1630","802","956","1905","1370"
"publicpolygonfeature:5:43226","ZIP Code 32102","country:us/state:fl/zip:32102","32102","88","18","31","0","0","0","0","14","0","0","45","0","0","0","72","96","16","58","90","0","119","91","97","48","57"
"publicpolygonfeature:5:43249","ZIP Code 32159","country:us/state:fl/zip:32159","32159","592","223","318","52","45","202","82","186","165","473","255","371","164","22","697","487","311","1419","1177","0","426","200","294","307","246"
"publicpolygonfeature:5:43412","ZIP Code 32714","country:us/state:fl/zip:32714","32714","2151","1235","976","319","145","236","425","1064","512","1229","425","597","305","127","1081","848","867","1970","3415","0","873","476","494","870","614"
"publicpolygonfeature:5:43419","ZIP Code 32701","country:us/state:fl/zip:32701","32701","1427","579","515","327","77","686","74","608","316","418","235","403","279","14","925","557","244","1566","1794","0","540","186","343","581","380"
"publicpolygonfeature:5:43422","ZIP Code 32702","country:us/state:fl/zip:32702","32702","107","0","13","11","0","11","0","5","0","5","14","2","0","0","32","54","51","73","164","0","154","61","23","23","0"
"publicpolygonfeature:5:43444","ZIP Code 32703","country:us/state:fl/zip:32703","32703","2845","2077","1078","797","146","593","291","1305","486","1410","553","1030","258","152","1048","1296","591","3518","4025","360","2207","894","809","814","887"
"publicpolygonfeature:5:43445","ZIP Code 32707","country:us/state:fl/zip:32707","32707","1826","2294","875","386","112","363","169","1640","570","890","379","404","105","47","1092","674","615","2432","2903","33","1048","626","728","781","717"
"publicpolygonfeature:5:43446","ZIP Code 32708","country:us/state:fl/zip:32708","32708","3106","2460","1023","565","234","300","334","2403","578","1344","551","372","71","243","1230","668","578","2208","3482","0","986","847","384","898","501"
"publicpolygonfeature:5:43447","ZIP Code 32735","country:us/state:fl/zip:32735","32735","168","87","106","63","0","111","0","129","12","28","78","228","48","29","138","32","29","188","366","0","116","70","30","78","140"
"publicpolygonfeature:5:43448","ZIP Code 32709","country:us/state:fl/zip:32709","32709","93","36","34","28","0","51","14","62","8","44","0","10","0","0","11","0","17","21","78","15","122","96","69","36","0"
"publicpolygonfeature:5:43449","ZIP Code 32712","country:us/state:fl/zip:32712","32712","3444","1798","1149","441","86","288","330","1294","662","1121","310","350","384","316","1336","1212","465","2565","2909","128","1720","696","512","985","403"
"publicpolygonfeature:5:43451","ZIP Code 32720","country:us/state:fl/zip:32720","32720","1907","575","374","112","11","172","78","1035","151","538","372","285","183","102","1357","641","574","2129","1859","51","988","341","765","523","579"
"publicpolygonfeature:5:43453","ZIP Code 32726","country:us/state:fl/zip:32726","32726","1483","360","93","55","33","97","56","830","175","253","402","679","220","319","845","541","421","1394","1635","74","499","375","429","270","508"
"publicpolygonfeature:5:43454","ZIP Code 32730","country:us/state:fl/zip:32730","32730","425","143","235","40","8","156","54","172","201","148","33","15","14","50","252","321","44","242","331","0","363","142","36","90","101"
"publicpolygonfeature:5:43455","ZIP Code 32732","country:us/state:fl/zip:32732","32732","607","281","112","13","0","123","35","121","95","115","60","58","27","0","46","83","167","130","179","14","234","182","25","48","39"
"publicpolygonfeature:5:43456","ZIP Code 32736","country:us/state:fl/zip:32736","32736","955","253","117","45","0","207","12","288","12","204","51","71","192","102","302","121","215","530","813","60","858","97","223","197","220"
"publicpolygonfeature:5:43457","ZIP Code 32751","country:us/state:fl/zip:32751","32751","2331","1356","434","445","79","209","496","895","464","684","206","208","82","34","660","53","270","1208","1624","21","244","143","141","279","186"
"publicpolygonfeature:5:43460","ZIP Code 32746","country:us/state:fl/zip:32746","32746","3230","2395","2199","693","231","327","398","918","637","1889","360","530","106","52","1103","309","1073","2877","3571","39","426","374","629","578","454"
"publicpolygonfeature:5:43461","ZIP Code 32750","country:us/state:fl/zip:32750","32750","1563","1030","624","305","217","217","179","759","217","455","217","189","94","138","583","296","316","1698","1569","18","565","486","456","830","330"
"publicpolygonfeature:5:43463","ZIP Code 32757","country:us/state:fl/zip:32757","32757","1592","992","456","141","62","289","140","1078","431","609","254","485","60","136","490","571","367","1451","1970","93","701","533","515","643","431"
"publicpolygonfeature:5:43466","ZIP Code 32765","country:us/state:fl/zip:32765","32765","4866","2747","2055","1204","147","379","507","2598","1004","1578","629","679","483","267","2257","903","619","3029","4089","26","827","530","363","790","404"
"publicpolygonfeature:5:43467","ZIP Code 32766","country:us/state:fl/zip:32766","32766","1195","602","539","526","57","180","31","491","159","526","104","67","75","95","273","140","217","662","1002","16","273","157","169","230","136"
"publicpolygonfeature:5:43468","ZIP Code 32767","country:us/state:fl/zip:32767","32767","138","45","33","19","0","0","0","98","18","25","0","64","0","10","51","147","16","205","185","0","120","53","74","12","0"
"publicpolygonfeature:5:43470","ZIP Code 32771","country:us/state:fl/zip:32771","32771","3795","2304","1663","445","68","445","383","1509","817","1598","464","688","447","339","1595","764","860","3634","4444","104","1614","696","886","1556","836"
"publicpolygonfeature:5:43471","ZIP Code 32773","country:us/state:fl/zip:32773","32773","1619","982","770","329","130","243","63","859","311","665","403","431","176","163","1030","856","409","2424","1879","0","1218","532","869","882","385"
"publicpolygonfeature:5:43472","ZIP Code 32776","country:us/state:fl/zip:32776","32776","781","295","191","66","0","134","63","438","88","168","419","51","146","60","590","116","65","788","900","84","195","252","340","211","86"
"publicpolygonfeature:5:43473","ZIP Code 32778","country:us/state:fl/zip:32778","32778","672","837","285","79","120","189","46","380","337","639","259","248","131","224","606","567","115","685","1265","66","645","557","242","241","191"
"publicpolygonfeature:5:43474","ZIP Code 32779","country:us/state:fl/zip:32779","32779","2659","1450","581","323","138","222","315","623","365","889","132","377","158","233","524","339","218","1881","1757","0","342","293","137","288","198"
"publicpolygonfeature:5:43476","ZIP Code 32784","country:us/state:fl/zip:32784","32784","304","146","32","90","10","12","36","107","0","192","155","80","121","174","342","119","112","346","488","33","740","78","254","145","146"
"publicpolygonfeature:5:43477","ZIP Code 32789","country:us/state:fl/zip:32789","32789","2436","1572","679","529","153","108","632","681","300","1122","219","161","56","13","385","170","263","2131","1011","4","253","139","175","189","188"
"publicpolygonfeature:5:43478","ZIP Code 32792","country:us/state:fl/zip:32792","32792","2604","2010","1393","626","125","296","537","1457","1082","1281","383","715","321","53","2131","1275","617","3856","3898","72","976","959","701","767","814"
"publicpolygonfeature:5:43626","ZIP Code 33848","country:us/state:fl/zip:33848","33848","14","0","0","0","0","0","0","35","22","25","26","0","29","0","0","106","13","46","0","0","0","0","61","0","11"
"publicpolygonfeature:5:43644","ZIP Code 33896","country:us/state:fl/zip:33896","33896","2026","954","716","442","14","22","20","619","696","622","157","232","282","17","1636","578","578","1506","1379","0","523","224","854","424","423"
"publicpolygonfeature:5:43785","ZIP Code 34705","country:us/state:fl/zip:34705","34705","149","13","15","33","0","3","5","82","2","34","11","3","15","13","43","113","4","149","177","51","213","65","35","37","38"
"publicpolygonfeature:5:43786","ZIP Code 34711","country:us/state:fl/zip:34711","34711","3905","1802","884","490","272","470","411","2360","723","1795","592","609","585","557","1700","635","528","3802","3881","79","1502","1121","686","1236","858"
"publicpolygonfeature:5:43787","ZIP Code 34714","country:us/state:fl/zip:34714","34714","1349","800","699","65","61","188","54","576","375","232","357","359","684","0","1667","801","1262","1838","1624","31","359","199","421","644","418"
"publicpolygonfeature:5:43788","ZIP Code 34715","country:us/state:fl/zip:34715","34715","2113","314","635","514","48","229","59","653","215","520","236","447","219","120","788","222","100","1315","1603","0","672","465","361","496","309"
"publicpolygonfeature:5:43789","ZIP Code 34731","country:us/state:fl/zip:34731","34731","374","222","66","0","0","91","0","102","170","201","370","145","31","119","418","55","40","610","882","0","432","296","151","326","88"
"publicpolygonfeature:5:43790","ZIP Code 34734","country:us/state:fl/zip:34734","34734","435","160","49","86","0","0","0","39","12","125","0","18","11","0","120","58","105","134","279","0","134","11","53","47","0"
"publicpolygonfeature:5:43791","ZIP Code 34736","country:us/state:fl/zip:34736","34736","1486","494","550","253","79","402","104","658","527","790","187","415","190","124","765","348","376","1818","2048","145","752","457","206","382","304"
"publicpolygonfeature:5:43792","ZIP Code 34739","country:us/state:fl/zip:34739","34739","152","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","40","0","141","15","0","0","131"
"publicpolygonfeature:5:43793","ZIP Code 34741","country:us/state:fl/zip:34741","34741","2063","745","699","402","394","284","265","484","466","783","159","892","371","32","1893","2356","889","2836","4620","0","2783","1098","1119","1250","1619"
"publicpolygonfeature:5:43794","ZIP Code 34743","country:us/state:fl/zip:34743","34743","1781","782","259","76","86","70","117","649","325","290","386","708","439","38","1144","1072","487","2336","3889","0","1583","1099","419","1385","1662"
"publicpolygonfeature:5:43795","ZIP Code 34744","country:us/state:fl/zip:34744","34744","2990","2473","998","477","106","586","289","1627","567","1070","548","759","548","52","1594","1800","877","3743","5250","95","2430","1451","1437","1946","1398"
"publicpolygonfeature:5:43796","ZIP Code 34746","country:us/state:fl/zip:34746","34746","3367","1656","295","326","110","340","308","1172","534","1196","659","665","430","154","2330","1449","1273","2930","3816","46","1344","1163","1097","1378","1038"
