"feature id","feature label","shid","geoid","Employment Occupation Management (2020-2024)","Employment Occupation Business and Finance (2020-2024)","Employment Occupation Computer and Mathematical (2020-2024)","Employment Occupation Architecture and Engineering (2020-2024)","Employment Occupation Life, Physical, and Social Science (2020-2024)","Employment Occupation Community and Social Service (2020-2024)","Employment Occupation Legal (2020-2024)","Employment Occupation Education, Training and Library (2020-2024)","Employment Occupation Arts, Design, Entertainment, Sports and Media (2020-2024)","Employment Occupation Health Diagnosis and Treating Practitioners (2020-2024)","Employment Occupation Health Technologist and Technicians (2020-2024)","Employment Occupation Healthcare Support (2020-2024)","Employment Occupation Fire Fighting and Prevention (2020-2024)","Employment Occupation Law Enforcement (2020-2024)","Employment Occupation Food Preparation and Serving (2020-2024)","Employment Occupation Building, Grounds Cleaning, and Maintenance (2020-2024)","Employment Occupation Personal Care and Service (2020-2024)","Employment Occupation Sales (2020-2024)","Employment Occupation Office and Administrative Support (2020-2024)","Employment Occupation Farming, Fishing and Forestry (2020-2024)","Employment Occupation Construction and Extraction (2020-2024)","Employment Occupation Installation, Maintenance, and Repair (2020-2024)","Employment Occupation Production (2020-2024)","Employment Occupation Transportation (2020-2024)","Employment Occupation Material Moving (2020-2024)"
"publicpolygonfeature:5:59757","ZIP Code 78150","country:us/state:tx/zip:78150","78150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:59759","ZIP Code 78152","country:us/state:tx/zip:78152","78152","247","175","284","61","5","22","11","221","66","124","37","35","32","3","111","34","9","287","113","8","131","78","45","52","27"
"publicpolygonfeature:5:59761","ZIP Code 78154","country:us/state:tx/zip:78154","78154","2144","1870","1177","210","66","228","247","1244","350","930","511","366","315","235","779","715","716","2146","2820","0","640","588","716","791","997"
"publicpolygonfeature:5:59763","ZIP Code 78213","country:us/state:tx/zip:78213","78213","1840","1115","447","192","214","572","168","990","244","526","343","898","134","98","1748","1114","443","1623","3607","0","1879","553","627","791","847"
"publicpolygonfeature:5:59765","ZIP Code 78155","country:us/state:tx/zip:78155","78155","2277","1283","474","604","239","370","184","1389","281","696","449","1139","153","340","1520","998","720","2263","3197","82","1683","1261","3030","1043","1131"
"publicpolygonfeature:5:59766","ZIP Code 78201","country:us/state:tx/zip:78201","78201","939","828","306","164","136","253","133","797","399","467","286","855","198","88","1979","1187","289","1941","2456","5","3248","507","767","594","589"
"publicpolygonfeature:5:59767","ZIP Code 78202","country:us/state:tx/zip:78202","78202","305","174","253","8","0","52","14","202","67","145","111","241","13","0","428","271","133","672","469","0","612","63","218","201","277"
"publicpolygonfeature:5:59768","ZIP Code 78160","country:us/state:tx/zip:78160","78160","215","46","20","0","22","79","0","140","0","25","29","35","103","168","219","19","0","242","191","40","227","80","160","60","64"
"publicpolygonfeature:5:59769","ZIP Code 78161","country:us/state:tx/zip:78161","78161","64","6","0","0","0","0","0","10","0","0","0","0","0","0","0","0","18","123","27","0","0","0","0","0","0"
"publicpolygonfeature:5:59771","ZIP Code 78203","country:us/state:tx/zip:78203","78203","102","143","97","0","0","0","5","116","130","0","0","361","15","5","225","79","21","105","224","7","245","165","105","120","96"
"publicpolygonfeature:5:59772","ZIP Code 78204","country:us/state:tx/zip:78204","78204","872","119","96","218","5","17","104","212","233","156","14","255","129","21","288","376","63","479","847","0","552","102","161","127","296"
"publicpolygonfeature:5:59773","ZIP Code 78163","country:us/state:tx/zip:78163","78163","1994","744","355","135","69","131","133","445","68","621","190","131","88","207","297","144","187","1501","837","10","254","232","132","121","129"
"publicpolygonfeature:5:59776","ZIP Code 78214","country:us/state:tx/zip:78214","78214","249","269","157","63","128","26","37","321","25","42","141","695","121","127","848","764","62","813","1019","34","1015","318","503","376","722"
"publicpolygonfeature:5:59777","ZIP Code 78215","country:us/state:tx/zip:78215","78215","456","307","91","169","52","2","123","288","15","294","0","0","12","21","77","0","110","220","204","6","30","44","47","0","16"
"publicpolygonfeature:5:59778","ZIP Code 78216","country:us/state:tx/zip:78216","78216","2056","1488","636","404","247","316","476","1546","375","700","369","788","82","93","1949","1073","513","2353","3921","39","1453","495","445","860","438"
"publicpolygonfeature:5:59779","ZIP Code 78217","country:us/state:tx/zip:78217","78217","1618","802","788","531","78","243","272","836","368","377","251","702","269","100","1576","671","291","1947","2665","61","600","607","643","753","663"
"publicpolygonfeature:5:59780","ZIP Code 78218","country:us/state:tx/zip:78218","78218","1338","980","417","410","62","174","26","698","145","459","484","880","163","157","1259","1351","465","1699","2246","0","1463","857","821","869","1395"
"publicpolygonfeature:5:59784","ZIP Code 78222","country:us/state:tx/zip:78222","78222","713","450","45","99","68","213","127","796","24","83","218","560","251","225","993","541","228","1107","1484","0","1175","322","1137","865","642"
"publicpolygonfeature:5:59785","ZIP Code 78223","country:us/state:tx/zip:78223","78223","1758","846","484","345","57","196","85","1188","395","358","509","1486","384","205","1921","1226","502","2694","3454","13","2483","1008","1660","1176","1390"
"publicpolygonfeature:5:59787","ZIP Code 78224","country:us/state:tx/zip:78224","78224","678","151","165","113","46","94","34","436","115","101","218","300","115","51","608","470","131","1313","1687","0","1187","413","729","467","474"
"publicpolygonfeature:5:59788","ZIP Code 78225","country:us/state:tx/zip:78225","78225","357","27","69","28","10","73","56","240","164","14","75","170","51","15","362","391","215","465","1094","0","942","244","487","298","146"
"publicpolygonfeature:5:59789","ZIP Code 78226","country:us/state:tx/zip:78226","78226","109","29","20","0","0","112","6","238","0","4","17","88","0","0","147","134","64","258","528","0","672","93","213","136","76"
"publicpolygonfeature:5:59790","ZIP Code 78227","country:us/state:tx/zip:78227","78227","963","555","198","35","171","293","68","666","160","204","432","840","270","157","1940","1319","504","1237","2329","0","2397","555","1160","891","880"
"publicpolygonfeature:5:59791","ZIP Code 78228","country:us/state:tx/zip:78228","78228","1309","767","333","381","94","190","106","900","421","658","766","1203","550","215","1778","1628","333","2261","3764","25","2527","1083","1135","953","1071"
"publicpolygonfeature:5:59793","ZIP Code 78231","country:us/state:tx/zip:78231","78231","689","444","144","106","15","188","165","388","82","452","38","233","53","73","334","118","125","731","268","0","67","183","83","23","61"
"publicpolygonfeature:5:59794","ZIP Code 78232","country:us/state:tx/zip:78232","78232","2410","1464","971","325","194","600","306","1477","763","954","612","217","131","79","919","347","518","2043","2863","3","794","544","339","218","283"
"publicpolygonfeature:5:59795","ZIP Code 78233","country:us/state:tx/zip:78233","78233","2596","1136","883","216","251","300","166","1518","547","860","619","552","554","101","1142","586","647","2475","3822","14","1208","685","848","1239","1293"
"publicpolygonfeature:5:59796","ZIP Code 78234","country:us/state:tx/zip:78234","78234","27","37","5","12","15","0","8","63","33","63","15","37","8","0","33","21","18","147","79","28","11","12","21","56","2"
"publicpolygonfeature:5:59797","ZIP Code 78235","country:us/state:tx/zip:78235","78235","133","18","102","20","60","12","12","84","0","11","92","67","14","0","204","0","11","154","154","0","72","114","107","47","64"
"publicpolygonfeature:5:59798","ZIP Code 78236","country:us/state:tx/zip:78236","78236","109","52","20","3","33","18","0","18","0","15","22","33","2","24","196","61","18","241","14","37","15","84","3","22","237"
"publicpolygonfeature:5:59799","ZIP Code 78245","country:us/state:tx/zip:78245","78245","4293","2303","1992","450","447","650","476","3300","440","1471","937","1604","477","269","2247","996","1337","4225","6284","9","2171","2165","2121","2140","2115"
"publicpolygonfeature:5:59800","ZIP Code 78247","country:us/state:tx/zip:78247","78247","2601","2418","1255","519","272","469","554","2233","645","1089","313","645","626","72","930","361","666","2456","3835","11","1015","925","834","1014","457"
"publicpolygonfeature:5:59801","ZIP Code 78248","country:us/state:tx/zip:78248","78248","1346","681","523","102","139","108","280","418","163","678","56","135","89","61","242","126","46","853","1025","0","83","290","56","113","42"
"publicpolygonfeature:5:59802","ZIP Code 78249","country:us/state:tx/zip:78249","78249","3584","2624","2114","784","342","570","239","3103","785","2181","611","957","369","207","2675","692","684","4154","3718","42","662","882","849","739","971"
"publicpolygonfeature:5:59803","ZIP Code 78250","country:us/state:tx/zip:78250","78250","2827","1763","1187","635","166","806","89","2298","538","1094","947","478","441","186","1922","786","555","2207","3694","37","1332","1333","799","1401","1099"
"publicpolygonfeature:5:59804","ZIP Code 78251","country:us/state:tx/zip:78251","78251","3239","2533","1133","828","68","275","68","2110","542","1239","1020","796","294","212","1719","578","743","3171","4301","0","768","1241","1442","1553","1044"
"publicpolygonfeature:5:59806","ZIP Code 78252","country:us/state:tx/zip:78252","78252","583","788","403","296","4","154","18","602","96","151","199","286","87","91","716","148","288","1077","1597","0","490","353","511","385","343"
"publicpolygonfeature:5:59807","ZIP Code 78253","country:us/state:tx/zip:78253","78253","4192","2635","1936","933","409","405","129","2432","459","2461","883","543","637","314","2095","731","607","3166","2680","0","797","842","1113","1279","1097"
"publicpolygonfeature:5:59808","ZIP Code 78254","country:us/state:tx/zip:78254","78254","4452","3396","2810","869","623","396","496","2927","439","2025","857","869","489","565","1638","328","671","3594","4989","6","1303","916","1046","1173","848"
"publicpolygonfeature:5:59809","ZIP Code 78260","country:us/state:tx/zip:78260","78260","3298","1588","884","540","157","237","456","1130","379","1646","200","310","163","105","550","64","444","2406","1742","22","161","312","181","391","424"
"publicpolygonfeature:5:59812","ZIP Code 78255","country:us/state:tx/zip:78255","78255","1271","902","784","237","90","119","262","869","211","1016","69","153","134","55","237","86","172","756","631","24","145","80","64","80","145"
"publicpolygonfeature:5:59813","ZIP Code 78256","country:us/state:tx/zip:78256","78256","1059","386","473","93","81","46","53","459","126","942","254","115","75","31","537","21","226","1000","757","0","55","245","160","355","171"
"publicpolygonfeature:5:59814","ZIP Code 78257","country:us/state:tx/zip:78257","78257","1641","1047","326","317","38","0","90","258","104","440","165","171","0","45","314","12","125","769","651","0","31","44","27","42","183"
"publicpolygonfeature:5:59815","ZIP Code 78258","country:us/state:tx/zip:78258","78258","4410","3032","1328","692","125","710","303","1998","682","2345","536","332","191","194","1157","288","396","3345","2202","0","529","446","227","895","242"
"publicpolygonfeature:5:59816","ZIP Code 78259","country:us/state:tx/zip:78259","78259","2338","1551","755","482","125","261","120","947","313","968","315","518","104","86","791","320","236","1749","1295","83","414","516","263","281","290"
"publicpolygonfeature:5:59817","ZIP Code 78261","country:us/state:tx/zip:78261","78261","2543","1555","1187","292","316","213","106","816","358","1075","169","78","69","20","655","307","193","1711","1327","18","230","190","309","245","360"
"publicpolygonfeature:5:59818","ZIP Code 78263","country:us/state:tx/zip:78263","78263","362","51","41","34","0","3","5","198","5","98","15","0","16","5","28","96","0","139","320","0","64","42","49","28","98"
"publicpolygonfeature:5:59819","ZIP Code 78264","country:us/state:tx/zip:78264","78264","473","217","104","0","0","64","0","290","0","81","143","184","19","116","284","138","145","376","344","0","590","213","334","343","298"
"publicpolygonfeature:5:59820","ZIP Code 78266","country:us/state:tx/zip:78266","78266","891","449","52","136","0","12","152","235","22","45","38","102","41","27","29","0","49","237","461","0","69","28","12","119","137"
"publicpolygonfeature:5:59944","ZIP Code 78606","country:us/state:tx/zip:78606","78606","323","191","189","106","18","90","56","208","72","68","43","137","0","7","125","207","141","277","187","91","361","85","302","49","28"
"publicpolygonfeature:5:59964","ZIP Code 78623","country:us/state:tx/zip:78623","78623","89","21","27","16","0","15","0","116","17","15","14","0","0","0","0","17","8","91","29","0","11","30","19","37","14"
"publicpolygonfeature:5:59978","ZIP Code 78638","country:us/state:tx/zip:78638","78638","97","43","12","1","13","15","2","92","15","44","5","65","36","0","8","7","75","31","69","19","128","22","56","14","37"
"publicpolygonfeature:5:59986","ZIP Code 78670","country:us/state:tx/zip:78670","78670","8","0","5","0","0","0","0","0","0","0","0","0","0","7","5","0","0","5","2","0","4","5","0","0","0"
"publicpolygonfeature:5:59990","ZIP Code 78648","country:us/state:tx/zip:78648","78648","294","188","41","3","21","74","0","207","115","34","95","212","161","28","346","240","29","228","272","33","115","177","205","254","273"
"publicpolygonfeature:5:59996","ZIP Code 78655","country:us/state:tx/zip:78655","78655","168","15","0","8","7","2","0","130","28","3","67","31","12","39","87","263","51","133","335","24","147","45","86","79","41"
"publicpolygonfeature:5:60003","ZIP Code 78666","country:us/state:tx/zip:78666","78666","3116","2466","1122","630","707","701","427","4100","1021","970","1057","762","872","399","6044","1836","1385","5590","4856","145","2354","1222","1920","1944","2395"
"publicpolygonfeature:5:60048","ZIP Code 78885","country:us/state:tx/zip:78885","78885","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:60065","ZIP Code 78850","country:us/state:tx/zip:78850","78850","89","33","8","0","0","0","0","34","13","0","0","15","16","0","1","20","0","10","7","0","0","24","23","0","4"
"publicpolygonfeature:5:60069","ZIP Code 78861","country:us/state:tx/zip:78861","78861","621","295","151","73","21","73","0","645","56","174","202","145","28","80","312","124","176","464","652","27","292","127","227","107","158"
"publicpolygonfeature:5:60076","ZIP Code 78883","country:us/state:tx/zip:78883","78883","0","0","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","0","0"
