"feature id","feature label","shid","geoid","Employment Occupation Management (2020-2024)","Employment Occupation Business and Finance (2020-2024)","Employment Occupation Computer and Mathematical (2020-2024)","Employment Occupation Architecture and Engineering (2020-2024)","Employment Occupation Life, Physical, and Social Science (2020-2024)","Employment Occupation Community and Social Service (2020-2024)","Employment Occupation Legal (2020-2024)","Employment Occupation Education, Training and Library (2020-2024)","Employment Occupation Arts, Design, Entertainment, Sports and Media (2020-2024)","Employment Occupation Health Diagnosis and Treating Practitioners (2020-2024)","Employment Occupation Health Technologist and Technicians (2020-2024)","Employment Occupation Healthcare Support (2020-2024)","Employment Occupation Fire Fighting and Prevention (2020-2024)","Employment Occupation Law Enforcement (2020-2024)","Employment Occupation Food Preparation and Serving (2020-2024)","Employment Occupation Building, Grounds Cleaning, and Maintenance (2020-2024)","Employment Occupation Personal Care and Service (2020-2024)","Employment Occupation Sales (2020-2024)","Employment Occupation Office and Administrative Support (2020-2024)","Employment Occupation Farming, Fishing and Forestry (2020-2024)","Employment Occupation Construction and Extraction (2020-2024)","Employment Occupation Installation, Maintenance, and Repair (2020-2024)","Employment Occupation Production (2020-2024)","Employment Occupation Transportation (2020-2024)","Employment Occupation Material Moving (2020-2024)"
"publicpolygonfeature:5:60402","ZIP Code 80018","country:us/state:co/zip:80018","80018","1492","802","783","241","130","299","98","778","348","430","154","337","240","145","461","95","279","736","1423","0","383","254","295","429","382"
"publicpolygonfeature:5:60403","ZIP Code 80019","country:us/state:co/zip:80019","80019","322","476","301","282","6","129","0","125","92","56","73","174","78","42","260","156","97","426","984","0","421","107","144","391","242"
"publicpolygonfeature:5:60404","ZIP Code 80020","country:us/state:co/zip:80020","80020","4549","2904","2605","1534","673","456","301","1707","736","1319","552","710","313","171","1705","695","826","2270","2887","96","928","485","722","852","820"
"publicpolygonfeature:5:60405","ZIP Code 80021","country:us/state:co/zip:80021","80021","3188","1652","2504","1450","252","390","280","1226","809","1262","410","478","176","409","1064","233","607","1834","2077","25","922","584","518","545","470"
"publicpolygonfeature:5:60406","ZIP Code 80218","country:us/state:co/zip:80218","80218","2302","1418","1058","284","232","340","437","987","951","1278","241","266","28","23","877","212","179","1285","680","14","104","122","192","155","319"
"publicpolygonfeature:5:60407","ZIP Code 80022","country:us/state:co/zip:80022","80022","3537","1699","1095","369","210","375","303","1590","853","699","792","691","369","372","1678","1106","383","2087","3265","46","3246","863","1756","1907","1399"
"publicpolygonfeature:5:60408","ZIP Code 80023","country:us/state:co/zip:80023","80023","2751","1230","1691","829","275","143","217","853","425","1120","171","55","164","72","659","53","206","1503","963","0","104","83","236","163","177"
"publicpolygonfeature:5:60409","ZIP Code 80024","country:us/state:co/zip:80024","80024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0"
"publicpolygonfeature:5:60411","ZIP Code 80109","country:us/state:co/zip:80109","80109","3105","1460","1053","569","45","157","142","983","412","630","176","276","139","124","886","327","412","2117","1209","0","437","35","385","102","110"
"publicpolygonfeature:5:60414","ZIP Code 80030","country:us/state:co/zip:80030","80030","954","325","235","177","45","113","65","180","91","84","116","137","33","0","366","306","73","602","1267","9","809","329","478","455","414"
"publicpolygonfeature:5:60415","ZIP Code 80031","country:us/state:co/zip:80031","80031","2497","1343","1240","785","363","454","159","1044","452","532","246","729","127","69","826","523","223","1915","2215","79","1296","538","732","766","807"
"publicpolygonfeature:5:60416","ZIP Code 80033","country:us/state:co/zip:80033","80033","2244","1249","486","698","493","196","206","701","521","539","53","356","117","67","655","364","535","1704","1548","117","686","225","619","499","272"
"publicpolygonfeature:5:60417","ZIP Code 80101","country:us/state:co/zip:80101","80101","33","0","18","0","3","0","0","19","3","0","5","0","0","0","3","0","12","12","7","8","9","2","8","0","0"
"publicpolygonfeature:5:60418","ZIP Code 80102","country:us/state:co/zip:80102","80102","528","160","31","49","43","20","7","244","30","72","85","119","44","44","64","52","69","335","483","68","272","273","113","198","116"
"publicpolygonfeature:5:60419","ZIP Code 80110","country:us/state:co/zip:80110","80110","1832","883","546","508","93","372","127","952","490","656","182","428","120","27","813","488","319","1125","1385","33","891","360","507","460","494"
"publicpolygonfeature:5:60420","ZIP Code 80103","country:us/state:co/zip:80103","80103","82","110","47","37","0","11","32","115","24","35","26","88","12","48","39","14","13","78","127","7","166","69","76","38","56"
"publicpolygonfeature:5:60421","ZIP Code 80104","country:us/state:co/zip:80104","80104","3333","1942","1400","664","112","376","685","1230","338","951","289","684","174","228","977","417","449","2610","2148","19","636","507","501","712","663"
"publicpolygonfeature:5:60422","ZIP Code 80105","country:us/state:co/zip:80105","80105","241","49","3","11","0","30","2","8","18","25","0","20","0","12","36","81","13","37","109","6","199","84","94","55","37"
"publicpolygonfeature:5:60423","ZIP Code 80106","country:us/state:co/zip:80106","80106","547","132","161","97","2","39","14","69","52","83","37","49","15","3","83","5","63","390","233","86","81","36","77","43","90"
"publicpolygonfeature:5:60424","ZIP Code 80107","country:us/state:co/zip:80107","80107","1171","613","271","173","56","86","56","554","85","205","301","128","145","205","294","24","267","641","761","25","554","424","433","195","152"
"publicpolygonfeature:5:60425","ZIP Code 80108","country:us/state:co/zip:80108","80108","4723","2213","1262","728","195","111","306","1242","402","664","158","440","139","144","747","118","543","2621","1432","30","291","407","134","366","314"
"publicpolygonfeature:5:60426","ZIP Code 80111","country:us/state:co/zip:80111","80111","3203","1950","1210","867","243","266","526","880","511","1438","137","196","231","35","928","195","261","1907","1481","0","156","185","357","279","338"
"publicpolygonfeature:5:60427","ZIP Code 80112","country:us/state:co/zip:80112","80112","2872","2520","1770","1137","274","510","385","1424","455","1345","589","542","129","167","1046","97","440","2072","2062","0","284","178","353","478","428"
