"feature id","feature label","shid","geoid","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:43576","ZIP Code 33619","country:us/state:fl/zip:33619","33619","3005","4337","10","2660","7912","1107","1484","2060","623","649","5202","16","1424","3925","81","1341","5217","4308","767","10232"
"publicpolygonfeature:5:43577","ZIP Code 33620","country:us/state:fl/zip:33620","33620","128","2","0","0","0","29","7","1076","0","0","0","0","0","6","0","31","0","0","0","0"
"publicpolygonfeature:5:43578","ZIP Code 33621","country:us/state:fl/zip:33621","33621","47","326","0","0","8","46","7","148","10","25","0","1","124","1499","0","14","49","107","0","8"
"publicpolygonfeature:5:43579","ZIP Code 33624","country:us/state:fl/zip:33624","33624","781","688","8","338","1303","293","381","915","36","35","750","0","329","920","1","161","1444","92","18","327"
"publicpolygonfeature:5:43580","ZIP Code 33637","country:us/state:fl/zip:33637","33637","431","795","4","0","1355","226","1567","1507","2162","1156","1673","0","259","2635","237","571","337","3751","18","1061"
"publicpolygonfeature:5:43581","ZIP Code 33647","country:us/state:fl/zip:33647","33647","2100","799","5","572","429","208","9304","1463","715","125","82","0","428","1841","112","316","2730","109","0","254"
"publicpolygonfeature:5:43582","ZIP Code 33701","country:us/state:fl/zip:33701","33701","4857","1908","5","674","243","701","2513","7689","1605","678","178","2","559","3896","5741","872","1133","317","213","296"
"publicpolygonfeature:5:43583","ZIP Code 33702","country:us/state:fl/zip:33702","33702","978","1075","9","348","381","226","2277","3718","314","61","430","2","755","1915","238","310","1238","810","55","492"
"publicpolygonfeature:5:43584","ZIP Code 33703","country:us/state:fl/zip:33703","33703","767","347","0","46","235","285","207","890","47","3","76","0","382","528","0","82","592","131","2","52"
"publicpolygonfeature:5:43585","ZIP Code 33704","country:us/state:fl/zip:33704","33704","932","250","12","95","111","173","218","900","95","6","45","0","348","548","0","89","933","73","1","42"
