"feature id","feature label","shid","geoid","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:60404","ZIP Code 80020","country:us/state:co/zip:80020","80020","2336","1271","5","297","1358","376","1051","2769","537","103","2827","3","553","2115","3727","532","2968","211","1","865"
"publicpolygonfeature:5:60405","ZIP Code 80021","country:us/state:co/zip:80021","80021","2968","1431","36","441","1158","708","1671","1828","3210","5078","3192","6","644","7061","44","305","3284","815","7","2574"
"publicpolygonfeature:5:60406","ZIP Code 80218","country:us/state:co/zip:80218","80218","1113","349","0","642","76","81","254","8503","194","114","11","0","484","1574","0","396","592","4","22","144"
"publicpolygonfeature:5:60407","ZIP Code 80022","country:us/state:co/zip:80022","80022","1112","2252","82","36","4453","1322","340","829","31","41","2028","42","1014","599","1178","535","2259","7739","0","2424"
"publicpolygonfeature:5:60408","ZIP Code 80023","country:us/state:co/zip:80023","80023","2184","350","0","840","270","380","167","964","175","68","57","1","296","1129","1","86","3291","333","0","215"
"publicpolygonfeature:5:60409","ZIP Code 80024","country:us/state:co/zip:80024","80024","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:60411","ZIP Code 80109","country:us/state:co/zip:80109","80109","490","357","0","197","897","353","125","718","171","102","225","3","287","877","0","95","346","105","18","228"
"publicpolygonfeature:5:60414","ZIP Code 80030","country:us/state:co/zip:80030","80030","532","1423","0","92","380","1405","134","498","16","6","64","0","179","310","0","52","255","49","0","152"
"publicpolygonfeature:5:60415","ZIP Code 80031","country:us/state:co/zip:80031","80031","1361","1793","1","108","849","1295","312","2008","322","139","167","0","327","1011","1346","247","1482","30","0","156"
"publicpolygonfeature:5:60416","ZIP Code 80033","country:us/state:co/zip:80033","80033","1433","1055","50","126","2141","432","324","6215","140","116","613","24","948","1913","399","249","2478","84","45","657"
"publicpolygonfeature:5:60417","ZIP Code 80101","country:us/state:co/zip:80101","80101","0","0","0","0","0","31","0","0","3","0","0","0","0","3","5","0","0","0","0","0"
"publicpolygonfeature:5:60418","ZIP Code 80102","country:us/state:co/zip:80102","80102","184","30","24","23","181","195","28","59","8","5","4","9","72","120","107","2","235","33","15","38"
"publicpolygonfeature:5:60419","ZIP Code 80110","country:us/state:co/zip:80110","80110","1185","2784","2","338","5062","841","177","1361","220","110","2720","6","1268","1110","658","491","2586","964","18","2308"
"publicpolygonfeature:5:60420","ZIP Code 80103","country:us/state:co/zip:80103","80103","0","28","37","10","45","119","2","0","12","0","1","0","17","27","14","0","84","9","3","23"
"publicpolygonfeature:5:60421","ZIP Code 80104","country:us/state:co/zip:80104","80104","1081","624","12","125","678","6884","357","1070","617","54","46","0","445","985","2323","242","1279","74","1","323"
"publicpolygonfeature:5:60422","ZIP Code 80105","country:us/state:co/zip:80105","80105","0","25","1","16","7","75","0","0","0","0","20","0","9","2","7","0","10","0","0","0"
"publicpolygonfeature:5:60423","ZIP Code 80106","country:us/state:co/zip:80106","80106","44","25","2","3","80","57","0","19","5","3","2","6","7","42","1","11","15","139","1","3"
"publicpolygonfeature:5:60424","ZIP Code 80107","country:us/state:co/zip:80107","80107","200","103","26","29","534","564","150","91","12","7","87","7","122","212","108","28","391","27","0","101"
"publicpolygonfeature:5:60425","ZIP Code 80108","country:us/state:co/zip:80108","80108","1888","191","9","444","428","137","262","775","187","139","38","3","443","1155","38","168","2746","121","16","312"
"publicpolygonfeature:5:60426","ZIP Code 80111","country:us/state:co/zip:80111","80111","2379","4838","10","579","3463","8503","16414","5499","7219","2557","1591","133","1064","13780","469","2249","2222","359","0","2796"
"publicpolygonfeature:5:60427","ZIP Code 80112","country:us/state:co/zip:80112","80112","4514","4294","4","2483","10325","893","7441","5950","10287","8783","3185","239","2144","11269","1439","1279","4535","4825","32","7821"
"publicpolygonfeature:5:60428","ZIP Code 80113","country:us/state:co/zip:80113","80113","1325","215","0","270","247","565","249","6053","60","88","128","9","365","639","50","322","1649","75","0","76"
"publicpolygonfeature:5:60429","ZIP Code 80116","country:us/state:co/zip:80116","80116","29","18","15","21","204","17","16","48","11","174","11","0","48","170","50","273","60","0","0","28"
"publicpolygonfeature:5:60430","ZIP Code 80120","country:us/state:co/zip:80120","80120","1687","2497","1","173","1988","3316","562","2724","871","300","1353","19","579","2334","3390","302","1732","196","3","1172"
"publicpolygonfeature:5:60431","ZIP Code 80121","country:us/state:co/zip:80121","80121","354","140","0","49","160","143","235","869","152","52","24","0","156","323","0","132","1390","15","0","134"
"publicpolygonfeature:5:60432","ZIP Code 80122","country:us/state:co/zip:80122","80122","1542","340","45","529","380","456","361","2944","688","56","47","3","492","1383","0","93","2112","47","1","445"
"publicpolygonfeature:5:60433","ZIP Code 80117","country:us/state:co/zip:80117","80117","40","25","18","12","211","58","4","10","24","0","28","0","62","45","224","2","41","6","0","81"
"publicpolygonfeature:5:60434","ZIP Code 80118","country:us/state:co/zip:80118","80118","20","94","60","113","111","15","8","47","14","11","10","0","19","146","56","26","18","1","12","34"
"publicpolygonfeature:5:60435","ZIP Code 80125","country:us/state:co/zip:80125","80125","133","644","96","207","1813","156","53","102","36","16","555","14","345","418","27","84","585","62","16","397"
"publicpolygonfeature:5:60436","ZIP Code 80126","country:us/state:co/zip:80126","80126","1266","563","16","251","349","1002","305","1083","140","94","40","15","520","1261","2","380","1432","18","1","478"
"publicpolygonfeature:5:60437","ZIP Code 80134","country:us/state:co/zip:80134","80134","2065","888","49","511","1429","998","548","2491","269","208","686","14","1038","3377","28","381","3392","55","36","632"
"publicpolygonfeature:5:60438","ZIP Code 80135","country:us/state:co/zip:80135","80135","124","100","24","106","460","12","15","9","3","39","71","2","48","59","22","67","26","1","291","87"
"publicpolygonfeature:5:60439","ZIP Code 80127","country:us/state:co/zip:80127","80127","1377","794","0","813","1563","251","594","1190","161","241","2883","12","647","2547","4","294","1532","16","6","854"
"publicpolygonfeature:5:60440","ZIP Code 80128","country:us/state:co/zip:80128","80128","556","390","24","72","458","188","206","1149","105","60","6220","4","424","828","0","89","532","79","0","208"
"publicpolygonfeature:5:60441","ZIP Code 80129","country:us/state:co/zip:80129","80129","2020","355","0","388","259","370","1615","1936","604","633","135","39","350","2644","3","221","2172","200","114","514"
"publicpolygonfeature:5:60442","ZIP Code 80130","country:us/state:co/zip:80130","80130","118","222","0","47","219","336","151","326","120","110","11","4","113","979","0","55","907","45","0","264"
"publicpolygonfeature:5:60443","ZIP Code 80131","country:us/state:co/zip:80131","80131",,,,,,,,,,,,,,,,,,,,
"publicpolygonfeature:5:60446","ZIP Code 80204","country:us/state:co/zip:80204","80204","2837","1144","135","4655","2178","1269","378","10987","982","207","1485","4","967","3243","614","753","1162","535","2213","2477"
"publicpolygonfeature:5:60447","ZIP Code 80136","country:us/state:co/zip:80136","80136","70","53","1","1","254","183","15","29","17","0","16","3","15","45","18","19","47","15","3","42"
"publicpolygonfeature:5:60448","ZIP Code 80137","country:us/state:co/zip:80137","80137","42","13","8","3","56","7","0","4","0","92","32","10","43","40","0","11","62","199","38","29"
"publicpolygonfeature:5:60449","ZIP Code 80138","country:us/state:co/zip:80138","80138","1204","423","10","455","813","234","203","2334","170","76","23","2","293","733","22","128","779","234","102","377"
"publicpolygonfeature:5:60450","ZIP Code 80202","country:us/state:co/zip:80202","80202","11428","8355","3","965","1790","2172","9255","1417","9741","5881","773","4918","2102","35964","6179","4686","2040","1132","1852","3468"
"publicpolygonfeature:5:60451","ZIP Code 80203","country:us/state:co/zip:80203","80203","2700","1164","0","87","332","1277","2960","1755","1589","432","57","590","2163","4973","5330","1063","1058","19","33","472"
"publicpolygonfeature:5:60452","ZIP Code 80205","country:us/state:co/zip:80205","80205","3495","868","17","1852","598","581","255","4012","1214","631","730","7","1016","4060","119","609","1014","364","1","877"
"publicpolygonfeature:5:60453","ZIP Code 80223","country:us/state:co/zip:80223","80223","796","2326","47","122","3807","378","184","1081","279","786","3714","19","705","1249","0","397","2240","870","120","2707"
"publicpolygonfeature:5:60454","ZIP Code 80224","country:us/state:co/zip:80224","80224","495","735","0","135","69","282","952","3877","19","129","14","0","227","721","0","184","620","126","0","156"
"publicpolygonfeature:5:60455","ZIP Code 80226","country:us/state:co/zip:80226","80226","2042","1203","0","173","580","973","654","4840","147","128","71","6","577","1679","6195","142","2815","24","14","88"
"publicpolygonfeature:5:60456","ZIP Code 80227","country:us/state:co/zip:80227","80227","730","519","0","157","321","63","284","1026","118","12","143","3","326","677","0","221","1473","87","146","157"
"publicpolygonfeature:5:60457","ZIP Code 80228","country:us/state:co/zip:80228","80228","1064","2341","0","229","615","1015","303","1498","203","719","260","113","367","2814","1054","596","582","369","76","414"
"publicpolygonfeature:5:60458","ZIP Code 80229","country:us/state:co/zip:80229","80229","1293","1973","160","116","2881","62","312","2698","256","116","1356","0","858","282","1611","461","2852","995","471","1627"
"publicpolygonfeature:5:60459","ZIP Code 80230","country:us/state:co/zip:80230","80230","456","88","0","188","19","700","756","3004","89","670","3","6","215","405","382","154","219","41","0","59"
"publicpolygonfeature:5:60467","ZIP Code 80401","country:us/state:co/zip:80401","80401","3813","1584","5","487","2594","12987","823","2887","697","359","3277","129","981","6929","992","430","4271","144","249","1190"
"publicpolygonfeature:5:60468","ZIP Code 80420","country:us/state:co/zip:80420","80420","39","8","15","0","27","0","0","1","0","0","2","6","4","8","0","16","27","0","0","0"
"publicpolygonfeature:5:60469","ZIP Code 80403","country:us/state:co/zip:80403","80403","536","815","63","125","981","72","103","381","96","154","1652","20","423","1444","53","55","658","738","50","683"
"publicpolygonfeature:5:60470","ZIP Code 80419","country:us/state:co/zip:80419","80419","0","0","0","0","0","0","186","0","0","0","0","0","2","0","3286","0","50","0","0","0"
