"feature id","feature label","shid","geoid","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:63577","ZIP Code 94110","country:us/state:ca/zip:94110","94110","4507","723","1","562","880","1622","472","4078","2034","287","870","32","1332","4568","2","534","2410","104","18","672"
"publicpolygonfeature:5:63578","ZIP Code 94123","country:us/state:ca/zip:94123","94123","2741","359","1","737","297","439","181","797","323","113","187","0","860","868","1","328","1139","56","0","72"
"publicpolygonfeature:5:63579","ZIP Code 94124","country:us/state:ca/zip:94124","94124","792","1262","11","133","4639","542","41","2851","298","48","1183","0","819","1226","0","553","1448","1533","0","1283"
"publicpolygonfeature:5:63580","ZIP Code 94127","country:us/state:ca/zip:94127","94127","646","134","0","43","361","449","142","866","67","0","20","0","240","398","0","84","335","24","1","36"
"publicpolygonfeature:5:63581","ZIP Code 94128","country:us/state:ca/zip:94128","94128","2784","345","0","0","176","0","0","0","0","121","8","0","429","12","21","941","346","12098","3","44"
"publicpolygonfeature:5:63582","ZIP Code 94129","country:us/state:ca/zip:94129","94129","118","192","1","303","130","230","958","150","1342","69","81","0","1269","712","300","200","364","329","9","5"
"publicpolygonfeature:5:63583","ZIP Code 94130","country:us/state:ca/zip:94130","94130","0","8","0","124","114","48","0","338","3","0","35","0","21","20","0","81","2","23","0","13"
"publicpolygonfeature:5:63584","ZIP Code 94131","country:us/state:ca/zip:94131","94131","435","91","1","53","163","510","56","15719","82","0","145","0","289","402","0","37","305","88","0","39"
"publicpolygonfeature:5:63585","ZIP Code 94132","country:us/state:ca/zip:94132","94132","989","289","0","611","219","4342","157","1413","100","88","18","0","636","506","2","71","1524","28","0","15"
"publicpolygonfeature:5:63586","ZIP Code 94303","country:us/state:ca/zip:94303","94303","873","758","9","265","683","1362","392","1770","427","277","2544","28","576","6503","289","511","1583","47","11","250"
"publicpolygonfeature:5:63590","ZIP Code 94401","country:us/state:ca/zip:94401","94401","2298","1367","0","248","475","1067","555","2688","955","280","152","0","751","1154","22","201","878","283","92","167"
"publicpolygonfeature:5:63592","ZIP Code 94402","country:us/state:ca/zip:94402","94402","532","932","15","154","525","1875","929","1802","2977","54","552","3","614","3110","0","411","691","80","41","943"
"publicpolygonfeature:5:63593","ZIP Code 94403","country:us/state:ca/zip:94403","94403","1636","1526","0","663","1221","1108","4279","3091","3077","574","210","0","577","1881","321","306","2624","151","98","268"
"publicpolygonfeature:5:63594","ZIP Code 94404","country:us/state:ca/zip:94404","94404","1828","1518","0","360","525","752","1539","1221","2212","411","167","0","253","12603","213","474","1558","1233","10","218"
"publicpolygonfeature:5:63595","ZIP Code 94501","country:us/state:ca/zip:94501","94501","3015","1141","28","599","1599","2155","306","4099","456","344","1244","0","732","2361","875","303","2849","524","0","203"
"publicpolygonfeature:5:63596","ZIP Code 94502","country:us/state:ca/zip:94502","94502","553","164","0","118","1163","196","805","347","9","102","3425","0","436","1361","840","65","158","115","0","664"
"publicpolygonfeature:5:63598","ZIP Code 94509","country:us/state:ca/zip:94509","94509","862","1319","6","163","1091","1600","144","4447","70","11","878","0","381","386","570","217","1750","557","152","401"
"publicpolygonfeature:5:63599","ZIP Code 94505","country:us/state:ca/zip:94505","94505","183","45","0","55","228","99","7","76","9","0","10","0","44","212","5","52","189","20","47","8"
"publicpolygonfeature:5:63600","ZIP Code 94506","country:us/state:ca/zip:94506","94506","298","211","3","445","214","436","99","727","7","23","27","1","207","419","0","87","453","19","0","71"
"publicpolygonfeature:5:63601","ZIP Code 94507","country:us/state:ca/zip:94507","94507","207","186","5","246","388","392","523","265","126","3","38","0","117","563","2","111","558","0","3","90"
"publicpolygonfeature:5:63605","ZIP Code 94511","country:us/state:ca/zip:94511","94511","47","2","6","23","20","0","0","17","0","0","2","0","0","6","0","18","6","18","2","0"
"publicpolygonfeature:5:63607","ZIP Code 94518","country:us/state:ca/zip:94518","94518","433","489","0","48","806","1126","162","1411","116","1","229","0","291","225","0","58","1190","85","3","134"
"publicpolygonfeature:5:63608","ZIP Code 94519","country:us/state:ca/zip:94519","94519","232","214","14","102","243","1231","28","684","2","0","16","0","158","96","304","16","348","75","11","72"
"publicpolygonfeature:5:63609","ZIP Code 94929","country:us/state:ca/zip:94929","94929","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"publicpolygonfeature:5:63610","ZIP Code 94513","country:us/state:ca/zip:94513","94513","2867","770","219","388","2113","2516","318","2131","126","11","587","15","652","824","436","200","3527","151","38","204"
"publicpolygonfeature:5:63611","ZIP Code 94514","country:us/state:ca/zip:94514","94514","0","386","52","0","159","88","0","19","0","0","53","0","67","2","131","6","17","0","23","0"
"publicpolygonfeature:5:63612","ZIP Code 94566","country:us/state:ca/zip:94566","94566","1770","2015","16","749","2073","2464","549","1919","167","70","1496","123","879","2155","776","212","1055","305","0","518"
"publicpolygonfeature:5:63614","ZIP Code 94516","country:us/state:ca/zip:94516","94516","0","0","0","0","1","21","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:63615","ZIP Code 94517","country:us/state:ca/zip:94517","94517","298","107","4","73","150","117","16","145","3","0","5","37","74","95","40","32","315","65","1","14"
"publicpolygonfeature:5:63616","ZIP Code 94520","country:us/state:ca/zip:94520","94520","3200","5004","2","513","6489","790","5938","6377","876","886","1771","0","1373","3226","437","682","5958","811","367","1572"
"publicpolygonfeature:5:63617","ZIP Code 94521","country:us/state:ca/zip:94521","94521","786","544","0","441","424","775","199","1281","8","0","27","13","256","392","0","83","890","95","0","27"
"publicpolygonfeature:5:63618","ZIP Code 94523","country:us/state:ca/zip:94523","94523","1953","1509","0","202","847","2892","351","2468","575","57","119","0","442","1117","231","239","2201","36","0","221"
"publicpolygonfeature:5:63619","ZIP Code 94525","country:us/state:ca/zip:94525","94525","95","97","0","1","92","95","9","30","0","0","439","0","18","40","12","4","28","42","0","0"
"publicpolygonfeature:5:63621","ZIP Code 94526","country:us/state:ca/zip:94526","94526","1768","386","11","365","941","2194","367","1412","86","22","91","0","377","662","159","637","1321","196","0","143"
"publicpolygonfeature:5:63622","ZIP Code 94528","country:us/state:ca/zip:94528","94528","0","0","0","89","5","0","1","2","4","0","0","0","4","0","0","7","0","0","0","6"
"publicpolygonfeature:5:63623","ZIP Code 94530","country:us/state:ca/zip:94530","94530","955","248","4","115","212","736","111","1534","24","50","11","0","375","345","229","59","1499","39","22","44"
"publicpolygonfeature:5:63624","ZIP Code 94531","country:us/state:ca/zip:94531","94531","767","246","0","124","431","493","168","4285","1","1","13","0","99","177","0","46","1353","235","0","31"
"publicpolygonfeature:5:63628","ZIP Code 94536","country:us/state:ca/zip:94536","94536","858","597","0","76","268","1109","193","2703","103","6","219","0","548","1469","28","313","694","287","213","190"
"publicpolygonfeature:5:63630","ZIP Code 94538","country:us/state:ca/zip:94538","94538","4195","3268","52","818","5690","3128","735","10715","1339","564","43536","1","1384","5820","994","569","6366","1995","299","5105"
"publicpolygonfeature:5:63631","ZIP Code 94539","country:us/state:ca/zip:94539","94539","1258","1650","21","325","1425","1670","235","1791","196","19","4879","0","343","2042","0","282","914","278","38","1173"
"publicpolygonfeature:5:63632","ZIP Code 94541","country:us/state:ca/zip:94541","94541","1676","1093","0","150","1535","1483","277","3779","126","18","136","0","423","337","534","482","2609","164","0","133"
"publicpolygonfeature:5:63633","ZIP Code 94542","country:us/state:ca/zip:94542","94542","370","28","0","105","108","1932","6","204","12","0","5","0","109","121","0","47","144","23","0","2"
"publicpolygonfeature:5:63634","ZIP Code 94544","country:us/state:ca/zip:94544","94544","1265","759","25","103","1932","1738","74","3306","22","17","3217","0","727","405","754","431","1989","918","1","1650"
"publicpolygonfeature:5:63635","ZIP Code 94545","country:us/state:ca/zip:94545","94545","1291","3908","8","155","4682","1794","241","3450","98","257","5729","12","693","3056","10","404","3138","3403","45","4322"
"publicpolygonfeature:5:63636","ZIP Code 94546","country:us/state:ca/zip:94546","94546","1240","465","1","109","504","1084","167","3578","83","0","72","0","559","443","21","176","1227","82","32","81"
"publicpolygonfeature:5:63637","ZIP Code 94547","country:us/state:ca/zip:94547","94547","432","101","12","13","240","229","53","781","3","497","839","0","168","487","125","29","396","59","0","128"
"publicpolygonfeature:5:63638","ZIP Code 94548","country:us/state:ca/zip:94548","94548","4","37","0","0","6","0","0","0","0","0","4","0","0","0","0","0","0","2","0","0"
"publicpolygonfeature:5:63640","ZIP Code 94549","country:us/state:ca/zip:94549","94549","1299","381","4","351","591","1062","341","1629","126","111","110","0","990","1173","88","304","1245","53","0","143"
"publicpolygonfeature:5:63641","ZIP Code 94551","country:us/state:ca/zip:94551","94551","2008","2147","22","365","4373","1475","862","1264","642","406","5024","0","860","1944","0","552","5072","1064","24","2587"
"publicpolygonfeature:5:63642","ZIP Code 94578","country:us/state:ca/zip:94578","94578","1003","73","0","67","238","386","107","4404","53","5","792","0","502","403","0","164","1696","205","0","99"
"publicpolygonfeature:5:63643","ZIP Code 94550","country:us/state:ca/zip:94550","94550","1536","1478","107","1165","3061","1351","198","2142","108","4","2447","0","556","11751","548","158","1207","505","55","427"
"publicpolygonfeature:5:63644","ZIP Code 94552","country:us/state:ca/zip:94552","94552","107","128","7","92","87","295","32","176","16","37","5","0","109","32","0","24","122","57","2","21"
"publicpolygonfeature:5:63645","ZIP Code 94553","country:us/state:ca/zip:94553","94553","1096","1942","370","280","3701","870","249","7763","92","59","1352","0","573","635","7098","218","1398","495","517","380"
"publicpolygonfeature:5:63646","ZIP Code 94556","country:us/state:ca/zip:94556","94556","274","120","2","145","115","634","205","667","69","0","26","0","134","400","111","21","460","1","0","18"
"publicpolygonfeature:5:63649","ZIP Code 94560","country:us/state:ca/zip:94560","94560","2158","642","24","92","792","791","192","1726","129","684","3249","0","458","3976","312","273","2275","4998","0","741"
"publicpolygonfeature:5:63650","ZIP Code 94561","country:us/state:ca/zip:94561","94561","725","182","43","17","821","1032","55","870","7","0","18","0","176","281","97","78","449","217","146","59"
"publicpolygonfeature:5:63651","ZIP Code 94563","country:us/state:ca/zip:94563","94563","387","487","5","364","156","600","296","829","26","0","78","4","309","407","54","126","307","5","0","75"
"publicpolygonfeature:5:63652","ZIP Code 94564","country:us/state:ca/zip:94564","94564","1195","95","6","38","154","421","126","1135","5","0","21","0","138","170","128","39","1365","156","0","44"
"publicpolygonfeature:5:63653","ZIP Code 94565","country:us/state:ca/zip:94565","94565","2089","629","1","54","1744","2263","134","2622","114","0","1939","8","525","764","414","242","2257","493","87","479"
"publicpolygonfeature:5:63655","ZIP Code 94568","country:us/state:ca/zip:94568","94568","2774","1139","9","388","1656","2431","755","3032","335","2059","1822","0","927","1413","688","299","4110","323","194","452"
