"feature id","feature label","shid","geoid","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:59997","ZIP Code 78660","country:us/state:tx/zip:78660","78660","2660","1358","15","404","3652","5510","487","1591","1083","56","1529","14","899","1218","447","308","3237","2860","110","1248"
"publicpolygonfeature:5:59998","ZIP Code 78661","country:us/state:tx/zip:78661","78661","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:59999","ZIP Code 78662","country:us/state:tx/zip:78662","78662","23","1","11","0","29","4","0","1","0","0","9","16","0","12","28","0","11","0","10","0"
"publicpolygonfeature:5:60002","ZIP Code 78664","country:us/state:tx/zip:78664","78664","3071","1139","3","965","4252","586","1206","2487","190","207","5852","22","1421","2933","869","447","4344","1388","118","9488"
"publicpolygonfeature:5:60003","ZIP Code 78666","country:us/state:tx/zip:78666","78666","6217","1737","25","405","1949","8689","459","4430","770","712","2878","51","736","987","1666","958","6415","4958","195","591"
"publicpolygonfeature:5:60004","ZIP Code 78669","country:us/state:tx/zip:78669","78669","238","188","16","147","461","74","63","115","16","0","266","29","114","400","6","46","200","24","9","310"
"publicpolygonfeature:5:60005","ZIP Code 78676","country:us/state:tx/zip:78676","78676","707","166","25","54","339","97","104","465","39","2","79","7","79","313","69","109","554","6","9","54"
"publicpolygonfeature:5:60007","ZIP Code 78681","country:us/state:tx/zip:78681","78681","3086","956","8","193","1353","8267","645","3891","398","77","945","3","617","3005","21","319","2343","775","260","571"
"publicpolygonfeature:5:60008","ZIP Code 78717","country:us/state:tx/zip:78717","78717","1167","539","0","252","578","123","629","720","655","108","92","25","327","2780","0","235","899","77","0","250"
"publicpolygonfeature:5:60009","ZIP Code 78719","country:us/state:tx/zip:78719","78719","392","789","2","0","497","6","216","10","0","0","454","3","289","26","158","305","94","2645","0","30"
"publicpolygonfeature:5:60010","ZIP Code 78721","country:us/state:tx/zip:78721","78721","292","405","15","49","233","370","23","367","56","278","193","0","266","353","129","52","233","128","0","260"
"publicpolygonfeature:5:60011","ZIP Code 78722","country:us/state:tx/zip:78722","78722","986","53","0","68","649","23","142","743","127","4","15","2","95","653","21","59","412","24","0","54"
"publicpolygonfeature:5:60012","ZIP Code 78723","country:us/state:tx/zip:78723","78723","2310","763","5","124","307","779","1138","1876","468","350","195","6","452","1060","303","431","2177","33","1","152"
"publicpolygonfeature:5:60013","ZIP Code 78724","country:us/state:tx/zip:78724","78724","130","1382","9","13","966","1176","9","504","49","0","5404","0","281","78","7","212","314","185","0","737"
"publicpolygonfeature:5:60014","ZIP Code 78725","country:us/state:tx/zip:78725","78725","89","408","17","2","405","10","11","16","8","0","1556","0","45","38","0","2","37","187","0","410"
"publicpolygonfeature:5:60015","ZIP Code 78726","country:us/state:tx/zip:78726","78726","789","322","30","59","369","557","663","367","322","54","906","88","313","2164","1","94","1033","21","0","194"
"publicpolygonfeature:5:60016","ZIP Code 78727","country:us/state:tx/zip:78727","78727","488","1782","3","74","427","166","2026","1002","2283","12719","797","34","768","3364","0","168","663","382","0","384"
"publicpolygonfeature:5:60017","ZIP Code 78728","country:us/state:tx/zip:78728","78728","786","2012","1","161","1862","119","600","1793","1476","35","3746","1","555","679","0","397","701","578","110","1378"
"publicpolygonfeature:5:60018","ZIP Code 78729","country:us/state:tx/zip:78729","78729","734","1561","2","363","492","1261","1426","432","1057","101","160","0","229","2294","32","275","3671","25","17","715"
"publicpolygonfeature:5:60019","ZIP Code 78730","country:us/state:tx/zip:78730","78730","328","232","0","225","853","88","999","373","830","34","447","83","222","6444","0","103","352","139","0","781"
"publicpolygonfeature:5:60020","ZIP Code 78731","country:us/state:tx/zip:78731","78731","1005","2974","7","292","1457","611","1380","6893","1757","107","434","477","965","5112","3","1042","1047","131","1","461"
"publicpolygonfeature:5:60021","ZIP Code 78732","country:us/state:tx/zip:78732","78732","804","426","12","192","60","133","256","509","108","9","46","0","166","421","70","65","298","61","8","125"
"publicpolygonfeature:5:60022","ZIP Code 78733","country:us/state:tx/zip:78733","78733","81","111","15","9","316","54","77","198","92","30","35","1","93","792","0","97","86","11","0","36"
"publicpolygonfeature:5:60023","ZIP Code 78734","country:us/state:tx/zip:78734","78734","1066","1197","3","293","699","144","365","1245","133","13","200","22","399","1333","293","219","804","27","136","332"
"publicpolygonfeature:5:60024","ZIP Code 78746","country:us/state:tx/zip:78746","78746","2773","3205","35","828","3158","2406","6864","3249","2391","337","2123","117","1668","12533","60","2989","2685","138","199","2690"
"publicpolygonfeature:5:60025","ZIP Code 78735","country:us/state:tx/zip:78735","78735","1568","1473","16","242","743","546","1002","843","461","155","2890","29","518","8935","0","667","788","69","11","1199"
"publicpolygonfeature:5:60026","ZIP Code 78736","country:us/state:tx/zip:78736","78736","198","428","0","119","372","92","45","267","37","8","151","1","284","421","0","27","435","22","81","90"
"publicpolygonfeature:5:60027","ZIP Code 78737","country:us/state:tx/zip:78737","78737","392","219","26","211","616","277","147","580","141","2","294","10","226","985","1","87","236","16","3","219"
"publicpolygonfeature:5:60028","ZIP Code 78747","country:us/state:tx/zip:78747","78747","81","1115","17","121","1578","37","94","94","14","30","48","0","36","310","0","40","146","8","9","44"
"publicpolygonfeature:5:60029","ZIP Code 78748","country:us/state:tx/zip:78748","78748","1947","1423","10","188","798","197","289","1423","142","19","187","0","731","1057","8","408","2658","135","17","361"
"publicpolygonfeature:5:60030","ZIP Code 78738","country:us/state:tx/zip:78738","78738","1371","523","11","725","518","2042","767","2168","513","127","134","51","476","1934","79","322","2020","92","102","231"
"publicpolygonfeature:5:60031","ZIP Code 78739","country:us/state:tx/zip:78739","78739","30","175","0","88","78","303","40","351","109","13","25","2","157","415","0","80","25","120","0","58"
"publicpolygonfeature:5:60032","ZIP Code 78741","country:us/state:tx/zip:78741","78741","2262","2054","12","124","424","107","479","1806","508","560","1857","31","533","1841","34","531","1481","70","47","849"
"publicpolygonfeature:5:60033","ZIP Code 78742","country:us/state:tx/zip:78742","78742","20","12","0","1","633","0","0","88","0","15","61","9","23","12","0","30","10","359","50","52"
"publicpolygonfeature:5:60034","ZIP Code 78744","country:us/state:tx/zip:78744","78744","1739","1386","8","245","3674","383","763","2487","491","126","2242","11","575","4619","1465","537","2753","2250","0","2980"
"publicpolygonfeature:5:60035","ZIP Code 78745","country:us/state:tx/zip:78745","78745","3022","1257","1","318","814","1282","535","4976","1018","36","1088","10","1146","2305","157","539","4857","307","1","710"
"publicpolygonfeature:5:60036","ZIP Code 78750","country:us/state:tx/zip:78750","78750","1358","1130","5","430","616","125","1163","1653","3406","80","57","1","408","2256","2","207","591","61","79","375"
"publicpolygonfeature:5:60037","ZIP Code 78751","country:us/state:tx/zip:78751","78751","1543","1599","0","63","302","167","75","3477","211","386","219","0","345","638","51","429","1288","58","0","24"
"publicpolygonfeature:5:60038","ZIP Code 78752","country:us/state:tx/zip:78752","78752","1836","6121","0","119","538","5383","789","2326","277","15","262","0","878","1828","3879","243","1434","95","0","392"
"publicpolygonfeature:5:60039","ZIP Code 78753","country:us/state:tx/zip:78753","78753","2912","3049","2","182","1662","803","421","2622","656","198","1923","0","531","5821","424","574","4259","831","16","1946"
"publicpolygonfeature:5:60040","ZIP Code 78754","country:us/state:tx/zip:78754","78754","433","2876","0","375","2519","562","541","1582","190","154","5719","1","235","1704","246","285","607","2063","0","1863"
"publicpolygonfeature:5:60041","ZIP Code 78756","country:us/state:tx/zip:78756","78756","1682","519","0","66","235","604","411","2144","444","132","151","0","500","1984","10617","549","836","36","3","93"
"publicpolygonfeature:5:60042","ZIP Code 78759","country:us/state:tx/zip:78759","78759","4445","4875","5","256","5447","566","5858","6088","6629","500","6180","29","1497","14775","12","1707","5610","382","79","3288"
"publicpolygonfeature:5:60108","ZIP Code 78953","country:us/state:tx/zip:78953","78953","0","11","12","0","12","0","0","0","0","0","5","0","10","5","0","1","25","1","3","0"
"publicpolygonfeature:5:60111","ZIP Code 78957","country:us/state:tx/zip:78957","78957","132","51","35","21","95","331","31","425","12","0","128","5","38","43","110","11","235","27","4","63"
"publicpolygonfeature:5:6688042","ZIP Code 78674","country:us/state:tx/zip:78674","78674","0","32","9","0","113","0","22","0","0","0","0","0","0","21","0","0","0","0","0","2"
"publicpolygonfeature:22:928018","Austin-Round Rock-San Marcos, TX Area","country:us/state:tx/msa:austin-round_rock-san_marcos","12420","123867","88182","1441","21360","84258","109127","55618","142387","54267","22241","75332","3008","41560","171616","73370","27056","116902","29661","8239","53598"
