"feature id","feature label","shid","geoid","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:43473","ZIP Code 32778","country:us/state:fl/zip:32778","32778","665","506","27","108","836","7501","128","3801","127","20","461","0","223","492","3009","104","724","217","0","132"
"publicpolygonfeature:5:43474","ZIP Code 32779","country:us/state:fl/zip:32779","32779","379","438","1","68","627","121","980","677","457","25","39","0","276","1070","0","477","511","176","0","515"
"publicpolygonfeature:5:43476","ZIP Code 32784","country:us/state:fl/zip:32784","32784","214","99","122","86","546","46","97","227","7","3","210","0","70","47","117","15","156","11","6","40"
"publicpolygonfeature:5:43477","ZIP Code 32789","country:us/state:fl/zip:32789","32789","4973","3505","14","533","1555","1135","2066","5508","1109","597","452","0","1111","5781","719","935","3206","54","7","393"
"publicpolygonfeature:5:43478","ZIP Code 32792","country:us/state:fl/zip:32792","32792","1802","2528","2","461","1879","4489","509","3408","139","266","1085","2","765","1617","1","417","2794","63","0","220"
"publicpolygonfeature:5:43626","ZIP Code 33848","country:us/state:fl/zip:33848","33848","16","11","0","0","11","0","4","24","0","0","298","0","19","2","0","6","67","1","0","237"
"publicpolygonfeature:5:43644","ZIP Code 33896","country:us/state:fl/zip:33896","33896","2026","400","0","143","141","165","90","147","21","2","10","0","239","153","1","223","620","41","0","8"
"publicpolygonfeature:5:43785","ZIP Code 34705","country:us/state:fl/zip:34705","34705","2","36","18","0","65","0","5","0","0","0","453","10","83","12","13","0","51","12","0","125"
"publicpolygonfeature:5:43786","ZIP Code 34711","country:us/state:fl/zip:34711","34711","3963","1209","49","640","1217","292","499","5385","402","31","367","26","1033","1083","509","305","4811","215","55","297"
"publicpolygonfeature:5:43787","ZIP Code 34714","country:us/state:fl/zip:34714","34714","743","673","12","73","147","27","31","174","7","16","23","0","122","133","0","152","1338","74","9","31"
"publicpolygonfeature:5:43788","ZIP Code 34715","country:us/state:fl/zip:34715","34715","139","379","10","3","885","4","64","293","19","33","254","0","213","181","73","82","416","32","16","151"
"publicpolygonfeature:5:43789","ZIP Code 34731","country:us/state:fl/zip:34731","34731","206","202","28","9","489","3","47","284","1","17","31","0","116","89","104","33","307","68","3","85"
"publicpolygonfeature:5:43790","ZIP Code 34734","country:us/state:fl/zip:34734","34734","69","30","0","5","49","37","3","4","1","0","2","0","7","36","0","8","3","20","0","7"
"publicpolygonfeature:5:43791","ZIP Code 34736","country:us/state:fl/zip:34736","34736","318","373","556","33","1572","159","57","162","16","0","1235","63","96","327","179","45","845","1492","28","109"
"publicpolygonfeature:5:43792","ZIP Code 34739","country:us/state:fl/zip:34739","34739","9","28","75","64","11","0","5","0","0","0","0","0","2","1","0","0","14","0","0","0"
"publicpolygonfeature:5:43793","ZIP Code 34741","country:us/state:fl/zip:34741","34741","3059","2540","11","132","2214","565","432","5453","242","21","194","0","539","1186","2568","528","5094","623","749","214"
"publicpolygonfeature:5:43794","ZIP Code 34743","country:us/state:fl/zip:34743","34743","414","140","0","31","174","12","62","257","3","4","23","0","109","179","163","71","516","135","0","11"
"publicpolygonfeature:5:43795","ZIP Code 34744","country:us/state:fl/zip:34744","34744","1634","1047","4","316","934","10047","370","3393","187","16","395","2","731","536","1297","266","2923","275","0","352"
"publicpolygonfeature:5:43796","ZIP Code 34746","country:us/state:fl/zip:34746","34746","5175","936","17","743","321","39","153","728","46","12","59","0","422","264","4","578","4181","964","0","61"
"publicpolygonfeature:5:43797","ZIP Code 34747","country:us/state:fl/zip:34747","34747","7299","7405","0","773","1310","250","315","3175","384","37","117","2","146","909","2","1512","2311","120","4","133"
"publicpolygonfeature:5:43798","ZIP Code 34748","country:us/state:fl/zip:34748","34748","1214","986","48","170","2896","328","519","4207","341","177","972","52","455","462","62","396","2802","614","13","427"
"publicpolygonfeature:5:43799","ZIP Code 34753","country:us/state:fl/zip:34753","34753","30","91","43","0","115","130","3","46","0","1","28","0","9","3","50","1","71","21","0","1"
"publicpolygonfeature:5:43800","ZIP Code 34759","country:us/state:fl/zip:34759","34759","237","53","14","0","184","81","40","276","8","2","5","11","58","124","0","154","1096","32","0","23"
"publicpolygonfeature:5:43801","ZIP Code 34760","country:us/state:fl/zip:34760","34760","6","518","0","74","30","0","9","30","24","0","18","0","3","40","124","2","13","7","0","14"
"publicpolygonfeature:5:43802","ZIP Code 34761","country:us/state:fl/zip:34761","34761","2043","2235","37","196","1573","177","281","4027","226","23","368","0","768","468","375","160","2850","710","3","1579"
"publicpolygonfeature:5:43803","ZIP Code 34762","country:us/state:fl/zip:34762","34762","0","48","31","0","54","0","0","0","0","4","215","0","4","0","0","0","0","0","1","1"
"publicpolygonfeature:5:43804","ZIP Code 34769","country:us/state:fl/zip:34769","34769","1600","311","38","82","587","100","188","2082","33","11","388","0","296","305","587","106","2064","22","0","131"
"publicpolygonfeature:5:43805","ZIP Code 34771","country:us/state:fl/zip:34771","34771","250","197","24","18","511","7","97","242","35","7","175","2","115","239","0","62","499","45","2","82"
"publicpolygonfeature:5:43807","ZIP Code 34772","country:us/state:fl/zip:34772","34772","313","155","65","149","613","21","43","320","51","0","220","0","147","165","0","69","545","57","22","104"
"publicpolygonfeature:5:43808","ZIP Code 34773","country:us/state:fl/zip:34773","34773","3","39","79","22","21","0","3","4","3","3","42","0","33","35","0","21","38","3","3","0"
"publicpolygonfeature:5:43811","ZIP Code 34786","country:us/state:fl/zip:34786","34786","1128","676","28","455","273","421","168","618","178","97","69","0","410","1278","41","222","786","110","0","191"
"publicpolygonfeature:5:43812","ZIP Code 34787","country:us/state:fl/zip:34787","34787","3863","3821","434","461","4050","352","616","2980","240","1188","1578","0","974","2081","384","1162","5105","613","175","805"
"publicpolygonfeature:5:43813","ZIP Code 34788","country:us/state:fl/zip:34788","34788","726","369","118","11","426","349","61","648","135","0","82","0","120","153","619","284","1823","57","0","26"
"publicpolygonfeature:5:43814","ZIP Code 34797","country:us/state:fl/zip:34797","34797","0","68","0","0","0","0","2","0","0","0","0","0","6","15","0","3","40","1","0","0"
"publicpolygonfeature:5:6695185","ZIP Code 32816","country:us/state:fl/zip:32816","32816","730","61","0","279","0","8676","22","1","85","3","0","0","67","19","1","1","34","0","0","0"
"publicpolygonfeature:5:6696728","ZIP Code 32768","country:us/state:fl/zip:32768","32768","0","0","56","0","0","0","3","0","0","0","0","0","0","0","0","0","6","0","0","0"
"publicpolygonfeature:5:6702949","ZIP Code 34729","country:us/state:fl/zip:34729","34729","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:22:928539","Orlando-Kissimmee-Sanford, FL Area","country:us/state:fl/msa:orlando-kissimmee-sanford","36740","201687","142165","5582","101720","92870","89911","57199","163486","27146","28316","51916","232","36767","116296","41962","36950","166362","65238","4283","52468"
