"feature id","feature label","shid","geoid","Housing Built 1939 or Earlier (2020-2024)","Housing Built 1940 to 1949 (2020-2024)","Housing Built 1950 to 1959 (2020-2024)","Housing Built 1960 to 1969 (2020-2024)","Housing Built 1970 to 1979 (2020-2024)","Housing Built 1980 to 1989 (2020-2024)","Housing Built 1990 to 1999 (2020-2024)","Housing Built 2000 to 2009 (2020-2024)","Housing Built 2010 to 2019 (2020-2024)","Housing Built 2020 or Later (2020-2024)"
"publicpolygonfeature:5:46446","ZIP Code 43123","country:us/state:oh/zip:43123","43123","1447","377","2119","2371","3313","2649","5618","6062","3193","1408"
"publicpolygonfeature:5:46447","ZIP Code 43125","country:us/state:oh/zip:43125","43125","607","204","540","301","1123","765","916","910","323","452"
"publicpolygonfeature:5:46448","ZIP Code 43126","country:us/state:oh/zip:43126","43126","107","10","14","15","0","0","0","3","0","0"
"publicpolygonfeature:5:46449","ZIP Code 43127","country:us/state:oh/zip:43127","43127","38","23","0","0","0","25","27","27","0","0"
"publicpolygonfeature:5:46450","ZIP Code 43130","country:us/state:oh/zip:43130","43130","5420","1094","3538","3361","3871","2037","3101","2335","1458","412"
"publicpolygonfeature:5:46451","ZIP Code 43145","country:us/state:oh/zip:43145","43145","300","60","20","48","144","35","58","122","48","0"
"publicpolygonfeature:5:46452","ZIP Code 43135","country:us/state:oh/zip:43135","43135","361","37","60","146","192","276","437","285","146","49"
"publicpolygonfeature:5:46453","ZIP Code 43136","country:us/state:oh/zip:43136","43136","65","13","53","72","36","13","27","184","241","3"
"publicpolygonfeature:5:46454","ZIP Code 43137","country:us/state:oh/zip:43137","43137","32","16","67","98","276","160","201","222","26","48"
"publicpolygonfeature:5:46455","ZIP Code 43138","country:us/state:oh/zip:43138","43138","1670","299","461","800","1147","1034","1293","774","703","78"
"publicpolygonfeature:5:46456","ZIP Code 43149","country:us/state:oh/zip:43149","43149","180","36","72","43","239","150","260","150","48","35"
"publicpolygonfeature:5:46457","ZIP Code 43140","country:us/state:oh/zip:43140","43140","1655","460","560","886","1149","1007","1442","1004","460","81"
"publicpolygonfeature:5:46459","ZIP Code 43150","country:us/state:oh/zip:43150","43150","282","5","46","36","97","131","128","171","71","0"
"publicpolygonfeature:5:46460","ZIP Code 43151","country:us/state:oh/zip:43151","43151","51","5","4","6","9","8","3","1","0","0"
"publicpolygonfeature:5:46461","ZIP Code 43143","country:us/state:oh/zip:43143","43143","558","152","164","235","191","130","347","368","108","49"
"publicpolygonfeature:5:46462","ZIP Code 43144","country:us/state:oh/zip:43144","43144","74","26","23","11","11","12","20","1","0","0"
"publicpolygonfeature:5:46463","ZIP Code 43156","country:us/state:oh/zip:43156","43156","50","1","5","10","26","6","3","12","2","0"
"publicpolygonfeature:5:46464","ZIP Code 43157","country:us/state:oh/zip:43157","43157","73","5","18","23","37","15","17","46","0","0"
"publicpolygonfeature:5:46465","ZIP Code 43158","country:us/state:oh/zip:43158","43158","18","0","0","0","0","0","16","0","0","0"
"publicpolygonfeature:5:46466","ZIP Code 43146","country:us/state:oh/zip:43146","43146","288","72","157","394","903","402","386","934","332","157"
"publicpolygonfeature:5:46467","ZIP Code 43147","country:us/state:oh/zip:43147","43147","315","108","270","604","2110","2442","3709","3980","2274","662"
"publicpolygonfeature:5:46468","ZIP Code 43148","country:us/state:oh/zip:43148","43148","201","40","32","86","55","27","124","92","59","0"
"publicpolygonfeature:5:46469","ZIP Code 43152","country:us/state:oh/zip:43152","43152","48","0","47","49","0","53","72","85","47","0"
"publicpolygonfeature:5:46470","ZIP Code 43153","country:us/state:oh/zip:43153","43153","265","19","19","6","54","17","17","23","11","0"
"publicpolygonfeature:5:46471","ZIP Code 43154","country:us/state:oh/zip:43154","43154","168","0","47","266","91","89","232","328","22","10"
"publicpolygonfeature:5:46472","ZIP Code 43155","country:us/state:oh/zip:43155","43155","251","2","183","188","131","116","135","125","93","35"
"publicpolygonfeature:5:46474","ZIP Code 43162","country:us/state:oh/zip:43162","43162","323","121","466","454","581","286","298","139","106","0"
"publicpolygonfeature:5:46475","ZIP Code 43164","country:us/state:oh/zip:43164","43164","232","40","75","102","121","84","135","30","68","0"
"publicpolygonfeature:5:46476","ZIP Code 43201","country:us/state:oh/zip:43201","43201","5521","389","990","1592","1685","2003","1070","1003","3286","587"
"publicpolygonfeature:5:46477","ZIP Code 43202","country:us/state:oh/zip:43202","43202","4297","727","1395","986","1245","585","628","181","148","220"
"publicpolygonfeature:5:46478","ZIP Code 43203","country:us/state:oh/zip:43203","43203","2187","222","411","851","477","142","213","107","661","193"
"publicpolygonfeature:5:46479","ZIP Code 43221","country:us/state:oh/zip:43221","43221","1306","1059","4482","1565","1335","2617","938","1224","764","148"
"publicpolygonfeature:5:46480","ZIP Code 43222","country:us/state:oh/zip:43222","43222","1333","94","103","61","68","67","36","411","144","52"
"publicpolygonfeature:5:46481","ZIP Code 43223","country:us/state:oh/zip:43223","43223","2612","707","1345","1565","1937","735","856","749","143","39"
"publicpolygonfeature:5:46482","ZIP Code 43224","country:us/state:oh/zip:43224","43224","1042","1337","6677","3524","3107","1534","921","634","259","0"
"publicpolygonfeature:5:46483","ZIP Code 43227","country:us/state:oh/zip:43227","43227","398","476","4681","3105","1108","434","240","220","56","37"
"publicpolygonfeature:5:46484","ZIP Code 43228","country:us/state:oh/zip:43228","43228","719","490","2755","2896","4341","2953","5891","2780","2857","507"
"publicpolygonfeature:5:46485","ZIP Code 43229","country:us/state:oh/zip:43229","43229","720","338","1062","7756","7636","3007","1917","535","219","60"
"publicpolygonfeature:5:46486","ZIP Code 43230","country:us/state:oh/zip:43230","43230","570","157","700","2646","4742","5901","5007","3908","2112","160"
"publicpolygonfeature:5:46487","ZIP Code 43231","country:us/state:oh/zip:43231","43231","85","210","583","565","4064","1403","876","940","263","67"
"publicpolygonfeature:5:46490","ZIP Code 43334","country:us/state:oh/zip:43334","43334","296","15","72","84","391","223","440","516","275","106"
"publicpolygonfeature:5:46495","ZIP Code 43315","country:us/state:oh/zip:43315","43315","567","142","139","75","408","278","529","565","150","41"
"publicpolygonfeature:5:46497","ZIP Code 43317","country:us/state:oh/zip:43317","43317","49","1","3","6","2","2","2","2","4","0"
"publicpolygonfeature:5:46504","ZIP Code 43338","country:us/state:oh/zip:43338","43338","1035","79","269","497","486","552","640","892","232","32"
"publicpolygonfeature:5:46505","ZIP Code 43340","country:us/state:oh/zip:43340","43340","216","20","96","69","86","25","46","64","79","12"
"publicpolygonfeature:5:46508","ZIP Code 43344","country:us/state:oh/zip:43344","43344","813","99","183","263","279","155","266","461","69","22"
"publicpolygonfeature:5:46513","ZIP Code 43356","country:us/state:oh/zip:43356","43356","185","13","45","53","50","26","111","6","24","15"
"publicpolygonfeature:5:46515","ZIP Code 43358","country:us/state:oh/zip:43358","43358","421","22","55","27","59","26","196","178","28","5"
"publicpolygonfeature:5:46596","ZIP Code 43721","country:us/state:oh/zip:43721","43721","57","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:46604","ZIP Code 43730","country:us/state:oh/zip:43730","43730","318","29","60","22","115","135","207","182","39","56"
"publicpolygonfeature:5:46605","ZIP Code 43731","country:us/state:oh/zip:43731","43731","790","166","146","83","219","141","365","123","118","40"
"publicpolygonfeature:5:46614","ZIP Code 43739","country:us/state:oh/zip:43739","43739","185","0","10","34","31","95","174","341","48","15"
"publicpolygonfeature:5:46615","ZIP Code 43740","country:us/state:oh/zip:43740","43740","26","19","26","18","14","8","1","3","0","0"
"publicpolygonfeature:5:46617","ZIP Code 43760","country:us/state:oh/zip:43760","43760","93","2","9","0","9","26","276","159","79","15"
