"feature id","feature label","shid","geoid","Housing Built 1939 or Earlier (2020-2024)","Housing Built 1940 to 1949 (2020-2024)","Housing Built 1950 to 1959 (2020-2024)","Housing Built 1960 to 1969 (2020-2024)","Housing Built 1970 to 1979 (2020-2024)","Housing Built 1980 to 1989 (2020-2024)","Housing Built 1990 to 1999 (2020-2024)","Housing Built 2000 to 2009 (2020-2024)","Housing Built 2010 to 2019 (2020-2024)","Housing Built 2020 or Later (2020-2024)"
"publicpolygonfeature:5:43456","ZIP Code 32736","country:us/state:fl/zip:32736","32736","63","0","44","174","408","840","984","1317","643","95"
"publicpolygonfeature:5:43457","ZIP Code 32751","country:us/state:fl/zip:32751","32751","143","323","956","2207","2132","817","884","1343","2042","256"
"publicpolygonfeature:5:43460","ZIP Code 32746","country:us/state:fl/zip:32746","32746","24","134","191","214","1019","5808","5166","4509","3032","417"
"publicpolygonfeature:5:43461","ZIP Code 32750","country:us/state:fl/zip:32750","32750","7","30","700","524","3892","2314","1266","671","1013","414"
"publicpolygonfeature:5:43463","ZIP Code 32757","country:us/state:fl/zip:32757","32757","665","575","1111","1055","2042","1812","1922","2502","3094","663"
"publicpolygonfeature:5:43466","ZIP Code 32765","country:us/state:fl/zip:32765","32765","282","10","105","285","1189","5268","7988","4743","3497","587"
"publicpolygonfeature:5:43467","ZIP Code 32766","country:us/state:fl/zip:32766","32766","10","40","167","117","181","741","837","2647","330","11"
"publicpolygonfeature:5:43468","ZIP Code 32767","country:us/state:fl/zip:32767","32767","0","0","25","79","374","388","143","157","64","0"
"publicpolygonfeature:5:43470","ZIP Code 32771","country:us/state:fl/zip:32771","32771","1372","276","1602","1662","1605","2076","2780","7811","4525","1163"
"publicpolygonfeature:5:43471","ZIP Code 32773","country:us/state:fl/zip:32773","32773","263","270","863","813","1610","2923","2632","2538","1556","585"
"publicpolygonfeature:5:43472","ZIP Code 32776","country:us/state:fl/zip:32776","32776","15","52","72","85","600","698","911","1649","868","43"
"publicpolygonfeature:5:43473","ZIP Code 32778","country:us/state:fl/zip:32778","32778","100","105","732","1204","1448","2233","1118","2600","2408","330"
"publicpolygonfeature:5:43474","ZIP Code 32779","country:us/state:fl/zip:32779","32779","40","22","97","276","4187","4162","1330","884","460","139"
"publicpolygonfeature:5:43476","ZIP Code 32784","country:us/state:fl/zip:32784","32784","329","107","376","564","765","763","574","885","466","130"
"publicpolygonfeature:5:43477","ZIP Code 32789","country:us/state:fl/zip:32789","32789","703","948","2426","1234","1856","1182","1100","1424","1837","526"
"publicpolygonfeature:5:43478","ZIP Code 32792","country:us/state:fl/zip:32792","32792","69","186","1830","2967","5677","7309","2527","1431","2289","288"
"publicpolygonfeature:5:43626","ZIP Code 33848","country:us/state:fl/zip:33848","33848","0","81","123","0","0","85","61","0","0","65"
"publicpolygonfeature:5:43644","ZIP Code 33896","country:us/state:fl/zip:33896","33896","43","0","0","102","237","643","1431","4775","5153","1281"
"publicpolygonfeature:5:43785","ZIP Code 34705","country:us/state:fl/zip:34705","34705","9","45","71","37","120","239","221","258","92","46"
"publicpolygonfeature:5:43786","ZIP Code 34711","country:us/state:fl/zip:34711","34711","406","27","862","489","1327","1629","4557","11024","7015","1068"
"publicpolygonfeature:5:43787","ZIP Code 34714","country:us/state:fl/zip:34714","34714","78","12","7","160","147","869","3779","3556","2168","1661"
"publicpolygonfeature:5:43788","ZIP Code 34715","country:us/state:fl/zip:34715","34715","27","24","252","310","170","523","1520","2553","2690","1268"
"publicpolygonfeature:5:43789","ZIP Code 34731","country:us/state:fl/zip:34731","34731","174","35","333","772","995","1933","1023","821","245","13"
"publicpolygonfeature:5:43790","ZIP Code 34734","country:us/state:fl/zip:34734","34734","0","28","88","53","106","304","454","115","87","0"
"publicpolygonfeature:5:43791","ZIP Code 34736","country:us/state:fl/zip:34736","34736","31","9","467","128","1115","460","754","2984","3811","987"
"publicpolygonfeature:5:43792","ZIP Code 34739","country:us/state:fl/zip:34739","34739","0","62","35","75","122","68","86","96","79","45"
"publicpolygonfeature:5:43793","ZIP Code 34741","country:us/state:fl/zip:34741","34741","388","343","512","1177","2489","5742","2901","3616","4661","557"
"publicpolygonfeature:5:43794","ZIP Code 34743","country:us/state:fl/zip:34743","34743","8","0","157","407","438","5173","4519","2000","754","72"
"publicpolygonfeature:5:43795","ZIP Code 34744","country:us/state:fl/zip:34744","34744","235","71","305","526","2525","3749","3801","5770","5400","1708"
"publicpolygonfeature:5:43796","ZIP Code 34746","country:us/state:fl/zip:34746","34746","17","0","121","290","1105","3375","5253","8383","6256","1452"
"publicpolygonfeature:5:43797","ZIP Code 34747","country:us/state:fl/zip:34747","34747","88","20","208","174","362","967","5890","8784","5016","923"
"publicpolygonfeature:5:43798","ZIP Code 34748","country:us/state:fl/zip:34748","34748","1071","329","1839","2231","3401","3174","5649","5831","1709","667"
"publicpolygonfeature:5:43799","ZIP Code 34753","country:us/state:fl/zip:34753","34753","0","8","24","57","184","170","521","612","408","437"
"publicpolygonfeature:5:43800","ZIP Code 34759","country:us/state:fl/zip:34759","34759","0","10","22","62","618","839","1882","9503","4147","1356"
"publicpolygonfeature:5:43801","ZIP Code 34760","country:us/state:fl/zip:34760","34760","55","7","0","0","20","54","23","156","11","0"
"publicpolygonfeature:5:43802","ZIP Code 34761","country:us/state:fl/zip:34761","34761","164","190","309","469","1690","2369","3139","3534","3431","608"
"publicpolygonfeature:5:43803","ZIP Code 34762","country:us/state:fl/zip:34762","34762","32","97","0","32","83","34","10","0","0","636"
"publicpolygonfeature:5:43804","ZIP Code 34769","country:us/state:fl/zip:34769","34769","984","166","515","881","1919","2224","1426","1704","1206","379"
