city,geoid,feature label,feature id,shid,Housing Built 1939 or Earlier (2020-2024),Housing Built 1940 to 1949 (2020-2024),Housing Built 1950 to 1959 (2020-2024),Housing Built 1960 to 1969 (2020-2024),Housing Built 1970 to 1979 (2020-2024),Housing Built 1980 to 1989 (2020-2024),Housing Built 1990 to 1999 (2020-2024),Housing Built 2000 to 2009 (2020-2024),Housing Built 2010 to 2019 (2020-2024),Housing Built 2020 or Later (2020-2024),Renter Excessive Housing Costs (2020-2024),Home Owner Excessive Housing Costs (2020-2024),Median Home Rent (2020-2024),Median Household Income (2020-2024),Rental Vacancy Rate (2020-2024),Homeowner Vacancy Rate (2020-2024),Total Housing Units (2020-2024),Percent Change in Population (Difference Decennial Census 2020 - 2010),Per Capita Income (2020-2024),Income 49% and Below Poverty Level (2020-2024),Income 50% to 99% the Poverty Level (2020-2024),Income 100% to 124% the Poverty Level (2020-2024),Income 125% to 149% the Poverty Level (2020-2024),Income 150% to 184% the Poverty Level (2020-2024),Income 185% to 199% the Poverty Level (2020-2024),Income 200% and Over the Poverty Level (2020-2024),Unemployment Rate (2020-2024),Labor Force Participation Rate (2020-2024),Commute Mean Travel Time (2020-2024),Commute Transportation by Public Transit (2020-2024),No Vehicles Available (2020-2024),Total Population (2020-2024),data_source,Transit_Accessibility_Index,Expected_Rent_From_Income,Income_Rent_Mismatch_Ratio,Walkability_Premium_Index,Luxury_Vacancy_Flag,Vacancy_Quality_Score,Housing_Age_Diversity_Index,Economic_Stress_Index,Transit_Accessibility_Index_Std,Income_Rent_Mismatch_Ratio_Std,Walkability_Premium_Index_Std,Vacancy_Quality_Score_Std,Economic_Stress_Index_Std,Comprehensive_Mismatch_Score,Basic_Rent_Waste,Rent_Per_Commute_Minute,Commute_Rent_Mismatch,Comprehensive_Rent_Waste_Score,Total_Monthly_Location_Cost,Time_Value_Rent_Waste,Population_Growth_Score,New_Development_Score,Economic_Vitality_Score,Ultra_Recent_Boost,City_Boom_Score,Boom_Category,total_jobs,pct_less_than_hs,pct_hs_only,pct_some_college,pct_bachelors_plus,pct_tech_jobs,pct_service_jobs,pct_manufacturing_jobs,pct_service_occup,pct_sales_office,pct_blue_collar,pct_work_from_home,jobs_per_capita,education_income_ratio,high_tech_area,high_remote_work,jobs_per_capita_log,commercial_district,education_occupation_mismatch,remote_work_premium,service_economy_index
Philadelphia,19030,ZIP Code 19030,publicpolygonfeature:5:38595,country:us/state:pa/zip:19030,137,79,1783,901,787,571,352,12,77,9,596,811,1316.0,96603.0,0.0,0.0,4708,1.67815,42830.0,450,649,177,250,675,219,9884,4.4864947352357705,63.16144578313253,24.295154185022028,34,348,12305,original_complete_data,25.586310073510397,1623.4461,0.8106213073535364,21.835208508515517,0,3.1892684134315092,1.6989186840889052,12.859918285182628,0.78479758401661,-0.7341903471665401,0.5452425278291936,-1.033447389672436,-0.1646531129744001,0.2276155552470158,11.30871194282233,1.231072282205555,-828.4392738202782,26.23159682899207,1761.411160058737,789.0292156142926,0.0113580076442548,2.3375286205953087,16.670192313783918,0.2224646457660195,4.895028431876663,STABLE/DECLINE,7810.0,6.4573393986464005,35.84821923887718,29.224453567069787,28.46998779540664,0,0,0,13.752154759624592,23.520398391112813,22.2754261635702,14.619787408013082,0.6347013409183259,0.2947112180305646,0,1,0.4914601215587323,0,6.3418111101432535,4.162251690775721,6.876077379812296
Philadelphia,19031,ZIP Code 19031,publicpolygonfeature:5:38596,country:us/state:pa/zip:19031,359,176,632,206,161,155,67,27,250,11,242,347,1393.0,134592.0,0.0,0.0,2044,12.35169,87019.0,223,123,76,45,29,0,4048,3.5151515151515147,60.33642125792296,30.6517571884984,79,81,4929,original_complete_data,34.89746375042234,1953.9504,0.712914718817837,15.944992823038584,0,3.754421634780021,1.960902903036848,11.402384714634378,1.4713248960433227,-1.1199382542068554,-0.4807687731491561,-1.008545764585353,-0.4320017011599939,0.291621731407278,16.133692043331767,1.0328638164004018,-403.83361394176654,53.54473386183466,1954.9488817891377,982.566937344693,0.0835983609566883,16.340094198812565,8.854258460445795,0.6262774013334759,7.207480041223406,STABLE/DECLINE,3136.0,4.002163331530557,16.306111411573823,15.359653866955112,64.33207138994051,0,0,0,14.63258785942492,18.338658146964857,15.14376996805112,30.102724430549355,0.6362345303306959,0.4779784191477985,0,1,0.4923975838539314,0,9.742300906975018,19.365706170978072,7.31629392971246
Philadelphia,19032,ZIP Code 19032,publicpolygonfeature:5:38597,country:us/state:pa/zip:19032,228,257,863,785,423,67,100,17,0,0,452,578,1329.0,61306.0,2.464788732394366,0.0,2740,5.85939,26336.0,798,299,341,64,963,269,4038,10.320174075225363,67.12271973466002,26.99087515553712,59,261,6772,original_complete_data,29.86674197317421,1316.3622,1.0096005491497704,21.84886681938487,0,10.325895966212167,1.6824148647954706,21.61186524351138,1.1004011610122586,0.0513843742282354,0.5476216565491805,-0.7189952782937764,1.440675718185401,0.3899410950223543,12.974529464388176,1.1190650647853877,-668.0259673275218,36.32219705549263,1823.832711184847,851.4507667404026,0.039657358645336,0.0,35.906640695044686,0.0,8.990540249287038,STABLE/DECLINE,2561.0,10.888888888888888,36.02469135802469,31.209876543209873,21.87654320987654,0,0,0,22.770634591455828,25.3836582330983,24.76150974699295,15.5812324929972,0.3781748375664501,0.3568417970488458,0,1,0.3207600423127207,0,5.416962379218704,3.4086350589618566,11.385317295727914
Philadelphia,19033,ZIP Code 19033,publicpolygonfeature:5:38598,country:us/state:pa/zip:19033,391,245,1354,446,263,188,126,122,91,7,224,452,1483.0,114400.0,11.235955056179774,0.0,3233,-1.33168,46680.0,374,219,73,271,255,10,6976,4.452800316643578,74.0909090909091,25.656647711887356,111,95,8261,original_complete_data,37.469107635282604,1778.28,0.8339519085858245,17.97043827250998,0,41.98263666667095,1.8221918743896408,10.367516203831164,1.6609366052927166,-0.6420805853764328,-0.127958276617303,0.6758552836845352,-0.621822807796253,0.5475153907463468,14.470534301358182,1.313676900935476,-586.9871087932161,38.592865232163085,1953.3718747179348,980.9899302734904,0.0,3.878960088494184,15.095339700144208,0.2519690987340598,4.962719861457713,STABLE/DECLINE,2871.0,7.556919102212175,31.212659454222507,27.78943968997255,33.440981753592766,0,0,0,21.58137015976171,23.88302193338749,20.958570268074737,21.274781496482625,0.3475366178428761,0.2923162740698668,0,1,0.2982781980832761,0,7.008751659160791,7.114495798355485,10.790685079880856
Philadelphia,19034,ZIP Code 19034,publicpolygonfeature:5:38599,country:us/state:pa/zip:19034,544,73,347,511,452,321,181,153,135,10,284,213,1673.0,165354.0,2.950310559006211,0.0,2727,4.48197,69444.0,447,145,143,21,9,92,6361,3.785488958990536,68.54624085163007,25.795625942684765,95,72,7488,original_complete_data,21.71759964457984,2221.5798,0.7530677043426485,17.685405675853424,0,19.797476942729727,2.0553752980676983,9.718567972711485,0.4995509363998709,-0.9614133240077332,-0.1776078448050851,-0.3016610943066315,-0.7408563565948068,0.190232335410984,17.33349276065523,1.4739990166243635,-389.3871973942086,47.78029445073613,2145.9198089492206,1173.5378645047765,0.0303347433312403,6.804211494595788,8.29997116439999,0.4267463440762825,4.169548034052296,STABLE/DECLINE,17205.0,3.551506136110078,13.38787653402752,21.51357381926367,61.54704351059873,0,0,0,13.423831070889896,18.06184012066365,13.23529411764706,31.895223420647152,2.297676282051282,0.3722138170869693,0,1,1.1932180634833256,0,8.14593222934395,19.63056703650838,6.711915535444948
Philadelphia,19036,ZIP Code 19036,publicpolygonfeature:5:37142,country:us/state:pa/zip:19036,743,616,2130,911,335,308,195,90,18,10,625,1106,1333.0,79144.0,8.028616852146264,0.881704628949302,5356,-0.1763,36250.0,575,607,544,246,654,515,10518,6.584520600693107,71.03391684901533,29.49197860962567,228,228,13668,original_complete_data,39.752390138225095,1471.5528,0.905845852082236,16.7876184419416,0,27.659361617260213,1.7485101938642482,14.78314590240106,1.829286935846235,-0.3582416073889606,-0.3339925846947993,0.0447470959818462,0.1881155632417407,0.4603977353643456,14.42398182313175,1.0272438803263826,-527.2551612684663,46.942242355605885,1873.686274509804,901.3043300653596,0.0,0.6689788736851433,24.35952326405534,0.2172773114817069,6.312302209267549,STABLE/DECLINE,2890.0,4.668049792531121,39.24273858921162,33.13278008298755,22.956431535269708,0,0,0,22.796027501909855,23.025210084033613,24.40030557677617,9.084595082650369,0.2114427860696517,0.2900590257665736,0,0,0.1918120344635687,0,5.601439444129218,2.08549885040511,11.398013750954927
Philadelphia,19038,ZIP Code 19038,publicpolygonfeature:5:37916,country:us/state:pa/zip:19038,3844,1654,3376,1109,792,440,213,243,209,70,995,2008,1425.0,117683.0,6.592877767083734,0.0816743236345074,11950,2.29842,57698.0,786,581,718,1031,517,408,26385,4.0177070491987,69.05690994088785,27.791890002330454,1056,322,32296,original_complete_data,45.8635504429218,1806.8421,0.7886688050937047,16.627388478602057,0,28.660465903712897,1.7695880099872168,9.787263577870794,2.2798732544622555,-0.8208593418365754,-0.3619028959499645,0.0888574764461618,-0.7282558419823107,0.5564801380428149,14.94304597827148,1.1653170631305725,-528.2231225942878,44.20724801812005,1934.5179833760585,962.1360389316138,0.0155561016176791,2.987660449613503,13.054804369434816,0.6816871097968331,4.233612573788625,STABLE/DECLINE,8963.0,3.3603866496443557,15.42039029728251,22.328105051978845,58.89111800109429,0,0,0,14.495455604754138,19.58362464072089,15.06253398586188,23.215031315240083,0.2775266286846668,0.5004216242031074,0,1,0.2449258872500407,0,8.87049466356885,13.671591485849028,7.247727802377069
Philadelphia,19040,ZIP Code 19040,publicpolygonfeature:5:37994,country:us/state:pa/zip:19040,1100,852,2784,1300,930,307,519,260,225,104,956,1330,1710.0,114293.0,7.673368896183833,0.8139937651541392,8381,8.25263,51919.0,562,415,553,363,1382,218,18246,4.005350960025181,70.07218824048051,27.69069488817891,222,611,22078,original_complete_data,34.30747224706097,1777.3491,0.962106994062112,19.899965614965375,0,47.203885138818166,1.950774588878396,10.207945993946064,1.4278238117549564,-0.1361212970630541,0.2081443322883771,0.9059124912320388,-0.6510920275187284,0.4411414954317626,19.392527044465105,1.403490830424308,-248.7568950214618,57.10362400906001,2217.662739616613,1245.2807951721688,0.0558552183208933,5.023368029784885,19.86723685810472,1.4440839655266235,6.6377773464266205,STABLE/DECLINE,7426.0,6.21667398532087,26.071137318863308,28.241641051376952,39.47054764443887,0,0,0,17.711661341853034,20.726837060702874,18.061102236421725,16.976127320954905,0.3363529305190688,0.3453452761274869,0,1,0.2899442097780234,0,7.128815963337651,6.700570422398109,8.855830670926517
Philadelphia,19041,ZIP Code 19041,publicpolygonfeature:5:38096,country:us/state:pa/zip:19041,870,123,340,206,190,333,108,126,237,41,505,437,3388.0,151989.0,3.3057851239669422,0.0,2574,6.99138,111985.0,184,78,96,6,56,0,4981,6.052631578947368,47.71300448430493,29.56145412579342,272,313,6308,original_complete_data,32.797054984753146,2105.3043,1.6092685508693447,22.28168155653985,0,36.77947232806927,2.004674743064221,13.725225806220552,1.3164581594296,2.418887733511478,0.6230132610783488,0.4465948942326645,-0.0059337882395005,1.1708388517117234,49.51031084746697,2.604743314464181,1531.5440507681649,87.34994337485844,3929.959992306213,2957.5780478617685,0.0473188615343626,13.820736702092637,37.37037617575579,1.8536607805803,13.690742734161793,STABLE/DECLINE,3964.0,2.9257849666983824,8.420551855375832,8.991436726926736,79.66222645099906,0,0,0,12.637045585689554,10.905943450663589,11.136757068667052,28.829568788501025,0.6284083703233989,0.5241315256432969,0,1,0.4876030778468134,0,8.871788635339191,22.966276373142232,6.318522792844777
Philadelphia,19043,ZIP Code 19043,publicpolygonfeature:5:38101,country:us/state:pa/zip:19043,425,43,237,206,12,11,250,47,45,0,215,110,1154.0,95377.0,0.0,0.0,1276,-1.27038,43210.0,183,194,131,144,34,91,2471,9.112426035502958,61.88209447088978,20.66618911174785,280,206,3317,original_complete_data,36.52701529028289,1612.7799,0.7155347112150889,29.954417087982225,0,2.122641206942768,1.7312974133003332,16.459846460642215,1.5914745227478495,-1.109594462668865,1.9595200691546943,-1.0804448229353814,0.4956649302776957,0.8033620286780117,7.515363368987157,1.269090909090909,-1188.8862742514311,11.834654586636468,1532.8801337153773,560.4981892709328,0.0,4.512911109930397,13.032243085652226,0.0,4.6119341043921755,STABLE/DECLINE,1300.0,4.925690021231423,43.65180467091295,25.35031847133758,26.072186836518046,0,0,0,16.475644699140403,17.765042979942695,20.41547277936963,4.579630895420369,0.3919204100090443,0.273359267292094,0,0,0.3306843835599365,0,5.322760206595733,1.1940099234769028,8.237822349570202
Philadelphia,19044,ZIP Code 19044,publicpolygonfeature:5:38581,country:us/state:pa/zip:19044,248,189,685,838,1791,2432,380,272,400,63,1206,851,1480.0,88173.0,8.426270136307311,0.4176904176904176,7298,3.01275,50382.0,394,642,320,537,1829,493,13046,2.7505093535839973,77.73378446476136,24.197424892703864,156,185,17279,original_complete_data,9.585577063393576,1550.1051,0.954773969842432,18.489152737773995,0,37.00663020768537,1.8677503155087307,10.067213448000846,-0.3949638725181471,-0.1650722489631294,-0.0376038767514299,0.4566038619605307,-0.6769059423612288,0.1126587487177756,13.476880245329498,1.3900802992679542,-669.7835206022683,33.11155152887883,1923.6194563662375,951.237511921793,0.020390809838351,8.118430403500378,24.222131965273704,1.004596446405171,8.59865854045248,STABLE/DECLINE,28294.0,8.510090167453843,24.010304851867755,21.811936453413484,45.66766852726492,0,0,0,19.141630901287556,21.397915389331697,20.52728387492336,21.177266576454667,1.6374790207766654,0.5179325703703506,0,1,0.9698235445626506,0,9.374331957650702,9.671163903270582,9.570815450643778
Philadelphia,19046,ZIP Code 19046,publicpolygonfeature:5:38587,country:us/state:pa/zip:19046,2782,637,1930,1276,912,277,202,328,159,22,1181,1230,1447.0,109818.0,4.383057090239411,2.3796448837634996,8525,5.87064,70919.0,880,467,327,212,452,747,15933,5.894879488916852,63.39981589444616,30.335560504825537,623,688,19640,original_complete_data,38.915759924984016,1738.4166,0.832366649052937,18.99389108054368,0,20.495110871129388,1.833969192055617,12.838521553958,1.7676007569486674,-0.6483392272560806,0.0503160350772059,-0.270922140909913,-0.1685778156366786,0.4760982243006541,16.894125495380777,1.0840862370462,-367.1245721500097,54.849943374858434,2003.151942588468,1030.7699981440237,0.0397335005790116,2.7169342412644766,15.60413174162208,0.3003192981409089,4.760051862801608,STABLE/DECLINE,13581.0,2.6222383194494747,17.78341180731619,16.037667511771097,63.55668236146323,0,0,0,16.005939123979214,16.570155902004455,10.155902004454342,28.90319856434076,0.6914969450101833,0.5787455823404473,0,1,0.5256139031537456,0,6.454754377912524,18.369914103841054,8.002969561989607
