"feature id","feature label","shid","geoid","Education 9th to 12th Grade, No Diploma (2020-2024)","Education Less than 9th Grade (2020-2024)","Education High School Degree (2020-2024)","Education Some College No Degree (2020-2024)","Education Associate Degree (2020-2024)","Education Bachelor's Degree (2020-2024)","Education Graduate Degree (2020-2024)","Blue-collar Employment (2020-2024)","Employment Entropy Index (2023)","Employment Access Index (2016)","Management, Business, Science, and Arts Occupations (2020-2024)","Service Occupations (2020-2024)","Sales and Office Occupations (2020-2024)","Natural Resources, Construction, and Maintenance Occupations (2020-2024)","Production, Transportation, and Material Moving Occupations (2020-2024)","Military Occupations (2020-2024)"
"publicpolygonfeature:5:63723","ZIP Code 94940","country:us/state:ca/zip:94940","94940","0","0","0","0","0","105","11","0","0.33294372412769674","4391","16","0","60","0","0","0"
"publicpolygonfeature:5:63725","ZIP Code 94937","country:us/state:ca/zip:94937","94937","0","0","89","227","74","294","244","17","0.6135675747318823","3600","284","90","96","17","0","0"
"publicpolygonfeature:5:63726","ZIP Code 94938","country:us/state:ca/zip:94938","94938","0","0","0","58","0","139","169","0","0.8182331599930792","6036.6882","260","0","0","0","0","0"
"publicpolygonfeature:5:63727","ZIP Code 94939","country:us/state:ca/zip:94939","94939","15","195","247","957","185","1842","2019","221","0.9058173648681929","27770.3611","2223","454","923","43","178","0"
"publicpolygonfeature:5:63729","ZIP Code 94941","country:us/state:ca/zip:94941","94941","219","119","1621","2639","979","8943","8596","1052","0.9370228022802412","22937.7699","10785","1539","2253","475","577","0"
"publicpolygonfeature:5:63730","ZIP Code 94945","country:us/state:ca/zip:94945","94945","342","949","2066","2149","726","4429","2342","796","0.9449796544567364","13085.6058","4485","1510","1700","421","375","0"
"publicpolygonfeature:5:63732","ZIP Code 94946","country:us/state:ca/zip:94946","94946","9","10","93","118","21","164","165","31","0.6189413837321949","4391.6375","260","51","66","19","12","0"
"publicpolygonfeature:5:63733","ZIP Code 94947","country:us/state:ca/zip:94947","94947","827","1379","2233","3374","1533","5348","2965","1517","0.8603868783059564","12734.6421","5411","2475","2069","732","785","18"
"publicpolygonfeature:5:63734","ZIP Code 94949","country:us/state:ca/zip:94949","94949","529","536","1805","2562","899","3725","2778","944","0.8057183906575058","14155.4738","4014","1513","1990","468","476","23"
"publicpolygonfeature:5:63735","ZIP Code 94950","country:us/state:ca/zip:94950","94950","0","0","3","2","0","9","8","0","0.24986526427391179","3600","17","0","3","0","0","0"
"publicpolygonfeature:5:63736","ZIP Code 94952","country:us/state:ca/zip:94952","94952","802","1349","4227","4927","2353","7433","4573","3393","0.918702030361266","13638.9286","8702","2463","2923","1792","1601","123"
"publicpolygonfeature:5:63739","ZIP Code 94960","country:us/state:ca/zip:94960","94960","120","57","752","1493","771","4856","3475","340","0.9077627366234025","19322.6199","5622","727","1344","153","187","0"
"publicpolygonfeature:5:63740","ZIP Code 94963","country:us/state:ca/zip:94963","94963","0","0","0","5","65","133","273","0","0.7587197229718862","6133","322","0","32","0","0","0"
"publicpolygonfeature:5:63741","ZIP Code 94964","country:us/state:ca/zip:94964","94964","349","166","604","612","295","122","31","95","0.029883443960750326","31581","18","68","0","95","0","0"
"publicpolygonfeature:5:63743","ZIP Code 94956","country:us/state:ca/zip:94956","94956","8","25","43","204","121","428","188","76","0.8689901492059214","3998.4962","255","124","101","51","25","0"
"publicpolygonfeature:5:63744","ZIP Code 94957","country:us/state:ca/zip:94957","94957","0","0","55","158","33","568","597","30","0.8633077070871178","22583.2158","794","72","109","19","11","0"
"publicpolygonfeature:5:63745","ZIP Code 94965","country:us/state:ca/zip:94965","94965","176","225","1154","1245","456","3098","3420","293","0.8679352755589845","27684.7892","4180","592","1354","114","179","0"
"publicpolygonfeature:5:63746","ZIP Code 94970","country:us/state:ca/zip:94970","94970","0","0","59","0","23","132","41","0","0.8292734908781734","6595","49","0","36","0","0","0"
"publicpolygonfeature:5:63747","ZIP Code 94971","country:us/state:ca/zip:94971","94971","0","0","19","55","0","33","93","13","0.5950502156675466","4391","75","49","0","4","9","0"
"publicpolygonfeature:5:63749","ZIP Code 94973","country:us/state:ca/zip:94973","94973","55","44","93","271","114","258","564","23","0.686575456182925","6133","740","284","199","23","0","0"
"publicpolygonfeature:5:63826","ZIP Code 95219","country:us/state:ca/zip:95219","95219","843","998","4299","4653","2210","5252","3073","2979","0.8691884435656655","15869.9803","6565","2462","3409","987","1992","12"
"publicpolygonfeature:5:63933","ZIP Code 95391","country:us/state:ca/zip:95391","95391","340","578","2178","2970","837","4231","3879","1757","0.7092814342234934","12650.4697","6733","1805","1561","875","882","0"
"publicpolygonfeature:5:6701475","ZIP Code 94188","country:us/state:ca/zip:94188","94188","0","0","0","0","0","0","0","0","0.7101492301675296",,"0","0","0","0","0","0"
"publicpolygonfeature:5:6702208","ZIP Code 94018","country:us/state:ca/zip:94018","94018","238","0","456","371","232","868","792","306","0.927936757661025","10136","1431","259","227","92","214","0"
"publicpolygonfeature:22:928646","San Francisco-Oakland-Fremont, CA Area","country:us/state:ca/msa:san_francisco-oakland-fremont","41860","147548","210531","504810","516996","224242","1023544","775234","325964","0.9383896984723852","76782.8841","1345916","351422","401292","136729","189235","2157"
