"feature id","feature label","shid","geoid","Education 9th to 12th Grade, No Diploma (2020-2024)","Education Less than 9th Grade (2020-2024)","Education High School Degree (2020-2024)","Education Some College No Degree (2020-2024)","Education Associate Degree (2020-2024)","Education Bachelor's Degree (2020-2024)","Education Graduate Degree (2020-2024)","Blue-collar Employment (2020-2024)","Employment Entropy Index (2023)","Employment Access Index (2016)","Management, Business, Science, and Arts Occupations (2020-2024)","Service Occupations (2020-2024)","Sales and Office Occupations (2020-2024)","Natural Resources, Construction, and Maintenance Occupations (2020-2024)","Production, Transportation, and Material Moving Occupations (2020-2024)","Military Occupations (2020-2024)"
"publicpolygonfeature:5:41468","ZIP Code 28134","country:us/state:nc/zip:28134","28134","235","461","1555","1888","596","2932","1129","1439","0.8065345799494794","27036.6975","3310","830","1277","434","1005","7"
"publicpolygonfeature:5:41470","ZIP Code 28135","country:us/state:nc/zip:28135","28135","501","189","1625","675","272","187","55","734","0.7281539625918302","3051.3771","306","294","243","249","485","15"
"publicpolygonfeature:5:41471","ZIP Code 28204","country:us/state:nc/zip:28204","28204","240","127","540","621","143","3565","2273","245","0.7544265854641123","126546.4727","5094","445","908","95","150","7"
"publicpolygonfeature:5:41472","ZIP Code 28205","country:us/state:nc/zip:28205","28205","2436","3400","6275","5451","2075","11942","6052","6381","0.8921725798596427","46929.895","14971","4444","5409","3116","3265","107"
"publicpolygonfeature:5:41473","ZIP Code 28137","country:us/state:nc/zip:28137","28137","79","49","717","366","183","274","140","339","0.8386332165273873","3593.382","380","132","303","176","163","0"
"publicpolygonfeature:5:41474","ZIP Code 28138","country:us/state:nc/zip:28138","28138","533","204","2764","1474","878","1119","304","1808","0.7680163046671578","4689.8732","1572","807","848","629","1179","0"
"publicpolygonfeature:5:41476","ZIP Code 28146","country:us/state:nc/zip:28146","28146","1352","392","6576","5021","2490","4179","1652","3905","0.8093048512336107","6731.0926","5877","1891","2585","1564","2341","0"
"publicpolygonfeature:5:41477","ZIP Code 28147","country:us/state:nc/zip:28147","28147","1309","923","6520","3599","1834","2289","1343","3866","0.7915444313558733","7858.562","3603","1690","2622","1280","2586","0"
"publicpolygonfeature:5:41480","ZIP Code 28159","country:us/state:nc/zip:28159","28159","328","110","689","418","220","400","222","587","0.894918701740446","6287.4332","403","153","221","199","388","0"
"publicpolygonfeature:5:41482","ZIP Code 28206","country:us/state:nc/zip:28206","28206","1175","633","2264","2373","928","2341","1446","2374","0.6899334705861291","60585.2124","3175","1078","2230","652","1722","13"
"publicpolygonfeature:5:41483","ZIP Code 28164","country:us/state:nc/zip:28164","28164","878","413","3684","2517","1713","1960","1032","1892","0.6772757376991698","6593.9838","3349","1358","1690","630","1262","26"
"publicpolygonfeature:5:41484","ZIP Code 28166","country:us/state:nc/zip:28166","28166","363","241","2284","2024","1114","1696","582","1748","0.763396666725713","5997.9796","2132","983","1451","475","1273","0"
"publicpolygonfeature:5:41485","ZIP Code 28207","country:us/state:nc/zip:28207","28207","50","79","239","484","85","3355","2741","224","0.7085761790685597","90340.8995","2930","291","844","55","169","0"
"publicpolygonfeature:5:41486","ZIP Code 28208","country:us/state:nc/zip:28208","28208","3208","1483","8668","4469","2312","4909","2476","5032","0.695215830902461","44753.3281","6915","3416","4252","1607","3425","242"
"publicpolygonfeature:5:41488","ZIP Code 28168","country:us/state:nc/zip:28168","28168","943","250","2742","1592","1246","814","313","1749","0.6615966316180052","3277.952","1728","614","822","759","990","0"
"publicpolygonfeature:5:41490","ZIP Code 28170","country:us/state:nc/zip:28170","28170","732","302","3066","1299","743","644","274","1884","0.87686377769024","4576.9993","865","699","588","204","1680","0"
"publicpolygonfeature:5:41491","ZIP Code 28173","country:us/state:nc/zip:28173","28173","1022","795","5987","6143","3254","14526","9403","3857","0.9051305236157355","6510.712","19509","3288","6114","1640","2217","12"
"publicpolygonfeature:5:41492","ZIP Code 28174","country:us/state:nc/zip:28174","28174","642","595","1494","984","504","769","203","1346","0.6217196644956201","5056.6455","1219","1160","713","648","698","20"
"publicpolygonfeature:5:41493","ZIP Code 28202","country:us/state:nc/zip:28202","28202","510","122","1435","1863","711","5070","3329","1464","0.6878793678628334","136299.706","8445","1120","1931","500","964","14"
"publicpolygonfeature:5:41494","ZIP Code 28203","country:us/state:nc/zip:28203","28203","201","154","651","1127","380","6853","3951","884","0.7908095545349385","107044.5553","10577","882","2264","182","702","101"
"publicpolygonfeature:5:41495","ZIP Code 28214","country:us/state:nc/zip:28214","28214","1269","1628","7250","6089","2497","7353","3653","5750","0.4748885376849452","16403.1808","9047","3391","5099","1875","3875","88"
"publicpolygonfeature:5:41496","ZIP Code 28215","country:us/state:nc/zip:28215","28215","3334","3819","9339","8910","3733","9563","4306","9217","0.9229388740167122","16713.7868","12051","6120","6346","3721","5496","54"
"publicpolygonfeature:5:41497","ZIP Code 28216","country:us/state:nc/zip:28216","28216","2731","1938","8327","8900","4499","8737","4518","7871","0.8410393917847527","26114.6886","12539","5176","5980","2551","5320","0"
"publicpolygonfeature:5:41498","ZIP Code 28217","country:us/state:nc/zip:28217","28217","1753","2132","4505","3221","1298","5512","2268","5245","0.8163281709135684","42129.0851","6371","2859","3543","2401","2844","0"
"publicpolygonfeature:5:41499","ZIP Code 28227","country:us/state:nc/zip:28227","28227","2480","2607","9538","9636","4318","8773","4354","7199","0.9185281505758","14243.6001","12415","4207","6796","2729","4470","2"
"publicpolygonfeature:5:41500","ZIP Code 28244","country:us/state:nc/zip:28244","28244","0","0","0","0","0","0","0","0","0.33370105646257286",,"0","0","0","0","0","0"
"publicpolygonfeature:5:41501","ZIP Code 28262","country:us/state:nc/zip:28262","28262","955","1232","4530","5859","4781","9483","5416","5626","0.7368053057196079","28595.5132","13677","4542","5809","1463","4163","95"
"publicpolygonfeature:5:41502","ZIP Code 28269","country:us/state:nc/zip:28269","28269","1583","2141","8112","11257","5708","15628","8506","8443","0.7498210102375353","23075.7533","20311","5821","9821","2254","6189","96"
"publicpolygonfeature:5:41696","ZIP Code 28660","country:us/state:nc/zip:28660","28660","162","127","692","378","146","89","1","672","0.4114982338029106","2987.7567","203","161","186","141","531","0"
"publicpolygonfeature:5:41741","ZIP Code 28677","country:us/state:nc/zip:28677","28677","1876","1897","8591","5409","2987","4149","2088","5927","0.9065658638658419","10079.2606","5511","3061","4247","2008","3919","21"
"publicpolygonfeature:5:41750","ZIP Code 28625","country:us/state:nc/zip:28625","28625","2111","777","9334","6193","3538","4155","1948","5667","0.8063882982402897","7312.5553","6075","3233","4082","1836","3831","0"
"publicpolygonfeature:5:41754","ZIP Code 28634","country:us/state:nc/zip:28634","28634","358","196","1395","956","435","496","94","1112","0.736530201597097","3262.6306","608","317","641","524","588","0"
"publicpolygonfeature:5:41764","ZIP Code 28678","country:us/state:nc/zip:28678","28678","289","145","1609","559","293","383","243","993","0.5929590498760574","4192.7527","526","308","744","257","736","0"
"publicpolygonfeature:5:41770","ZIP Code 28650","country:us/state:nc/zip:28650","28650","559","239","3281","1987","1402","1279","338","2204","0.7212246323199818","5266.622","1667","861","1150","780","1424","0"
"publicpolygonfeature:5:41800","ZIP Code 28689","country:us/state:nc/zip:28689","28689","99","105","829","166","45","147","81","383","0.3304532073196821","2564.0846","254","124","269","235","148","0"
"publicpolygonfeature:5:41923","ZIP Code 29014","country:us/state:sc/zip:29014","29014","123","50","450","147","116","129","64","325","0.3554180686495921","2294.3271","157","194","139","205","120","0"
"publicpolygonfeature:5:41935","ZIP Code 29031","country:us/state:sc/zip:29031","29031","165","44","563","186","195","70","10","417","0.3108980684800898","2017.6357","115","230","189","27","390","0"
"publicpolygonfeature:5:41955","ZIP Code 29055","country:us/state:sc/zip:29055","29055","301","106","1131","597","245","137","199","486","0.4973164553168443","2457.549","405","278","355","179","307","0"
"publicpolygonfeature:5:41959","ZIP Code 29058","country:us/state:sc/zip:29058","29058","295","141","1339","838","458","358","102","789","0.47536618784020546","2389.5062","626","404","338","370","419","0"
"publicpolygonfeature:5:41963","ZIP Code 29067","country:us/state:sc/zip:29067","29067","942","299","3781","1223","720","605","221","1452","0.7197624530956666","2244.5597","1384","770","577","498","954","0"
"publicpolygonfeature:5:41980","ZIP Code 29717","country:us/state:sc/zip:29717","29717","124","20","539","210","129","126","28","307","0.39767944010125383","2522.2937","237","27","148","190","117","0"
"publicpolygonfeature:5:41988","ZIP Code 29726","country:us/state:sc/zip:29726","29726","73","2","685","291","129","169","111","406","0.594462877656292","3231.7594","332","104","193","219","187","0"
"publicpolygonfeature:5:42270","ZIP Code 29707","country:us/state:sc/zip:29707","29707","1144","146","4081","4480","2770","9035","5891","1924","0.8666769245449645","10040.7886","9709","1818","3877","607","1317","0"
"publicpolygonfeature:5:42272","ZIP Code 29708","country:us/state:sc/zip:29708","29708","753","348","3332","4719","2183","11047","7182","3234","0.857119681077768","14023.4661","13518","2358","3535","1288","1946","28"
"publicpolygonfeature:5:42292","ZIP Code 29714","country:us/state:sc/zip:29714","29714","152","71","788","376","239","141","235","435","0.44503825613658127","2788.1718","490","163","95","111","324","1"
"publicpolygonfeature:5:42300","ZIP Code 29704","country:us/state:sc/zip:29704","29704","131","38","738","559","213","447","94","409","0.29108123647851253","4271.1628","519","94","439","185","224","31"
"publicpolygonfeature:5:42304","ZIP Code 29706","country:us/state:sc/zip:29706","29706","1656","415","5629","2825","884","1254","638","3266","0.8545450552607602","3713.8112","1398","1951","1710","956","2310","0"
"publicpolygonfeature:5:42307","ZIP Code 29715","country:us/state:sc/zip:29715","29715","680","535","5833","4646","3102","10144","6082","3644","0.8368995693190132","17689.5568","12594","2448","4695","1232","2412","11"
"publicpolygonfeature:5:42309","ZIP Code 29710","country:us/state:sc/zip:29710","29710","1117","643","6926","6002","2762","6414","3784","4560","0.8943495621169639","6587.7085","9442","2057","4248","1529","3031","0"
"publicpolygonfeature:5:42310","ZIP Code 29712","country:us/state:sc/zip:29712","29712","219","32","590","479","111","222","23","367","0.38802662162733226","3016.9321","431","78","282","164","203","49"
"publicpolygonfeature:5:42313","ZIP Code 29720","country:us/state:sc/zip:29720","29720","2833","2057","12816","7518","4010","6713","2537","6979","0.9739120280019905","5352.0599","8076","3931","5984","2198","4781","100"
"publicpolygonfeature:5:42314","ZIP Code 29724","country:us/state:sc/zip:29724","29724","0","0","0","0","0","0","0","0","0","3658","0","0","0","0","0","0"
"publicpolygonfeature:5:42318","ZIP Code 29729","country:us/state:sc/zip:29729","29729","162","49","654","332","149","116","115","325","0.3253672577685304","3348.2771","269","286","142","98","227","1"
"publicpolygonfeature:5:42319","ZIP Code 29730","country:us/state:sc/zip:29730","29730","3209","1172","11407","8583","4305","6480","4302","8292","0.9384931295430081","12530.208","10728","4437","6246","2602","5690","44"
"publicpolygonfeature:5:42320","ZIP Code 29732","country:us/state:sc/zip:29732","29732","1793","609","8052","9146","4508","10322","6112","6822","0.8440174815122019","12563.7527","12772","4647","6659","2798","4024","0"
"publicpolygonfeature:5:42321","ZIP Code 29733","country:us/state:sc/zip:29733","29733","0","0","0","7","0","12","14","84","0.42536275402975643",,"26","282","251","6","78","0"
"publicpolygonfeature:5:42324","ZIP Code 29742","country:us/state:sc/zip:29742","29742","190","128","901","366","253","115","80","264","0.6316530278329128","2541.6999","253","227","192","131","133","0"
"publicpolygonfeature:5:42325","ZIP Code 29743","country:us/state:sc/zip:29743","29743","155","63","453","211","85","391","25","290","0.331661582616538","2753.7923","519","245","35","109","181","0"
"publicpolygonfeature:5:42327","ZIP Code 29745","country:us/state:sc/zip:29745","29745","1921","1163","7460","5009","3562","3462","1901","5387","0.7792229618593187","6006.0543","5986","2183","3440","1696","3691","0"
"publicpolygonfeature:5:6671518","ZIP Code 28274","country:us/state:nc/zip:28274","28274","0","0","0","0","8","0","0","0","0.19825360664817826","60191","95","152","43","0","0","0"
"publicpolygonfeature:5:6676902","ZIP Code 28041","country:us/state:nc/zip:28041","28041","0","0","3","0","0","0","0","0","0.4318206147461073","4654.1538","0","0","0","0","0","0"
"publicpolygonfeature:5:6678389","ZIP Code 28223","country:us/state:nc/zip:28223","28223","0","0","0","8","3","13","0","59","0.24265396510565584","32757.2629","457","640","375","0","59","0"
"publicpolygonfeature:22:928125","Charlotte-Concord-Gastonia, NC-SC Area","country:us/state:nc/msa:charlotte-concord-gastonia","16740","101024","76355","426103","354426","178885","486353","267675","310214","0.9315621944895526","19772.6575","630685","192258","288337","115803","194411","1929"
