"feature id","feature label","shid","geoid","Education 9th to 12th Grade, No Diploma (2020-2024)","Education Less than 9th Grade (2020-2024)","Education High School Degree (2020-2024)","Education Some College No Degree (2020-2024)","Education Associate Degree (2020-2024)","Education Bachelor's Degree (2020-2024)","Education Graduate Degree (2020-2024)","Blue-collar Employment (2020-2024)","Employment Entropy Index (2023)","Employment Access Index (2016)","Management, Business, Science, and Arts Occupations (2020-2024)","Service Occupations (2020-2024)","Sales and Office Occupations (2020-2024)","Natural Resources, Construction, and Maintenance Occupations (2020-2024)","Production, Transportation, and Material Moving Occupations (2020-2024)","Military Occupations (2020-2024)"
"publicpolygonfeature:5:60408","ZIP Code 80023","country:us/state:co/zip:80023","80023","115","165","1825","2220","1270","6848","5734","763","0.8148380729357069","12712.217","9705","1209","2466","187","576","11"
"publicpolygonfeature:5:60409","ZIP Code 80024","country:us/state:co/zip:80024","80024","0","25","0","8","0","0","0","0","0","23937","0","0","8","0","0","0"
"publicpolygonfeature:5:60411","ZIP Code 80109","country:us/state:co/zip:80109","80109","260","48","2219","3977","1193","7157","3397","1069","0.8594855178751916","10764.9819","8732","2164","3326","472","597","48"
"publicpolygonfeature:5:60414","ZIP Code 80030","country:us/state:co/zip:80030","80030","920","588","3118","2108","703","1942","774","2494","0.8137026775902777","34989.7751","2385","915","1869","1147","1347","0"
"publicpolygonfeature:5:60415","ZIP Code 80031","country:us/state:co/zip:80031","80031","1750","955","5120","4715","2058","7923","4076","4218","0.9682480663211541","28834.4654","9115","2497","4130","1913","2305","30"
"publicpolygonfeature:5:60416","ZIP Code 80033","country:us/state:co/zip:80033","80033","533","346","4286","4574","1383","6522","3316","2418","0.8482410444254643","38764.4644","7386","2094","3252","1028","1390","9"
"publicpolygonfeature:5:60417","ZIP Code 80101","country:us/state:co/zip:80101","80101","10","2","111","46","38","51","66","27","0.41093612597110785","1194.6335","81","15","19","19","8","0"
"publicpolygonfeature:5:60418","ZIP Code 80102","country:us/state:co/zip:80102","80102","290","89","1327","988","456","886","373","1040","0.9311557676782597","3141.0894","1269","392","818","613","427","9"
"publicpolygonfeature:5:60419","ZIP Code 80110","country:us/state:co/zip:80110","80110","965","797","3823","3414","1491","4515","2617","2745","0.7733576421764541","51033.069","6641","2195","2510","1284","1461","10"
"publicpolygonfeature:5:60420","ZIP Code 80103","country:us/state:co/zip:80103","80103","41","52","662","510","206","177","165","412","0.7875230137613485","1911.6795","519","214","205","242","170","16"
"publicpolygonfeature:5:60421","ZIP Code 80104","country:us/state:co/zip:80104","80104","673","179","3616","5108","2240","9689","5242","3038","0.8722397661342041","10876.6679","11320","2929","4758","1162","1876","69"
"publicpolygonfeature:5:60422","ZIP Code 80105","country:us/state:co/zip:80105","80105","134","18","685","298","118","209","76","475","0.722020215635903","1779.9102","387","162","146","289","186","0"
"publicpolygonfeature:5:60423","ZIP Code 80106","country:us/state:co/zip:80106","80106","8","53","828","615","727","747","402","413","0.7275889175467217","2602.8728","1233","218","623","203","210","0"
"publicpolygonfeature:5:60424","ZIP Code 80107","country:us/state:co/zip:80107","80107","145","70","2497","2635","1225","2877","1209","1783","0.9004953951341212","3211.4513","3571","1063","1402","1003","780","0"
"publicpolygonfeature:5:60425","ZIP Code 80108","country:us/state:co/zip:80108","80108","214","280","2693","3673","1701","10507","5773","1542","0.8339350494370178","10229.9007","12004","2131","4053","728","814","26"
"publicpolygonfeature:5:60426","ZIP Code 80111","country:us/state:co/zip:80111","80111","115","279","1627","2334","1117","9192","7687","1315","0.7960800172864299","73555.0204","11231","1846","3388","341","974","4"
"publicpolygonfeature:5:60427","ZIP Code 80112","country:us/state:co/zip:80112","80112","425","467","3184","4284","1619","9638","6981","1721","0.8032960600671442","61575.485","13281","2421","4134","462","1259","26"
"publicpolygonfeature:5:60428","ZIP Code 80113","country:us/state:co/zip:80113","80113","567","153","3313","2383","729","6137","4323","1518","0.7572168798361093","51211.2281","7203","1519","2778","629","889","11"
"publicpolygonfeature:5:60429","ZIP Code 80116","country:us/state:co/zip:80116","80116","43","20","415","825","205","1570","768","406","0.781247060618654","3768.1908","1249","170","504","186","220","5"
"publicpolygonfeature:5:60430","ZIP Code 80120","country:us/state:co/zip:80120","80120","516","482","3603","4771","1406","7198","4568","2608","0.9623832637701766","37987.8982","8272","2243","2786","1176","1432","13"
"publicpolygonfeature:5:60431","ZIP Code 80121","country:us/state:co/zip:80121","80121","84","66","1601","2035","832","5283","3746","965","0.848093523086164","41241.7155","5467","884","1496","342","623","11"
"publicpolygonfeature:5:60432","ZIP Code 80122","country:us/state:co/zip:80122","80122","562","165","2813","3557","1571","9470","5698","1925","0.8778497579989468","35563.1827","10564","1607","3311","861","1064","8"
"publicpolygonfeature:5:60433","ZIP Code 80117","country:us/state:co/zip:80117","80117","52","65","687","428","308","364","130","375","0.7921971954974549","2118.2422","619","142","361","237","138","0"
"publicpolygonfeature:5:60434","ZIP Code 80118","country:us/state:co/zip:80118","80118","34","0","507","777","326","1633","1131","363","0.823708416267265","4269.2379","1761","490","590","258","105","0"
"publicpolygonfeature:5:60435","ZIP Code 80125","country:us/state:co/zip:80125","80125","125","64","1216","1673","809","4937","2251","778","0.6697116685382316","7773.9062","5486","807","1471","385","393","0"
"publicpolygonfeature:5:60436","ZIP Code 80126","country:us/state:co/zip:80126","80126","195","126","2488","4255","2161","12470","8452","1830","0.9082705196339282","22609.1052","14834","2408","5176","780","1050","27"
"publicpolygonfeature:5:60437","ZIP Code 80134","country:us/state:co/zip:80134","80134","771","660","6033","9745","3908","20839","11734","5149","0.8852773190942052","20512.7964","25630","5254","9617","1899","3250","38"
"publicpolygonfeature:5:60438","ZIP Code 80135","country:us/state:co/zip:80135","80135","24","17","430","790","353","1140","588","330","0.6023615821338314","5960.7534","1180","110","330","192","138","0"
"publicpolygonfeature:5:60439","ZIP Code 80127","country:us/state:co/zip:80127","80127","556","218","4071","5467","2387","11910","7375","2580","0.8090556125960963","16715.1731","14111","2797","4383","1426","1154","44"
"publicpolygonfeature:5:60440","ZIP Code 80128","country:us/state:co/zip:80128","80128","635","277","4468","5187","2388","8970","3995","2731","0.6276213220909075","19150.2276","10568","2579","4411","1321","1410","14"
"publicpolygonfeature:5:60441","ZIP Code 80129","country:us/state:co/zip:80129","80129","64","92","2133","3688","1724","8602","5251","1386","0.876362650161201","25153.3782","10371","1567","3072","388","998","23"
"publicpolygonfeature:5:60442","ZIP Code 80130","country:us/state:co/zip:80130","80130","122","109","1723","2191","942","7412","4353","870","0.8433426459894717","25466.8924","9020","1059","2297","333","537","183"
"publicpolygonfeature:5:60443","ZIP Code 80131","country:us/state:co/zip:80131","80131","4","0","36","95","12","55","0","19","0","6231","91","17","34","8","11","0"
"publicpolygonfeature:5:60446","ZIP Code 80204","country:us/state:co/zip:80204","80204","1723","1187","3995","4371","1013","10032","4656","3281","0.8413705820559672","112902.5528","11939","3125","3860","1724","1557","12"
"publicpolygonfeature:5:60447","ZIP Code 80136","country:us/state:co/zip:80136","80136","165","23","1479","931","339","490","290","734","0.818675955643559","1921.6024","1079","438","479","287","447","45"
"publicpolygonfeature:5:60448","ZIP Code 80137","country:us/state:co/zip:80137","80137","61","32","291","285","183","239","62","194","0.6554253330320603","4877.2158","301","111","206","162","32","0"
"publicpolygonfeature:5:60449","ZIP Code 80138","country:us/state:co/zip:80138","80138","370","936","3900","4861","2033","8283","4340","2395","0.8617390913382377","11900.0698","10195","2515","4420","1092","1303","0"
"publicpolygonfeature:5:60450","ZIP Code 80202","country:us/state:co/zip:80202","80202","387","143","835","2113","638","7531","4111","1100","0.7566450256639338","193995.3928","10037","958","2025","634","466","0"
"publicpolygonfeature:5:60451","ZIP Code 80203","country:us/state:co/zip:80203","80203","371","283","1710","2880","837","9425","4665","1514","0.8802396010743724","191301.7438","11075","1994","2938","679","835","11"
"publicpolygonfeature:5:60452","ZIP Code 80205","country:us/state:co/zip:80205","80205","876","595","3238","4107","981","11187","6135","1988","0.8524313569547249","144668.5348","14277","2414","3426","543","1445","13"
"publicpolygonfeature:5:60453","ZIP Code 80223","country:us/state:co/zip:80223","80223","1027","971","2605","1867","669","4610","2556","1628","0.6931959237246482","87053.5981","6233","2038","1505","976","652","11"
"publicpolygonfeature:5:60454","ZIP Code 80224","country:us/state:co/zip:80224","80224","404","234","2076","2007","970","4840","3714","941","0.7599042177505712","58333.2432","6206","1145","1746","161","780","10"
"publicpolygonfeature:5:60455","ZIP Code 80226","country:us/state:co/zip:80226","80226","1538","514","5832","4891","1356","5913","2608","3693","0.8969607489868766","43919.0619","7413","3459","3315","2009","1684","51"
"publicpolygonfeature:5:60456","ZIP Code 80227","country:us/state:co/zip:80227","80227","1143","545","5757","5245","2001","7126","4239","2590","0.8575973422735231","30383.2584","8954","3180","4549","1441","1149","0"
"publicpolygonfeature:5:60457","ZIP Code 80228","country:us/state:co/zip:80228","80228","423","264","3537","4192","2036","9532","6133","2568","0.8843374211382948","31826.4689","12310","2397","3774","1079","1489","57"
"publicpolygonfeature:5:60458","ZIP Code 80229","country:us/state:co/zip:80229","80229","3847","3659","11373","6636","3093","5568","1963","9934","0.8475696134570961","28865.3834","8477","5267","6611","4483","5451","0"
"publicpolygonfeature:5:60459","ZIP Code 80230","country:us/state:co/zip:80230","80230","12","22","964","841","462","3117","2808","460","0.8099908896126539","48173.3119","4147","311","1019","156","304","11"
"publicpolygonfeature:5:60467","ZIP Code 80401","country:us/state:co/zip:80401","80401","776","219","5152","5054","1755","9871","8153","2853","0.8900934946428829","35022.212","13783","2772","3880","1237","1616","0"
"publicpolygonfeature:5:60468","ZIP Code 80420","country:us/state:co/zip:80420","80420","0","6","146","144","28","574","143","196","0.7477917013396742","1404","222","264","236","147","49","0"
"publicpolygonfeature:5:60469","ZIP Code 80403","country:us/state:co/zip:80403","80403","211","34","1545","2284","819","5535","4738","894","0.6914759493155556","15327.6779","7237","750","1392","445","449","12"
"publicpolygonfeature:5:60470","ZIP Code 80419","country:us/state:co/zip:80419","80419","0","0","0","0","0","0","0","0","0.13709639693783152",,"0","0","0","0","0","0"
"publicpolygonfeature:5:60471","ZIP Code 80436","country:us/state:co/zip:80436","80436","56","0","93","121","26","28","10","41","0.8233050303210397","3128.2905","74","17","44","41","0","0"
"publicpolygonfeature:5:60472","ZIP Code 80421","country:us/state:co/zip:80421","80421","133","25","1599","1803","668","1784","999","740","0.8901903518555226","2415.0558","2282","456","805","457","283","63"
