"feature id","feature label","shid","geoid","Workers in Other Services who Commute by Public Transit (2020-2024)","Workers in Armed Forces who Commute by Public Transit (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Walk (2020-2024)","Workers in Construction who Commute by Walk (2020-2024)","Workers in Manufacturing who Commute by Walk (2020-2024)","Workers in Wholesale Trade who Commute by Walk (2020-2024)","Workers in Retail Trade who Commute by Walk (2020-2024)","Workers in Transportation who Commute by Walk (2020-2024)","Workers in Finance and Insurance who Commute by Walk (2020-2024)","Workers in Information who Commute by Walk (2020-2024)","Workers in Scientific and Professional who Commute by Walk (2020-2024)","Workers in Education and Health Care who Commute by Walk (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Walk (2020-2024)","Workers in Public Administration who Commute by Walk (2020-2024)","Workers in Armed Forces who Commute by Walk (2020-2024)","Workers in Other Services who Commute by Walk (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Construction who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Manufacturing who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Wholesale Trade who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Retail Trade who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Transportation who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Finance and Insurance who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Information who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Education and Health Care who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Scientific and Professional who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Public Administration who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Other Services who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Armed Forces who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)"
"publicpolygonfeature:5:34907","ZIP Code 08012","country:us/state:nj/zip:08012","08012","88","0","0","13","0","0","28","105","22","0","10","20","0","5","0","32","0","31","19","0","209","14","10","0","31","18","10","0","0","0"
"publicpolygonfeature:5:34909","ZIP Code 08015","country:us/state:nj/zip:08015","08015","0","0","0","0","7","0","125","34","0","0","38","79","0","0","0","4","0","0","26","0","0","0","66","0","35","0","0","41","0","0"
"publicpolygonfeature:5:34910","ZIP Code 08016","country:us/state:nj/zip:08016","08016","22","14","0","21","0","0","0","7","0","0","28","38","57","0","0","0","0","88","0","51","53","0","0","0","7","6","40","19","0","0"
"publicpolygonfeature:5:34911","ZIP Code 08019","country:us/state:nj/zip:08019","08019","0","0","3","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","4","0","0","0","0","6","0","0","0","4","0","0"
"publicpolygonfeature:5:34912","ZIP Code 08020","country:us/state:nj/zip:08020","08020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:34913","ZIP Code 08021","country:us/state:nj/zip:08021","08021","29","0","0","64","22","0","150","1","73","2","11","92","69","4","0","59","0","3","63","0","84","3","53","0","364","72","17","0","0","0"
"publicpolygonfeature:5:34914","ZIP Code 08022","country:us/state:nj/zip:08022","08022","0","0","0","6","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:34915","ZIP Code 08023","country:us/state:nj/zip:08023","08023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:34916","ZIP Code 08026","country:us/state:nj/zip:08026","08026","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","13","0","0","5","0","13","0","0","28","0","0","0","0"
"publicpolygonfeature:5:34917","ZIP Code 08027","country:us/state:nj/zip:08027","08027","9","0","0","0","0","0","0","0","0","0","0","0","0","10","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:34918","ZIP Code 08028","country:us/state:nj/zip:08028","08028","0","0","0","0","10","0","157","29","0","0","39","375","108","0","0","0","0","0","0","0","49","13","12","0","106","84","28","0","0","0"
"publicpolygonfeature:5:34919","ZIP Code 08030","country:us/state:nj/zip:08030","08030","4","0","0","70","0","0","39","51","0","0","0","30","88","30","0","15","0","0","0","0","36","0","0","44","0","2","10","13","0","0"
"publicpolygonfeature:5:34920","ZIP Code 08031","country:us/state:nj/zip:08031","08031","0","0","0","0","47","0","37","17","24","0","0","21","29","0","0","11","0","0","8","0","25","0","0","0","4","0","0","0","0","0"
"publicpolygonfeature:5:34921","ZIP Code 08033","country:us/state:nj/zip:08033","08033","7","0","0","0","20","0","24","0","11","3","63","32","14","29","0","17","0","0","0","35","8","0","17","0","4","0","30","0","7","0"
"publicpolygonfeature:5:34922","ZIP Code 08034","country:us/state:nj/zip:08034","08034","0","0","0","0","17","0","77","0","12","0","0","0","48","0","0","17","0","0","0","0","73","0","22","0","0","0","38","0","16","0"
"publicpolygonfeature:5:34923","ZIP Code 08035","country:us/state:nj/zip:08035","08035","0","0","0","0","0","0","0","0","0","0","0","6","17","0","0","3","0","0","0","0","5","0","5","0","17","5","34","11","0","0"
"publicpolygonfeature:5:34924","ZIP Code 08036","country:us/state:nj/zip:08036","08036","0","0","0","0","0","125","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0"
"publicpolygonfeature:5:34926","ZIP Code 08037","country:us/state:nj/zip:08037","08037","0","0","46","0","8","0","19","0","0","0","0","0","0","0","0","12","0","7","18","0","16","0","0","0","3","86","9","17","0","0"
"publicpolygonfeature:5:34927","ZIP Code 08038","country:us/state:nj/zip:08038","08038","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0"
"publicpolygonfeature:5:34928","ZIP Code 08039","country:us/state:nj/zip:08039","08039","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:34929","ZIP Code 08041","country:us/state:nj/zip:08041","08041","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:34930","ZIP Code 08042","country:us/state:nj/zip:08042","08042","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","5","0","0"
"publicpolygonfeature:5:34931","ZIP Code 08043","country:us/state:nj/zip:08043","08043","8","0","0","0","0","0","19","0","0","0","20","12","0","0","0","66","0","0","0","0","0","0","0","0","50","0","49","6","0","0"
"publicpolygonfeature:5:34932","ZIP Code 08045","country:us/state:nj/zip:08045","08045","0","0","0","0","0","0","17","7","0","0","16","0","8","6","0","0","0","0","0","0","7","22","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:34933","ZIP Code 08046","country:us/state:nj/zip:08046","08046","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58","51","58","0","0","15","0","8","4","0","0"
"publicpolygonfeature:5:34934","ZIP Code 08048","country:us/state:nj/zip:08048","08048","15","0","9","0","0","0","0","0","0","0","14","0","17","0","0","9","0","0","6","0","17","17","23","7","6","7","19","23","1","28"
"publicpolygonfeature:5:34935","ZIP Code 08049","country:us/state:nj/zip:08049","08049","0","0","0","0","7","0","0","0","0","0","0","0","9","0","17","1","0","0","0","0","0","49","0","0","39","0","8","0","0","0"
"publicpolygonfeature:5:34937","ZIP Code 08051","country:us/state:nj/zip:08051","08051","0","0","0","0","0","0","61","0","9","0","0","45","0","0","0","0","0","0","0","0","117","16","0","0","139","206","24","0","0","0"
"publicpolygonfeature:5:34938","ZIP Code 08052","country:us/state:nj/zip:08052","08052","0","0","0","0","0","0","119","0","0","0","0","0","15","15","0","18","0","0","0","0","48","0","20","0","7","12","0","16","0","0"
"publicpolygonfeature:5:34939","ZIP Code 08053","country:us/state:nj/zip:08053","08053","0","0","0","0","0","0","9","13","11","0","37","0","12","12","0","0","0","0","37","0","26","25","19","0","82","0","75","0","19","0"
"publicpolygonfeature:5:34940","ZIP Code 08054","country:us/state:nj/zip:08054","08054","0","0","0","0","13","0","35","0","10","0","63","17","15","0","0","4","23","0","0","0","25","0","0","0","26","19","13","0","0","0"
"publicpolygonfeature:5:34941","ZIP Code 08055","country:us/state:nj/zip:08055","08055","0","0","0","0","0","0","0","0","0","0","0","23","0","17","0","0","0","0","17","27","0","0","0","0","0","21","0","0","15","0"
"publicpolygonfeature:5:34942","ZIP Code 08056","country:us/state:nj/zip:08056","08056","0","0","0","44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0"
"publicpolygonfeature:5:34943","ZIP Code 08057","country:us/state:nj/zip:08057","08057","0","0","0","0","5","0","34","0","10","0","0","0","41","0","0","6","0","0","0","0","10","0","9","0","63","0","4","0","0","0"
"publicpolygonfeature:5:34944","ZIP Code 08059","country:us/state:nj/zip:08059","08059","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:34945","ZIP Code 08060","country:us/state:nj/zip:08060","08060","0","0","0","0","0","0","61","19","13","0","13","0","30","0","0","0","9","0","6","0","0","0","0","7","132","35","36","0","0","17"
"publicpolygonfeature:5:34946","ZIP Code 08061","country:us/state:nj/zip:08061","08061","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:34947","ZIP Code 08062","country:us/state:nj/zip:08062","08062","0","0","5","0","0","0","1","0","0","0","0","15","21","0","0","0","0","0","0","59","7","10","8","0","0","0","10","0","0","0"
"publicpolygonfeature:5:34948","ZIP Code 08063","country:us/state:nj/zip:08063","08063","0","0","0","0","0","0","4","5","0","0","11","0","5","0","0","6","0","0","0","0","0","5","0","0","0","20","0","0","0","0"
