"feature id","feature label","shid","geoid","Workers in Other Services who Commute by Public Transit (2020-2024)","Workers in Armed Forces who Commute by Public Transit (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Walk (2020-2024)","Workers in Construction who Commute by Walk (2020-2024)","Workers in Manufacturing who Commute by Walk (2020-2024)","Workers in Wholesale Trade who Commute by Walk (2020-2024)","Workers in Retail Trade who Commute by Walk (2020-2024)","Workers in Transportation who Commute by Walk (2020-2024)","Workers in Finance and Insurance who Commute by Walk (2020-2024)","Workers in Information who Commute by Walk (2020-2024)","Workers in Scientific and Professional who Commute by Walk (2020-2024)","Workers in Education and Health Care who Commute by Walk (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Walk (2020-2024)","Workers in Public Administration who Commute by Walk (2020-2024)","Workers in Armed Forces who Commute by Walk (2020-2024)","Workers in Other Services who Commute by Walk (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Construction who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Manufacturing who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Wholesale Trade who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Retail Trade who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Transportation who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Finance and Insurance who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Information who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Education and Health Care who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Scientific and Professional who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Public Administration who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Other Services who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Armed Forces who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)"
"publicpolygonfeature:5:41799","ZIP Code 33127","country:us/state:fl/zip:33127","33127","54","0","0","0","0","22","50","0","4","0","61","113","19","0","0","34","0","72","8","0","35","26","0","0","24","83","118","64","6","0"
"publicpolygonfeature:5:41814","ZIP Code 33128","country:us/state:fl/zip:33128","33128","0","0","0","68","67","0","80","0","113","0","82","0","133","10","0","58","0","60","0","0","16","0","32","26","148","118","14","8","55","0"
"publicpolygonfeature:5:41815","ZIP Code 33129","country:us/state:fl/zip:33129","33129","87","0","0","0","0","12","90","0","282","0","31","0","50","0","0","0","5","0","0","0","12","0","92","35","0","74","68","60","0","0"
"publicpolygonfeature:5:41830","ZIP Code 33130","country:us/state:fl/zip:33130","33130","242","0","0","97","44","0","319","481","518","6","427","261","292","56","0","87","0","18","39","12","77","0","115","0","71","208","139","54","16","0"
"publicpolygonfeature:5:41831","ZIP Code 33131","country:us/state:fl/zip:33131","33131","41","0","0","5","83","26","71","19","1504","121","621","186","111","53","0","38","0","46","54","24","21","4","100","33","9","14","232","0","12","0"
"publicpolygonfeature:5:41834","ZIP Code 33132","country:us/state:fl/zip:33132","33132","230","0","0","19","33","0","63","8","50","0","23","25","220","0","0","30","0","30","0","65","68","95","23","29","28","162","72","6","10","49"
"publicpolygonfeature:5:41835","ZIP Code 33133","country:us/state:fl/zip:33133","33133","21","0","0","0","16","0","89","97","168","0","97","99","126","0","0","90","1","24","0","0","47","71","76","19","101","123","187","0","0","0"
"publicpolygonfeature:5:41844","ZIP Code 33134","country:us/state:fl/zip:33134","33134","90","0","0","7","34","0","31","0","147","9","193","29","123","0","0","10","0","0","16","0","78","11","49","22","90","11","119","0","49","0"
"publicpolygonfeature:5:41869","ZIP Code 33135","country:us/state:fl/zip:33135","33135","223","0","0","54","0","0","79","31","0","0","22","57","185","0","0","33","0","91","11","0","59","11","0","0","76","34","28","27","70","0"
"publicpolygonfeature:5:41877","ZIP Code 33136","country:us/state:fl/zip:33136","33136","49","0","0","37","0","29","126","35","8","6","4","177","140","26","0","0","15","30","0","0","24","53","45","32","36","329","50","0","167","0"
"publicpolygonfeature:5:41884","ZIP Code 33137","country:us/state:fl/zip:33137","33137","14","0","0","53","17","40","147","38","0","90","183","71","212","0","0","26","0","53","21","0","176","249","301","14","50","277","310","0","38","0"
"publicpolygonfeature:5:41890","ZIP Code 33138","country:us/state:fl/zip:33138","33138","63","0","0","53","26","0","0","0","15","0","19","103","187","22","0","11","0","0","24","0","210","208","15","0","80","210","194","0","56","0"
"publicpolygonfeature:5:41891","ZIP Code 33139","country:us/state:fl/zip:33139","33139","27","0","0","58","182","34","471","10","354","4","169","129","878","0","56","139","0","24","16","0","93","155","70","19","26","1347","437","30","169","0"
"publicpolygonfeature:5:41896","ZIP Code 33140","country:us/state:fl/zip:33140","33140","56","0","0","0","0","0","248","11","34","0","9","77","234","0","0","18","2","0","0","7","122","65","0","17","57","347","92","18","0","0"
"publicpolygonfeature:5:41899","ZIP Code 33141","country:us/state:fl/zip:33141","33141","50","0","0","70","0","0","151","0","50","0","94","118","49","0","0","34","35","156","29","29","173","121","86","42","106","646","95","0","285","0"
"publicpolygonfeature:5:41902","ZIP Code 33142","country:us/state:fl/zip:33142","33142","181","0","0","0","155","0","299","13","45","0","10","130","0","0","0","32","0","49","76","0","298","33","0","29","68","102","301","0","33","0"
"publicpolygonfeature:5:41909","ZIP Code 33143","country:us/state:fl/zip:33143","33143","125","0","0","0","0","0","61","0","0","15","105","189","0","0","0","21","0","0","0","11","20","29","0","0","135","0","46","0","0","0"
"publicpolygonfeature:5:41914","ZIP Code 33144","country:us/state:fl/zip:33144","33144","0","0","0","0","0","0","0","14","0","0","0","112","0","42","0","46","0","0","0","0","0","65","12","0","46","1","40","0","61","0"
"publicpolygonfeature:5:41915","ZIP Code 33145","country:us/state:fl/zip:33145","33145","88","0","0","9","0","2","16","0","63","18","17","0","92","0","0","55","0","6","64","0","78","42","25","24","89","32","0","5","5","0"
"publicpolygonfeature:5:41917","ZIP Code 33146","country:us/state:fl/zip:33146","33146","27","0","0","0","7","18","27","0","107","0","65","462","276","2","0","17","0","5","0","11","0","28","0","0","134","32","42","0","0","0"
"publicpolygonfeature:5:41918","ZIP Code 33147","country:us/state:fl/zip:33147","33147","15","0","0","0","0","0","51","0","0","0","0","40","51","0","0","106","0","110","38","13","173","28","0","0","107","158","0","0","109","0"
