"feature id","feature label","shid","geoid","Workers in Other Services who Commute by Public Transit (2020-2024)","Workers in Armed Forces who Commute by Public Transit (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Walk (2020-2024)","Workers in Construction who Commute by Walk (2020-2024)","Workers in Manufacturing who Commute by Walk (2020-2024)","Workers in Wholesale Trade who Commute by Walk (2020-2024)","Workers in Retail Trade who Commute by Walk (2020-2024)","Workers in Transportation who Commute by Walk (2020-2024)","Workers in Finance and Insurance who Commute by Walk (2020-2024)","Workers in Information who Commute by Walk (2020-2024)","Workers in Scientific and Professional who Commute by Walk (2020-2024)","Workers in Education and Health Care who Commute by Walk (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Walk (2020-2024)","Workers in Public Administration who Commute by Walk (2020-2024)","Workers in Armed Forces who Commute by Walk (2020-2024)","Workers in Other Services who Commute by Walk (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Construction who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Manufacturing who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Wholesale Trade who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Retail Trade who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Transportation who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Finance and Insurance who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Information who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Education and Health Care who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Scientific and Professional who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Public Administration who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Other Services who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Armed Forces who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)"
"publicpolygonfeature:5:63643","ZIP Code 94550","country:us/state:ca/zip:94550","94550","0","0","0","9","18","8","49","0","0","0","10","79","7","5","0","0","0","0","116","0","68","19","6","0","138","25","350","38","13","0"
"publicpolygonfeature:5:63644","ZIP Code 94552","country:us/state:ca/zip:94552","94552","0","0","0","0","0","0","0","0","0","0","28","16","0","15","0","6","0","0","0","0","30","0","0","31","2","0","0","0","0","0"
"publicpolygonfeature:5:63645","ZIP Code 94553","country:us/state:ca/zip:94553","94553","0","0","0","71","0","0","33","10","36","0","63","143","68","179","0","36","0","0","31","0","0","14","31","17","182","16","55","25","0","0"
"publicpolygonfeature:5:63646","ZIP Code 94556","country:us/state:ca/zip:94556","94556","7","0","0","4","0","0","36","16","7","0","56","82","34","0","0","8","0","10","16","38","0","0","6","0","4","0","11","6","0","0"
"publicpolygonfeature:5:63649","ZIP Code 94560","country:us/state:ca/zip:94560","94560","22","0","0","0","18","0","91","28","0","0","33","0","33","0","0","0","0","42","142","6","26","19","16","0","44","161","76","18","94","0"
"publicpolygonfeature:5:63650","ZIP Code 94561","country:us/state:ca/zip:94561","94561","0","0","0","0","0","0","6","0","18","0","36","0","0","30","0","10","0","0","0","0","32","0","0","0","32","0","0","0","66","0"
"publicpolygonfeature:5:63651","ZIP Code 94563","country:us/state:ca/zip:94563","94563","111","0","0","0","18","0","0","0","0","0","14","0","0","0","0","0","0","0","81","0","15","0","0","0","24","7","50","8","0","0"
"publicpolygonfeature:5:63652","ZIP Code 94564","country:us/state:ca/zip:94564","94564","22","0","0","5","0","0","17","0","0","0","13","26","0","0","0","1","0","12","0","0","21","30","54","0","0","0","0","0","0","0"
"publicpolygonfeature:5:63653","ZIP Code 94565","country:us/state:ca/zip:94565","94565","109","0","0","7","12","0","42","0","20","0","78","17","46","8","0","31","0","78","59","16","31","10","14","19","102","46","7","11","6","0"
"publicpolygonfeature:5:63655","ZIP Code 94568","country:us/state:ca/zip:94568","94568","0","28","0","0","61","0","52","8","0","0","122","41","69","25","388","0","0","0","12","0","65","51","129","42","76","111","142","0","8","24"
"publicpolygonfeature:5:63656","ZIP Code 94569","country:us/state:ca/zip:94569","94569","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:63657","ZIP Code 94579","country:us/state:ca/zip:94579","94579","0","0","0","0","0","0","0","0","0","0","0","20","17","1","0","3","0","0","42","0","14","25","0","0","112","0","0","22","0","0"
"publicpolygonfeature:5:63659","ZIP Code 94572","country:us/state:ca/zip:94572","94572","0","0","0","10","40","0","0","0","0","0","2","0","0","0","0","0","0","0","102","0","0","0","8","0","11","0","55","11","15","0"
"publicpolygonfeature:5:63661","ZIP Code 94580","country:us/state:ca/zip:94580","94580","84","0","0","0","0","4","12","0","0","0","32","29","10","0","0","0","0","0","52","14","0","36","0","0","38","0","60","0","0","0"
"publicpolygonfeature:5:63662","ZIP Code 94582","country:us/state:ca/zip:94582","94582","8","0","0","0","0","0","77","0","0","0","86","34","5","103","0","0","0","10","24","0","0","9","18","9","29","99","90","8","0","0"
"publicpolygonfeature:5:63664","ZIP Code 94575","country:us/state:ca/zip:94575","94575","0","0","0","0","0","0","9","6","0","0","0","106","18","0","0","16","0","0","0","0","0","0","0","0","12","1","0","0","0","0"
"publicpolygonfeature:5:63666","ZIP Code 94577","country:us/state:ca/zip:94577","94577","21","0","0","7","71","0","91","4","14","0","89","45","300","38","0","27","3","0","0","0","93","89","13","0","105","14","80","0","13","0"
"publicpolygonfeature:5:63667","ZIP Code 94583","country:us/state:ca/zip:94583","94583","0","0","0","0","0","0","57","21","17","0","128","45","41","0","0","0","0","0","0","6","17","87","0","103","82","1","170","0","39","0"
"publicpolygonfeature:5:63668","ZIP Code 94586","country:us/state:ca/zip:94586","94586","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:63669","ZIP Code 94587","country:us/state:ca/zip:94587","94587","21","0","20","0","14","0","34","12","30","2","22","72","33","8","0","19","0","28","98","16","161","78","11","13","82","33","153","79","10","0"
