"feature id","feature label","shid","geoid","Workers in Other Services who Commute by Public Transit (2020-2024)","Workers in Armed Forces who Commute by Public Transit (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Walk (2020-2024)","Workers in Construction who Commute by Walk (2020-2024)","Workers in Manufacturing who Commute by Walk (2020-2024)","Workers in Wholesale Trade who Commute by Walk (2020-2024)","Workers in Retail Trade who Commute by Walk (2020-2024)","Workers in Transportation who Commute by Walk (2020-2024)","Workers in Finance and Insurance who Commute by Walk (2020-2024)","Workers in Information who Commute by Walk (2020-2024)","Workers in Scientific and Professional who Commute by Walk (2020-2024)","Workers in Education and Health Care who Commute by Walk (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Walk (2020-2024)","Workers in Public Administration who Commute by Walk (2020-2024)","Workers in Armed Forces who Commute by Walk (2020-2024)","Workers in Other Services who Commute by Walk (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Construction who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Manufacturing who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Wholesale Trade who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Retail Trade who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Transportation who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Finance and Insurance who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Information who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Education and Health Care who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Arts, Food, and Entertainment who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Scientific and Professional who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Public Administration who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Other Services who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Workers in Armed Forces who Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)"
"publicpolygonfeature:5:43539","ZIP Code 33548","country:us/state:fl/zip:33548","33548","3","0","0","0","0","0","0","0","0","0","8","0","0","0","0","10","0","0","0","0","8","35","0","0","0","0","22","0","0","0"
"publicpolygonfeature:5:43540","ZIP Code 33549","country:us/state:fl/zip:33549","33549","0","0","0","0","0","0","0","0","19","0","68","0","0","0","0","0","0","0","0","0","13","0","0","0","0","18","18","5","0","0"
"publicpolygonfeature:5:43541","ZIP Code 33559","country:us/state:fl/zip:33559","33559","0","0","0","0","0","0","0","0","0","72","63","46","62","0","0","9","0","0","0","0","10","0","0","0","0","57","0","0","0","0"
"publicpolygonfeature:5:43542","ZIP Code 33563","country:us/state:fl/zip:33563","33563","29","0","0","0","0","0","9","0","0","0","28","25","162","0","0","11","15","13","14","0","0","0","6","0","24","13","160","18","0","0"
"publicpolygonfeature:5:43543","ZIP Code 33565","country:us/state:fl/zip:33565","33565","0","0","0","0","0","0","0","0","0","0","0","68","0","0","0","27","9","4","0","0","0","17","0","0","38","27","5","0","13","0"
"publicpolygonfeature:5:43544","ZIP Code 33566","country:us/state:fl/zip:33566","33566","0","0","0","12","0","0","0","0","41","0","0","43","9","0","0","0","70","20","25","0","0","174","0","0","28","12","16","0","0","0"
"publicpolygonfeature:5:43546","ZIP Code 33567","country:us/state:fl/zip:33567","33567","0","0","0","10","0","0","5","0","0","0","0","3","0","0","0","28","39","0","8","35","10","0","0","0","40","0","0","7","0","0"
"publicpolygonfeature:5:43547","ZIP Code 33569","country:us/state:fl/zip:33569","33569","0","0","0","0","0","0","0","0","0","0","0","61","0","0","0","0","0","28","15","0","111","45","0","0","26","0","35","0","19","0"
"publicpolygonfeature:5:43548","ZIP Code 33570","country:us/state:fl/zip:33570","33570","0","0","0","0","0","0","8","0","23","0","19","0","10","0","0","19","7","55","0","0","29","92","20","0","0","13","20","0","0","0"
"publicpolygonfeature:5:43549","ZIP Code 33572","country:us/state:fl/zip:33572","33572","0","0","0","0","0","0","131","0","16","0","17","0","0","0","0","0","0","0","40","19","42","25","26","19","31","19","132","0","0","0"
"publicpolygonfeature:5:43550","ZIP Code 33573","country:us/state:fl/zip:33573","33573","0","0","0","0","0","0","12","0","0","0","0","88","37","0","0","0","0","0","0","0","27","0","7","0","37","9","35","5","0","0"
"publicpolygonfeature:5:43551","ZIP Code 33578","country:us/state:fl/zip:33578","33578","0","0","0","0","0","0","64","0","34","0","0","7","0","0","0","0","0","166","65","0","68","68","48","43","39","42","187","4","34","0"
"publicpolygonfeature:5:43552","ZIP Code 33579","country:us/state:fl/zip:33579","33579","0","0","0","23","0","0","0","23","0","0","23","85","0","70","0","0","0","0","0","0","0","0","53","0","31","74","0","0","0","18"
"publicpolygonfeature:5:43553","ZIP Code 33584","country:us/state:fl/zip:33584","33584","0","0","0","33","0","0","21","0","16","0","20","25","18","0","0","0","43","0","0","0","57","12","0","0","0","75","17","22","9","0"
"publicpolygonfeature:5:43555","ZIP Code 33604","country:us/state:fl/zip:33604","33604","2","0","0","42","0","0","55","0","0","0","8","21","69","0","0","20","12","24","11","0","67","39","0","0","26","82","52","0","0","0"
"publicpolygonfeature:5:43556","ZIP Code 33592","country:us/state:fl/zip:33592","33592","0","0","0","0","0","0","15","0","0","0","0","0","19","0","0","0","0","0","0","0","0","47","26","0","94","0","5","0","0","0"
"publicpolygonfeature:5:43557","ZIP Code 33594","country:us/state:fl/zip:33594","33594","0","0","0","0","0","0","9","0","0","0","0","0","27","0","0","0","43","38","0","0","30","13","10","0","40","84","51","0","0","0"
"publicpolygonfeature:5:43558","ZIP Code 33596","country:us/state:fl/zip:33596","33596","0","0","0","0","0","0","37","0","0","0","0","0","57","0","0","0","0","0","0","0","0","0","0","0","73","19","0","0","0","0"
"publicpolygonfeature:5:43559","ZIP Code 33605","country:us/state:fl/zip:33605","33605","0","0","0","0","0","0","9","0","0","0","16","1","15","0","0","15","15","0","8","53","27","7","10","0","11","48","64","12","23","0"
"publicpolygonfeature:5:43560","ZIP Code 33606","country:us/state:fl/zip:33606","33606","0","0","0","18","0","36","168","40","55","0","37","273","221","0","0","10","0","23","0","13","38","9","30","0","87","86","47","0","0","0"
"publicpolygonfeature:5:43561","ZIP Code 33597","country:us/state:fl/zip:33597","33597","0","0","15","0","19","0","0","0","0","0","0","0","11","0","0","0","0","7","0","0","91","0","25","0","27","8","4","0","0","0"
