"feature id","feature label","shid","geoid","People Commuting to Work by Drive Alone (2020-2024)","People Commuting to Work by Drive Carpool (2020-2024)","People Commuting to Work by Walk (2020-2024)","People Commuting to Work by Bicycle (2020-2024)","Commute Transportation by Walk (2020-2024)","Commute Transportation by Drive Carpool (2020-2024)","Male Commuting to Work by Walk (2020-2024)","Female Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Drive Carpool (2020-2024)","Female Commuting to Work by Public Transit (2020-2024)","Female Commuting to Work by Walk (2020-2024)","Commute Transportation by Motorcycle (2020-2024)","Female Commuting to Work by Bicycle (2020-2024)","People Commuting to Work by Public Transit (2020-2024)","People Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Taxi or Ride Hailing Service (2020-2024)","Commute Transportation by Bicycle (2020-2024)","No Commute / Work From Home (2020-2024)","Commute Transportation by Other Transit (2020-2024)","Commute Transportation by Public Transit (2020-2024)","Male Commuting to Work by Drive Carpool (2020-2024)","Male Commuting to Work by Public Transit (2020-2024)","Male Commuting to Work by Bicycle (2020-2024)","Male Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Drive Alone (2020-2024)","Male Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)"
"publicpolygonfeature:5:45674","ZIP Code 40011","country:us/state:ky/zip:40011","40011","1008","73","28","0","28","73","10","522","54","0","18","0","0","0","6","0","0","44","6","0","19","0","0","0","1008","486","6"
"publicpolygonfeature:5:45675","ZIP Code 40012","country:us/state:ky/zip:40012","40012","308","53","0","0","0","53","0","174","6","0","0","0","0","0","0","0","0","11","0","0","47","0","0","0","308","134","0"
"publicpolygonfeature:5:45676","ZIP Code 40022","country:us/state:ky/zip:40022","40022","338","57","0","0","0","57","0","148","19","0","0","0","0","0","0","0","0","64","0","0","38","0","0","0","338","190","0"
"publicpolygonfeature:5:45677","ZIP Code 40013","country:us/state:ky/zip:40013","40013","2651","98","0","0","0","98","0","1121","83","0","0","0","0","0","5","0","0","235","5","0","15","0","0","5","2651","1530","0"
"publicpolygonfeature:5:45678","ZIP Code 40023","country:us/state:ky/zip:40023","40023","2439","205","0","0","0","205","0","918","121","0","0","0","0","0","5","0","0","688","5","0","84","0","0","5","2439","1521","0"
"publicpolygonfeature:5:45679","ZIP Code 40025","country:us/state:ky/zip:40025","40025","190","8","0","0","0","8","0","60","5","0","0","0","0","0","0","0","0","69","0","0","3","0","0","0","190","130","0"
"publicpolygonfeature:5:45680","ZIP Code 40014","country:us/state:ky/zip:40014","40014","8292","895","60","0","60","895","60","3870","429","0","0","24","0","0","81","0","0","2583","57","0","466","0","0","38","8292","4422","43"
"publicpolygonfeature:5:45681","ZIP Code 40019","country:us/state:ky/zip:40019","40019","1283","258","13","0","13","258","7","497","80","0","6","0","0","0","20","0","0","110","20","0","178","0","0","20","1283","786","0"
"publicpolygonfeature:5:45682","ZIP Code 40020","country:us/state:ky/zip:40020","40020","61","3","0","0","0","3","0","27","3","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","61","34","0"
"publicpolygonfeature:5:45683","ZIP Code 40031","country:us/state:ky/zip:40031","40031","8666","1195","10","0","10","1195","10","3780","599","0","0","21","0","0","24","0","0","1614","3","0","596","0","0","24","8666","4886","0"
