"feature id","feature label","shid","geoid","People Commuting to Work by Drive Alone (2020-2024)","People Commuting to Work by Drive Carpool (2020-2024)","People Commuting to Work by Walk (2020-2024)","People Commuting to Work by Bicycle (2020-2024)","Commute Transportation by Walk (2020-2024)","Commute Transportation by Drive Carpool (2020-2024)","Male Commuting to Work by Walk (2020-2024)","Female Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Drive Carpool (2020-2024)","Female Commuting to Work by Public Transit (2020-2024)","Female Commuting to Work by Walk (2020-2024)","Commute Transportation by Motorcycle (2020-2024)","Female Commuting to Work by Bicycle (2020-2024)","People Commuting to Work by Public Transit (2020-2024)","People Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Taxi or Ride Hailing Service (2020-2024)","Commute Transportation by Bicycle (2020-2024)","No Commute / Work From Home (2020-2024)","Commute Transportation by Other Transit (2020-2024)","Commute Transportation by Public Transit (2020-2024)","Male Commuting to Work by Drive Carpool (2020-2024)","Male Commuting to Work by Public Transit (2020-2024)","Male Commuting to Work by Bicycle (2020-2024)","Male Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Drive Alone (2020-2024)","Male Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)"
"publicpolygonfeature:5:41608","ZIP Code 33060","country:us/state:fl/zip:33060","33060","12266","2295","216","179","216","2295","168","5137","866","303","48","0","86","482","668","318","179","1706","350","482","1429","179","93","396","12266","7129","272"
"publicpolygonfeature:5:41613","ZIP Code 33062","country:us/state:fl/zip:33062","33062","7110","458","188","45","188","458","111","2993","249","11","77","22","27","12","147","14","45","3120","111","12","209","1","18","49","7110","4117","98"
"publicpolygonfeature:5:41614","ZIP Code 33063","country:us/state:fl/zip:33063","33063","20616","2912","386","29","386","2912","204","10459","1443","159","182","47","28","680","964","175","29","3173","742","680","1469","521","1","391","20616","10157","573"
"publicpolygonfeature:5:41650","ZIP Code 33064","country:us/state:fl/zip:33064","33064","23241","6746","263","285","263","6746","176","10233","3029","402","87","0","0","790","755","146","285","2703","609","790","3717","388","285","482","23241","13008","273"
"publicpolygonfeature:5:41655","ZIP Code 33065","country:us/state:fl/zip:33065","33065","22339","2335","328","115","328","2335","207","11509","1121","209","121","44","27","418","1043","158","115","3524","841","418","1214","209","88","472","22339","10830","571"
"publicpolygonfeature:5:41656","ZIP Code 33066","country:us/state:fl/zip:33066","33066","5351","493","59","17","59","493","0","3134","289","48","59","0","0","79","125","17","17","756","108","79","204","31","17","110","5351","2217","15"
"publicpolygonfeature:5:41659","ZIP Code 33067","country:us/state:fl/zip:33067","33067","9611","961","133","9","133","961","62","4650","582","0","71","16","9","67","253","106","9","2310","131","67","379","67","0","214","9611","4961","39"
"publicpolygonfeature:5:41664","ZIP Code 33068","country:us/state:fl/zip:33068","33068","21605","3550","156","0","156","3550","57","10892","1709","600","99","0","0","882","547","126","0","2283","421","882","1841","282","0","298","21605","10713","249"
"publicpolygonfeature:5:41668","ZIP Code 33069","country:us/state:fl/zip:33069","33069","8404","931","136","56","136","931","112","3531","552","193","24","0","8","218","525","297","56","1772","228","218","379","25","48","280","8404","4873","245"
"publicpolygonfeature:5:41673","ZIP Code 33071","country:us/state:fl/zip:33071","33071","15189","1742","151","75","151","1742","39","6570","909","64","112","0","18","116","468","79","75","3860","389","116","833","52","57","182","15189","8619","286"
"publicpolygonfeature:5:41677","ZIP Code 33073","country:us/state:fl/zip:33073","33073","12209","2004","201","0","201","2004","147","6114","1245","55","54","0","0","114","292","64","0","2852","228","114","759","59","0","168","12209","6095","124"
"publicpolygonfeature:5:41703","ZIP Code 33076","country:us/state:fl/zip:33076","33076","12471","3190","27","191","27","3190","27","5796","1686","0","0","71","0","0","385","33","191","5696","281","0","1504","0","191","280","12471","6675","105"
"publicpolygonfeature:5:41718","ZIP Code 33101","country:us/state:fl/zip:33101","33101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:41719","ZIP Code 33109","country:us/state:fl/zip:33109","33109","40","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","254","20","0","0","0","0","20","40","40","0"
"publicpolygonfeature:5:41784","ZIP Code 33122","country:us/state:fl/zip:33122","33122","684","349","2","0","2","349","0","256","171","0","2","0","0","0","21","0","0","154","21","0","178","0","0","0","684","428","21"
"publicpolygonfeature:5:41793","ZIP Code 33125","country:us/state:fl/zip:33125","33125","19187","3024","529","196","529","3024","216","7701","1468","1184","313","215","33","1816","968","170","196","2140","583","1816","1556","632","163","587","19187","11486","381"
"publicpolygonfeature:5:41796","ZIP Code 33126","country:us/state:fl/zip:33126","33126","18227","2336","434","45","434","2336","117","8009","1460","539","317","43","10","903","442","88","45","2670","311","903","876","364","35","225","18227","10218","217"
"publicpolygonfeature:5:41799","ZIP Code 33127","country:us/state:fl/zip:33127","33127","6319","1010","303","111","303","1010","100","2705","416","608","203","71","59","1333","325","149","111","896","105","1333","594","725","52","98","6319","3614","227"
