"feature id","feature label","shid","geoid","People Commuting to Work by Drive Alone (2020-2024)","People Commuting to Work by Drive Carpool (2020-2024)","People Commuting to Work by Walk (2020-2024)","People Commuting to Work by Bicycle (2020-2024)","Commute Transportation by Walk (2020-2024)","Commute Transportation by Drive Carpool (2020-2024)","Male Commuting to Work by Walk (2020-2024)","Female Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Drive Carpool (2020-2024)","Female Commuting to Work by Public Transit (2020-2024)","Female Commuting to Work by Walk (2020-2024)","Commute Transportation by Motorcycle (2020-2024)","Female Commuting to Work by Bicycle (2020-2024)","People Commuting to Work by Public Transit (2020-2024)","People Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Taxi or Ride Hailing Service (2020-2024)","Commute Transportation by Bicycle (2020-2024)","No Commute / Work From Home (2020-2024)","Commute Transportation by Other Transit (2020-2024)","Commute Transportation by Public Transit (2020-2024)","Male Commuting to Work by Drive Carpool (2020-2024)","Male Commuting to Work by Public Transit (2020-2024)","Male Commuting to Work by Bicycle (2020-2024)","Male Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Drive Alone (2020-2024)","Male Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)"
"publicpolygonfeature:5:59981","ZIP Code 78640","country:us/state:tx/zip:78640","78640","32230","4031","45","0","45","4031","41","13192","1832","162","4","73","0","162","298","47","0","4860","178","162","2199","0","0","155","32230","19038","143"
"publicpolygonfeature:5:59982","ZIP Code 78665","country:us/state:tx/zip:78665","78665","22575","2793","140","32","140","2793","119","10017","1671","12","21","17","32","53","484","180","32","9655","287","53","1122","41","0","287","22575","12558","197"
"publicpolygonfeature:5:59983","ZIP Code 78641","country:us/state:tx/zip:78641","78641","31869","4173","454","0","454","4173","212","14070","1741","210","242","39","0","432","833","111","0","15833","683","432","2432","222","0","568","31869","17799","265"
"publicpolygonfeature:5:59984","ZIP Code 78642","country:us/state:tx/zip:78642","78642","8344","887","70","0","70","887","47","3368","551","18","23","118","0","18","308","25","0","3482","165","18","336","0","0","189","8344","4976","119"
"publicpolygonfeature:5:59987","ZIP Code 78644","country:us/state:tx/zip:78644","78644","7095","831","10","44","10","831","10","3313","450","0","0","29","25","0","160","0","44","1278","131","0","381","0","19","79","7095","3782","81"
"publicpolygonfeature:5:59988","ZIP Code 78645","country:us/state:tx/zip:78645","78645","4355","386","61","0","61","386","0","1803","128","0","61","27","0","0","138","0","0","1995","111","0","258","0","0","79","4355","2552","59"
"publicpolygonfeature:5:59990","ZIP Code 78648","country:us/state:tx/zip:78648","78648","2907","419","65","29","65","419","53","1439","390","0","12","0","29","0","0","0","29","225","0","0","29","0","0","0","2907","1468","0"
"publicpolygonfeature:5:59991","ZIP Code 78650","country:us/state:tx/zip:78650","78650","594","94","23","0","23","94","16","246","57","0","7","0","0","0","18","0","0","131","18","0","37","0","0","18","594","348","0"
"publicpolygonfeature:5:59992","ZIP Code 78652","country:us/state:tx/zip:78652","78652","1734","291","37","0","37","291","17","684","220","0","20","0","0","56","0","0","0","580","0","56","71","56","0","0","1734","1050","0"
"publicpolygonfeature:5:59993","ZIP Code 78653","country:us/state:tx/zip:78653","78653","13672","2771","137","0","137","2771","65","6542","1310","6","72","15","0","6","318","0","0","3859","303","6","1461","0","0","165","13672","7130","153"
"publicpolygonfeature:5:59995","ZIP Code 78654","country:us/state:tx/zip:78654","78654","6679","1470","61","0","61","1470","29","2829","714","24","32","49","0","44","141","0","0","1237","92","44","756","20","0","81","6679","3850","60"
"publicpolygonfeature:5:59996","ZIP Code 78655","country:us/state:tx/zip:78655","78655","1530","145","0","0","0","145","0","814","61","0","0","3","0","0","54","0","0","68","51","0","84","0","0","29","1530","716","25"
"publicpolygonfeature:5:59997","ZIP Code 78660","country:us/state:tx/zip:78660","78660","43650","5891","432","8","432","5891","234","19526","3236","51","198","64","8","115","754","17","8","17164","673","115","2655","64","0","463","43650","24124","291"
"publicpolygonfeature:5:59998","ZIP Code 78661","country:us/state:tx/zip:78661","78661","314","61","0","0","0","61","0","152","33","0","0","0","0","0","0","0","0","0","0","0","28","0","0","0","314","162","0"
"publicpolygonfeature:5:59999","ZIP Code 78662","country:us/state:tx/zip:78662","78662","1077","242","0","0","0","242","0","373","65","0","0","0","0","0","0","0","0","299","0","0","177","0","0","0","1077","704","0"
"publicpolygonfeature:5:60002","ZIP Code 78664","country:us/state:tx/zip:78664","78664","23070","3479","381","16","381","3479","251","10648","1617","27","130","20","16","27","502","158","16","7992","324","27","1862","0","0","277","23070","12422","225"
"publicpolygonfeature:5:60003","ZIP Code 78666","country:us/state:tx/zip:78666","78666","33023","5217","2055","326","2055","5217","659","15985","2695","319","1396","123","71","557","928","173","326","5038","632","557","2522","238","255","560","33023","17038","368"
"publicpolygonfeature:5:60004","ZIP Code 78669","country:us/state:tx/zip:78669","78669","3202","291","139","0","139","291","79","1425","117","0","60","0","0","0","105","0","0","2135","105","0","174","0","0","59","3202","1777","46"
"publicpolygonfeature:5:60005","ZIP Code 78676","country:us/state:tx/zip:78676","78676","4534","222","37","0","37","222","9","1449","162","0","28","19","0","0","148","0","0","1233","129","0","60","0","0","107","4534","3085","41"
"publicpolygonfeature:5:60007","ZIP Code 78681","country:us/state:tx/zip:78681","78681","17841","2415","204","13","204","2415","43","7529","1011","12","161","0","0","26","201","26","13","8907","175","26","1404","14","13","127","17841","10312","74"
"publicpolygonfeature:5:60008","ZIP Code 78717","country:us/state:tx/zip:78717","78717","12301","1259","75","19","75","1259","16","5155","873","46","59","126","0","130","488","25","19","7049","337","130","386","84","19","378","12301","7146","110"
"publicpolygonfeature:5:60009","ZIP Code 78719","country:us/state:tx/zip:78719","78719","489","73","0","0","0","73","0","143","47","0","0","0","0","0","110","0","0","86","110","0","26","0","0","93","489","346","17"
"publicpolygonfeature:5:60010","ZIP Code 78721","country:us/state:tx/zip:78721","78721","3042","506","19","175","19","506","0","1306","394","118","19","17","65","217","83","12","175","2254","54","217","112","99","110","51","3042","1736","32"
