"feature id","feature label","shid","geoid","People Commuting to Work by Drive Alone (2020-2024)","People Commuting to Work by Drive Carpool (2020-2024)","People Commuting to Work by Walk (2020-2024)","People Commuting to Work by Bicycle (2020-2024)","Commute Transportation by Walk (2020-2024)","Commute Transportation by Drive Carpool (2020-2024)","Male Commuting to Work by Walk (2020-2024)","Female Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Drive Carpool (2020-2024)","Female Commuting to Work by Public Transit (2020-2024)","Female Commuting to Work by Walk (2020-2024)","Commute Transportation by Motorcycle (2020-2024)","Female Commuting to Work by Bicycle (2020-2024)","People Commuting to Work by Public Transit (2020-2024)","People Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Taxi or Ride Hailing Service (2020-2024)","Commute Transportation by Bicycle (2020-2024)","No Commute / Work From Home (2020-2024)","Commute Transportation by Other Transit (2020-2024)","Commute Transportation by Public Transit (2020-2024)","Male Commuting to Work by Drive Carpool (2020-2024)","Male Commuting to Work by Public Transit (2020-2024)","Male Commuting to Work by Bicycle (2020-2024)","Male Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Drive Alone (2020-2024)","Male Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)"
"publicpolygonfeature:5:43528","ZIP Code 33511","country:us/state:fl/zip:33511","33511","21388","1861","301","158","301","1861","175","10656","918","19","126","6","28","39","600","16","158","5439","578","39","943","20","130","416","21388","10732","184"
"publicpolygonfeature:5:43532","ZIP Code 33523","country:us/state:fl/zip:33523","33523","6409","1208","76","13","76","1208","37","2809","697","0","39","7","13","22","45","0","13","709","38","22","511","22","0","27","6409","3600","18"
"publicpolygonfeature:5:43533","ZIP Code 33525","country:us/state:fl/zip:33525","33525","6525","540","55","0","55","540","55","3113","220","0","0","4","0","0","173","0","0","927","169","0","320","0","0","109","6525","3412","64"
"publicpolygonfeature:5:43534","ZIP Code 33527","country:us/state:fl/zip:33527","33527","4801","941","85","144","85","941","73","1685","363","2","12","4","38","52","104","7","144","1652","93","52","578","50","106","45","4801","3116","59"
"publicpolygonfeature:5:43535","ZIP Code 33534","country:us/state:fl/zip:33534","33534","6159","954","120","48","120","954","79","2689","523","22","41","0","0","49","160","27","48","1241","133","49","431","27","48","94","6159","3470","66"
"publicpolygonfeature:5:43537","ZIP Code 33558","country:us/state:fl/zip:33558","33558","9826","853","138","0","138","853","112","4145","388","0","26","0","0","0","396","7","0","4562","389","0","465","0","0","255","9826","5681","141"
"publicpolygonfeature:5:43538","ZIP Code 33547","country:us/state:fl/zip:33547","33547","9549","568","149","10","149","568","73","4552","300","63","76","20","10","78","366","0","10","3172","346","78","268","15","0","348","9549","4997","18"
"publicpolygonfeature:5:43539","ZIP Code 33548","country:us/state:fl/zip:33548","33548","2631","225","18","0","18","225","8","1037","122","3","10","0","0","16","65","0","0","1241","65","16","103","13","0","30","2631","1594","35"
"publicpolygonfeature:5:43540","ZIP Code 33549","country:us/state:fl/zip:33549","33549","6295","514","87","18","87","514","19","2749","229","2","68","0","0","3","36","0","18","1558","36","3","285","1","18","5","6295","3546","31"
"publicpolygonfeature:5:43541","ZIP Code 33559","country:us/state:fl/zip:33559","33559","7182","637","252","10","252","637","140","3514","371","31","112","0","10","41","57","0","10","2290","57","41","266","10","0","57","7182","3668","0"
"publicpolygonfeature:5:43542","ZIP Code 33563","country:us/state:fl/zip:33563","33563","9368","1625","235","0","235","1625","154","4545","424","29","81","24","0","122","263","0","0","1180","239","122","1201","93","0","150","9368","4823","113"
"publicpolygonfeature:5:43543","ZIP Code 33565","country:us/state:fl/zip:33565","33565","5682","697","95","0","95","697","14","2213","407","44","81","0","0","75","113","0","0","1241","113","75","290","31","0","42","5682","3469","71"
"publicpolygonfeature:5:43544","ZIP Code 33566","country:us/state:fl/zip:33566","33566","8490","1431","105","0","105","1431","62","3556","606","0","43","57","0","45","345","0","0","929","288","45","825","45","0","252","8490","4934","93"
"publicpolygonfeature:5:43546","ZIP Code 33567","country:us/state:fl/zip:33567","33567","4735","609","46","0","46","609","29","2294","335","0","17","0","0","43","139","35","0","937","104","43","274","43","0","72","4735","2441","67"
