"feature id","feature label","shid","geoid","Male Employed in Management Occupation (2020-2024)","Male Employed in Business and Finance Occupation (2020-2024)","Male Employed in Computer and Mathematical Occupation (2020-2024)","Male Employed in Architecture and Engineering Occupation (2020-2024)","Male Employed in Life, Physical, and Social Science Occupation (2020-2024)","Male Employed in Community and Social Service Occupation (2020-2024)","Male Employed in Legal Occupation (2020-2024)","Male Employed in Education, Training and Library Occupation (2020-2024)","Male Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Male Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Male Employed in Health Technologist and Technicians Occupation (2020-2024)","Male Employed in Healthcare Support Occupation (2020-2024)","Male Employed in Fire Fighting and Prevention Occupation (2020-2024)","Male Employed in Law Enforcement Occupation (2020-2024)","Male Employed in Food Preparation and Serving Occupation (2020-2024)","Male Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Male Employed in Personal Care and Service Occupation (2020-2024)","Male Employed in Sales Occupation (2020-2024)","Male Employed in Office and Administrative Support Occupation (2020-2024)","Male Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Male Employed in Construction and Extraction Occupation (2020-2024)","Male Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Male Employed in Production Occupation (2020-2024)","Male Employed in Transportation Occupation (2020-2024)","Male Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:60029","ZIP Code 78748","country:us/state:tx/zip:78748","78748","2501","1181","2317","1087","111","61","213","649","1151","131","139","53","252","160","739","220","358","2605","823","11","779","1044","521","926","329"
"publicpolygonfeature:5:60030","ZIP Code 78738","country:us/state:tx/zip:78738","78738","2329","949","573","654","195","37","43","21","339","218","96","0","10","21","389","38","45","1366","91","0","69","130","49","240","294"
"publicpolygonfeature:5:60031","ZIP Code 78739","country:us/state:tx/zip:78739","78739","1428","520","867","773","35","42","262","250","203","233","0","59","102","126","213","5","0","421","77","0","14","49","102","124","71"
"publicpolygonfeature:5:60032","ZIP Code 78741","country:us/state:tx/zip:78741","78741","2020","1136","1748","515","80","92","206","533","696","131","64","79","354","216","1496","630","197","2085","974","9","1708","922","879","542","1111"
"publicpolygonfeature:5:60033","ZIP Code 78742","country:us/state:tx/zip:78742","78742","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","0","0","34","0","0","22","0","63","20","0"
"publicpolygonfeature:5:60034","ZIP Code 78744","country:us/state:tx/zip:78744","78744","2346","501","729","597","55","67","61","705","427","30","254","53","48","63","893","1124","138","1534","1094","0","2021","953","1209","817","966"
"publicpolygonfeature:5:60035","ZIP Code 78745","country:us/state:tx/zip:78745","78745","3086","1498","1944","1284","206","82","222","671","955","228","51","119","219","17","994","424","266","2237","1433","0","1589","526","870","874","728"
"publicpolygonfeature:5:60036","ZIP Code 78750","country:us/state:tx/zip:78750","78750","1541","687","1408","841","75","136","55","348","182","213","39","53","30","159","474","97","20","819","286","0","449","123","160","60","80"
"publicpolygonfeature:5:60037","ZIP Code 78751","country:us/state:tx/zip:78751","78751","825","405","794","585","431","20","196","554","455","15","23","16","0","0","338","64","0","452","398","0","135","134","179","76","183"
"publicpolygonfeature:5:60038","ZIP Code 78752","country:us/state:tx/zip:78752","78752","511","388","1000","372","122","80","57","224","274","66","9","93","75","46","492","592","67","247","371","0","1353","572","386","272","404"
"publicpolygonfeature:5:60039","ZIP Code 78753","country:us/state:tx/zip:78753","78753","1321","703","1946","1331","322","205","76","413","501","107","128","193","248","8","1252","847","421","1268","890","15","3539","336","1016","1171","519"
"publicpolygonfeature:5:60040","ZIP Code 78754","country:us/state:tx/zip:78754","78754","1335","670","1424","606","188","194","52","326","636","190","21","58","86","0","443","51","329","883","480","20","828","455","1217","536","565"
"publicpolygonfeature:5:60041","ZIP Code 78756","country:us/state:tx/zip:78756","78756","541","272","527","190","8","7","156","130","139","74","62","0","54","0","147","50","22","207","137","0","11","156","41","0","191"
"publicpolygonfeature:5:60042","ZIP Code 78759","country:us/state:tx/zip:78759","78759","2582","1150","2517","1015","284","92","201","470","872","426","57","195","123","38","293","97","43","1544","834","116","184","303","254","161","260"
"publicpolygonfeature:5:60108","ZIP Code 78953","country:us/state:tx/zip:78953","78953","62","0","14","28","0","0","0","0","0","0","0","0","0","82","0","11","0","0","0","0","65","35","24","0","0"
"publicpolygonfeature:5:60111","ZIP Code 78957","country:us/state:tx/zip:78957","78957","296","95","135","68","18","23","0","59","18","0","0","9","49","79","130","19","0","334","131","118","253","374","215","323","180"
"publicpolygonfeature:5:6688042","ZIP Code 78674","country:us/state:tx/zip:78674","78674","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","0","0","0","0","14","0","0","0","0"
"publicpolygonfeature:22:928018","Austin-Round Rock-San Marcos, TX Area","country:us/state:tx/msa:austin-round_rock-san_marcos","12420","114165","51702","79933","39183","8204","5573","8011","22528","21760","11755","6010","4870","9447","7179","29445","18516","6964","71125","39747","1405","54602","29917","29541","30059","24175"
