"feature id","feature label","shid","geoid","Male Employed in Management Occupation (2020-2024)","Male Employed in Business and Finance Occupation (2020-2024)","Male Employed in Computer and Mathematical Occupation (2020-2024)","Male Employed in Architecture and Engineering Occupation (2020-2024)","Male Employed in Life, Physical, and Social Science Occupation (2020-2024)","Male Employed in Community and Social Service Occupation (2020-2024)","Male Employed in Legal Occupation (2020-2024)","Male Employed in Education, Training and Library Occupation (2020-2024)","Male Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Male Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Male Employed in Health Technologist and Technicians Occupation (2020-2024)","Male Employed in Healthcare Support Occupation (2020-2024)","Male Employed in Fire Fighting and Prevention Occupation (2020-2024)","Male Employed in Law Enforcement Occupation (2020-2024)","Male Employed in Food Preparation and Serving Occupation (2020-2024)","Male Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Male Employed in Personal Care and Service Occupation (2020-2024)","Male Employed in Sales Occupation (2020-2024)","Male Employed in Office and Administrative Support Occupation (2020-2024)","Male Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Male Employed in Construction and Extraction Occupation (2020-2024)","Male Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Male Employed in Production Occupation (2020-2024)","Male Employed in Transportation Occupation (2020-2024)","Male Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:41439","ZIP Code 28079","country:us/state:nc/zip:28079","28079","1738","903","572","459","99","187","19","233","221","295","128","92","195","236","348","445","173","1162","545","24","947","833","611","800","604"
"publicpolygonfeature:5:41440","ZIP Code 28080","country:us/state:nc/zip:28080","28080","216","66","92","18","0","0","0","35","0","7","0","0","10","83","56","150","8","163","0","43","474","206","381","94","78"
"publicpolygonfeature:5:41442","ZIP Code 28086","country:us/state:nc/zip:28086","28086","490","227","130","172","37","53","48","143","54","12","0","96","30","48","304","224","34","1042","206","54","776","792","1106","525","654"
"publicpolygonfeature:5:41443","ZIP Code 28088","country:us/state:nc/zip:28088","28088","57","66","0","36","21","0","0","0","0","0","0","0","17","0","19","16","0","18","36","0","0","123","67","171","94"
"publicpolygonfeature:5:41447","ZIP Code 28144","country:us/state:nc/zip:28144","28144","334","109","300","177","40","137","18","99","57","203","55","119","101","24","334","168","115","560","136","36","483","340","555","362","281"
"publicpolygonfeature:5:41448","ZIP Code 28091","country:us/state:nc/zip:28091","28091","25","0","0","0","0","0","0","0","8","0","0","0","0","3","0","0","2","1","47","0","114","69","15","126","107"
"publicpolygonfeature:5:41449","ZIP Code 28103","country:us/state:nc/zip:28103","28103","778","104","60","50","0","56","61","30","0","0","0","16","56","0","70","157","0","232","80","60","179","244","323","389","97"
"publicpolygonfeature:5:41451","ZIP Code 28092","country:us/state:nc/zip:28092","28092","1186","295","304","270","37","283","0","176","100","171","48","63","184","206","183","539","0","892","497","0","1317","698","1291","492","808"
"publicpolygonfeature:5:41453","ZIP Code 28104","country:us/state:nc/zip:28104","28104","2454","992","910","532","22","70","75","170","139","259","104","35","89","113","395","286","100","1265","525","0","496","462","493","271","158"
"publicpolygonfeature:5:41454","ZIP Code 28105","country:us/state:nc/zip:28105","28105","1878","1348","965","395","80","310","190","296","411","217","29","47","184","131","609","541","129","1783","603","62","810","706","349","312","652"
"publicpolygonfeature:5:41455","ZIP Code 28110","country:us/state:nc/zip:28110","28110","2090","699","479","405","82","140","86","291","416","59","142","35","160","157","513","404","70","1646","1044","175","2385","1394","1076","905","1073"
"publicpolygonfeature:5:41456","ZIP Code 28112","country:us/state:nc/zip:28112","28112","754","332","299","289","15","65","46","143","59","119","41","0","40","131","320","386","14","528","282","108","1253","707","692","365","589"
"publicpolygonfeature:5:41458","ZIP Code 28119","country:us/state:nc/zip:28119","28119","8","0","0","0","0","0","0","0","0","0","0","0","0","8","12","68","0","63","73","14","118","0","93","23","27"
"publicpolygonfeature:5:41459","ZIP Code 28115","country:us/state:nc/zip:28115","28115","1727","675","1015","572","45","70","35","192","101","225","35","42","156","40","577","173","247","1472","685","9","936","986","987","441","467"
"publicpolygonfeature:5:41460","ZIP Code 28117","country:us/state:nc/zip:28117","28117","3170","988","918","769","95","137","145","194","220","587","34","49","123","48","572","274","167","2143","512","0","527","932","781","720","439"
"publicpolygonfeature:5:41462","ZIP Code 28120","country:us/state:nc/zip:28120","28120","1132","466","296","310","46","25","0","99","122","67","9","6","127","68","144","84","111","479","331","0","524","467","483","455","465"
"publicpolygonfeature:5:41463","ZIP Code 28124","country:us/state:nc/zip:28124","28124","230","94","59","120","54","0","0","22","23","0","6","16","51","81","33","34","0","93","70","38","59","175","175","97","182"
"publicpolygonfeature:5:41464","ZIP Code 28125","country:us/state:nc/zip:28125","28125","105","0","0","81","30","0","0","22","0","0","0","0","15","0","0","0","0","76","34","0","162","18","182","22","18"
"publicpolygonfeature:5:41467","ZIP Code 28133","country:us/state:nc/zip:28133","28133","21","0","8","5","0","4","0","0","0","2","0","10","0","17","0","5","0","14","0","2","109","99","72","90","31"
"publicpolygonfeature:5:41468","ZIP Code 28134","country:us/state:nc/zip:28134","28134","424","367","219","96","0","34","19","44","83","73","26","0","0","51","137","86","7","347","237","0","279","116","242","212","260"
"publicpolygonfeature:5:41470","ZIP Code 28135","country:us/state:nc/zip:28135","28135","63","6","16","6","20","0","0","12","0","2","0","24","0","13","28","55","16","73","24","64","127","46","176","161","59"
"publicpolygonfeature:5:41471","ZIP Code 28204","country:us/state:nc/zip:28204","28204","838","442","329","142","24","0","101","51","157","262","99","9","50","3","41","27","93","288","106","0","62","0","0","8","106"
"publicpolygonfeature:5:41472","ZIP Code 28205","country:us/state:nc/zip:28205","28205","2263","1531","926","602","84","110","261","612","533","234","72","41","96","43","649","547","245","1926","864","43","2488","290","703","845","571"
"publicpolygonfeature:5:41473","ZIP Code 28137","country:us/state:nc/zip:28137","28137","19","15","27","0","0","4","0","48","0","19","0","0","22","15","0","16","0","64","22","0","108","59","113","10","12"
"publicpolygonfeature:5:41474","ZIP Code 28138","country:us/state:nc/zip:28138","28138","170","120","41","101","10","17","27","30","35","65","49","69","44","44","39","169","100","221","105","0","225","354","543","336","124"
"publicpolygonfeature:5:41476","ZIP Code 28146","country:us/state:nc/zip:28146","28146","1302","410","94","171","151","97","28","293","128","56","126","125","61","137","141","175","40","506","232","37","895","590","869","659","384"
"publicpolygonfeature:5:41477","ZIP Code 28147","country:us/state:nc/zip:28147","28147","656","309","106","100","80","99","0","66","121","47","38","5","103","46","160","367","121","672","177","78","673","466","833","352","506"
"publicpolygonfeature:5:41480","ZIP Code 28159","country:us/state:nc/zip:28159","28159","58","41","48","0","0","0","0","0","0","0","8","27","0","0","0","16","0","78","43","0","147","52","221","65","78"
"publicpolygonfeature:5:41482","ZIP Code 28206","country:us/state:nc/zip:28206","28206","440","394","166","116","6","0","0","66","106","77","0","102","14","0","112","339","26","403","390","0","443","136","534","445","333"
"publicpolygonfeature:5:41483","ZIP Code 28164","country:us/state:nc/zip:28164","28164","546","164","242","64","49","0","27","63","5","64","0","47","86","7","223","160","128","370","289","11","226","359","366","124","515"
