"feature id","feature label","shid","geoid","Male Employed in Management Occupation (2020-2024)","Male Employed in Business and Finance Occupation (2020-2024)","Male Employed in Computer and Mathematical Occupation (2020-2024)","Male Employed in Architecture and Engineering Occupation (2020-2024)","Male Employed in Life, Physical, and Social Science Occupation (2020-2024)","Male Employed in Community and Social Service Occupation (2020-2024)","Male Employed in Legal Occupation (2020-2024)","Male Employed in Education, Training and Library Occupation (2020-2024)","Male Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Male Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Male Employed in Health Technologist and Technicians Occupation (2020-2024)","Male Employed in Healthcare Support Occupation (2020-2024)","Male Employed in Fire Fighting and Prevention Occupation (2020-2024)","Male Employed in Law Enforcement Occupation (2020-2024)","Male Employed in Food Preparation and Serving Occupation (2020-2024)","Male Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Male Employed in Personal Care and Service Occupation (2020-2024)","Male Employed in Sales Occupation (2020-2024)","Male Employed in Office and Administrative Support Occupation (2020-2024)","Male Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Male Employed in Construction and Extraction Occupation (2020-2024)","Male Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Male Employed in Production Occupation (2020-2024)","Male Employed in Transportation Occupation (2020-2024)","Male Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:44572","ZIP Code 37057","country:us/state:tn/zip:37057","37057","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","15","13","0","27","20","57","0","17"
"publicpolygonfeature:5:44575","ZIP Code 37062","country:us/state:tn/zip:37062","37062","498","210","479","114","0","0","0","27","105","90","24","44","18","20","112","98","51","479","118","49","258","163","161","151","156"
"publicpolygonfeature:5:44576","ZIP Code 37064","country:us/state:tn/zip:37064","37064","3690","1749","1628","875","108","186","412","446","528","512","215","25","152","50","787","932","179","2349","1176","51","906","440","286","676","284"
"publicpolygonfeature:5:44577","ZIP Code 37066","country:us/state:tn/zip:37066","37066","2773","696","765","480","70","124","171","293","299","345","233","139","290","335","261","799","80","1903","858","8","961","1149","1209","1023","1629"
"publicpolygonfeature:5:44579","ZIP Code 37067","country:us/state:tn/zip:37067","37067","2111","834","1118","338","43","186","71","320","332","242","131","0","140","42","473","131","172","1512","335","0","290","141","269","269","106"
"publicpolygonfeature:5:44580","ZIP Code 37069","country:us/state:tn/zip:37069","37069","1536","854","220","201","115","62","167","204","250","178","82","0","23","16","179","94","20","832","400","12","254","73","0","103","63"
"publicpolygonfeature:5:44581","ZIP Code 37072","country:us/state:tn/zip:37072","37072","819","346","567","350","15","117","49","143","296","163","93","70","303","77","224","190","170","597","421","69","1096","432","484","635","447"
"publicpolygonfeature:5:44582","ZIP Code 37073","country:us/state:tn/zip:37073","37073","434","122","191","82","0","60","37","120","115","69","43","0","81","32","46","188","7","352","190","0","476","440","348","296","234"
"publicpolygonfeature:5:44583","ZIP Code 37074","country:us/state:tn/zip:37074","37074","63","85","35","37","0","0","0","95","11","50","60","0","32","237","28","107","0","121","174","0","315","163","353","176","513"
"publicpolygonfeature:5:44584","ZIP Code 37075","country:us/state:tn/zip:37075","37075","3465","1197","980","798","67","411","159","510","718","388","220","79","165","319","1073","296","170","2189","1040","43","1055","911","790","1290","806"
"publicpolygonfeature:5:44585","ZIP Code 37080","country:us/state:tn/zip:37080","37080","238","111","48","34","18","24","18","0","93","0","0","0","47","13","41","136","0","115","109","0","174","162","100","141","74"
"publicpolygonfeature:5:44586","ZIP Code 37082","country:us/state:tn/zip:37082","37082","168","81","98","26","5","24","12","37","6","17","12","0","17","13","100","35","5","170","36","4","184","44","101","204","86"
"publicpolygonfeature:5:44587","ZIP Code 37218","country:us/state:tn/zip:37218","37218","305","97","124","73","39","48","0","113","105","43","11","118","46","6","231","106","20","211","173","0","114","158","272","135","234"
"publicpolygonfeature:5:44588","ZIP Code 37083","country:us/state:tn/zip:37083","37083","357","51","47","99","26","45","0","58","0","109","75","0","21","290","59","257","98","293","162","361","567","271","615","304","298"
"publicpolygonfeature:5:44589","ZIP Code 37085","country:us/state:tn/zip:37085","37085","169","49","57","106","0","35","0","50","6","53","22","0","46","29","60","97","0","129","87","0","128","215","260","60","143"
"publicpolygonfeature:5:44590","ZIP Code 37087","country:us/state:tn/zip:37087","37087","1966","896","436","525","62","190","71","380","243","81","329","97","69","467","609","327","198","1524","584","1","1650","623","1062","782","1131"
"publicpolygonfeature:5:44591","ZIP Code 37219","country:us/state:tn/zip:37219","37219","198","134","0","0","94","0","0","71","13","0","0","0","0","0","150","99","0","191","57","0","14","0","0","21","0"
"publicpolygonfeature:5:44592","ZIP Code 37090","country:us/state:tn/zip:37090","37090","964","269","338","158","30","52","20","112","53","86","53","0","242","22","153","79","51","282","524","38","534","443","432","427","432"
"publicpolygonfeature:5:44594","ZIP Code 37220","country:us/state:tn/zip:37220","37220","415","118","60","24","31","20","145","22","88","113","0","5","0","0","0","7","35","227","46","0","27","45","31","24","0"
"publicpolygonfeature:5:44595","ZIP Code 37095","country:us/state:tn/zip:37095","37095","105","2","5","0","0","1","0","3","30","13","2","47","21","2","21","0","0","8","96","2","35","38","8","67","49"
"publicpolygonfeature:5:44599","ZIP Code 37098","country:us/state:tn/zip:37098","37098","175","86","51","0","0","0","0","25","15","0","21","125","29","59","30","41","11","0","25","0","215","236","134","82","44"
"publicpolygonfeature:5:44600","ZIP Code 37128","country:us/state:tn/zip:37128","37128","3285","1012","1155","873","60","405","129","673","541","455","170","30","311","293","759","1595","175","1343","2028","99","2128","1951","1478","1533","958"
"publicpolygonfeature:5:44603","ZIP Code 37132","country:us/state:tn/zip:37132","37132","25","0","6","4","0","0","0","41","27","0","21","16","0","0","42","7","42","97","44","0","10","43","54","5","90"
"publicpolygonfeature:5:44604","ZIP Code 37122","country:us/state:tn/zip:37122","37122","3086","1402","1465","869","120","354","132","374","435","465","114","143","154","155","565","938","252","2514","853","74","1102","763","1007","1119","867"
"publicpolygonfeature:5:44605","ZIP Code 37127","country:us/state:tn/zip:37127","37127","590","244","290","81","28","13","33","280","193","16","58","83","15","157","266","80","15","447","421","0","349","305","369","433","443"
"publicpolygonfeature:5:44606","ZIP Code 37129","country:us/state:tn/zip:37129","37129","2808","989","1108","625","107","147","175","924","465","559","163","175","164","465","834","596","167","1790","1030","167","956","779","1462","1330","1255"
"publicpolygonfeature:5:44607","ZIP Code 37130","country:us/state:tn/zip:37130","37130","1680","892","654","498","301","207","132","970","292","152","106","88","140","202","1158","799","56","1818","812","8","1211","1059","1616","791","1152"
"publicpolygonfeature:5:44608","ZIP Code 37137","country:us/state:tn/zip:37137","37137","101","35","9","0","0","0","0","0","0","0","22","0","0","0","0","106","0","14","0","0","51","74","82","19","5"
"publicpolygonfeature:5:44609","ZIP Code 37138","country:us/state:tn/zip:37138","37138","1026","309","225","226","29","21","0","312","423","95","44","40","136","145","189","113","192","510","574","0","626","213","332","345","427"
"publicpolygonfeature:5:44611","ZIP Code 37209","country:us/state:tn/zip:37209","37209","1995","1262","882","444","36","61","266","1032","685","703","51","73","25","132","450","212","61","1078","773","0","587","222","242","363","340"
"publicpolygonfeature:5:44612","ZIP Code 37145","country:us/state:tn/zip:37145","37145","99","0","53","19","3","0","0","0","9","12","0","25","7","0","35","88","0","69","36","62","47","92","68","37","30"
"publicpolygonfeature:5:44613","ZIP Code 37146","country:us/state:tn/zip:37146","37146","430","101","135","28","39","36","16","128","57","39","0","77","74","111","30","99","0","173","69","0","84","244","150","182","36"
"publicpolygonfeature:5:44614","ZIP Code 37148","country:us/state:tn/zip:37148","37148","713","214","178","64","12","27","9","102","107","43","96","21","77","184","180","160","20","676","318","0","1087","780","1321","523","339"
"publicpolygonfeature:5:44615","ZIP Code 37149","country:us/state:tn/zip:37149","37149","49","35","52","44","0","0","0","29","0","0","0","20","4","11","48","12","0","13","19","23","24","17","101","0","119"
"publicpolygonfeature:5:44616","ZIP Code 37150","country:us/state:tn/zip:37150","37150","143","6","0","0","21","0","8","6","0","19","21","39","0","18","26","19","0","61","50","104","172","94","197","56","49"
"publicpolygonfeature:5:44617","ZIP Code 37151","country:us/state:tn/zip:37151","37151","9","14","0","0","0","0","0","0","0","3","0","0","0","0","0","51","0","13","17","9","0","7","34","9","35"
"publicpolygonfeature:5:44618","ZIP Code 37153","country:us/state:tn/zip:37153","37153","268","52","200","76","0","33","0","27","16","12","11","0","0","32","34","52","0","92","123","0","167","40","39","64","41"
"publicpolygonfeature:5:44621","ZIP Code 37210","country:us/state:tn/zip:37210","37210","692","236","526","39","22","44","61","166","132","57","0","81","35","0","480","226","27","298","306","0","648","236","257","218","344"
"publicpolygonfeature:5:44622","ZIP Code 37167","country:us/state:tn/zip:37167","37167","1692","745","890","711","52","121","8","211","430","106","209","251","206","137","922","711","169","1586","957","71","2665","1007","1902","1370","1140"
"publicpolygonfeature:5:44625","ZIP Code 37172","country:us/state:tn/zip:37172","37172","721","250","180","251","7","188","27","114","173","45","8","10","99","143","156","482","9","621","188","14","1143","808","940","468","741"
"publicpolygonfeature:5:44626","ZIP Code 37215","country:us/state:tn/zip:37215","37215","1435","662","261","159","90","36","472","379","295","769","31","21","0","23","95","26","107","530","258","0","72","42","81","13","40"
"publicpolygonfeature:5:44627","ZIP Code 37174","country:us/state:tn/zip:37174","37174","2367","1219","1572","377","44","137","132","367","1123","373","79","31","239","282","649","372","89","1559","620","23","831","381","850","863","573"
"publicpolygonfeature:5:44630","ZIP Code 37181","country:us/state:tn/zip:37181","37181","58","10","0","0","0","3","0","5","0","15","0","0","3","0","0","3","0","67","54","120","64","14","75","28","9"
"publicpolygonfeature:5:44632","ZIP Code 37186","country:us/state:tn/zip:37186","37186","225","38","19","71","0","20","12","62","93","8","0","0","6","4","16","36","35","344","161","0","200","317","428","142","430"
"publicpolygonfeature:5:44633","ZIP Code 37179","country:us/state:tn/zip:37179","37179","988","220","290","128","28","118","55","139","289","105","114","0","100","100","72","89","70","692","235","0","361","111","70","341","181"
"publicpolygonfeature:5:44634","ZIP Code 37189","country:us/state:tn/zip:37189","37189","290","51","0","45","0","28","0","36","17","0","0","0","49","15","22","9","9","97","20","0","28","137","17","74","26"
"publicpolygonfeature:5:44635","ZIP Code 37216","country:us/state:tn/zip:37216","37216","1337","352","585","178","55","74","80","135","813","193","83","4","64","51","154","67","73","404","246","15","274","41","171","290","222"
"publicpolygonfeature:5:44637","ZIP Code 37203","country:us/state:tn/zip:37203","37203","1666","885","717","195","174","0","17","343","683","565","46","160","77","8","274","97","52","1043","270","0","145","104","178","123","266"
"publicpolygonfeature:5:44638","ZIP Code 37184","country:us/state:tn/zip:37184","37184","282","50","18","21","57","0","0","41","26","40","0","0","23","128","87","44","0","59","102","0","206","105","182","124","80"
"publicpolygonfeature:5:44639","ZIP Code 37204","country:us/state:tn/zip:37204","37204","930","563","340","115","33","158","106","372","335","361","46","73","8","35","247","45","97","491","166","0","79","40","69","178","108"
"publicpolygonfeature:5:44640","ZIP Code 37205","country:us/state:tn/zip:37205","37205","1353","730","465","220","78","84","719","269","300","413","20","0","19","76","171","88","62","855","296","30","193","103","52","62","197"
"publicpolygonfeature:5:44642","ZIP Code 37187","country:us/state:tn/zip:37187","37187","487","96","0","0","0","0","0","14","103","28","0","0","47","31","129","24","18","290","130","0","252","184","362","97","123"
"publicpolygonfeature:5:44643","ZIP Code 37188","country:us/state:tn/zip:37188","37188","784","201","251","272","13","27","45","192","129","94","31","0","62","108","125","213","59","594","304","0","364","447","423","356","295"
"publicpolygonfeature:5:44644","ZIP Code 37206","country:us/state:tn/zip:37206","37206","1641","565","809","279","75","107","209","237","948","250","35","0","88","71","514","96","123","1387","380","0","239","115","150","430","251"
