"feature id","feature label","shid","geoid","Male Employed in Management Occupation (2020-2024)","Male Employed in Business and Finance Occupation (2020-2024)","Male Employed in Computer and Mathematical Occupation (2020-2024)","Male Employed in Architecture and Engineering Occupation (2020-2024)","Male Employed in Life, Physical, and Social Science Occupation (2020-2024)","Male Employed in Community and Social Service Occupation (2020-2024)","Male Employed in Legal Occupation (2020-2024)","Male Employed in Education, Training and Library Occupation (2020-2024)","Male Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Male Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Male Employed in Health Technologist and Technicians Occupation (2020-2024)","Male Employed in Healthcare Support Occupation (2020-2024)","Male Employed in Fire Fighting and Prevention Occupation (2020-2024)","Male Employed in Law Enforcement Occupation (2020-2024)","Male Employed in Food Preparation and Serving Occupation (2020-2024)","Male Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Male Employed in Personal Care and Service Occupation (2020-2024)","Male Employed in Sales Occupation (2020-2024)","Male Employed in Office and Administrative Support Occupation (2020-2024)","Male Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Male Employed in Construction and Extraction Occupation (2020-2024)","Male Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Male Employed in Production Occupation (2020-2024)","Male Employed in Transportation Occupation (2020-2024)","Male Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:47606","ZIP Code 46103","country:us/state:in/zip:46103","46103","5","0","5","0","0","0","0","0","0","0","0","0","0","1","2","11","0","7","2","0","8","19","43","0","10"
"publicpolygonfeature:5:47610","ZIP Code 46106","country:us/state:in/zip:46106","46106","504","186","180","245","125","16","0","121","49","18","0","29","32","34","170","23","0","332","51","0","95","127","119","121","72"
"publicpolygonfeature:5:47611","ZIP Code 46107","country:us/state:in/zip:46107","46107","178","85","146","79","8","199","19","46","63","39","9","40","36","65","133","60","36","323","246","0","289","322","276","255","224"
"publicpolygonfeature:5:47612","ZIP Code 46110","country:us/state:in/zip:46110","46110","0","0","0","38","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","32","124","0","0"
"publicpolygonfeature:5:47613","ZIP Code 46111","country:us/state:in/zip:46111","46111","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","12","0","5","0","0","20","1","31","21","36"
"publicpolygonfeature:5:47614","ZIP Code 46118","country:us/state:in/zip:46118","46118","220","19","73","14","17","0","0","25","49","0","4","0","8","26","5","118","0","86","27","0","231","109","118","24","148"
"publicpolygonfeature:5:47615","ZIP Code 46112","country:us/state:in/zip:46112","46112","1890","713","792","576","108","185","183","244","174","349","105","0","172","300","307","366","28","1257","812","0","661","629","475","794","464"
"publicpolygonfeature:5:47616","ZIP Code 46113","country:us/state:in/zip:46113","46113","304","109","129","159","0","118","0","42","93","17","31","133","15","42","158","154","8","346","447","77","412","367","275","570","644"
"publicpolygonfeature:5:47618","ZIP Code 46117","country:us/state:in/zip:46117","46117","18","16","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58","0","17","0","21"
"publicpolygonfeature:5:47619","ZIP Code 46280","country:us/state:in/zip:46280","46280","270","178","380","104","51","63","47","45","19","30","0","12","25","0","39","114","0","391","89","0","187","141","48","170","25"
"publicpolygonfeature:5:47621","ZIP Code 46124","country:us/state:in/zip:46124","46124","264","54","15","166","0","40","0","60","29","12","0","0","82","0","162","64","28","118","98","7","136","79","154","109","160"
"publicpolygonfeature:5:47622","ZIP Code 46121","country:us/state:in/zip:46121","46121","232","88","40","63","36","13","9","0","11","32","0","19","55","24","21","16","0","122","48","0","149","163","282","151","61"
"publicpolygonfeature:5:47623","ZIP Code 46122","country:us/state:in/zip:46122","46122","842","217","120","224","21","50","110","81","0","45","8","199","229","77","77","193","41","421","184","3","399","399","602","426","200"
"publicpolygonfeature:5:47624","ZIP Code 46123","country:us/state:in/zip:46123","46123","2307","964","555","478","259","131","176","223","131","39","110","145","266","106","422","375","0","910","498","0","696","460","726","619","1331"
"publicpolygonfeature:5:47625","ZIP Code 46125","country:us/state:in/zip:46125","46125","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:47626","ZIP Code 46290","country:us/state:in/zip:46290","46290","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0"
"publicpolygonfeature:5:47627","ZIP Code 46126","country:us/state:in/zip:46126","46126","106","34","88","57","56","25","3","0","15","7","0","0","39","0","31","27","0","78","75","0","127","59","125","59","34"
"publicpolygonfeature:5:47630","ZIP Code 46142","country:us/state:in/zip:46142","46142","991","578","512","603","162","227","156","315","135","279","290","85","243","5","396","380","33","1024","605","0","856","690","458","474","809"
"publicpolygonfeature:5:47631","ZIP Code 46130","country:us/state:in/zip:46130","46130","99","36","0","53","0","0","0","0","0","8","42","0","0","24","0","0","0","56","30","0","100","61","66","90","0"
"publicpolygonfeature:5:47632","ZIP Code 46131","country:us/state:in/zip:46131","46131","895","321","381","457","35","22","41","146","254","212","111","36","105","188","315","207","70","785","511","18","812","665","753","381","536"
"publicpolygonfeature:5:47634","ZIP Code 46149","country:us/state:in/zip:46149","46149","145","14","0","12","2","0","0","19","0","0","5","0","0","3","0","70","0","45","0","0","42","56","47","2","19"
"publicpolygonfeature:5:47638","ZIP Code 46140","country:us/state:in/zip:46140","46140","1257","584","471","347","65","109","30","662","202","345","55","50","273","264","476","154","197","724","847","0","1623","1219","758","1096","677"
"publicpolygonfeature:5:47639","ZIP Code 46143","country:us/state:in/zip:46143","46143","2369","1266","1259","884","302","66","84","257","102","542","19","58","253","90","463","441","57","1391","1226","45","1541","901","1221","939","1012"
"publicpolygonfeature:5:47640","ZIP Code 46144","country:us/state:in/zip:46144","46144","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","12","28","13"
"publicpolygonfeature:5:47642","ZIP Code 46147","country:us/state:in/zip:46147","46147","72","40","4","0","2","0","2","2","4","1","67","5","7","3","25","48","24","36","3","16","79","31","127","22","9"
"publicpolygonfeature:5:47644","ZIP Code 46157","country:us/state:in/zip:46157","46157","97","41","39","12","0","11","0","21","0","10","3","9","0","56","55","15","0","83","39","0","173","215","111","84","33"
"publicpolygonfeature:5:47645","ZIP Code 46158","country:us/state:in/zip:46158","46158","696","212","216","146","77","95","0","156","33","67","27","28","89","31","77","173","0","460","311","35","620","733","725","777","256"
"publicpolygonfeature:5:47647","ZIP Code 46160","country:us/state:in/zip:46160","46160","130","10","35","55","0","0","0","7","36","115","0","15","57","2","52","14","0","43","51","0","350","200","176","167","106"
"publicpolygonfeature:5:47648","ZIP Code 46161","country:us/state:in/zip:46161","46161","130","9","20","37","0","0","0","6","0","0","3","9","0","28","3","7","0","17","25","0","76","39","82","80","23"
"publicpolygonfeature:5:47649","ZIP Code 46162","country:us/state:in/zip:46162","46162","27","0","0","27","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","13","10","0","0","0"
"publicpolygonfeature:5:47650","ZIP Code 46163","country:us/state:in/zip:46163","46163","722","254","204","174","53","12","88","50","83","89","23","11","128","129","93","126","67","434","292","0","209","191","288","192","158"
"publicpolygonfeature:5:47651","ZIP Code 46164","country:us/state:in/zip:46164","46164","154","25","65","9","14","26","0","20","21","14","23","0","7","3","54","74","31","83","44","0","193","49","109","143","18"
"publicpolygonfeature:5:47652","ZIP Code 46165","country:us/state:in/zip:46165","46165","105","19","3","31","0","0","9","15","1","30","0","0","1","9","4","23","0","60","7","0","92","73","15","35","6"
"publicpolygonfeature:5:47653","ZIP Code 46166","country:us/state:in/zip:46166","46166","58","4","18","8","0","6","0","0","0","0","11","10","9","20","8","72","0","33","6","5","64","246","68","128","33"
