"feature id","feature label","shid","geoid","Male Employed in Management Occupation (2020-2024)","Male Employed in Business and Finance Occupation (2020-2024)","Male Employed in Computer and Mathematical Occupation (2020-2024)","Male Employed in Architecture and Engineering Occupation (2020-2024)","Male Employed in Life, Physical, and Social Science Occupation (2020-2024)","Male Employed in Community and Social Service Occupation (2020-2024)","Male Employed in Legal Occupation (2020-2024)","Male Employed in Education, Training and Library Occupation (2020-2024)","Male Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Male Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Male Employed in Health Technologist and Technicians Occupation (2020-2024)","Male Employed in Healthcare Support Occupation (2020-2024)","Male Employed in Fire Fighting and Prevention Occupation (2020-2024)","Male Employed in Law Enforcement Occupation (2020-2024)","Male Employed in Food Preparation and Serving Occupation (2020-2024)","Male Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Male Employed in Personal Care and Service Occupation (2020-2024)","Male Employed in Sales Occupation (2020-2024)","Male Employed in Office and Administrative Support Occupation (2020-2024)","Male Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Male Employed in Construction and Extraction Occupation (2020-2024)","Male Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Male Employed in Production Occupation (2020-2024)","Male Employed in Transportation Occupation (2020-2024)","Male Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:34958","ZIP Code 08072","country:us/state:nj/zip:08072","08072","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","27","0","0","0","0","0","0","0","10","0"
"publicpolygonfeature:5:34959","ZIP Code 08073","country:us/state:nj/zip:08073","08073","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:34960","ZIP Code 08074","country:us/state:nj/zip:08074","08074","76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:34961","ZIP Code 08075","country:us/state:nj/zip:08075","08075","858","444","283","165","190","126","118","439","74","49","154","94","161","104","211","196","74","681","606","0","1278","570","508","598","567"
"publicpolygonfeature:5:34962","ZIP Code 08077","country:us/state:nj/zip:08077","08077","765","425","190","287","47","143","114","261","66","189","27","42","71","59","170","112","113","636","345","9","554","219","190","307","147"
"publicpolygonfeature:5:34963","ZIP Code 08078","country:us/state:nj/zip:08078","08078","186","153","50","73","15","22","0","79","108","18","32","15","46","54","41","154","21","298","142","0","229","166","159","137","251"
"publicpolygonfeature:5:34964","ZIP Code 08108","country:us/state:nj/zip:08108","08108","835","468","505","119","81","117","284","219","288","276","27","28","45","42","215","164","81","485","312","0","96","138","202","62","99"
"publicpolygonfeature:5:34965","ZIP Code 08079","country:us/state:nj/zip:08079","08079","216","37","13","129","11","28","6","40","28","41","24","41","10","40","73","90","38","185","182","92","154","172","244","31","279"
"publicpolygonfeature:5:34967","ZIP Code 08080","country:us/state:nj/zip:08080","08080","2293","799","485","201","38","97","72","399","198","799","141","44","65","188","174","233","101","1568","629","0","496","566","401","223","286"
"publicpolygonfeature:5:34968","ZIP Code 08081","country:us/state:nj/zip:08081","08081","1813","887","426","407","91","225","178","362","196","430","164","109","215","344","437","239","252","1637","947","69","688","621","619","1199","632"
"publicpolygonfeature:5:34969","ZIP Code 08083","country:us/state:nj/zip:08083","08083","257","161","95","78","0","27","15","87","80","23","11","39","52","16","106","57","113","375","159","0","100","196","125","126","118"
"publicpolygonfeature:5:34970","ZIP Code 08084","country:us/state:nj/zip:08084","08084","191","71","132","83","30","23","20","24","12","34","11","20","47","58","162","60","8","180","194","0","270","66","162","96","106"
"publicpolygonfeature:5:34971","ZIP Code 08085","country:us/state:nj/zip:08085","08085","842","322","320","285","67","193","71","294","55","249","10","9","50","113","389","81","96","541","226","24","374","217","279","428","383"
"publicpolygonfeature:5:34972","ZIP Code 08086","country:us/state:nj/zip:08086","08086","321","233","150","89","0","13","24","36","45","77","99","0","9","24","74","78","0","301","191","0","97","131","155","87","107"
"publicpolygonfeature:5:34973","ZIP Code 08087","country:us/state:nj/zip:08087","08087","653","236","193","164","39","40","8","190","114","51","28","48","177","345","254","387","166","642","324","59","941","654","346","364","225"
"publicpolygonfeature:5:34974","ZIP Code 08088","country:us/state:nj/zip:08088","08088","874","343","284","253","127","0","118","217","0","155","0","66","68","88","194","148","43","963","146","40","434","433","218","430","74"
"publicpolygonfeature:5:34975","ZIP Code 08089","country:us/state:nj/zip:08089","08089","112","43","9","15","0","2","0","8","56","22","10","0","28","0","21","32","9","143","26","3","293","126","77","88","119"
"publicpolygonfeature:5:34976","ZIP Code 08090","country:us/state:nj/zip:08090","08090","215","147","142","43","4","63","20","108","65","24","98","21","18","87","110","77","23","303","178","0","267","82","232","121","195"
"publicpolygonfeature:5:34977","ZIP Code 08091","country:us/state:nj/zip:08091","08091","137","24","100","25","23","0","16","43","0","20","43","19","28","0","89","197","0","99","120","0","233","51","140","28","23"
"publicpolygonfeature:5:34979","ZIP Code 08093","country:us/state:nj/zip:08093","08093","240","98","35","26","42","19","31","26","69","14","23","38","24","23","58","94","0","270","111","15","249","208","232","256","201"
"publicpolygonfeature:5:34980","ZIP Code 08109","country:us/state:nj/zip:08109","08109","478","413","142","156","44","57","11","66","53","236","80","139","111","118","224","150","53","592","375","56","605","369","514","685","497"
"publicpolygonfeature:5:34981","ZIP Code 08094","country:us/state:nj/zip:08094","08094","1475","692","658","427","25","52","90","211","161","257","449","95","174","387","346","200","36","1013","665","11","1418","753","395","599","438"
"publicpolygonfeature:5:34982","ZIP Code 08095","country:us/state:nj/zip:08095","08095","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
