"feature id","feature label","shid","geoid","Male Employed in Management Occupation (2020-2024)","Male Employed in Business and Finance Occupation (2020-2024)","Male Employed in Computer and Mathematical Occupation (2020-2024)","Male Employed in Architecture and Engineering Occupation (2020-2024)","Male Employed in Life, Physical, and Social Science Occupation (2020-2024)","Male Employed in Community and Social Service Occupation (2020-2024)","Male Employed in Legal Occupation (2020-2024)","Male Employed in Education, Training and Library Occupation (2020-2024)","Male Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Male Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Male Employed in Health Technologist and Technicians Occupation (2020-2024)","Male Employed in Healthcare Support Occupation (2020-2024)","Male Employed in Fire Fighting and Prevention Occupation (2020-2024)","Male Employed in Law Enforcement Occupation (2020-2024)","Male Employed in Food Preparation and Serving Occupation (2020-2024)","Male Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Male Employed in Personal Care and Service Occupation (2020-2024)","Male Employed in Sales Occupation (2020-2024)","Male Employed in Office and Administrative Support Occupation (2020-2024)","Male Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Male Employed in Construction and Extraction Occupation (2020-2024)","Male Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Male Employed in Production Occupation (2020-2024)","Male Employed in Transportation Occupation (2020-2024)","Male Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:41613","ZIP Code 33062","country:us/state:fl/zip:33062","33062","1237","455","147","136","114","31","75","156","403","45","70","17","105","23","390","101","38","684","280","0","754","207","103","170","254"
"publicpolygonfeature:5:41614","ZIP Code 33063","country:us/state:fl/zip:33063","33063","1824","792","1192","156","30","149","149","343","287","183","71","93","484","219","306","1074","361","1378","493","95","1224","786","730","1344","803"
"publicpolygonfeature:5:41650","ZIP Code 33064","country:us/state:fl/zip:33064","33064","1739","907","310","506","47","372","91","235","365","215","450","49","57","226","1940","1256","221","1522","903","60","3213","1766","820","684","1052"
"publicpolygonfeature:5:41655","ZIP Code 33065","country:us/state:fl/zip:33065","33065","1733","505","668","332","102","76","85","271","499","156","201","23","251","270","657","938","476","1457","847","37","1632","954","760","1090","683"
"publicpolygonfeature:5:41656","ZIP Code 33066","country:us/state:fl/zip:33066","33066","277","63","97","146","0","15","64","134","167","63","9","33","95","0","156","109","37","259","97","0","265","230","196","321","122"
"publicpolygonfeature:5:41659","ZIP Code 33067","country:us/state:fl/zip:33067","33067","1619","254","264","186","36","258","228","125","135","312","78","25","168","277","156","49","44","1081","253","0","239","387","214","290","144"
"publicpolygonfeature:5:41664","ZIP Code 33068","country:us/state:fl/zip:33068","33068","1138","289","420","163","0","65","29","583","192","275","154","184","526","42","1036","876","317","1176","1122","0","2055","931","524","1284","1075"
"publicpolygonfeature:5:41668","ZIP Code 33069","country:us/state:fl/zip:33069","33069","809","289","438","32","7","55","46","91","366","132","103","88","52","11","146","198","121","919","296","46","871","430","243","578","452"
"publicpolygonfeature:5:41673","ZIP Code 33071","country:us/state:fl/zip:33071","33071","2002","597","808","271","168","75","66","623","145","180","39","34","71","336","557","362","238","1596","950","18","530","695","369","749","376"
"publicpolygonfeature:5:41677","ZIP Code 33073","country:us/state:fl/zip:33073","33073","1134","690","457","401","77","109","212","220","161","65","68","18","191","283","283","281","230","1238","511","58","554","582","268","646","508"
"publicpolygonfeature:5:41703","ZIP Code 33076","country:us/state:fl/zip:33076","33076","2736","1548","547","436","7","99","148","61","564","629","48","37","31","398","150","125","187","1322","262","0","246","155","412","729","489"
"publicpolygonfeature:5:41718","ZIP Code 33101","country:us/state:fl/zip:33101","33101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:41719","ZIP Code 33109","country:us/state:fl/zip:33109","33109","109","0","0","25","0","0","22","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0"
"publicpolygonfeature:5:41784","ZIP Code 33122","country:us/state:fl/zip:33122","33122","210","49","39","0","22","0","0","0","0","12","7","0","0","0","0","24","0","99","0","0","18","0","39","114","50"
"publicpolygonfeature:5:41793","ZIP Code 33125","country:us/state:fl/zip:33125","33125","1686","237","300","209","107","40","64","97","260","424","50","58","444","6","1483","799","236","1745","899","157","3086","1130","444","1380","781"
"publicpolygonfeature:5:41796","ZIP Code 33126","country:us/state:fl/zip:33126","33126","1152","356","376","231","56","101","16","185","341","338","45","116","400","116","586","420","232","1502","1061","52","1894","914","515","1742","614"
"publicpolygonfeature:5:41799","ZIP Code 33127","country:us/state:fl/zip:33127","33127","423","24","108","0","0","38","33","63","149","54","142","52","166","43","451","267","68","441","242","208","1679","428","91","356","307"
"publicpolygonfeature:5:41814","ZIP Code 33128","country:us/state:fl/zip:33128","33128","157","182","125","57","23","28","10","44","81","68","0","102","72","0","323","29","15","218","275","0","688","141","100","215","25"
