"feature id","feature label","shid","geoid","Male Employed in Management Occupation (2020-2024)","Male Employed in Business and Finance Occupation (2020-2024)","Male Employed in Computer and Mathematical Occupation (2020-2024)","Male Employed in Architecture and Engineering Occupation (2020-2024)","Male Employed in Life, Physical, and Social Science Occupation (2020-2024)","Male Employed in Community and Social Service Occupation (2020-2024)","Male Employed in Legal Occupation (2020-2024)","Male Employed in Education, Training and Library Occupation (2020-2024)","Male Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Male Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Male Employed in Health Technologist and Technicians Occupation (2020-2024)","Male Employed in Healthcare Support Occupation (2020-2024)","Male Employed in Fire Fighting and Prevention Occupation (2020-2024)","Male Employed in Law Enforcement Occupation (2020-2024)","Male Employed in Food Preparation and Serving Occupation (2020-2024)","Male Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Male Employed in Personal Care and Service Occupation (2020-2024)","Male Employed in Sales Occupation (2020-2024)","Male Employed in Office and Administrative Support Occupation (2020-2024)","Male Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Male Employed in Construction and Extraction Occupation (2020-2024)","Male Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Male Employed in Production Occupation (2020-2024)","Male Employed in Transportation Occupation (2020-2024)","Male Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:43543","ZIP Code 33565","country:us/state:fl/zip:33565","33565","483","103","159","61","0","11","0","61","75","36","14","0","73","112","52","303","76","668","200","121","730","364","199","262","238"
"publicpolygonfeature:5:43544","ZIP Code 33566","country:us/state:fl/zip:33566","33566","1042","441","167","63","53","74","16","114","63","129","0","70","80","76","392","402","93","509","156","303","665","545","283","461","383"
"publicpolygonfeature:5:43546","ZIP Code 33567","country:us/state:fl/zip:33567","33567","350","85","62","40","0","40","6","79","0","34","59","32","15","57","132","218","49","176","113","323","518","503","197","142","94"
"publicpolygonfeature:5:43547","ZIP Code 33569","country:us/state:fl/zip:33569","33569","1218","489","513","316","0","71","37","252","85","213","60","22","143","171","82","163","139","858","366","4","645","271","291","506","351"
"publicpolygonfeature:5:43548","ZIP Code 33570","country:us/state:fl/zip:33570","33570","927","129","234","175","45","47","0","90","43","57","62","100","164","78","331","537","24","582","604","45","947","692","587","714","461"
"publicpolygonfeature:5:43549","ZIP Code 33572","country:us/state:fl/zip:33572","33572","1509","432","542","234","23","180","9","248","146","110","122","17","239","32","211","171","87","610","313","14","401","130","334","364","324"
"publicpolygonfeature:5:43550","ZIP Code 33573","country:us/state:fl/zip:33573","33573","932","349","218","192","25","26","0","152","99","56","5","99","13","241","131","27","11","989","591","0","264","268","194","227","152"
"publicpolygonfeature:5:43551","ZIP Code 33578","country:us/state:fl/zip:33578","33578","2307","1063","786","518","57","54","319","302","218","424","328","46","209","177","623","707","173","1361","1234","47","1371","525","510","842","820"
"publicpolygonfeature:5:43552","ZIP Code 33579","country:us/state:fl/zip:33579","33579","1879","976","1170","269","35","94","0","356","57","162","249","121","225","246","254","539","0","1682","971","73","1472","401","281","498","930"
"publicpolygonfeature:5:43553","ZIP Code 33584","country:us/state:fl/zip:33584","33584","964","302","167","208","129","117","97","298","229","82","142","32","212","0","266","397","75","480","582","26","679","560","442","428","249"
"publicpolygonfeature:5:43555","ZIP Code 33604","country:us/state:fl/zip:33604","33604","1058","642","561","280","57","142","171","155","141","220","36","91","164","12","720","384","128","965","742","26","1020","497","436","674","581"
"publicpolygonfeature:5:43556","ZIP Code 33592","country:us/state:fl/zip:33592","33592","453","267","62","62","0","47","0","104","35","142","27","38","61","19","35","176","14","295","128","31","439","319","260","233","149"
"publicpolygonfeature:5:43557","ZIP Code 33594","country:us/state:fl/zip:33594","33594","1331","608","728","437","44","60","88","291","190","142","105","150","261","192","659","454","97","1083","456","147","400","556","454","917","135"
"publicpolygonfeature:5:43558","ZIP Code 33596","country:us/state:fl/zip:33596","33596","1087","397","593","261","105","77","37","269","54","219","56","36","273","166","144","179","93","1276","447","0","219","363","218","226","379"
"publicpolygonfeature:5:43559","ZIP Code 33605","country:us/state:fl/zip:33605","33605","396","286","248","17","0","18","38","58","110","43","15","0","89","24","244","106","71","268","308","52","547","180","174","316","264"
"publicpolygonfeature:5:43560","ZIP Code 33606","country:us/state:fl/zip:33606","33606","1531","1015","380","220","110","55","298","164","179","561","20","21","48","32","212","69","35","1043","173","0","159","90","81","114","73"
"publicpolygonfeature:5:43561","ZIP Code 33597","country:us/state:fl/zip:33597","33597","319","19","16","29","26","0","22","15","0","37","25","42","91","33","1","232","116","279","18","30","804","219","154","108","30"
"publicpolygonfeature:5:43562","ZIP Code 33598","country:us/state:fl/zip:33598","33598","885","352","478","78","61","29","31","27","18","87","0","0","107","82","63","620","14","683","219","723","1328","311","245","852","478"
