"feature id","feature label","shid","geoid","Number of Jobs (2023)"
"publicpolygonfeature:5:44592","ZIP Code 37090","country:us/state:tn/zip:37090","37090","14610"
"publicpolygonfeature:5:44594","ZIP Code 37220","country:us/state:tn/zip:37220","37220","1873"
"publicpolygonfeature:5:44595","ZIP Code 37095","country:us/state:tn/zip:37095","37095","81"
"publicpolygonfeature:5:44599","ZIP Code 37098","country:us/state:tn/zip:37098","37098","476"
"publicpolygonfeature:5:44600","ZIP Code 37128","country:us/state:tn/zip:37128","37128","16284"
"publicpolygonfeature:5:44603","ZIP Code 37132","country:us/state:tn/zip:37132","37132","364"
"publicpolygonfeature:5:44604","ZIP Code 37122","country:us/state:tn/zip:37122","37122","23143"
"publicpolygonfeature:5:44605","ZIP Code 37127","country:us/state:tn/zip:37127","37127","12877"
"publicpolygonfeature:5:44606","ZIP Code 37129","country:us/state:tn/zip:37129","37129","39232"
"publicpolygonfeature:5:44607","ZIP Code 37130","country:us/state:tn/zip:37130","37130","15600"
"publicpolygonfeature:5:44608","ZIP Code 37137","country:us/state:tn/zip:37137","37137","397"
"publicpolygonfeature:5:44609","ZIP Code 37138","country:us/state:tn/zip:37138","37138","4062"
"publicpolygonfeature:5:44611","ZIP Code 37209","country:us/state:tn/zip:37209","37209","30650"
"publicpolygonfeature:5:44612","ZIP Code 37145","country:us/state:tn/zip:37145","37145","169"
"publicpolygonfeature:5:44613","ZIP Code 37146","country:us/state:tn/zip:37146","37146","2173"
"publicpolygonfeature:5:44614","ZIP Code 37148","country:us/state:tn/zip:37148","37148","9410"
"publicpolygonfeature:5:44615","ZIP Code 37149","country:us/state:tn/zip:37149","37149","357"
"publicpolygonfeature:5:44616","ZIP Code 37150","country:us/state:tn/zip:37150","37150","635"
"publicpolygonfeature:5:44617","ZIP Code 37151","country:us/state:tn/zip:37151","37151","25"
"publicpolygonfeature:5:44618","ZIP Code 37153","country:us/state:tn/zip:37153","37153","422"
"publicpolygonfeature:5:44621","ZIP Code 37210","country:us/state:tn/zip:37210","37210","34945"
"publicpolygonfeature:5:44622","ZIP Code 37167","country:us/state:tn/zip:37167","37167","33815"
"publicpolygonfeature:5:44625","ZIP Code 37172","country:us/state:tn/zip:37172","37172","13473"
"publicpolygonfeature:5:44626","ZIP Code 37215","country:us/state:tn/zip:37215","37215","16214"
"publicpolygonfeature:5:44627","ZIP Code 37174","country:us/state:tn/zip:37174","37174","17918"
"publicpolygonfeature:5:44630","ZIP Code 37181","country:us/state:tn/zip:37181","37181","145"
"publicpolygonfeature:5:44632","ZIP Code 37186","country:us/state:tn/zip:37186","37186","764"
"publicpolygonfeature:5:44633","ZIP Code 37179","country:us/state:tn/zip:37179","37179","1793"
"publicpolygonfeature:5:44634","ZIP Code 37189","country:us/state:tn/zip:37189","37189","1729"
"publicpolygonfeature:5:44635","ZIP Code 37216","country:us/state:tn/zip:37216","37216","3236"
"publicpolygonfeature:5:44637","ZIP Code 37203","country:us/state:tn/zip:37203","37203","107352"
"publicpolygonfeature:5:44638","ZIP Code 37184","country:us/state:tn/zip:37184","37184","550"
"publicpolygonfeature:5:44639","ZIP Code 37204","country:us/state:tn/zip:37204","37204","44969"
"publicpolygonfeature:5:44640","ZIP Code 37205","country:us/state:tn/zip:37205","37205","16404"
"publicpolygonfeature:5:44642","ZIP Code 37187","country:us/state:tn/zip:37187","37187","1030"
"publicpolygonfeature:5:44643","ZIP Code 37188","country:us/state:tn/zip:37188","37188","4764"
"publicpolygonfeature:5:44644","ZIP Code 37206","country:us/state:tn/zip:37206","37206","9972"
"publicpolygonfeature:5:44645","ZIP Code 37190","country:us/state:tn/zip:37190","37190","1893"
"publicpolygonfeature:5:44647","ZIP Code 37201","country:us/state:tn/zip:37201","37201","14078"
"publicpolygonfeature:5:44648","ZIP Code 37211","country:us/state:tn/zip:37211","37211","40944"
"publicpolygonfeature:5:44649","ZIP Code 37212","country:us/state:tn/zip:37212","37212","55397"
"publicpolygonfeature:5:44650","ZIP Code 37213","country:us/state:tn/zip:37213","37213","2119"
"publicpolygonfeature:5:44651","ZIP Code 37214","country:us/state:tn/zip:37214","37214","37689"
"publicpolygonfeature:5:44652","ZIP Code 37221","country:us/state:tn/zip:37221","37221","7905"
"publicpolygonfeature:5:44653","ZIP Code 37228","country:us/state:tn/zip:37228","37228","17750"
"publicpolygonfeature:5:44933","ZIP Code 38401","country:us/state:tn/zip:38401","38401","23730"
"publicpolygonfeature:5:45004","ZIP Code 38548","country:us/state:tn/zip:38548","38548","33"
"publicpolygonfeature:5:45007","ZIP Code 38552","country:us/state:tn/zip:38552","38552",
"publicpolygonfeature:5:45038","ZIP Code 38563","country:us/state:tn/zip:38563","38563","1726"
"publicpolygonfeature:5:45097","ZIP Code 38451","country:us/state:tn/zip:38451","38451","227"
"publicpolygonfeature:5:45103","ZIP Code 38454","country:us/state:tn/zip:38454","38454","7"
"publicpolygonfeature:5:45105","ZIP Code 38461","country:us/state:tn/zip:38461","38461","80"
"publicpolygonfeature:5:45120","ZIP Code 38474","country:us/state:tn/zip:38474","38474","2011"
"publicpolygonfeature:5:45121","ZIP Code 38482","country:us/state:tn/zip:38482","38482","66"
"publicpolygonfeature:5:45123","ZIP Code 38476","country:us/state:tn/zip:38476","38476","58"
"publicpolygonfeature:5:45129","ZIP Code 38487","country:us/state:tn/zip:38487","38487","24"
"publicpolygonfeature:5:45135","ZIP Code 38547","country:us/state:tn/zip:38547","38547","510"
"publicpolygonfeature:5:45149","ZIP Code 38560","country:us/state:tn/zip:38560","38560","30"
"publicpolygonfeature:5:45150","ZIP Code 38567","country:us/state:tn/zip:38567","38567","8"
"publicpolygonfeature:5:45154","ZIP Code 38569","country:us/state:tn/zip:38569","38569","21"
"publicpolygonfeature:5:6676390","ZIP Code 37238","country:us/state:tn/zip:37238","37238","2651"
"publicpolygonfeature:5:6677960","ZIP Code 37232","country:us/state:tn/zip:37232","37232","3056"
"publicpolygonfeature:22:928499","Nashville-Davidson--Murfreesboro--Franklin, TN Area","country:us/state:tn/msa:nashville-davidson--murfreesboro--franklin","34980","1132736"
