ZIP_Code,Actual_Rent,Predicted_Rent,Rent_Difference,Population,Bachelors_Pct,Median_Income,Spatial_Mismatch_Index,Mismatch_Tier,Unemployment_Rate_Pct,Predicted_Unemployment_Pct,Job_Density_Ratio,Transit_Pct,Drive_Alone_Pct,Mean_Commute_Time,Long_Commute_Share_Pct,Short_Commute_Share_Pct,Dominant_Sector,Transport_Verdict,Skills_Predicted_Score,Skills_Actual_Score,Skills_Prediction_Error,Skills_Severity,Skills_Gap_LessThan_HS,housing_score,spatial_score,skills_score,composite_score,color_label
32225,1729,1748,-19,55905,44.5,90559,36.8,Medium,3.32,4.36,0.419,0.0,90.7,27.4388534234572,35.03,12.48,Retail,UPGRADE TRANSIT â€” no transit infrastructure,0.20470397,0.210923996,0.006220024,Moderate,-0.118878676,37.03703703703704,37.96296296296296,77.77777777777777,50.925925925925924,yellow
32233,1681,1707,-26,24633,44.4,89185,29.9,Low,4.48,4.07,0.443,0.32,90.2,25.6265803425774,37.87,29.3,Food/Hospitality,MONITOR â€” moderate mismatch,0.17714721,0.184530695,0.007383485,Low,-0.090461785,38.888888888888886,61.11111111111111,70.37037037037038,56.79012345679013,yellow
32234,1096,1110,-14,9678,20.0,87331,26.8,Low,3.95,3.93,0.255,0.0,95.2,37.1948018528049,57.44,7.69,Manufacturing,UPGRADE TRANSIT â€” no transit infrastructure,0.11370561,0.138889838,0.025184226,Low,-0.089738969,35.18518518518519,68.51851851851852,20.370370370370367,41.358024691358025,yellow
32244,1470,1526,-56,63592,25.5,62204,70.3,High,4.49,5.81,0.289,0.64,84.7,29.5363902578387,44.98,12.26,Retail,MONITOR â€” moderate mismatch,0.10539408,0.090675687,0.014718393,Low,-0.090675687,47.22222222222222,9.259259259259252,42.592592592592595,33.02469135802469,red
32246,1761,1751,10,62562,39.6,80963,1.0,Low,2.17,2.82,0.958,0.11,88.7,24.0961455949656,25.91,16.52,Finance,MONITOR â€” moderate mismatch,0.11425042,0.086909228,0.027341193,Low,-0.060296077,26.851851851851848,98.14814814814815,11.111111111111114,45.370370370370374,yellow
32250,1787,2069,-282,29072,54.6,117724,14.4,Low,2.33,3.39,0.785,0.1,91.9,24.5255214723926,33.0,26.81,Food/Hospitality,MONITOR â€” moderate mismatch,0.24449907,0.237548011,0.006951061,Moderate,-0.089844416,96.29629629629629,90.74074074074073,74.07407407407408,87.03703703703702,green
32254,1187,1262,-75,13927,11.7,34953,64.0,Medium,9.83,5.54,2.163,3.47,82.7,27.4244232299124,34.57,23.23,Manufacturing,MONITOR â€” high unemployment despite some transit,0.13853253,0.160823143,0.022290609,Low,0.051780038,54.629629629629626,14.81481481481481,29.629629629629633,33.02469135802469,red
32256,1698,1703,-5,58192,52.8,73570,25.0,Low,2.09,3.85,1.588,0.19,92.7,22.4845521745371,25.14,24.6,Finance,MONITOR â€” moderate mismatch,0.22901334,0.238908605,0.009895267,Moderate,-0.093724676,31.48148148148148,74.07407407407408,57.407407407407405,54.32098765432099,yellow
32257,1518,1593,-75,42904,36.6,75780,31.5,Low,2.65,4.14,0.503,0.24,86.0,25.622646225629,35.92,19.93,Health Care,MONITOR â€” moderate mismatch,0.111666195,0.115813979,0.004147784,Low,-0.086523424,54.629629629629626,53.7037037037037,83.33333333333334,63.88888888888889,yellow
32258,1928,1940,-12,40408,47.0,102204,5.7,Low,2.13,3.02,0.677,0.0,93.9,26.1979728528243,41.28,18.67,Finance,UPGRADE TRANSIT â€” no transit infrastructure,0.17813164,0.168214724,0.009916916,Low,-0.101710708,33.33333333333334,96.29629629629629,55.55555555555556,61.728395061728385,yellow
32259,2257,2318,-61,75016,55.4,150736,17.2,Low,2.78,3.52,0.203,0.0,94.9,30.6912251003858,55.58,15.23,Retail,UPGRADE TRANSIT â€” no transit infrastructure,0.2786973,0.270219135,0.008478177,Moderate,-0.125214104,50.0,87.03703703703704,66.66666666666667,67.90123456790123,green
32266,1763,2031,-268,7168,60.9,119294,19.4,Low,2.14,3.61,0.453,0.0,93.1,24.2721479639415,36.74,36.37,Food/Hospitality,UPGRADE TRANSIT â€” no transit infrastructure,0.2979378,0.35839917,0.060461359,Moderate,-0.096779998,94.44444444444444,83.33333333333334,0.0,59.25925925925926,yellow
32277,1378,1579,-201,36338,25.9,61554,70.6,High,5.17,5.83,0.195,1.54,76.1,26.7608785887236,35.4,9.03,Education,UPGRADE TRANSIT + JOB CREATION â€” severe job deficit,0.07156095,0.057660161,0.013900788,Low,-0.047807584,90.74074074074073,7.407407407407405,48.14814814814815,48.76543209876544,yellow
