geoid,city,actual_rent,actual_rent_percentile,predicted_rent,predicted_rent_percentile,rent_discrepancy_dollars,rent_discrepancy_pct,rent_discrepancy_pct_percentile,median_income,median_income_percentile,poverty_rate,poverty_rate_percentile,affluence_rate,affluence_rate_percentile,avg_housing_age,avg_housing_age_percentile,housing_cost_burden,housing_cost_burden_percentile,population_growth,population_growth_percentile,population_density,population_density_percentile,transit_usage,transit_usage_percentile,commute_time,commute_time_percentile
43214,Columbus,1272.0,31.760644418872268,1300.2545,31.0126582278481,-28.2545166015625,-2.1729989198892006,38.89528193325661,94183.0,60.416666666666664,11.269787298349012,43.72842347525892,80.25614870225547,62.370540851553514,64.2237164670446,89.29804372842347,13.430692722560764,44.64902186421173,8.55168,53.39470655926352,1.8754640330601666,11.622554660529344,1.4725944382747718,69.67779056386651,20.287108688005627,3.8638985005767013
43215,Columbus,1551.0,51.0644418872267,1711.0918,62.2554660529344,-160.091796875,-9.356119710665363,14.32681242807825,74087.0,33.101851851851855,18.036048689138575,73.82048331415419,72.66502808988764,38.780207134637514,36.75593522711688,33.2566168009206,15.730067243035542,65.93785960874568,58.6626,95.56962025316456,1.223823246878002,1.1507479861910241,1.3307247713911083,67.83659378596087,17.077639437189998,0.7497116493656286
43219,Columbus,1277.0,32.04833141542002,1232.3807,26.1795166858458,44.6192626953125,3.620574498178079,71.17376294591485,52094.0,7.08912037037037,32.5179582924591,95.62715765247411,49.748425682731565,5.293440736478711,44.931674684305335,55.35097813578827,18.76879134095009,85.385500575374,12.28593,65.13233601841196,2.4306975345760673,53.970080552359036,1.6253313750512242,71.74913693901036,20.54878629224179,4.2099192618223755
43220,Columbus,1269.0,31.645569620253166,1461.9182,42.8078250863061,-192.918212890625,-13.196238420832806,8.63060989643268,74298.0,33.68055555555556,14.01520435207142,56.789413118527044,77.01911005719069,52.64672036823935,47.82211774612324,61.219792865362486,15.47610693986387,63.06098964326813,9.10337,55.638665132336016,2.020349449161462,18.354430379746837,0.9551104147041412,60.93210586881474,20.32787527420871,3.9215686274509802
43221,Columbus,1501.0,48.10126582278481,1476.8392,43.958573072497124,24.1607666015625,1.635978111575815,60.75949367088608,118768.0,80.49768518518519,6.8868487621862835,18.411967779056386,88.67634937327686,88.78020713463751,53.9659282290454,74.45339470655927,12.12916180852442,33.77445339470656,8.26845,52.30149597238205,2.286112190698277,37.11162255466053,0.20916110837092983,38.089758342922906,21.62748769156092,7.093425605536333
43222,Columbus,797.0,3.049482163406214,901.1462,6.214039125431531,-104.14617919921875,-11.55707937326724,10.586881472957423,32321.0,0.40509259259259256,38.836265223274694,97.81357882623706,39.01668921966622,0.9781357882623706,67.38370620514956,92.11737629459148,10.215280709159982,17.894131185270425,-13.9442,0.863060989643268,2.0341916420430564,19.332566168009205,2.466262035336376,79.57422324510932,21.64329268292683,7.151095732410612
43223,Columbus,1129.0,20.540851553509782,1059.5015,15.937859608745686,69.49853515625,6.559550643613249,80.14959723820483,46911.0,4.050925925925926,40.55827315785387,98.10126582278481,43.70680953490178,2.5891829689298045,60.86442739520976,85.44303797468355,17.819049401197603,80.55235903337169,4.44765,34.29228998849252,2.637256736526946,74.79861910241658,2.80338724607872,81.87571921749137,23.61002701891324,16.205305651672433
43224,Columbus,1079.0,17.059838895281935,1188.9088,23.30264672036824,-109.9088134765625,-9.244511625342508,14.556962025316455,53321.0,7.986111111111111,27.91792040904052,92.57767548906789,53.73860319902265,7.59493670886076,59.120304701864825,83.19907940161104,14.691358024691358,56.44418872266973,12.71105,66.57077100115075,2.3282899921197795,41.31185270425777,3.164979368366431,83.94706559263521,23.31716885522803,14.244521337946944
43227,Columbus,1201.0,26.869965477560413,1233.6393,26.409666283084004,-32.6392822265625,-2.645771960799816,36.708860759493675,48159.0,4.74537037037037,34.93036872922931,96.77790563866513,46.86659281531888,3.624856156501726,61.75137145513713,86.59378596087457,18.763365876336586,85.32796317606443,16.41386,75.31645569620254,2.3577870757787074,44.76409666283084,3.9007069925599316,88.37744533947065,23.08131081534504,13.148788927335639
43228,Columbus,1233.0,29.746835443037973,1215.8834,24.568469505178367,17.1165771484375,1.407748212266492,59.20598388952819,61713.0,16.03009259259259,22.564695087761034,84.57997698504028,59.206837374475384,13.003452243958574,39.921990148536,41.94476409666283,15.516056359540265,63.57882623705409,15.08712,72.43958573072497,2.255794417503532,34.579976985040275,0.837595628662648,57.94016110471807,21.822275421796625,7.6701268742791235
43229,Columbus,1142.0,21.634062140391254,1174.0632,22.324510932105866,-32.063232421875,-2.7309629955564225,36.30609896432681,57561.0,11.342592592592593,26.4502307185234,90.27617951668586,54.293928074415874,7.940161104718067,50.94838709677401,67.66398158803221,17.236559139784948,76.40966628308401,16.92294,76.2945914844649,2.3664516129032256,45.742232451093216,1.2791115977042509,67.03107019562717,21.09507091051878,5.94002306805075
43230,Columbus,1463.0,44.99424626006904,1434.7552,41.081703107019564,28.2447509765625,1.9686110920860695,62.42807825086306,91424.0,57.23379629629629,8.663060681426856,28.48101265822785,83.99568673148164,74.33831990794016,37.51214145079689,35.44303797468354,12.606647878624099,37.91714614499425,14.98988,72.20943613348678,2.242056904605644,33.88952819332566,0.17734192287762338,36.708860759493675,20.811880786097124,5.074971164936563
43231,Columbus,1181.0,25.05753739930955,1377.5334,36.99654775604142,-196.533447265625,-14.26705447012846,7.767548906789414,73986.0,32.58101851851852,26.870793189916853,91.36939010356731,62.94047776164709,18.06674338319908,43.922261484098954,52.47410817031071,16.06117491166078,68.52704257767549,12.46421,65.76524741081703,2.5407464664310955,65.59263521288837,1.0165081348859488,62.14039125431531,20.955692941782587,5.594002306805075
43232,Columbus,1119.0,19.50517836593786,1100.2212,17.779056386651323,18.77880859375,1.7068212047204643,61.10471806674338,51417.0,6.423611111111111,26.520353376542815,90.50632911392405,53.815054867483795,7.710011507479862,47.41957522649636,60.75949367088608,17.825139858408832,80.60989643268124,6.54707,43.958573072497124,2.3448685578493986,43.26812428078251,1.7049290027830195,72.78481012658227,21.35739535836877,6.747404844290658
43235,Columbus,1477.0,46.173762945914845,1532.9521,48.56156501726122,-55.9521484375,-3.6499605349410698,32.22094361334868,86666.0,51.21527777777778,13.34104623202214,53.27963176064442,79.36799600744068,59.666283084004604,34.90983527598473,28.99884925201381,15.610249494268373,64.49942462600691,19.88053,80.84004602991945,2.1476254696079375,26.524741081703105,0.4933625716683919,49.36708860759494,20.716409346964323,4.61361014994233
43240,Columbus,1484.0,47.12313003452244,1558.6356,50.40276179516686,-74.6356201171875,-4.788522676748267,27.848101265822784,82895.0,46.00694444444444,8.425576246907148,26.985040276179518,87.99322828493294,86.88147295742232,20.700600365440096,4.890678941311853,14.943878882798224,58.22784810126582,100.0,99.33831990794016,2.004437483685722,17.951668584579977,0.41595260578157195,46.95051783659379,20.84942084942085,5.190311418685121
43315,Columbus,934.0,9.004602991944765,906.3312,6.559263521288838,27.6688232421875,3.052838074175737,68.52704257767549,73770.0,32.06018518518518,10.339798745807204,38.550057537399304,80.35584074668223,62.77330264672037,47.295784381478825,60.414269275028765,7.34277816171389,5.523590333716916,-0.30318,13.578826237054084,2.374913614374568,46.662830840046034,0.022932853783189853,27.387802071346375,28.785137318255252,58.13148788927336
43317,Columbus,1083.0,17.174913693901036,1047.4109,15.477560414269275,35.589111328125,3.3978175817183134,70.19562715765247,56875.0,10.648148148148149,10.416666666666668,39.12543153049482,65.27777777777779,22.151898734177212,78.22535211267632,98.79171461449943,10.56338028169014,20.48331415420023,-1.43033,10.06904487917146,2.436619718309859,54.66052934407365,0.0,12.917146144994247,28.71212121212121,57.61245674740484
43320,Columbus,975.0,11.622554660529344,961.73035,9.781357882623706,13.2696533203125,1.3797685979365348,58.918296892980436,51603.0,6.597222222222222,30.658783783783782,94.41887226697354,56.672297297297305,9.781357882623706,54.897651006711385,76.52474108170311,9.899328859060404,16.225546605293438,-3.73682,5.466052934407365,1.99496644295302,17.491369390103568,0.785221462223777,56.90448791714614,45.85333333333333,99.4232987312572
43321,Columbus,850.0,5.609896432681243,868.97455,4.7180667433832,-18.97454833984375,-2.183556282067662,38.83774453394707,48125.0,4.6875,32.53968253968254,95.68469505178366,60.05291005291006,13.924050632911392,54.88050314465386,76.46720368239356,11.949685534591197,32.105868814729575,-5.78421,3.567318757192175,2.3773584905660377,47.00805523590334,0.0,12.917146144994247,28.202614379084967,52.99884659746251
43334,Columbus,1057.0,15.995397008055237,990.69354,11.737629459148447,66.30645751953125,6.692933250934001,80.60989643268124,100825.0,67.41898148148148,8.609486679662117,28.02071346375144,85.41260558804419,79.34407364787111,38.0645161290322,37.16915995397008,7.671629445822994,6.444188722669736,2.62509,25.891829689298046,2.6162117452440032,73.18757192174914,0.0,12.917146144994247,32.711148648648646,83.27566320645904
43338,Columbus,847.0,5.293440736478711,809.7682,1.9562715765247412,37.2318115234375,4.597835782297481,74.62600690448792,72311.0,30.266203703703702,16.168009205983893,66.34062140391255,68.50786344457231,28.6536248561565,49.72783198981779,65.36248561565017,10.044548154433603,16.915995397008054,0.59042,17.318757192174914,2.2484089944845143,34.177215189873415,0.13916719502375158,34.86766398158803,32.7027027027027,83.1603229527105
43344,Columbus,830.0,4.487917146144994,866.1615,4.487917146144994,-36.1614990234375,-4.174914154485988,30.034522439585732,80909.0,43.63425925925926,9.719747286570549,35.32796317606444,79.23213996436093,59.20598388952819,57.180459770114794,80.7825086306099,8.026819923371647,7.537399309551208,-0.86939,11.852704257767549,2.365134099616858,45.512082853855006,1.204734820467289,65.30494821634062,27.973593570608497,50.69204152249135
43350,Columbus,983.0,12.399309551208287,941.6106,8.457997698504027,41.389404296875,4.395596702686683,74.0506329113924,70583.0,27.77777777777778,7.534246575342466,21.74913693901036,83.56164383561644,72.84234752589182,57.090909090909236,80.60989643268124,10.90909090909091,23.187571921749136,0.91322,18.814729574223247,2.6545454545454548,76.69735327963177,0.0,12.917146144994247,28.05084745762712,51.326412918108424
43356,Columbus,790.0,2.934407364787112,1041.3997,15.074798619102417,-251.399658203125,-24.140555090722867,2.0138089758342925,92870.0,58.79629629629629,6.785714285714286,17.60644418872267,87.76785714285714,86.01841196777904,60.02272727272725,84.29228998849251,6.0606060606060606,3.049482163406214,4.87665,36.01841196777906,2.121212121212121,25.25891829689298,0.0,12.917146144994247,33.44827586206897,86.159169550173
43358,Columbus,1122.0,19.82163406214039,1127.6094,19.447640966628306,-5.609375,-0.4974572865714246,47.69850402761795,89121.0,53.87731481481482,6.208718626155878,14.556962025316455,76.5301629238221,51.84119677790564,58.931170108161496,82.96892980437283,7.1779744346116034,4.9482163406214035,2.77294,26.352128883774455,2.2369714847590956,33.429228998849254,0.0,12.917146144994247,27.17705510388437,43.944636678200695
43730,Columbus,811.0,3.452243958573072,837.92334,2.991944764096663,-26.92333984375,-3.213102984906766,34.11967779056387,45313.0,3.356481481481482,24.945215485756027,88.49252013808976,58.436815193571945,12.082853855005753,50.2536543422184,66.45569620253164,8.985382631126399,11.162255466052933,-7.29497,2.6467203682393556,2.3637145313843506,45.39700805523591,0.0,12.917146144994247,39.826771653543304,97.63552479815456
43731,Columbus,839.0,4.9482163406214035,855.234,3.9700805523590335,-16.2340087890625,-1.89819495275316,39.930955120828536,55581.0,9.664351851851851,21.806853582554517,82.79631760644419,64.68068535825545,21.3463751438435,60.5381104518483,85.09781357882625,12.026471930625284,32.85385500575374,-4.87271,4.1426927502876865,2.3441350981287083,43.15304948216341,0.5252807100114302,50.57537399309551,30.24295432458698,68.05074971164936
43739,Columbus,1114.0,19.217491369390103,1191.1179,23.475258918296895,-77.117919921875,-6.474415222208489,22.612197928653625,99120.0,65.39351851851852,6.698564593301436,16.973532796317606,80.94098883572568,64.2692750287687,39.975348338692356,42.00230149597238,8.94962486602358,11.047180667433832,5.51172,39.58573072497123,2.688102893890675,79.11392405063292,0.0,12.917146144994247,30.08974358974359,67.47404844290658
43740,Columbus,744.0,1.6973532796317605,757.8393,0.6904487917146145,-13.83929443359375,-1.826151604336799,40.10356731875719,66806.0,22.65625,10.344827586206897,38.607594936708864,76.24521072796935,51.035673187571916,68.56521739130403,93.0379746835443,5.6521739130434785,2.186421173762946,1.35157,20.253164556962027,2.2695652173913046,35.78826237054085,0.0,12.917146144994247,31.90082644628099,78.95040369088811
43748,Columbus,747.0,1.812428078250863,833.3021,2.8768699654775602,-86.3021240234375,-10.356642751220225,12.485615650172614,75644.0,35.70601851851852,20.906040268456376,81.2428078250863,58.38926174496645,11.967779056386652,55.45051464766448,77.50287686996548,10.60965954077593,21.00115074798619,-2.55933,7.652474108170311,2.3594615993665875,44.99424626006904,0.0,12.917146144994247,40.09383378016086,97.92387543252595
43764,Columbus,698.0,1.093210586881473,742.7463,0.46029919447640966,-44.74627685546875,-6.024436372122797,23.8204833141542,62083.0,16.81134259259259,21.595137682957084,82.33601841196779,61.634830066980896,16.168009205983893,58.72797052502301,82.73878020713464,9.917101627264355,16.340621403912543,-4.74174,4.200230149597238,2.507829290758367,62.2554660529344,0.5525247608150702,51.38089758342923,32.56040756914119,82.17993079584775
43766,Columbus,558.0,0.23014959723820483,591.8717,0.17261219792865362,-33.8717041015625,-5.722811863928921,24.913693901035675,65625.0,21.46990740740741,15.49618320610687,63.521288837744535,65.72519083969466,23.072497123130034,52.533834586466355,71.4614499424626,6.015037593984962,2.934407364787112,-7.92143,2.0138089758342925,2.462406015037594,57.537399309551205,0.0,12.917146144994247,35.769881556683586,92.61822376009228
43777,Columbus,742.0,1.5822784810126582,815.242,2.128883774453395,-73.24200439453125,-8.984081291165444,15.132336018411968,53906.0,8.391203703703704,21.852731591448933,83.08400460299194,54.513064133016634,8.05523590333717,57.762547220723036,81.30034522439585,9.147328656233135,12.255466052934407,-4.71997,4.25776754890679,2.2951969778737182,37.7445339470656,0.5946573278387227,52.87686996547756,32.23300970873787,80.50749711649365
