"feature id","feature label","shid","geoid","Female Employed in Management Occupation (2020-2024)","Female Employed in Business and Finance Occupation (2020-2024)","Female Employed in Computer and Mathematical Occupation (2020-2024)","Female Employed in Architecture and Engineering Occupation (2020-2024)","Female Employed in Life, Physical, and Social Science Occupation (2020-2024)","Female Employed in Community and Social Service Occupation (2020-2024)","Female Employed in Legal Occupation (2020-2024)","Female Employed in Education, Training and Library Occupation (2020-2024)","Female Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Female Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Female Employed in Health Technologist and Technicians Occupation (2020-2024)","Female Employed in Healthcare Support Occupation (2020-2024)","Female Employed in Fire Fighting and Prevention Occupation (2020-2024)","Female Employed in Law Enforcement Occupation (2020-2024)","Female Employed in Food Preparation and Serving Occupation (2020-2024)","Female Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Female Employed in Personal Care and Service Occupation (2020-2024)","Female Employed in Sales Occupation (2020-2024)","Female Employed in Office and Administrative Support Occupation (2020-2024)","Female Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Female Employed in Construction and Extraction Occupation (2020-2024)","Female Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Female Employed in Production Occupation (2020-2024)","Female Employed in Transportation Occupation (2020-2024)","Female Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:47673","ZIP Code 46205","country:us/state:in/zip:46205","46205","677","594","167","202","159","275","307","774","209","754","257","380","56","100","422","102","217","527","884","0","0","0","185","54","59"
"publicpolygonfeature:5:47675","ZIP Code 46208","country:us/state:in/zip:46208","46208","731","449","99","35","57","104","134","519","286","534","288","296","46","0","475","46","214","479","557","4","15","0","50","138","387"
"publicpolygonfeature:5:47676","ZIP Code 46214","country:us/state:in/zip:46214","46214","819","438","77","96","78","222","61","454","84","265","231","655","23","22","236","47","170","455","1333","17","0","5","189","40","638"
"publicpolygonfeature:5:47677","ZIP Code 46216","country:us/state:in/zip:46216","46216","25","88","25","0","0","31","0","67","52","58","0","24","0","0","0","36","17","77","287","0","0","0","22","0","0"
"publicpolygonfeature:5:47678","ZIP Code 46217","country:us/state:in/zip:46217","46217","892","517","235","87","49","252","63","1141","133","1258","415","190","13","25","160","257","319","1445","1128","0","57","0","275","61","461"
"publicpolygonfeature:5:47679","ZIP Code 46218","country:us/state:in/zip:46218","46218","425","280","80","0","20","34","69","120","13","180","219","503","62","15","705","178","146","415","1230","0","0","26","365","128","463"
"publicpolygonfeature:5:47680","ZIP Code 46219","country:us/state:in/zip:46219","46219","860","574","119","60","132","213","44","514","264","475","369","357","88","53","463","243","455","888","1873","130","60","24","620","101","430"
"publicpolygonfeature:5:47681","ZIP Code 46220","country:us/state:in/zip:46220","46220","1948","1157","387","286","245","296","342","1174","431","1109","191","328","14","0","478","16","375","744","1110","20","13","0","211","49","150"
"publicpolygonfeature:5:47682","ZIP Code 46221","country:us/state:in/zip:46221","46221","464","223","66","70","12","145","91","326","67","167","249","478","179","25","211","379","80","492","1487","1","58","10","261","119","927"
"publicpolygonfeature:5:47683","ZIP Code 46222","country:us/state:in/zip:46222","46222","743","298","84","96","286","175","36","546","104","184","114","574","28","22","616","341","178","475","1022","5","230","0","800","164","861"
"publicpolygonfeature:5:47684","ZIP Code 46224","country:us/state:in/zip:46224","46224","369","452","99","69","181","413","43","531","114","290","370","693","131","20","643","226","390","937","2062","0","42","7","708","247","1060"
"publicpolygonfeature:5:47685","ZIP Code 46225","country:us/state:in/zip:46225","46225","189","43","56","66","17","0","45","87","35","51","51","67","10","0","147","10","22","112","252","0","0","0","75","18","40"
"publicpolygonfeature:5:47686","ZIP Code 46226","country:us/state:in/zip:46226","46226","555","616","136","19","30","239","142","372","155","927","349","1012","49","62","927","562","698","1266","2875","0","126","19","634","445","337"
"publicpolygonfeature:5:47687","ZIP Code 46227","country:us/state:in/zip:46227","46227","1002","731","204","0","64","222","125","869","197","791","477","989","138","0","1390","239","860","1151","2084","38","81","0","599","155","1059"
"publicpolygonfeature:5:47688","ZIP Code 46228","country:us/state:in/zip:46228","46228","382","469","37","0","74","177","80","367","77","357","211","437","31","30","74","30","30","293","539","0","0","16","229","91","182"
"publicpolygonfeature:5:47689","ZIP Code 46231","country:us/state:in/zip:46231","46231","196","143","61","9","0","10","0","122","0","73","45","141","5","0","114","109","15","221","427","0","0","0","298","79","292"
"publicpolygonfeature:5:47690","ZIP Code 46234","country:us/state:in/zip:46234","46234","691","483","139","64","108","163","54","558","155","907","173","190","5","5","272","226","91","609","1457","0","11","13","181","63","460"
"publicpolygonfeature:5:47691","ZIP Code 46235","country:us/state:in/zip:46235","46235","799","571","106","25","16","214","0","769","61","329","288","579","96","51","798","76","162","1023","2079","0","0","0","426","54","654"
"publicpolygonfeature:5:47692","ZIP Code 46236","country:us/state:in/zip:46236","46236","983","767","193","69","108","181","78","550","246","479","91","66","15","9","360","30","229","705","1049","0","24","17","192","64","44"
"publicpolygonfeature:5:47693","ZIP Code 46237","country:us/state:in/zip:46237","46237","1316","934","460","124","174","292","217","725","295","1048","349","365","11","52","738","114","443","941","1710","20","38","0","382","11","425"
