"feature id","feature label","shid","geoid","Female Employed in Management Occupation (2020-2024)","Female Employed in Business and Finance Occupation (2020-2024)","Female Employed in Computer and Mathematical Occupation (2020-2024)","Female Employed in Architecture and Engineering Occupation (2020-2024)","Female Employed in Life, Physical, and Social Science Occupation (2020-2024)","Female Employed in Community and Social Service Occupation (2020-2024)","Female Employed in Legal Occupation (2020-2024)","Female Employed in Education, Training and Library Occupation (2020-2024)","Female Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Female Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Female Employed in Health Technologist and Technicians Occupation (2020-2024)","Female Employed in Healthcare Support Occupation (2020-2024)","Female Employed in Fire Fighting and Prevention Occupation (2020-2024)","Female Employed in Law Enforcement Occupation (2020-2024)","Female Employed in Food Preparation and Serving Occupation (2020-2024)","Female Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Female Employed in Personal Care and Service Occupation (2020-2024)","Female Employed in Sales Occupation (2020-2024)","Female Employed in Office and Administrative Support Occupation (2020-2024)","Female Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Female Employed in Construction and Extraction Occupation (2020-2024)","Female Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Female Employed in Production Occupation (2020-2024)","Female Employed in Transportation Occupation (2020-2024)","Female Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:63667","ZIP Code 94583","country:us/state:ca/zip:94583","94583","1617","849","546","170","139","144","35","1092","231","741","137","177","10","36","336","0","448","921","1061","22","0","26","167","133","114"
"publicpolygonfeature:5:63668","ZIP Code 94586","country:us/state:ca/zip:94586","94586","40","7","13","3","2","8","0","26","9","16","7","7","1","0","0","1","0","16","47","8","0","0","0","0","0"
"publicpolygonfeature:5:63669","ZIP Code 94587","country:us/state:ca/zip:94587","94587","1854","1648","986","284","364","298","80","863","299","1283","435","1491","44","8","617","243","580","807","2462","0","53","40","800","118","554"
"publicpolygonfeature:5:63671","ZIP Code 94595","country:us/state:ca/zip:94595","94595","408","338","27","17","61","75","35","412","134","299","13","93","20","0","20","37","81","395","260","0","0","0","31","0","0"
"publicpolygonfeature:5:63672","ZIP Code 94588","country:us/state:ca/zip:94588","94588","1250","861","718","276","303","109","236","607","136","570","46","196","0","0","253","49","168","695","837","53","35","0","43","23","35"
"publicpolygonfeature:5:63677","ZIP Code 94597","country:us/state:ca/zip:94597","94597","1004","724","185","93","83","99","139","564","280","462","146","132","11","57","263","83","492","530","603","9","0","30","30","55","77"
"publicpolygonfeature:5:63678","ZIP Code 94598","country:us/state:ca/zip:94598","94598","1199","681","220","101","102","177","249","395","254","511","38","72","51","88","178","16","236","539","463","0","0","0","92","17","55"
"publicpolygonfeature:5:63680","ZIP Code 94601","country:us/state:ca/zip:94601","94601","1188","475","115","109","148","259","128","784","325","336","67","736","76","24","719","738","680","1284","1522","55","25","32","694","106","313"
"publicpolygonfeature:5:63681","ZIP Code 94602","country:us/state:ca/zip:94602","94602","1439","751","194","268","242","336","156","751","286","566","158","393","87","19","289","186","331","674","1080","7","11","12","185","95","34"
"publicpolygonfeature:5:63682","ZIP Code 94603","country:us/state:ca/zip:94603","94603","564","258","68","19","7","207","26","434","34","166","193","652","67","13","700","632","386","835","1290","9","33","0","310","217","442"
"publicpolygonfeature:5:63683","ZIP Code 94605","country:us/state:ca/zip:94605","94605","1951","1132","307","157","124","404","379","957","608","751","42","610","186","60","405","289","199","678","1400","45","48","28","230","163","303"
"publicpolygonfeature:5:63684","ZIP Code 94606","country:us/state:ca/zip:94606","94606","1386","848","307","135","239","414","110","1023","465","481","203","744","78","11","718","373","559","771","1320","0","0","0","262","62","234"
"publicpolygonfeature:5:63685","ZIP Code 94607","country:us/state:ca/zip:94607","94607","1054","606","371","198","304","291","187","602","516","296","80","646","70","85","392","134","241","908","541","57","0","0","155","51","53"
"publicpolygonfeature:5:63686","ZIP Code 94608","country:us/state:ca/zip:94608","94608","1582","1122","577","300","598","182","196","1192","750","819","63","390","84","9","344","21","231","731","804","5","84","4","162","34","154"
"publicpolygonfeature:5:63687","ZIP Code 94609","country:us/state:ca/zip:94609","94609","1425","566","419","111","233","242","315","527","568","419","67","371","37","9","200","134","192","624","496","0","122","0","15","24","148"
"publicpolygonfeature:5:63688","ZIP Code 94610","country:us/state:ca/zip:94610","94610","2363","1348","224","208","385","291","446","1085","681","737","43","313","79","39","157","31","283","484","888","0","0","0","50","101","55"
"publicpolygonfeature:5:63689","ZIP Code 94611","country:us/state:ca/zip:94611","94611","1990","1492","324","318","480","417","493","949","812","1017","96","159","30","23","230","52","322","720","816","0","0","0","174","110","38"
"publicpolygonfeature:5:63690","ZIP Code 94612","country:us/state:ca/zip:94612","94612","710","347","227","57","153","186","159","345","262","377","87","316","57","0","139","217","212","370","559","0","0","0","17","0","89"
"publicpolygonfeature:5:63691","ZIP Code 94613","country:us/state:ca/zip:94613","94613","5","0","0","0","0","3","0","26","24","0","0","0","22","0","12","0","0","27","12","0","0","0","0","0","0"
"publicpolygonfeature:5:63692","ZIP Code 94618","country:us/state:ca/zip:94618","94618","754","582","187","39","191","184","415","344","309","482","28","77","5","0","83","9","155","391","177","0","0","9","13","59","0"
"publicpolygonfeature:5:63693","ZIP Code 94619","country:us/state:ca/zip:94619","94619","992","859","186","40","214","177","226","570","361","447","97","131","35","0","56","180","211","571","762","4","0","22","283","14","123"
"publicpolygonfeature:5:63694","ZIP Code 94621","country:us/state:ca/zip:94621","94621","469","309","87","0","0","190","29","352","22","18","146","1064","121","0","399","705","248","491","1090","61","0","0","210","178","261"
"publicpolygonfeature:5:63695","ZIP Code 94702","country:us/state:ca/zip:94702","94702","739","418","69","62","288","152","239","556","198","278","40","323","48","0","129","29","194","269","361","0","0","0","0","33","29"
"publicpolygonfeature:5:63696","ZIP Code 94703","country:us/state:ca/zip:94703","94703","1029","396","292","207","476","195","188","898","281","300","25","206","0","0","162","68","182","291","520","16","0","19","84","70","44"
"publicpolygonfeature:5:63697","ZIP Code 94704","country:us/state:ca/zip:94704","94704","894","300","354","83","241","165","84","789","401","30","39","102","67","10","407","53","330","226","1012","35","0","18","28","0","49"
"publicpolygonfeature:5:63698","ZIP Code 94705","country:us/state:ca/zip:94705","94705","430","345","157","45","271","76","129","483","287","415","43","67","14","0","106","54","137","241","242","0","0","5","54","7","17"
"publicpolygonfeature:5:63699","ZIP Code 94706","country:us/state:ca/zip:94706","94706","527","614","206","201","415","229","189","731","473","426","50","105","7","0","193","24","173","301","417","8","0","24","53","17","0"
"publicpolygonfeature:5:63700","ZIP Code 94708","country:us/state:ca/zip:94708","94708","617","149","90","59","289","61","87","288","245","326","32","29","0","3","96","24","65","132","185","7","5","9","0","0","0"
"publicpolygonfeature:5:63701","ZIP Code 94709","country:us/state:ca/zip:94709","94709","440","227","111","45","222","100","62","762","251","112","2","97","31","0","190","0","138","176","324","0","32","0","15","0","29"
"publicpolygonfeature:5:63702","ZIP Code 94710","country:us/state:ca/zip:94710","94710","227","169","116","59","171","30","68","345","214","69","0","27","11","0","74","0","133","141","195","0","29","0","77","25","25"
"publicpolygonfeature:5:63703","ZIP Code 94720","country:us/state:ca/zip:94720","94720","32","80","0","17","86","35","0","230","40","0","17","75","15","0","182","6","22","102","360","0","0","12","0","0","40"
"publicpolygonfeature:5:63704","ZIP Code 94801","country:us/state:ca/zip:94801","94801","608","248","63","13","64","140","36","590","186","83","47","854","47","4","549","842","282","968","886","89","19","20","175","102","321"
"publicpolygonfeature:5:63705","ZIP Code 94803","country:us/state:ca/zip:94803","94803","784","450","80","38","106","179","49","587","234","246","99","539","31","20","440","256","368","414","1200","13","0","5","76","91","87"
"publicpolygonfeature:5:63706","ZIP Code 94804","country:us/state:ca/zip:94804","94804","1083","356","65","115","291","471","142","703","225","424","127","785","88","52","944","784","637","723","1667","35","118","0","395","115","242"
