"feature id","feature label","shid","geoid","Female Employed in Management Occupation (2020-2024)","Female Employed in Business and Finance Occupation (2020-2024)","Female Employed in Computer and Mathematical Occupation (2020-2024)","Female Employed in Architecture and Engineering Occupation (2020-2024)","Female Employed in Life, Physical, and Social Science Occupation (2020-2024)","Female Employed in Community and Social Service Occupation (2020-2024)","Female Employed in Legal Occupation (2020-2024)","Female Employed in Education, Training and Library Occupation (2020-2024)","Female Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Female Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Female Employed in Health Technologist and Technicians Occupation (2020-2024)","Female Employed in Healthcare Support Occupation (2020-2024)","Female Employed in Fire Fighting and Prevention Occupation (2020-2024)","Female Employed in Law Enforcement Occupation (2020-2024)","Female Employed in Food Preparation and Serving Occupation (2020-2024)","Female Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Female Employed in Personal Care and Service Occupation (2020-2024)","Female Employed in Sales Occupation (2020-2024)","Female Employed in Office and Administrative Support Occupation (2020-2024)","Female Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Female Employed in Construction and Extraction Occupation (2020-2024)","Female Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Female Employed in Production Occupation (2020-2024)","Female Employed in Transportation Occupation (2020-2024)","Female Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:45691","ZIP Code 40050","country:us/state:ky/zip:40050","40050","86","2","13","9","0","11","0","25","8","7","12","18","2","2","10","0","18","34","53","0","0","0","10","9","4"
"publicpolygonfeature:5:45692","ZIP Code 40051","country:us/state:ky/zip:40051","40051","62","87","0","0","0","9","0","78","2","130","34","50","5","0","34","8","47","156","234","0","0","0","171","3","19"
"publicpolygonfeature:5:45693","ZIP Code 40057","country:us/state:ky/zip:40057","40057","57","105","0","0","0","2","0","74","0","10","85","110","0","0","0","2","27","88","137","0","0","0","31","9","49"
"publicpolygonfeature:5:45694","ZIP Code 40058","country:us/state:ky/zip:40058","40058","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45695","ZIP Code 40059","country:us/state:ky/zip:40059","40059","863","354","90","47","87","40","171","341","86","757","42","32","1","0","187","12","91","704","475","0","0","0","19","55","56"
"publicpolygonfeature:5:45699","ZIP Code 40068","country:us/state:ky/zip:40068","40068","54","28","37","0","0","0","0","49","18","20","2","12","2","6","50","47","16","41","43","0","0","13","2","4","38"
"publicpolygonfeature:5:45700","ZIP Code 40065","country:us/state:ky/zip:40065","40065","610","621","69","4","15","138","69","865","161","617","200","346","39","15","400","182","231","949","1336","0","38","0","633","41","187"
"publicpolygonfeature:5:45702","ZIP Code 40070","country:us/state:ky/zip:40070","40070","58","0","0","0","0","0","0","0","0","0","0","20","0","0","0","10","21","0","33","0","0","0","0","0","0"
"publicpolygonfeature:5:45703","ZIP Code 40071","country:us/state:ky/zip:40071","40071","346","198","136","36","12","96","30","328","18","505","195","163","16","3","255","83","130","333","619","0","0","0","157","133","104"
"publicpolygonfeature:5:45704","ZIP Code 40075","country:us/state:ky/zip:40075","40075","18","36","6","0","0","0","0","18","0","0","14","0","0","0","35","12","15","0","30","0","0","0","10","12","0"
"publicpolygonfeature:5:45705","ZIP Code 40076","country:us/state:ky/zip:40076","40076","18","91","3","0","0","25","0","46","0","4","15","20","0","0","9","7","114","70","102","16","0","0","9","0","42"
"publicpolygonfeature:5:45706","ZIP Code 40077","country:us/state:ky/zip:40077","40077","42","6","0","0","0","0","0","0","0","6","0","14","0","0","19","5","16","21","19","0","0","0","4","0","0"
"publicpolygonfeature:5:45707","ZIP Code 40108","country:us/state:ky/zip:40108","40108","303","79","12","0","6","31","50","293","8","212","76","154","0","0","334","6","97","400","496","0","48","53","242","29","25"
"publicpolygonfeature:5:45709","ZIP Code 40104","country:us/state:ky/zip:40104","40104","0","33","0","0","0","0","0","0","0","22","0","18","0","0","11","0","22","0","81","0","0","0","0","12","0"
"publicpolygonfeature:5:45710","ZIP Code 40107","country:us/state:ky/zip:40107","40107","15","4","0","0","9","0","0","24","0","46","33","32","0","0","0","13","43","66","54","6","0","0","23","48","26"
"publicpolygonfeature:5:45711","ZIP Code 40109","country:us/state:ky/zip:40109","40109","69","50","0","0","0","0","37","22","0","50","41","18","0","0","23","0","11","15","94","0","0","0","15","17","0"
"publicpolygonfeature:5:45712","ZIP Code 40110","country:us/state:ky/zip:40110","40110","0","17","0","0","6","0","0","0","0","0","79","0","0","0","0","0","0","0","9","0","0","0","0","0","0"
"publicpolygonfeature:5:45714","ZIP Code 40121","country:us/state:ky/zip:40121","40121","211","120","0","0","0","30","0","61","35","30","9","18","5","0","69","28","78","229","113","0","0","0","23","5","20"
"publicpolygonfeature:5:45716","ZIP Code 40142","country:us/state:ky/zip:40142","40142","70","0","0","0","0","0","0","36","33","16","0","110","0","0","115","54","0","11","204","0","32","0","110","0","0"
"publicpolygonfeature:5:45719","ZIP Code 40161","country:us/state:ky/zip:40161","40161","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","8","0"
"publicpolygonfeature:5:45723","ZIP Code 40150","country:us/state:ky/zip:40150","40150","97","8","39","5","12","28","2","45","9","65","68","37","7","0","31","2","13","68","377","0","0","20","81","83","53"
