"feature id","feature label","shid","geoid","Female Employed in Management Occupation (2020-2024)","Female Employed in Business and Finance Occupation (2020-2024)","Female Employed in Computer and Mathematical Occupation (2020-2024)","Female Employed in Architecture and Engineering Occupation (2020-2024)","Female Employed in Life, Physical, and Social Science Occupation (2020-2024)","Female Employed in Community and Social Service Occupation (2020-2024)","Female Employed in Legal Occupation (2020-2024)","Female Employed in Education, Training and Library Occupation (2020-2024)","Female Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Female Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Female Employed in Health Technologist and Technicians Occupation (2020-2024)","Female Employed in Healthcare Support Occupation (2020-2024)","Female Employed in Fire Fighting and Prevention Occupation (2020-2024)","Female Employed in Law Enforcement Occupation (2020-2024)","Female Employed in Food Preparation and Serving Occupation (2020-2024)","Female Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Female Employed in Personal Care and Service Occupation (2020-2024)","Female Employed in Sales Occupation (2020-2024)","Female Employed in Office and Administrative Support Occupation (2020-2024)","Female Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Female Employed in Construction and Extraction Occupation (2020-2024)","Female Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Female Employed in Production Occupation (2020-2024)","Female Employed in Transportation Occupation (2020-2024)","Female Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:38575","ZIP Code 18974","country:us/state:pa/zip:18974","18974","922","1065","240","125","189","207","91","884","211","1186","401","382","54","0","448","236","468","645","1903","32","21","111","462","102","117"
"publicpolygonfeature:5:38576","ZIP Code 18980","country:us/state:pa/zip:18980","18980","5","8","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","7","8","0","0","0","0","0","0"
"publicpolygonfeature:5:38577","ZIP Code 19002","country:us/state:pa/zip:19002","19002","1178","948","133","135","232","162","327","825","266","771","170","42","33","0","326","12","199","593","748","0","11","14","155","6","62"
"publicpolygonfeature:5:38578","ZIP Code 19003","country:us/state:pa/zip:19003","19003","819","428","124","44","182","158","58","368","106","516","70","259","11","0","74","42","170","554","137","0","0","11","25","0","35"
"publicpolygonfeature:5:38579","ZIP Code 19004","country:us/state:pa/zip:19004","19004","392","209","69","21","117","94","62","222","137","327","51","39","0","0","81","85","60","175","220","10","0","0","44","0","14"
"publicpolygonfeature:5:38580","ZIP Code 19006","country:us/state:pa/zip:19006","19006","774","646","29","10","142","163","123","791","107","715","191","466","48","60","149","38","179","394","458","14","8","47","60","0","48"
"publicpolygonfeature:5:38581","ZIP Code 19044","country:us/state:pa/zip:19044","19044","650","309","122","0","94","51","175","569","35","499","234","167","0","17","640","158","297","309","976","0","0","39","56","14","25"
"publicpolygonfeature:5:38582","ZIP Code 19007","country:us/state:pa/zip:19007","19007","509","201","65","25","61","400","93","576","55","301","276","310","67","0","137","109","218","545","1168","0","0","0","228","109","244"
"publicpolygonfeature:5:38583","ZIP Code 19008","country:us/state:pa/zip:19008","19008","563","263","88","57","103","139","50","664","130","655","217","119","66","0","114","12","223","380","764","0","0","9","65","6","38"
"publicpolygonfeature:5:38584","ZIP Code 19009","country:us/state:pa/zip:19009","19009","7","19","15","0","0","12","0","83","14","17","5","6","14","0","19","10","18","26","14","0","0","0","15","0","0"
"publicpolygonfeature:5:38585","ZIP Code 19010","country:us/state:pa/zip:19010","19010","602","459","227","64","187","130","105","854","390","706","33","98","52","0","405","52","162","458","582","8","5","0","27","17","127"
"publicpolygonfeature:5:38586","ZIP Code 19012","country:us/state:pa/zip:19012","19012","258","99","27","11","10","78","107","263","23","286","23","227","8","0","209","32","17","69","237","0","76","0","16","11","19"
"publicpolygonfeature:5:38587","ZIP Code 19046","country:us/state:pa/zip:19046","19046","719","335","77","16","123","217","104","664","110","534","134","95","13","0","75","12","147","144","673","0","0","13","45","20","45"
"publicpolygonfeature:5:38588","ZIP Code 19013","country:us/state:pa/zip:19013","19013","493","239","109","38","30","195","52","429","36","181","303","1789","24","65","299","455","200","455","917","11","10","0","265","160","494"
"publicpolygonfeature:5:38589","ZIP Code 19014","country:us/state:pa/zip:19014","19014","470","364","121","15","29","246","166","551","125","470","221","205","88","39","352","104","264","528","975","0","0","0","87","55","19"
"publicpolygonfeature:5:38590","ZIP Code 19015","country:us/state:pa/zip:19015","19015","452","256","14","0","32","80","125","416","86","284","240","281","69","6","251","9","178","448","823","41","0","0","68","10","88"
"publicpolygonfeature:5:38591","ZIP Code 19017","country:us/state:pa/zip:19017","19017","19","0","11","0","0","0","0","22","0","40","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0"
"publicpolygonfeature:5:38592","ZIP Code 19018","country:us/state:pa/zip:19018","19018","537","428","142","28","136","209","51","588","78","227","258","654","41","2","222","82","148","379","1273","0","46","29","115","155","169"
"publicpolygonfeature:5:38593","ZIP Code 19020","country:us/state:pa/zip:19020","19020","1093","1171","141","45","247","371","210","1049","332","1176","718","1000","58","69","818","73","206","1254","2928","0","88","0","839","215","333"
"publicpolygonfeature:5:38594","ZIP Code 19029","country:us/state:pa/zip:19029","19029","23","89","19","0","0","22","0","56","0","83","17","95","32","0","87","10","53","77","156","0","7","0","0","30","0"
"publicpolygonfeature:5:38595","ZIP Code 19030","country:us/state:pa/zip:19030","19030","238","249","28","0","25","105","18","267","64","154","156","193","0","0","126","42","97","410","663","0","15","0","127","82","40"
"publicpolygonfeature:5:38596","ZIP Code 19031","country:us/state:pa/zip:19031","19031","124","82","30","0","26","24","92","186","26","136","56","0","0","0","28","0","68","68","201","0","0","0","19","0","0"
"publicpolygonfeature:5:38597","ZIP Code 19032","country:us/state:pa/zip:19032","19032","144","28","0","0","0","35","60","70","0","91","120","82","0","0","119","75","56","160","321","0","0","0","74","127","11"
"publicpolygonfeature:5:38598","ZIP Code 19033","country:us/state:pa/zip:19033","19033","140","157","20","31","28","15","103","428","63","124","37","224","0","10","54","13","105","82","522","0","13","0","53","11","7"
"publicpolygonfeature:5:38599","ZIP Code 19034","country:us/state:pa/zip:19034","19034","259","189","64","0","59","105","45","243","6","177","56","47","0","7","34","48","122","130","270","0","0","0","21","15","0"
