"feature id","feature label","shid","geoid","Female Employed in Management Occupation (2020-2024)","Female Employed in Business and Finance Occupation (2020-2024)","Female Employed in Computer and Mathematical Occupation (2020-2024)","Female Employed in Architecture and Engineering Occupation (2020-2024)","Female Employed in Life, Physical, and Social Science Occupation (2020-2024)","Female Employed in Community and Social Service Occupation (2020-2024)","Female Employed in Legal Occupation (2020-2024)","Female Employed in Education, Training and Library Occupation (2020-2024)","Female Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Female Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Female Employed in Health Technologist and Technicians Occupation (2020-2024)","Female Employed in Healthcare Support Occupation (2020-2024)","Female Employed in Fire Fighting and Prevention Occupation (2020-2024)","Female Employed in Law Enforcement Occupation (2020-2024)","Female Employed in Food Preparation and Serving Occupation (2020-2024)","Female Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Female Employed in Personal Care and Service Occupation (2020-2024)","Female Employed in Sales Occupation (2020-2024)","Female Employed in Office and Administrative Support Occupation (2020-2024)","Female Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Female Employed in Construction and Extraction Occupation (2020-2024)","Female Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Female Employed in Production Occupation (2020-2024)","Female Employed in Transportation Occupation (2020-2024)","Female Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:43533","ZIP Code 33525","country:us/state:fl/zip:33525","33525","443","245","59","18","37","44","5","455","52","401","101","183","46","32","307","116","190","362","683","0","44","0","48","4","18"
"publicpolygonfeature:5:43534","ZIP Code 33527","country:us/state:fl/zip:33527","33527","430","247","40","13","44","55","44","364","15","94","40","37","0","8","136","13","11","360","586","169","19","9","46","58","39"
"publicpolygonfeature:5:43535","ZIP Code 33534","country:us/state:fl/zip:33534","33534","173","493","74","0","43","273","150","267","28","250","140","189","7","10","266","164","72","418","863","56","0","0","59","11","75"
"publicpolygonfeature:5:43537","ZIP Code 33558","country:us/state:fl/zip:33558","33558","942","524","191","8","220","62","157","725","189","813","267","111","13","97","133","148","179","747","1081","0","0","0","16","4","21"
"publicpolygonfeature:5:43538","ZIP Code 33547","country:us/state:fl/zip:33547","33547","814","437","254","35","65","82","87","683","141","705","97","241","30","24","433","57","213","691","1061","17","0","5","315","95","41"
"publicpolygonfeature:5:43539","ZIP Code 33548","country:us/state:fl/zip:33548","33548","183","177","18","10","0","75","218","97","121","182","55","5","51","0","0","19","37","234","248","0","0","0","45","52","43"
"publicpolygonfeature:5:43540","ZIP Code 33549","country:us/state:fl/zip:33549","33549","634","276","90","90","14","77","115","301","37","458","54","175","15","25","65","0","90","502","862","0","49","0","72","0","19"
"publicpolygonfeature:5:43541","ZIP Code 33559","country:us/state:fl/zip:33559","33559","368","415","150","49","153","237","62","406","86","267","367","364","54","0","333","0","210","780","975","0","0","56","16","92","153"
"publicpolygonfeature:5:43542","ZIP Code 33563","country:us/state:fl/zip:33563","33563","412","261","33","8","17","104","62","632","15","210","158","289","94","0","444","245","342","551","1319","44","33","68","325","54","200"
"publicpolygonfeature:5:43543","ZIP Code 33565","country:us/state:fl/zip:33565","33565","230","230","33","12","12","152","26","346","156","236","115","81","39","14","222","65","111","385","756","49","56","3","103","42","77"
"publicpolygonfeature:5:43544","ZIP Code 33566","country:us/state:fl/zip:33566","33566","519","166","45","48","10","51","93","556","107","295","185","248","0","0","538","163","100","552","1061","13","17","31","25","102","121"
"publicpolygonfeature:5:43546","ZIP Code 33567","country:us/state:fl/zip:33567","33567","116","80","17","0","10","18","103","598","36","207","78","92","0","0","219","99","82","168","953","133","57","0","95","0","66"
"publicpolygonfeature:5:43547","ZIP Code 33569","country:us/state:fl/zip:33569","33569","715","787","77","104","98","206","60","668","208","489","214","159","69","57","262","66","395","651","1151","21","0","32","121","23","102"
"publicpolygonfeature:5:43548","ZIP Code 33570","country:us/state:fl/zip:33570","33570","627","495","84","44","2","84","30","387","20","487","149","203","39","32","670","181","408","1091","1564","62","28","16","133","165","452"
"publicpolygonfeature:5:43549","ZIP Code 33572","country:us/state:fl/zip:33572","33572","790","627","70","7","12","135","217","513","197","1008","96","158","20","0","148","47","226","932","920","0","0","0","65","6","104"
"publicpolygonfeature:5:43550","ZIP Code 33573","country:us/state:fl/zip:33573","33573","619","709","20","35","0","63","155","457","61","383","413","269","519","0","82","109","111","613","600","0","0","60","87","0","107"
"publicpolygonfeature:5:43551","ZIP Code 33578","country:us/state:fl/zip:33578","33578","1829","1658","737","138","69","405","432","1040","76","1198","450","891","46","251","1037","466","952","1902","3089","0","75","27","337","181","489"
"publicpolygonfeature:5:43552","ZIP Code 33579","country:us/state:fl/zip:33579","33579","943","1643","623","20","24","340","128","1326","164","995","427","406","276","65","250","153","249","1627","2355","0","198","24","176","150","178"
"publicpolygonfeature:5:43553","ZIP Code 33584","country:us/state:fl/zip:33584","33584","597","395","117","13","0","215","333","264","78","389","139","326","117","83","379","239","262","527","1294","0","10","9","125","37","269"
"publicpolygonfeature:5:43555","ZIP Code 33604","country:us/state:fl/zip:33604","33604","1081","796","111","105","115","221","229","489","211","398","283","661","92","0","547","445","481","1128","1968","36","51","0","237","313","231"
"publicpolygonfeature:5:43556","ZIP Code 33592","country:us/state:fl/zip:33592","33592","152","183","87","8","14","55","25","160","25","117","15","204","72","0","93","13","80","295","331","0","2","0","33","101","60"
"publicpolygonfeature:5:43557","ZIP Code 33594","country:us/state:fl/zip:33594","33594","963","805","306","67","14","338","129","686","110","1031","540","565","10","0","317","170","436","1092","1439","109","0","16","147","51","68"
"publicpolygonfeature:5:43558","ZIP Code 33596","country:us/state:fl/zip:33596","33596","635","865","75","0","111","155","136","705","176","765","194","256","36","0","325","195","123","1023","1111","0","0","19","81","0","55"
"publicpolygonfeature:5:43559","ZIP Code 33605","country:us/state:fl/zip:33605","33605","354","285","87","19","5","133","105","108","29","181","46","229","49","43","263","207","49","318","482","20","63","0","127","92","46"
"publicpolygonfeature:5:43560","ZIP Code 33606","country:us/state:fl/zip:33606","33606","1165","580","319","59","83","103","157","491","219","970","56","75","130","0","515","23","334","424","764","0","0","23","44","16","125"
"publicpolygonfeature:5:43561","ZIP Code 33597","country:us/state:fl/zip:33597","33597","95","66","0","19","0","0","52","165","0","152","110","64","0","0","187","40","91","264","465","76","96","0","49","5","107"
"publicpolygonfeature:5:43562","ZIP Code 33598","country:us/state:fl/zip:33598","33598","520","490","98","0","0","53","52","320","161","432","126","298","33","19","539","64","427","494","841","220","34","26","155","9","169"
"publicpolygonfeature:5:43563","ZIP Code 33602","country:us/state:fl/zip:33602","33602","1268","628","110","103","93","99","117","358","144","954","100","125","21","0","323","55","172","662","652","0","0","0","64","5","0"
"publicpolygonfeature:5:43564","ZIP Code 33607","country:us/state:fl/zip:33607","33607","634","1065","143","6","13","149","60","356","137","255","146","463","13","0","517","383","120","499","1036","0","0","6","138","31","82"
"publicpolygonfeature:5:43565","ZIP Code 33609","country:us/state:fl/zip:33609","33609","638","488","155","26","128","67","250","297","119","672","78","62","0","0","188","62","139","466","771","0","0","0","183","0","9"
"publicpolygonfeature:5:43566","ZIP Code 33610","country:us/state:fl/zip:33610","33610","755","840","372","36","30","308","165","724","211","172","548","516","83","25","515","592","183","1104","2262","0","100","106","431","152","400"
"publicpolygonfeature:5:43567","ZIP Code 33611","country:us/state:fl/zip:33611","33611","1386","1631","364","103","81","269","357","725","293","925","37","262","39","0","477","56","367","1295","1169","0","51","5","212","17","95"
"publicpolygonfeature:5:43568","ZIP Code 33612","country:us/state:fl/zip:33612","33612","538","496","162","30","25","224","76","643","66","526","355","710","7","0","672","885","317","992","1821","0","277","20","311","125","246"
"publicpolygonfeature:5:43569","ZIP Code 33625","country:us/state:fl/zip:33625","33625","783","939","171","155","90","83","243","477","240","726","239","166","0","8","555","262","299","829","1381","0","0","56","200","60","96"
