"feature id","feature label","shid","geoid","Female Employed in Management Occupation (2020-2024)","Female Employed in Business and Finance Occupation (2020-2024)","Female Employed in Computer and Mathematical Occupation (2020-2024)","Female Employed in Architecture and Engineering Occupation (2020-2024)","Female Employed in Life, Physical, and Social Science Occupation (2020-2024)","Female Employed in Community and Social Service Occupation (2020-2024)","Female Employed in Legal Occupation (2020-2024)","Female Employed in Education, Training and Library Occupation (2020-2024)","Female Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Female Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Female Employed in Health Technologist and Technicians Occupation (2020-2024)","Female Employed in Healthcare Support Occupation (2020-2024)","Female Employed in Fire Fighting and Prevention Occupation (2020-2024)","Female Employed in Law Enforcement Occupation (2020-2024)","Female Employed in Food Preparation and Serving Occupation (2020-2024)","Female Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Female Employed in Personal Care and Service Occupation (2020-2024)","Female Employed in Sales Occupation (2020-2024)","Female Employed in Office and Administrative Support Occupation (2020-2024)","Female Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Female Employed in Construction and Extraction Occupation (2020-2024)","Female Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Female Employed in Production Occupation (2020-2024)","Female Employed in Transportation Occupation (2020-2024)","Female Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:60019","ZIP Code 78730","country:us/state:tx/zip:78730","78730","304","229","41","0","37","68","36","207","86","158","12","0","18","0","0","18","105","260","483","0","11","0","0","0","0"
"publicpolygonfeature:5:60020","ZIP Code 78731","country:us/state:tx/zip:78731","78731","1096","645","399","289","86","42","493","975","561","706","113","51","8","0","242","0","163","604","684","0","0","0","26","0","54"
"publicpolygonfeature:5:60021","ZIP Code 78732","country:us/state:tx/zip:78732","78732","607","408","180","30","22","75","27","228","232","426","64","64","0","0","105","0","62","424","750","0","0","0","33","393","66"
"publicpolygonfeature:5:60022","ZIP Code 78733","country:us/state:tx/zip:78733","78733","217","213","58","38","69","49","50","135","59","160","15","86","70","44","18","21","43","144","99","0","0","0","45","16","0"
"publicpolygonfeature:5:60023","ZIP Code 78734","country:us/state:tx/zip:78734","78734","931","205","85","156","35","25","47","312","179","303","68","269","0","0","256","78","134","647","807","0","0","40","99","8","53"
"publicpolygonfeature:5:60024","ZIP Code 78746","country:us/state:tx/zip:78746","78746","981","668","262","135","145","75","284","731","323","653","137","44","14","0","126","21","179","527","478","12","69","0","60","34","13"
"publicpolygonfeature:5:60025","ZIP Code 78735","country:us/state:tx/zip:78735","78735","999","985","129","36","78","64","202","404","316","410","89","32","32","0","96","38","122","529","304","0","82","10","64","0","69"
"publicpolygonfeature:5:60026","ZIP Code 78736","country:us/state:tx/zip:78736","78736","289","227","0","36","49","100","70","384","58","193","21","24","0","0","106","87","4","153","564","0","0","0","0","0","50"
"publicpolygonfeature:5:60027","ZIP Code 78737","country:us/state:tx/zip:78737","78737","1031","325","93","22","76","101","250","718","255","647","29","71","17","0","176","0","220","420","663","0","0","0","52","8","0"
"publicpolygonfeature:5:60028","ZIP Code 78747","country:us/state:tx/zip:78747","78747","719","662","131","96","7","210","144","430","203","189","158","206","0","0","268","160","192","533","1077","0","16","0","151","58","25"
