"feature id","feature label","shid","geoid","Female Employed in Management Occupation (2020-2024)","Female Employed in Business and Finance Occupation (2020-2024)","Female Employed in Computer and Mathematical Occupation (2020-2024)","Female Employed in Architecture and Engineering Occupation (2020-2024)","Female Employed in Life, Physical, and Social Science Occupation (2020-2024)","Female Employed in Community and Social Service Occupation (2020-2024)","Female Employed in Legal Occupation (2020-2024)","Female Employed in Education, Training and Library Occupation (2020-2024)","Female Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Female Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Female Employed in Health Technologist and Technicians Occupation (2020-2024)","Female Employed in Healthcare Support Occupation (2020-2024)","Female Employed in Fire Fighting and Prevention Occupation (2020-2024)","Female Employed in Law Enforcement Occupation (2020-2024)","Female Employed in Food Preparation and Serving Occupation (2020-2024)","Female Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Female Employed in Personal Care and Service Occupation (2020-2024)","Female Employed in Sales Occupation (2020-2024)","Female Employed in Office and Administrative Support Occupation (2020-2024)","Female Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Female Employed in Construction and Extraction Occupation (2020-2024)","Female Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Female Employed in Production Occupation (2020-2024)","Female Employed in Transportation Occupation (2020-2024)","Female Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:41430","ZIP Code 33035","country:us/state:fl/zip:33035","33035","588","154","0","0","6","267","24","467","75","202","200","297","231","34","278","254","66","350","519","0","0","0","86","178","100"
"publicpolygonfeature:5:41513","ZIP Code 33170","country:us/state:fl/zip:33170","33170","175","112","15","0","22","72","91","266","59","406","50","221","97","38","165","189","135","327","700","85","19","14","67","278","51"
"publicpolygonfeature:5:41519","ZIP Code 33172","country:us/state:fl/zip:33172","33172","842","790","119","0","62","222","147","451","211","383","292","660","60","7","701","835","599","1843","1880","0","82","85","279","71","158"
"publicpolygonfeature:5:41530","ZIP Code 33173","country:us/state:fl/zip:33173","33173","829","622","71","124","87","106","230","664","344","699","400","309","4","0","258","312","188","448","1786","9","0","0","146","116","11"
"publicpolygonfeature:5:41558","ZIP Code 33174","country:us/state:fl/zip:33174","33174","533","384","36","14","13","61","101","602","107","435","407","936","0","8","400","474","723","1179","1151","44","8","22","257","63","142"
"publicpolygonfeature:5:41600","ZIP Code 33054","country:us/state:fl/zip:33054","33054","541","209","77","15","12","190","0","379","20","270","93","514","219","33","422","349","160","608","1118","0","0","29","340","134","406"
"publicpolygonfeature:5:41604","ZIP Code 33055","country:us/state:fl/zip:33055","33055","910","421","117","4","21","203","140","453","35","384","388","589","141","43","347","509","308","705","1276","15","251","18","222","126","55"
"publicpolygonfeature:5:41607","ZIP Code 33056","country:us/state:fl/zip:33056","33056","358","515","30","0","44","312","33","543","0","347","245","706","219","262","472","432","406","830","1708","0","72","32","180","164","496"
"publicpolygonfeature:5:41608","ZIP Code 33060","country:us/state:fl/zip:33060","33060","853","463","59","12","95","159","43","323","189","446","250","523","31","19","461","518","407","1224","1275","0","6","38","395","39","108"
"publicpolygonfeature:5:41613","ZIP Code 33062","country:us/state:fl/zip:33062","33062","1139","457","58","9","0","79","235","213","171","227","46","146","50","25","265","77","255","1044","702","0","18","0","23","74","19"
"publicpolygonfeature:5:41614","ZIP Code 33063","country:us/state:fl/zip:33063","33063","1566","800","529","70","134","210","376","1042","229","829","320","1011","70","101","792","913","545","1705","2699","0","25","15","407","91","277"
"publicpolygonfeature:5:41650","ZIP Code 33064","country:us/state:fl/zip:33064","33064","1450","782","79","94","41","414","234","815","338","594","434","1017","12","349","1106","1903","685","2070","2305","11","137","59","408","231","474"
