"feature id","feature label","shid","geoid","Female Employed in Management Occupation (2020-2024)","Female Employed in Business and Finance Occupation (2020-2024)","Female Employed in Computer and Mathematical Occupation (2020-2024)","Female Employed in Architecture and Engineering Occupation (2020-2024)","Female Employed in Life, Physical, and Social Science Occupation (2020-2024)","Female Employed in Community and Social Service Occupation (2020-2024)","Female Employed in Legal Occupation (2020-2024)","Female Employed in Education, Training and Library Occupation (2020-2024)","Female Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Female Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Female Employed in Health Technologist and Technicians Occupation (2020-2024)","Female Employed in Healthcare Support Occupation (2020-2024)","Female Employed in Fire Fighting and Prevention Occupation (2020-2024)","Female Employed in Law Enforcement Occupation (2020-2024)","Female Employed in Food Preparation and Serving Occupation (2020-2024)","Female Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Female Employed in Personal Care and Service Occupation (2020-2024)","Female Employed in Sales Occupation (2020-2024)","Female Employed in Office and Administrative Support Occupation (2020-2024)","Female Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Female Employed in Construction and Extraction Occupation (2020-2024)","Female Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Female Employed in Production Occupation (2020-2024)","Female Employed in Transportation Occupation (2020-2024)","Female Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:41436","ZIP Code 28107","country:us/state:nc/zip:28107","28107","284","220","19","53","0","15","13","247","70","215","109","117","0","0","201","34","20","246","349","0","17","0","11","10","115"
"publicpolygonfeature:5:41437","ZIP Code 28108","country:us/state:nc/zip:28108","28108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:41439","ZIP Code 28079","country:us/state:nc/zip:28079","28079","1110","1268","309","71","44","295","134","1204","365","750","174","374","23","38","607","130","392","1153","1889","0","23","28","198","155","130"
"publicpolygonfeature:5:41440","ZIP Code 28080","country:us/state:nc/zip:28080","28080","296","89","31","0","10","21","0","185","0","70","50","77","0","0","266","11","43","233","350","0","0","6","89","0","0"
"publicpolygonfeature:5:41442","ZIP Code 28086","country:us/state:nc/zip:28086","28086","672","325","94","18","34","151","14","627","19","382","257","347","17","20","345","85","141","830","1239","0","62","0","451","73","255"
"publicpolygonfeature:5:41443","ZIP Code 28088","country:us/state:nc/zip:28088","28088","20","122","18","0","0","19","0","97","52","0","19","31","0","26","31","18","18","47","198","0","0","0","12","0","15"
"publicpolygonfeature:5:41447","ZIP Code 28144","country:us/state:nc/zip:28144","28144","357","382","133","0","70","224","24","545","148","450","158","389","23","0","740","110","213","343","900","3","47","0","464","56","179"
"publicpolygonfeature:5:41448","ZIP Code 28091","country:us/state:nc/zip:28091","28091","56","0","0","0","11","17","0","18","4","22","35","38","0","0","22","66","0","0","73","0","0","0","20","16","23"
"publicpolygonfeature:5:41449","ZIP Code 28103","country:us/state:nc/zip:28103","28103","362","51","25","10","0","62","17","185","84","165","43","99","38","0","192","7","86","193","440","0","0","0","222","29","63"
"publicpolygonfeature:5:41451","ZIP Code 28092","country:us/state:nc/zip:28092","28092","527","418","132","62","31","209","0","633","50","645","452","536","46","0","583","102","303","999","1713","8","108","83","819","208","210"
"publicpolygonfeature:5:41453","ZIP Code 28104","country:us/state:nc/zip:28104","28104","1330","1069","420","84","63","175","50","1012","271","708","202","198","27","6","367","148","253","947","1102","0","0","71","87","42","56"
"publicpolygonfeature:5:41454","ZIP Code 28105","country:us/state:nc/zip:28105","28105","1234","1145","285","64","132","244","145","1353","465","724","199","235","42","45","750","267","602","1037","1765","0","5","14","238","103","314"
"publicpolygonfeature:5:41455","ZIP Code 28110","country:us/state:nc/zip:28110","28110","1345","1035","162","37","9","133","66","1542","178","593","423","786","121","91","856","278","319","1150","2172","47","74","36","755","152","228"
"publicpolygonfeature:5:41456","ZIP Code 28112","country:us/state:nc/zip:28112","28112","642","203","41","18","0","65","131","709","56","637","136","288","37","17","327","81","523","514","1189","17","30","0","386","129","170"
"publicpolygonfeature:5:41458","ZIP Code 28119","country:us/state:nc/zip:28119","28119","21","21","3","0","0","65","0","20","0","0","0","58","4","0","17","17","0","136","35","0","9","0","43","5","0"
"publicpolygonfeature:5:41459","ZIP Code 28115","country:us/state:nc/zip:28115","28115","1013","649","109","44","0","197","54","1537","106","572","468","279","78","0","576","117","432","880","1782","0","7","0","334","136","246"
"publicpolygonfeature:5:41460","ZIP Code 28117","country:us/state:nc/zip:28117","28117","1257","1182","272","83","88","397","63","1031","118","888","341","548","21","0","740","106","588","1490","1694","16","64","0","317","55","257"
"publicpolygonfeature:5:41462","ZIP Code 28120","country:us/state:nc/zip:28120","28120","625","663","46","41","53","184","19","515","123","343","198","364","42","21","408","85","250","843","1078","0","92","55","95","78","133"
"publicpolygonfeature:5:41463","ZIP Code 28124","country:us/state:nc/zip:28124","28124","183","82","0","0","17","3","23","193","1","124","63","110","0","0","11","43","84","171","466","8","0","0","29","0","0"
"publicpolygonfeature:5:41464","ZIP Code 28125","country:us/state:nc/zip:28125","28125","92","11","44","0","0","74","0","41","0","35","0","37","0","0","0","65","84","0","119","0","0","0","15","0","16"
"publicpolygonfeature:5:41467","ZIP Code 28133","country:us/state:nc/zip:28133","28133","46","27","0","0","0","1","0","20","13","3","50","59","16","4","38","0","8","27","142","0","0","1","14","0","0"
"publicpolygonfeature:5:41468","ZIP Code 28134","country:us/state:nc/zip:28134","28134","545","380","62","25","9","43","24","408","98","331","0","82","0","0","201","126","140","322","371","0","30","9","147","86","58"
"publicpolygonfeature:5:41470","ZIP Code 28135","country:us/state:nc/zip:28135","28135","68","27","2","0","5","20","10","21","0","26","2","62","0","0","68","18","10","44","102","0","12","0","51","32","6"
"publicpolygonfeature:5:41471","ZIP Code 28204","country:us/state:nc/zip:28204","28204","719","667","117","42","129","20","87","94","150","569","55","95","0","0","78","36","13","229","285","0","27","6","0","9","27"
"publicpolygonfeature:5:41472","ZIP Code 28205","country:us/state:nc/zip:28205","28205","1856","1652","531","159","181","301","252","913","620","1005","273","408","34","36","942","703","700","1343","1276","51","190","54","372","362","412"
"publicpolygonfeature:5:41473","ZIP Code 28137","country:us/state:nc/zip:28137","28137","94","26","0","0","9","9","10","44","9","44","3","49","0","1","9","2","18","93","124","0","0","9","25","3","0"
"publicpolygonfeature:5:41474","ZIP Code 28138","country:us/state:nc/zip:28138","28138","144","127","34","0","19","12","29","303","32","136","71","117","0","0","111","91","23","212","310","0","42","8","105","38","33"
"publicpolygonfeature:5:41476","ZIP Code 28146","country:us/state:nc/zip:28146","28146","660","343","53","0","14","310","222","668","139","417","195","455","18","14","330","183","212","614","1233","0","8","34","206","109","114"
"publicpolygonfeature:5:41477","ZIP Code 28147","country:us/state:nc/zip:28147","28147","270","169","66","37","30","127","111","289","49","500","333","366","2","13","253","142","112","778","995","0","63","0","606","20","269"
"publicpolygonfeature:5:41480","ZIP Code 28159","country:us/state:nc/zip:28159","28159","14","42","0","0","0","32","0","103","0","57","0","16","0","46","0","18","30","43","57","0","0","0","0","5","19"
"publicpolygonfeature:5:41482","ZIP Code 28206","country:us/state:nc/zip:28206","28206","374","276","188","11","14","93","23","285","130","351","59","117","4","17","108","82","157","602","835","0","8","65","209","115","86"
