"feature id","feature label","shid","geoid","Jobs with Worker Educational Attainment - Less than High School (2023)","Jobs with Worker Educational Attainment - Some College or Associate's Degree (2023)","Jobs with Worker Educational Attainment - Bachelor's Degree or Higher (2023)","Jobs with Worker Educational Attainment - High School Degree or Equivalent (2023)","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:45731","ZIP Code 40165","country:us/state:ky/zip:40165","40165","2263","4921","3488","5061","1322","1100","7","135","645","2262","252","789","137","5","1834","78","305","498","1027","101","1592","7812","34","1765"
"publicpolygonfeature:5:45732","ZIP Code 40175","country:us/state:ky/zip:40175","40175","59","186","133","219","36","53","2","14","104","5","31","116","9","5","7","0","51","60","27","13","193","7","6","18"
"publicpolygonfeature:5:45733","ZIP Code 40176","country:us/state:ky/zip:40176","40176","6","9","9","14","0","0","0","0","12","0","0","13","0","0","2","0","7","7","0","0","0","2","0","0"
"publicpolygonfeature:5:45734","ZIP Code 40177","country:us/state:ky/zip:40177","40177","8","12","10","29","0","3","0","21","4","0","9","2","0","0","22","0","0","0","5","0","2","0","0","0"
"publicpolygonfeature:5:45735","ZIP Code 40213","country:us/state:ky/zip:40213","40213","3569","9477","6367","8980","2060","1521","0","459","1801","53","157","1244","76","693","4826","0","704","765","34","164","1350","22949","1","1569"
"publicpolygonfeature:5:45736","ZIP Code 40214","country:us/state:ky/zip:40214","40214","1894","3827","2615","4060","914","1735","0","734","1700","38","221","768","134","135","3309","0","491","574","7","181","1791","1423","350","1356"
"publicpolygonfeature:5:45737","ZIP Code 40215","country:us/state:ky/zip:40215","40215","423","931","784","819","395","103","0","40","54","12","13","2347","11","0","112","0","153","101","0","108","263","19","0","30"
"publicpolygonfeature:5:45738","ZIP Code 40216","country:us/state:ky/zip:40216","40216","1293","2647","1506","2680","1447","877","0","27","361","57","281","1413","18","78","1953","0","432","308","15","155","2383","642","37","440"
"publicpolygonfeature:5:45739","ZIP Code 40217","country:us/state:ky/zip:40217","40217","761","1855","1484","1548","704","1447","0","25","220","16","45","3663","35","0","288","0","119","131","14","30","485","47","2","177"
"publicpolygonfeature:5:45740","ZIP Code 40219","country:us/state:ky/zip:40219","40219","2389","5140","3144","5160","2166","838","0","70","1161","41","274","1379","205","62","1535","0","826","516","111","252","5821","6799","0","264"
"publicpolygonfeature:5:45741","ZIP Code 40220","country:us/state:ky/zip:40220","40220","809","2289","2002","1767","1412","880","6","79","290","146","1172","2272","80","1","37","0","287","605","12","181","1882","17","0","174"
"publicpolygonfeature:5:45742","ZIP Code 40222","country:us/state:ky/zip:40222","40222","1607","4594","4670","3618","2427","3788","13","1022","282","163","2183","2352","165","741","111","2","561","1785","200","649","2974","168","0","360"
"publicpolygonfeature:5:45743","ZIP Code 40223","country:us/state:ky/zip:40223","40223","2848","8540","8259","6731","1969","3221","27","816","1015","468","5396","3540","2139","1632","1434","54","609","4366","438","409","1446","1988","98","2673"
"publicpolygonfeature:5:45744","ZIP Code 40229","country:us/state:ky/zip:40229","40229","881","2083","1387","2124","647","891","24","13","473","39","980","432","862","160","695","0","147","267","67","93","2027","288","1","641"
"publicpolygonfeature:5:45745","ZIP Code 40231","country:us/state:ky/zip:40231","40231","1","5","4","6","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","2","9","0","0"
"publicpolygonfeature:5:45746","ZIP Code 40241","country:us/state:ky/zip:40241","40241","1791","5417","3904","4860","2679","336","0","74","372","367","479","1895","499","37","7977","6","452","1087","57","255","3823","208","143","596"
"publicpolygonfeature:5:45747","ZIP Code 40242","country:us/state:ky/zip:40242","40242","112","342","344","288","95","75","0","37","56","156","54","307","14","2","3","0","41","179","146","29","112","3","0","21"
"publicpolygonfeature:5:45748","ZIP Code 40243","country:us/state:ky/zip:40243","40243","538","1534","1494","1237","1062","302","0","85","244","199","473","1163","41","209","92","0","470","677","34","194","1576","19","0","151"
"publicpolygonfeature:5:45749","ZIP Code 40245","country:us/state:ky/zip:40245","40245","960","2450","2299","2268","695","508","4","259","777","367","639","1149","91","225","1403","0","429","899","9","196","722","1110","2","724"
"publicpolygonfeature:5:45750","ZIP Code 40258","country:us/state:ky/zip:40258","40258","1775","3517","2027","3758","979","2299","0","27","596","48","101","399","5","21","4368","0","158","184","144","68","1400","2512","0","1471"
"publicpolygonfeature:5:45751","ZIP Code 40272","country:us/state:ky/zip:40272","40272","504","1294","832","1202","827","65","0","21","310","72","84","1405","29","9","87","0","129","361","0","89","1310","100","176","196"
"publicpolygonfeature:5:45752","ZIP Code 40280","country:us/state:ky/zip:40280","40280","2","5","2","4","5","0","0","0","0","0","0","0","2","0","0","0","6","4","0","0","0","0","0","0"
"publicpolygonfeature:5:45754","ZIP Code 40291","country:us/state:ky/zip:40291","40291","528","1172","904","1152","1563","315","0","82","182","99","177","823","49","0","35","1","313","242","120","126","1184","39","0","215"
"publicpolygonfeature:5:45755","ZIP Code 40299","country:us/state:ky/zip:40299","40299","3631","8971","6893","8544","1928","4252","7","362","3355","407","1653","2076","212","993","5600","0","1029","2603","337","380","4812","1882","9","4597"
"publicpolygonfeature:5:47979","ZIP Code 47104","country:us/state:in/zip:47104","47104",,,,,,,,,,,,,,,,,,,,,,,,
"publicpolygonfeature:5:47982","ZIP Code 47114","country:us/state:in/zip:47114","47114","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"publicpolygonfeature:5:47986","ZIP Code 47120","country:us/state:in/zip:47120","47120","6","21","10","43","0","0","4","0","19","0","0","0","0","0","70","0","0","13","0","0","0","0","0","0"
"publicpolygonfeature:5:47988","ZIP Code 47106","country:us/state:in/zip:47106","47106","126","259","163","357","87","60","4","0","48","105","4","35","13","9","466","0","22","29","5","3","34","87","10","103"
"publicpolygonfeature:5:47989","ZIP Code 47108","country:us/state:in/zip:47108","47108","48","155","97","150","9","0","18","0","24","212","0","1","0","0","206","0","0","5","0","0","29","6","0","10"
"publicpolygonfeature:5:47990","ZIP Code 47110","country:us/state:in/zip:47110","47110","1","5","5","2","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","11","0","0","0"
"publicpolygonfeature:5:47992","ZIP Code 47111","country:us/state:in/zip:47111","47111","298","771","581","772","204","101","6","15","397","283","93","291","44","41","703","39","53","307","78","60","324","30","0","70"
"publicpolygonfeature:5:47993","ZIP Code 47112","country:us/state:in/zip:47112","47112","558","1740","1040","1695","800","133","22","131","223","484","112","1508","99","1","1047","8","138","176","411","47","951","101","83","297"
"publicpolygonfeature:5:47994","ZIP Code 47115","country:us/state:in/zip:47115","47115","23","63","54","85","0","7","0","0","31","0","0","5","0","0","176","33","0","1","0","2","1","23","0","2"
"publicpolygonfeature:5:47996","ZIP Code 47122","country:us/state:in/zip:47122","47122","116","321","266","319","183","36","8","19","179","172","36","172","1","51","87","0","37","128","13","40","125","25","5","89"
"publicpolygonfeature:5:47998","ZIP Code 47117","country:us/state:in/zip:47117","47117","105","309","148","333","870","22","9","34","57","0","5","0","0","0","14","9","8","11","3","0","23","23","7","11"
"publicpolygonfeature:5:47999","ZIP Code 47124","country:us/state:in/zip:47124","47124","34","120","91","110","0","14","0","0","65","74","7","10","6","0","23","0","51","86","0","4","59","21","8","5"
"publicpolygonfeature:5:48000","ZIP Code 47125","country:us/state:in/zip:47125","47125","11","26","13","30","14","2","2","0","12","0","0","2","0","0","7","0","1","6","0","0","43","18","3","9"
"publicpolygonfeature:5:48003","ZIP Code 47119","country:us/state:in/zip:47119","47119","279","616","490","643","413","323","0","31","552","257","91","270","12","37","45","5","96","159","1","42","347","44","7","58"
"publicpolygonfeature:5:48005","ZIP Code 47126","country:us/state:in/zip:47126","47126","61","168","117","137","20","2","0","3","66","143","12","176","1","0","90","0","32","7","2","6","21","19","14","11"
"publicpolygonfeature:5:48006","ZIP Code 47129","country:us/state:in/zip:47129","47129","1117","2521","1594","2573","2176","723","5","356","454","364","241","1504","26","50","378","0","209","98","280","167","3304","711","64","335"
"publicpolygonfeature:5:48007","ZIP Code 47130","country:us/state:in/zip:47130","47130","3364","8744","5862","8240","2409","1542","0","66","1002","959","2040","4394","209","230","5124","28","944","967","2286","273","2700","7000","25","2023"
"publicpolygonfeature:5:48008","ZIP Code 47142","country:us/state:in/zip:47142","47142","10","32","12","36","0","0","0","4","0","0","0","0","0","0","61","33","0","1","0","0","4","2","0","4"
"publicpolygonfeature:5:48009","ZIP Code 47135","country:us/state:in/zip:47135","47135","5","23","6","16","0","0","4","35","7","0","0","12","3","0","7","0","0","1","0","0","0","0","0","0"
