"feature id","feature label","shid","geoid","Jobs with Worker Educational Attainment - Less than High School (2023)","Jobs with Worker Educational Attainment - Some College or Associate's Degree (2023)","Jobs with Worker Educational Attainment - Bachelor's Degree or Higher (2023)","Jobs with Worker Educational Attainment - High School Degree or Equivalent (2023)","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:41437","ZIP Code 28108","country:us/state:nc/zip:28108","28108","1","4","2","1","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0"
"publicpolygonfeature:5:41439","ZIP Code 28079","country:us/state:nc/zip:28079","28079","1396","2825","2351","2705","1313","1304","116","212","3614","743","460","967","144","30","383","0","602","596","60","162","1696","330","0","794"
"publicpolygonfeature:5:41440","ZIP Code 28080","country:us/state:nc/zip:28080","28080","179","590","368","480","12","41","8","11","110","209","451","16","11","0","809","1","35","44","0","18","46","14","15","73"
"publicpolygonfeature:5:41442","ZIP Code 28086","country:us/state:nc/zip:28086","28086","1402","2900","1751","3003","652","721","14","402","830","561","75","681","306","24","4530","41","193","185","277","87","878","582","77","312"
"publicpolygonfeature:5:41443","ZIP Code 28088","country:us/state:nc/zip:28088","28088","94","146","127","156","26","26","0","0","214","142","14","62","0","0","84","0","10","1","54","1","8","0","0","8"
"publicpolygonfeature:5:41447","ZIP Code 28144","country:us/state:nc/zip:28144","28144","1666","4611","3943","3670","1727","1008","2","210","650","1390","260","6036","78","255","641","128","411","453","1992","74","1375","194","18","521"
"publicpolygonfeature:5:41448","ZIP Code 28091","country:us/state:nc/zip:28091","28091","90","116","83","189","14","0","18","0","16","39","0","1","0","0","316","32","3","0","13","1","24","7","45","32"
"publicpolygonfeature:5:41449","ZIP Code 28103","country:us/state:nc/zip:28103","28103","477","653","434","757","155","205","116","22","224","267","17","205","0","5","997","0","62","16","45","7","204","275","0","87"
"publicpolygonfeature:5:41451","ZIP Code 28092","country:us/state:nc/zip:28092","28092","1424","3379","2330","3076","1268","739","22","106","530","1128","286","1506","57","31","2218","0","280","339","1194","89","1966","913","3","748"
"publicpolygonfeature:5:41453","ZIP Code 28104","country:us/state:nc/zip:28104","28104","894","1913","1957","1783","620","536","9","163","1051","750","357","579","94","19","973","0","307","620","86","60","1381","141","57","683"
"publicpolygonfeature:5:41454","ZIP Code 28105","country:us/state:nc/zip:28105","28105","2318","5139","4361","4477","3122","922","0","455","1247","967","641","3892","254","989","578","22","858","1656","260","200","5166","681","4","896"
"publicpolygonfeature:5:41455","ZIP Code 28110","country:us/state:nc/zip:28110","28110","3150","5980","4216","6066","2168","1191","233","124","4118","1702","448","1416","130","19","6655","14","624","749","11","142","3277","1332","199","1319"
"publicpolygonfeature:5:41456","ZIP Code 28112","country:us/state:nc/zip:28112","28112","1405","3141","2418","2918","402","714","193","12","397","1492","115","1841","35","14","2709","0","306","523","2484","55","550","49","0","218"
"publicpolygonfeature:5:41458","ZIP Code 28119","country:us/state:nc/zip:28119","28119","7","25","16","23","0","0","8","0","4","32","0","11","1","0","0","0","8","0","12","0","6","0","0","2"
"publicpolygonfeature:5:41459","ZIP Code 28115","country:us/state:nc/zip:28115","28115","1702","4069","3155","3766","794","1131","39","800","1476","1133","200","484","128","16","4776","0","519","961","714","99","1403","175","0","1114"
"publicpolygonfeature:5:41460","ZIP Code 28117","country:us/state:nc/zip:28117","28117","2449","6399","5584","5454","3404","1304","73","1189","1697","582","752","3660","342","3191","1153","2","789","1857","0","452","4941","255","191","1455"
"publicpolygonfeature:5:41462","ZIP Code 28120","country:us/state:nc/zip:28120","28120","769","1648","1036","1681","463","360","26","40","428","422","76","267","31","57","2755","0","66","170","185","175","500","120","33","98"
"publicpolygonfeature:5:41463","ZIP Code 28124","country:us/state:nc/zip:28124","28124","110","246","221","291","164","68","7","6","156","136","22","113","0","3","75","0","48","60","59","13","226","15","0","51"
"publicpolygonfeature:5:41464","ZIP Code 28125","country:us/state:nc/zip:28125","28125","54","117","97","153","22","24","6","6","49","136","17","16","0","0","74","0","19","80","0","4","87","14","0","13"
"publicpolygonfeature:5:41467","ZIP Code 28133","country:us/state:nc/zip:28133","28133","49","109","57","94","17","11","51","0","74","57","0","2","0","0","131","0","14","7","5","3","19","1","0","7"
"publicpolygonfeature:5:41468","ZIP Code 28134","country:us/state:nc/zip:28134","28134","1586","3281","2416","2985","847","484","7","200","1111","222","135","2070","150","183","1564","0","334","538","103","209","3553","1118","0","938"
"publicpolygonfeature:5:41470","ZIP Code 28135","country:us/state:nc/zip:28135","28135","147","320","210","371","13","96","13","15","117","81","0","29","0","0","256","0","69","44","449","3","52","40","0","15"
"publicpolygonfeature:5:41471","ZIP Code 28204","country:us/state:nc/zip:28204","28204","3024","7648","7616","5622","2380","2843","1","156","516","3367","567","14194","1300","212","193","0","530","2322","74","278","1104","120","0","195"
"publicpolygonfeature:5:41472","ZIP Code 28205","country:us/state:nc/zip:28205","28205","1971","4032","3243","3646","2515","2114","0","616","714","1141","398","1736","498","115","573","0","820","1642","11","441","2409","775","158","590"
"publicpolygonfeature:5:41473","ZIP Code 28137","country:us/state:nc/zip:28137","28137","82","242","222","250","145","157","5","13","155","242","8","33","2","0","60","0","12","5","11","0","154","37","3","29"
"publicpolygonfeature:5:41474","ZIP Code 28138","country:us/state:nc/zip:28138","28138","259","592","342","581","186","110","93","101","184","123","14","177","11","0","705","5","78","14","43","10","332","81","0","34"
"publicpolygonfeature:5:41476","ZIP Code 28146","country:us/state:nc/zip:28146","28146","997","1986","1349","2048","786","270","13","48","591","1152","51","490","26","8","877","1","147","249","53","97","2088","990","92","552"
