"feature id","feature label","shid","geoid","Jobs with Worker Educational Attainment - Less than High School (2023)","Jobs with Worker Educational Attainment - Some College or Associate's Degree (2023)","Jobs with Worker Educational Attainment - Bachelor's Degree or Higher (2023)","Jobs with Worker Educational Attainment - High School Degree or Equivalent (2023)","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:44575","ZIP Code 37062","country:us/state:tn/zip:37062","37062","178","381","297","362","330","66","7","20","143","3","74","181","21","0","98","3","106","92","83","16","584","19","0","42"
"publicpolygonfeature:5:44576","ZIP Code 37064","country:us/state:tn/zip:37064","37064","3054","8176","9230","6995","3357","1316","27","680","2276","8537","2109","2399","2565","337","1564","43","1138","2196","2510","403","2846","316","74","1027"
"publicpolygonfeature:5:44577","ZIP Code 37066","country:us/state:tn/zip:37066","37066","2563","6874","5632","6254","2238","1288","12","180","1422","6094","502","2895","203","34","3326","0","496","952","1577","389","3318","2056","69","1108"
"publicpolygonfeature:5:44579","ZIP Code 37067","country:us/state:tn/zip:37067","37067","4582","12972","13603","10541","5305","4652","6","1038","3438","844","6114","7468","2596","4734","1000","0","1159","6030","2","1019","7236","493","180","2545"
"publicpolygonfeature:5:44580","ZIP Code 37069","country:us/state:tn/zip:37069","37069","284","708","868","567","314","201","12","455","206","302","229","253","113","13","33","0","143","310","0","68","482","56","0","169"
"publicpolygonfeature:5:44581","ZIP Code 37072","country:us/state:tn/zip:37072","37072","1816","3715","2785","3491","1275","950","0","204","1365","28","698","1217","72","1664","2929","0","396","837","202","185","1590","927","18","752"
"publicpolygonfeature:5:44582","ZIP Code 37073","country:us/state:tn/zip:37073","37073","201","409","253","428","172","548","0","28","264","24","28","65","0","0","330","0","73","22","71","10","130","12","0","85"
"publicpolygonfeature:5:44583","ZIP Code 37074","country:us/state:tn/zip:37074","37074","177","457","288","501","126","227","0","0","110","285","49","203","5","0","300","0","39","60","144","3","181","33","33","69"
"publicpolygonfeature:5:44584","ZIP Code 37075","country:us/state:tn/zip:37075","37075","2027","4967","3735","4503","3584","1193","10","336","1898","278","928","3491","417","54","1134","0","902","1891","508","422","4089","229","28","756"
"publicpolygonfeature:5:44585","ZIP Code 37080","country:us/state:tn/zip:37080","37080","98","220","187","243","113","178","3","26","310","0","18","13","0","0","120","7","68","25","0","40","110","4","0","6"
