"feature id","feature label","shid","geoid","Jobs with Worker Educational Attainment - Less than High School (2023)","Jobs with Worker Educational Attainment - Some College or Associate's Degree (2023)","Jobs with Worker Educational Attainment - Bachelor's Degree or Higher (2023)","Jobs with Worker Educational Attainment - High School Degree or Equivalent (2023)","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:46481","ZIP Code 43223","country:us/state:oh/zip:43223","43223","948","2237","1657","2132","572","692","0","5","805","684","31","1808","1","0","395","28","732","50","769","309","731","705","18","278"
"publicpolygonfeature:5:46482","ZIP Code 43224","country:us/state:oh/zip:43224","43224","704","1670","1449","1487","485","384","0","57","250","1084","111","1017","21","88","33","0","280","63","879","136","1504","107","0","366"
"publicpolygonfeature:5:46483","ZIP Code 43227","country:us/state:oh/zip:43227","43227","310","704","623","637","258","92","0","0","177","704","10","747","0","0","198","0","100","125","0","54","245","12","0","86"
"publicpolygonfeature:5:46484","ZIP Code 43228","country:us/state:oh/zip:43228","43228","3993","9928","7201","9520","3009","2790","117","786","2371","1005","478","3734","501","137","5072","0","1295","1054","0","770","5531","7538","130","4232"
"publicpolygonfeature:5:46485","ZIP Code 43229","country:us/state:oh/zip:43229","43229","2585","6775","6484","5944","1289","3790","3","203","1644","1860","1615","7377","256","636","1415","0","1087","1235","639","489","2313","509","226","1004"
"publicpolygonfeature:5:46486","ZIP Code 43230","country:us/state:oh/zip:43230","43230","2942","8221","8644","7223","3289","2387","0","313","1633","1713","922","5573","1145","2134","1173","10","1059","2575","133","513","6147","3315","716","820"
"publicpolygonfeature:5:46487","ZIP Code 43231","country:us/state:oh/zip:43231","43231","1062","2883","2405","2423","291","1042","0","48","429","166","851","4523","212","18","170","3","133","1362","24","212","538","200","272","284"
"publicpolygonfeature:5:46490","ZIP Code 43334","country:us/state:oh/zip:43334","43334","144","327","230","407","17","91","112","0","183","201","6","118","0","6","50","0","16","2","38","4","608","46","0","34"
"publicpolygonfeature:5:46495","ZIP Code 43315","country:us/state:oh/zip:43315","43315","86","230","165","274","45","25","9","8","58","200","10","20","10","0","402","0","18","22","26","0","31","3","0","7"
"publicpolygonfeature:5:46497","ZIP Code 43317","country:us/state:oh/zip:43317","43317","5","12","6","17","0","0","0","0","0","0","0","46","0","0","0","6","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:46504","ZIP Code 43338","country:us/state:oh/zip:43338","43338","180","779","476","713","290","69","7","19","80","218","50","1108","9","0","73","6","76","69","291","42","300","11","38","105"
"publicpolygonfeature:5:46505","ZIP Code 43340","country:us/state:oh/zip:43340","43340","14","34","35","42","39","0","35","0","6","35","5","2","0","0","6","0","0","0","9","0","24","0","0","0"
"publicpolygonfeature:5:46508","ZIP Code 43344","country:us/state:oh/zip:43344","43344","50","204","153","193","40","70","4","0","17","206","167","3","22","0","38","0","25","14","26","15","40","3","0","69"
"publicpolygonfeature:5:46513","ZIP Code 43356","country:us/state:oh/zip:43356","43356","17","33","23","40","55","4","0","21","5","0","2","0","0","0","0","0","10","27","0","0","55","0","0","12"
"publicpolygonfeature:5:46515","ZIP Code 43358","country:us/state:oh/zip:43358","43358","21","41","19","54","5","2","78","0","11","0","11","0","0","0","13","0","7","0","8","0","13","8","0","2"
"publicpolygonfeature:5:46596","ZIP Code 43721","country:us/state:oh/zip:43721","43721",,,,,,,,,,,,,,,,,,,,,,,,
"publicpolygonfeature:5:46604","ZIP Code 43730","country:us/state:oh/zip:43730","43730","11","44","34","46","0","0","0","0","18","110","4","4","0","0","0","4","5","0","13","0","0","0","0","0"
"publicpolygonfeature:5:46605","ZIP Code 43731","country:us/state:oh/zip:43731","43731","58","212","118","266","53","3","0","0","58","134","3","16","0","0","238","6","12","11","52","1","113","0","9","133"
"publicpolygonfeature:5:46614","ZIP Code 43739","country:us/state:oh/zip:43739","43739","10","29","23","47","0","16","0","0","17","40","0","3","0","0","5","0","5","11","8","3","13","4","0","3"
