"feature id","feature label","shid","geoid","Jobs with Worker Educational Attainment - Less than High School (2023)","Jobs with Worker Educational Attainment - Some College or Associate's Degree (2023)","Jobs with Worker Educational Attainment - Bachelor's Degree or Higher (2023)","Jobs with Worker Educational Attainment - High School Degree or Equivalent (2023)","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:41664","ZIP Code 33068","country:us/state:fl/zip:33068","33068","1111","1555","1035","1475","575","2532","0","43","283","256","118","662","31","40","69","0","194","598","270","81","1431","40","0","72"
"publicpolygonfeature:5:41668","ZIP Code 33069","country:us/state:fl/zip:33069","33069","6015","8383","5939","7735","1339","2546","0","604","6497","48","334","1400","61","121","5527","7","914","918","0","1029","2382","2022","63","7075"
"publicpolygonfeature:5:41673","ZIP Code 33071","country:us/state:fl/zip:33071","33071","1482","2385","1900","1989","1638","870","0","185","398","129","349","1102","44","73","67","19","347","1143","216","245","3601","75","0","185"
"publicpolygonfeature:5:41677","ZIP Code 33073","country:us/state:fl/zip:33073","33073","2901","4724","3707","4061","3054","2187","21","1665","1422","545","627","1685","223","341","483","4","589","1693","462","339","3632","194","0","931"
"publicpolygonfeature:5:41703","ZIP Code 33076","country:us/state:fl/zip:33076","33076","1157","1889","1971","1579","1182","509","3","234","526","288","619","1161","151","44","64","0","372","1039","0","206","1705","80","0","510"
"publicpolygonfeature:5:41718","ZIP Code 33101","country:us/state:fl/zip:33101","33101","3","0","3","2","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0","3","0","0","0","0"
"publicpolygonfeature:5:41719","ZIP Code 33109","country:us/state:fl/zip:33109","33109","165","184","113","185","408","19","0","0","18","0","9","0","0","2","3","0","263","26","0","11","0","0","0","12"
"publicpolygonfeature:5:41784","ZIP Code 33122","country:us/state:fl/zip:33122","33122","5554","7300","6106","6230","1301","2397","0","131","808","34","1848","2160","208","322","1305","0","139","1794","0","2974","1500","9138","0","4186"
"publicpolygonfeature:5:41793","ZIP Code 33125","country:us/state:fl/zip:33125","33125","2139","3175","3585","2545","964","794","0","1046","786","277","212","4864","48","14","204","1","320","500","1254","281","1415","462","0","411"
"publicpolygonfeature:5:41796","ZIP Code 33126","country:us/state:fl/zip:33126","33126","8950","11674","10654","9852","3745","7009","1","834","2701","261","3918","3072","1474","1435","1096","2","853","5356","7","3012","4426","4381","0","5687"
"publicpolygonfeature:5:41799","ZIP Code 33127","country:us/state:fl/zip:33127","33127","1831","2244","2059","2077","2812","436","8","180","284","187","140","990","347","161","504","0","314","1087","4","315","1907","401","0","1039"
"publicpolygonfeature:5:41814","ZIP Code 33128","country:us/state:fl/zip:33128","33128","5110","10141","7101","7555","695","190","0","23","58","44","20","634","92","1","35","0","133","210","30926","76","129","6","0","20"
"publicpolygonfeature:5:41815","ZIP Code 33129","country:us/state:fl/zip:33129","33129","493","754","815","573","379","100","0","181","123","78","107","324","80","4","30","0","234","947","0","347","113","26","0","123"
"publicpolygonfeature:5:41830","ZIP Code 33130","country:us/state:fl/zip:33130","33130","3582","6080","5772","4591","3780","2543","8","323","184","223","1640","1054","799","171","87","0","890","4124","5762","723","1976","224","127","448"
"publicpolygonfeature:5:41831","ZIP Code 33131","country:us/state:fl/zip:33131","33131","8547","14731","17732","11021","5229","4470","1","188","407","607","10794","14124","1568","466","232","5","1429","15413","230","1885","1758","613","44","2821"
"publicpolygonfeature:5:41834","ZIP Code 33132","country:us/state:fl/zip:33132","33132","9843","17751","18563","13430","3034","2280","0","2028","157","46024","1780","356","745","32","66","1","755","1177","653","171","594","7212","0","454"
