city,geoid,feature label,feature id,shid,Housing Built 1939 or Earlier (2020-2024),Housing Built 1940 to 1949 (2020-2024),Housing Built 1950 to 1959 (2020-2024),Housing Built 1960 to 1969 (2020-2024),Housing Built 1970 to 1979 (2020-2024),Housing Built 1980 to 1989 (2020-2024),Housing Built 1990 to 1999 (2020-2024),Housing Built 2000 to 2009 (2020-2024),Housing Built 2010 to 2019 (2020-2024),Housing Built 2020 or Later (2020-2024),Renter Excessive Housing Costs (2020-2024),Home Owner Excessive Housing Costs (2020-2024),Median Home Rent (2020-2024),Median Household Income (2020-2024),Rental Vacancy Rate (2020-2024),Homeowner Vacancy Rate (2020-2024),Total Housing Units (2020-2024),Percent Change in Population (Difference Decennial Census 2020 - 2010),Per Capita Income (2020-2024),Income 49% and Below Poverty Level (2020-2024),Income 50% to 99% the Poverty Level (2020-2024),Income 100% to 124% the Poverty Level (2020-2024),Income 125% to 149% the Poverty Level (2020-2024),Income 150% to 184% the Poverty Level (2020-2024),Income 185% to 199% the Poverty Level (2020-2024),Income 200% and Over the Poverty Level (2020-2024),Unemployment Rate (2020-2024),Labor Force Participation Rate (2020-2024),Commute Mean Travel Time (2020-2024),Commute Transportation by Public Transit (2020-2024),No Vehicles Available (2020-2024),Total Population (2020-2024),rent_data_type
Miami,33064,ZIP Code 33064,publicpolygonfeature:5:41650,country:us/state:fl/zip:33064,260,125,4735,6698,7009,3417,1239,1734,1421,317,5135,5260,1789.0,71301.0,5.933526656256971,1.3504985485295975,26955,17.91729,37258.0,4385,4101,2973,2952,5745,2538,41125,5.865921787709497,71.21004305253933,29.038809226932667,790,864,64563,Available
Miami,33065,ZIP Code 33065,publicpolygonfeature:5:41655,country:us/state:fl/zip:33065,171,247,347,1165,7978,6339,3286,1471,624,43,6592,3618,1913.0,74226.0,5.876993166287016,1.0257421836473026,21671,14.68127,34417.0,2859,3291,2626,3000,3334,1702,41663,3.956912923009869,70.09404798188706,30.42234178643991,418,1509,58916,Available
Miami,33066,ZIP Code 33066,publicpolygonfeature:5:41656,country:us/state:fl/zip:33066,39,18,23,867,3104,5431,892,167,47,0,848,3058,1724.0,57051.0,14.587100663050029,2.8544113630155694,10588,6.8913,65524.0,1354,1248,264,543,1331,408,11536,6.4610866372980915,51.74414588657871,30.79523187459177,79,773,16719,Available
Miami,33067,ZIP Code 33067,publicpolygonfeature:5:41659,country:us/state:fl/zip:33067,0,0,55,136,266,3261,3247,1917,265,350,1589,2063,2287.0,131216.0,1.286690792119019,0.0,9497,3.81368,56402.0,408,700,549,549,574,284,24073,4.461701376632545,68.26364552829916,28.90746782671742,67,453,27188,Available
Miami,33068,ZIP Code 33068,publicpolygonfeature:5:41664,country:us/state:fl/zip:33068,223,122,697,1711,8734,4670,1505,1574,387,58,4707,4682,2053.0,64051.0,3.983459682977257,0.382133152173913,19681,6.36298,28273.0,3093,3773,3080,3403,4688,1714,34668,5.8514177094883575,71.94288837272852,30.229431563201196,882,1060,54439,Available
Miami,33069,ZIP Code 33069,publicpolygonfeature:5:41668,country:us/state:fl/zip:33069,30,128,494,1353,5850,4031,1543,1647,936,156,3116,2503,1797.0,59683.0,11.759530791788857,3.570305127398553,16168,12.16973,34910.0,2042,1805,2161,1016,1952,471,17818,10.961984910040629,55.73346272036228,26.695715676728337,218,1155,29145,Available
Miami,33071,ZIP Code 33071,publicpolygonfeature:5:41673,country:us/state:fl/zip:33071,30,29,81,69,2842,6264,3309,1466,240,19,2685,3021,2283.0,106149.0,4.68101915860162,0.6197183098591549,14349,8.26909,43548.0,1610,1175,881,1539,1407,674,34953,6.740668559081472,70.92034494155824,30.05016628149484,116,220,42255,Available
Miami,33073,ZIP Code 33073,publicpolygonfeature:5:41677,country:us/state:fl/zip:33073,0,32,49,123,1082,1392,4631,3542,1949,70,2689,2721,2265.0,97412.0,3.9628265825004383,0.2473446820893351,12870,12.4884,40121.0,1878,1418,1132,1438,1159,849,25116,4.835129993658846,70.64093471200866,29.93623481781377,114,577,33838,Available
Miami,33076,ZIP Code 33076,publicpolygonfeature:5:41703,country:us/state:fl/zip:33076,18,0,11,46,125,835,4551,4330,3095,743,1159,3152,3263.0,176641.0,9.184549356223176,0.2130114493654034,13754,40.32364,63777.0,806,999,127,697,1420,267,40541,3.699029548718395,70.34315976367587,31.474729463846533,0,552,44922,Available
Miami,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Area",publicpolygonfeature:22:928457,country:us/state:fl/msa:miami-fort_lauderdale-west_palm_beach,52997,67681,255588,299851,541133,509576,354509,348510,205738,44882,559920,488567,1869.0,76527.0,6.169523515693765,1.3073374471369257,2680465,10.30756,43766.0,363031,444837,262683,282197,399336,175189,4237503,5.071178122542412,63.757452820330954,29.309263936755983,73821,183488,6249291,Available
