city,geoid,feature label,feature id,shid,Housing Built 1939 or Earlier (2020-2024),Housing Built 1940 to 1949 (2020-2024),Housing Built 1950 to 1959 (2020-2024),Housing Built 1960 to 1969 (2020-2024),Housing Built 1970 to 1979 (2020-2024),Housing Built 1980 to 1989 (2020-2024),Housing Built 1990 to 1999 (2020-2024),Housing Built 2000 to 2009 (2020-2024),Housing Built 2010 to 2019 (2020-2024),Housing Built 2020 or Later (2020-2024),Renter Excessive Housing Costs (2020-2024),Home Owner Excessive Housing Costs (2020-2024),Median Home Rent (2020-2024),Median Household Income (2020-2024),Rental Vacancy Rate (2020-2024),Homeowner Vacancy Rate (2020-2024),Total Housing Units (2020-2024),Percent Change in Population (Difference Decennial Census 2020 - 2010),Per Capita Income (2020-2024),Income 49% and Below Poverty Level (2020-2024),Income 50% to 99% the Poverty Level (2020-2024),Income 100% to 124% the Poverty Level (2020-2024),Income 125% to 149% the Poverty Level (2020-2024),Income 150% to 184% the Poverty Level (2020-2024),Income 185% to 199% the Poverty Level (2020-2024),Income 200% and Over the Poverty Level (2020-2024),Unemployment Rate (2020-2024),Labor Force Participation Rate (2020-2024),Commute Mean Travel Time (2020-2024),Commute Transportation by Public Transit (2020-2024),No Vehicles Available (2020-2024),Total Population (2020-2024),removal_reason
Louisville,40041,ZIP Code 40041,publicpolygonfeature:5:45451,country:us/state:ky/zip:40041,23,8,0,0,1,24,0,0,212,0,119,12,,153214.0,14.22222222222222,0.0,268,19.98971,58921.0,18,35,0,9,10,0,291,,0.0,,0,52,564,missing_rent_data
Louisville,40036,ZIP Code 40036,publicpolygonfeature:5:45684,country:us/state:ky/zip:40036,11,0,0,23,0,0,24,9,0,0,0,35,,,0.0,0.0,67,2.17552,7143.0,62,24,55,0,0,0,23,0.0,7.258064516129033,,0,0,164,missing_rent_data
Louisville,40025,ZIP Code 40025,publicpolygonfeature:5:45679,country:us/state:ky/zip:40025,37,13,30,21,45,15,13,11,31,0,0,10,,,0.0,0.0,216,20.45113,263334.0,0,7,0,0,0,0,558,0.0,63.84976525821596,17.651515151515152,0,6,565,missing_rent_data
Louisville,40022,ZIP Code 40022,publicpolygonfeature:5:45676,country:us/state:ky/zip:40022,56,8,5,0,27,2,144,40,66,9,0,77,,98333.0,0.0,0.0,357,12.47774,53946.0,35,13,25,130,0,0,700,1.910828025477707,62.8,32.77215189873418,0,0,903,missing_rent_data
Louisville,40020,ZIP Code 40020,publicpolygonfeature:5:45682,country:us/state:ky/zip:40020,19,2,16,4,76,0,0,2,0,0,0,2,,90712.0,0.0,0.0,119,8.03698,31321.0,4,0,2,0,7,3,183,2.941176470588235,35.41666666666667,34.6875,0,2,199,missing_rent_data
Louisville,47104,ZIP Code 47104,publicpolygonfeature:5:47979,country:us/state:in/zip:47104,32,0,0,9,0,0,0,0,0,0,0,0,,,0.0,0.0,41,3.73525,,0,0,0,0,0,9,0,,0.0,,0,0,9,missing_rent_data
Louisville,47110,ZIP Code 47110,publicpolygonfeature:5:47990,country:us/state:in/zip:47110,34,27,0,0,3,35,105,79,0,0,0,17,,,70.96774193548387,16.923076923076923,283,-7.10715,27805.0,19,9,0,0,57,3,393,0.3937007874015747,63.65914786967418,36.50197628458498,0,0,481,missing_rent_data
Louisville,47135,ZIP Code 47135,publicpolygonfeature:5:48009,country:us/state:in/zip:47135,146,19,10,1,73,40,40,123,84,25,11,116,,48611.0,17.1875,0.0,561,-5.8046,26597.0,45,20,622,82,13,2,470,4.231625835189309,48.59913793103448,36.653944020356235,0,32,1257,missing_rent_data
Louisville,47163,ZIP Code 47163,publicpolygonfeature:5:48026,country:us/state:in/zip:47163,0,58,35,59,58,132,127,65,42,12,0,133,,59837.0,0.0,0.0,588,6.30602,29758.0,25,137,4,8,156,0,1005,0.0,53.6723163841808,21.520076481835563,0,72,1335,missing_rent_data
SanAntonio,78883,ZIP Code 78883,publicpolygonfeature:5:60076,country:us/state:tx/zip:78883,0,0,28,0,8,84,31,36,40,0,37,30,,40491.0,0.0,8.064516129032258,227,-16.0976,41966.0,4,2,29,0,7,0,165,0.0,19.806763285024154,,0,37,208,missing_rent_data
