"feature id","feature label","shid","geoid","Renter Excessive Housing Costs (2020-2024)","Home Owner Excessive Housing Costs (2020-2024)","Median Home Rent (2020-2024)","Median Household Income (2020-2024)","Rental Vacancy Rate (2020-2024)","Homeowner Vacancy Rate (2020-2024)","Total Housing Units (2020-2024)","Percent Change in Population (Difference Decennial Census 2020 - 2010)","Per Capita Income (2020-2024)","Income 49% and Below Poverty Level (2020-2024)","Income 50% to 99% the Poverty Level (2020-2024)","Income 100% to 124% the Poverty Level (2020-2024)","Income 125% to 149% the Poverty Level (2020-2024)","Income 150% to 184% the Poverty Level (2020-2024)","Income 185% to 199% the Poverty Level (2020-2024)","Income 200% and Over the Poverty Level (2020-2024)","Unemployment Rate (2020-2024)","Labor Force Participation Rate (2020-2024)","Commute Mean Travel Time (2020-2024)","Commute Transportation by Public Transit (2020-2024)","No Vehicles Available (2020-2024)"
"publicpolygonfeature:5:42486","ZIP Code 32808","country:us/state:fl/zip:32808","32808","7499","2958","1453","49700","4.398631166012853","1.5835218478390285","21044","13.47576","22130","6482","5323","4802","5301","8220","1661","27779","10.586797873394312","66.90897039328325","31.326216908625106","949","2165"
"publicpolygonfeature:5:42510","ZIP Code 32809","country:us/state:fl/zip:32809","32809","2735","1647","1472","57879","7.653473344103393","1.882845188284519","10702","9.98528","28311","2379","2734","1393","2899","3763","844","15140","6.253098222505487","60.714592828274135","30.246117287617754","431","981"
"publicpolygonfeature:5:42583","ZIP Code 32810","country:us/state:fl/zip:32810","32810","3388","1652","1645","60799","9.190652607580507","3.284618723773694","14502","8.52116","30331","3270","2902","2797","2666","2638","733","21595","8.421418291896183","69.29288070368335","28.14432340532712","183","1007"
"publicpolygonfeature:5:42590","ZIP Code 32811","country:us/state:fl/zip:32811","32811","5755","1699","1614","54082","7.579095796245704","0.246415770609319","18340","17.76179","24692","3526","3604","3779","2841","4441","2411","20703","7.829471397538016","70.43550025393601","23.5788876276958","487","1472"
"publicpolygonfeature:5:42669","ZIP Code 32812","country:us/state:fl/zip:32812","32812","3525","2263","1622","73149","6.032635569474205","1.154891304347826","15354","7.02542","44468","2012","2873","1183","835","2279","688","24707","5.432175998331769","67.77913255530396","27.155786447101875","124","692"
"publicpolygonfeature:5:42672","ZIP Code 32814","country:us/state:fl/zip:32814","32814","1046","334","2361","140274","6.694560669456067","10.01788908765653","4545","51.06692","87952","407","211","12","83","132","122","8281","2.684101858224363","72.75003129302792","22.628288616827298","16","78"
"publicpolygonfeature:5:42694","ZIP Code 32817","country:us/state:fl/zip:32817","32817","3020","1434","1783","80711","14.897058823529411","0.9899589874133786","13963","14.73094","35834","3184","2164","1780","1466","2982","809","21770","5.874350128759535","63.62401185770751","26.36605504587156","183","533"
"publicpolygonfeature:5:42739","ZIP Code 32818","country:us/state:fl/zip:32818","32818","4020","3786","1589","63061","4.719337452346523","1.0999707972354718","18412","10.1847","24294","4100","5730","3215","4231","4955","2620","33749","10.774271535818807","68.59841214447741","28.44658608297942","1395","1560"
"publicpolygonfeature:5:42754","ZIP Code 32819","country:us/state:fl/zip:32819","32819","2545","1815","2012","98109","15.729459543892531","3.6658999424956873","15427","19.79906","52726","1829","958","578","536","1054","960","23411","4.859790874524715","64.88952190314882","23.84159938485198","101","425"
"publicpolygonfeature:5:42764","ZIP Code 32820","country:us/state:fl/zip:32820","32820","89","935","2611","106859","22.977941176470587","0","3699","22.63497","49537","1782","423","20","192","503","104","7855","6.681443951868271","72.39798257679963","29.21019509125236","19","86"
