Housing Built 1939 or Earlier (2020-2024),Housing Built 1940 to 1949 (2020-2024),Housing Built 1950 to 1959 (2020-2024),Housing Built 1960 to 1969 (2020-2024),Housing Built 1970 to 1979 (2020-2024),Housing Built 1980 to 1989 (2020-2024),Housing Built 1990 to 1999 (2020-2024),Housing Built 2000 to 2009 (2020-2024),Housing Built 2010 to 2019 (2020-2024),Housing Built 2020 or Later (2020-2024),Renter Excessive Housing Costs (2020-2024),Home Owner Excessive Housing Costs (2020-2024),Median Household Income (2020-2024),Per Capita Income (2020-2024),Unemployment Rate (2020-2024),Labor Force Participation Rate (2020-2024),Rental Vacancy Rate (2020-2024),Homeowner Vacancy Rate (2020-2024),Total Housing Units (2020-2024),Percent Change in Population (Difference Decennial Census 2020 - 2010),Total Population (2020-2024),Income 49% and Below Poverty Level (2020-2024),Income 50% to 99% the Poverty Level (2020-2024),Income 100% to 124% the Poverty Level (2020-2024),Income 125% to 149% the Poverty Level (2020-2024),Income 150% to 184% the Poverty Level (2020-2024),Income 185% to 199% the Poverty Level (2020-2024),Income 200% and Over the Poverty Level (2020-2024),Commute Mean Travel Time (2020-2024),Commute Transportation by Public Transit (2020-2024),No Vehicles Available (2020-2024),region_HighCost,region_Midwest,region_South,urban_Rural,urban_SemiRural,urban_Urban,poverty_rate_pct,rent,city,geoid,sample_weight
0.024040910323946642,0.01605324109982788,-0.09979444830691896,-0.09529877398819915,-0.11885076735442231,-0.13253183040828048,-0.1357547478603877,-0.1355215548234836,-0.13401782455584646,-0.12251261972490099,-0.11395464523901534,-0.12083929510127218,-0.3574155775401347,0.38650034650507714,1.4477895969745078,-0.15008446923578758,-0.3244206571886899,-0.18198404663008355,-0.10933400955495459,-0.044808121225418635,-0.1183602126781704,-0.1040677632187541,-0.109176173799861,-0.07135387990703637,-0.12897953937528558,-0.1349967049064466,-0.1404344307149355,-0.12256501945927438,0.5958681765587365,0.04262799848894059,-0.02717646231469133,1.0555719822626157,-0.4947352370672933,-0.702414580846841,-0.13767014415645012,-0.6897948923151376,0.7193560441669825,0.9073804882612673,1557.0,Philadelphia,19129,2.0
-0.10078122157108424,-0.11703021103018316,-0.13024375438370545,-0.14024943814624555,-0.13807588434192228,-0.13691295173088605,-0.1469049328793108,-0.15753329718710177,-0.1476124163854504,-0.11325473153137847,-0.14333358457644965,-0.13552598814606645,-0.33672720736818235,-0.7660348388455807,-0.29027510056993916,1.1577251870545182,-0.3576953768595563,-0.5790195390567453,-0.148051053809011,-0.06461415231887412,-0.14640879384435856,-0.153030885616311,-0.12705769064729372,-0.1459262655925575,-0.14435464875796533,-0.14181490020840237,-0.135146607389979,-0.14753510586580557,-0.062358441968199146,-0.1090929170706487,-0.12453655639412735,1.0555719822626157,-0.4947352370672933,-0.702414580846841,-0.13767014415645012,1.449706298409561,-1.3901321996369742,-0.03753080119019224,1629.0,Austin,78656,4.0
-0.07757599445476185,-0.0867321423690056,-0.10187358594652332,-0.11221644230273606,-0.0929465017421571,-0.09338439149338539,-0.12739210909619536,-0.1591399937099936,-0.15745231142402083,-0.15759514340561792,-0.12622996808195447,-0.11134159139722541,0.5129497470452983,-0.18646905327099708,0.07723855732992183,0.10680793767591755,0.09741535101832478,0.15315168975554813,-0.12425131015984026,-0.059654604445108166,-0.11992772414488366,-0.14182512028744512,-0.10797405502020165,-0.13531066715967743,-0.1255539968703362,-0.14643740549786394,-0.12419325907399764,-0.11500562357453495,0.7684154793895781,-0.10633435496956525,-0.11283588141058974,1.0555719822626157,-0.4947352370672933,-0.702414580846841,-0.13767014415645012,-0.6897948923151376,0.7193560441669825,-0.5236941926535632,1119.0,Philadelphia,8004,2.0
-0.09453143471681287,-0.12207988914037941,-0.1258842722361479,-0.13067208046404905,-0.13572915644673447,-0.14143539954776926,-0.15714613542386519,-0.16278183916188177,-0.15907071521325938,-0.15759514340561792,-0.14762994757147835,-0.13937139988965613,-1.168259901995721,-0.9110637099433622,0.4584658129350457,-1.5511040846708015,-0.6146620829629579,-0.5790195390567453,-0.15087695716972335,-0.0696634490927436,-0.15152480567863139,-0.15137486118347368,-0.14473885436478323,-0.12092258333329453,-0.14371733852448637,-0.14678409339457354,-0.1523949834737657,-0.1535551025885787,3.4350067841742704,-0.10828157527621239,-0.13073616776600175,-0.9473536781987172,2.021283153243401,-0.702414580846841,7.263739034540321,-0.6897948923151376,-1.3901321996369742,1.7923425523853274,975.0,Columbus,43320,9.0
0.045510085536304756,0.096848090862968,-0.05298031693776266,-0.05426294216740096,-0.11208135996445753,-0.12928132103989567,-0.13048264950904903,-0.12534581017850197,-0.15661074145361678,-0.15759514340561792,-0.04463998891921907,-0.0918365511074513,-1.3256313015875043,-1.3368970598249088,1.683597552176435,0.038563734290390915,-0.7361901844597336,-0.5790195390567453,-0.09375901788657835,-0.07790413123583008,-0.07347631150728229,-0.00531350620722162,0.0645299898609141,0.0829670923527656,0.02524953712662109,-0.0021574591505453115,-0.06489409750127102,-0.10718392783258898,-1.0547607017146063,0.03597499577456288,0.036566020804580684,1.0555719822626157,-0.4947352370672933,-0.702414580846841,-0.13767014415645012,-0.6897948923151376,0.7193560441669825,2.3814799212688276,1320.0,Philadelphia,8105,4.0
0.01709670270808957,0.14799644333398815,-0.06827203893227217,-0.05971574435142525,-0.10788432738267938,-0.10030938971298776,-0.11278779067467107,-0.0705574587478903,-0.040538821689427226,-0.0988806419677514,-0.06788126683518382,-0.04078060241545351,1.6675285461821738,3.776813605765313,0.06586475328774441,1.1882182422003105,-0.5622632059255974,-0.4335847080210302,-0.06792838205234321,-0.035204261097611836,-0.08273326898787244,-0.11367270492921058,-0.10406716898630879,-0.12337908544999406,-0.12125215279435327,-0.12396047352785715,-0.135146607389979,-0.06916334853061744,-2.0460293877594773,-0.02406429701372379,-0.06603318147643934,1.0555719822626157,-0.4947352370672933,-0.702414580846841,-0.13767014415645012,-0.6897948923151376,0.7193560441669825,-0.7251655228018559,2181.0,Austin,78703,2.0
-0.08411512329302726,-0.1118176400777225,-0.1056965164451507,-0.12011601469754048,-0.11388653526844814,-0.1292342122084698,-0.12902827755005908,-0.08212567371271152,-0.1551218099675173,-0.14906814112211034,-0.12622996808195447,-0.10934939013247413,0.11246204067608565,0.08792227265310626,-0.30906661108729944,0.1474608622408709,-0.5879320151693502,-0.5790195390567453,-0.1255522375381733,-0.05037303066156577,-0.1274196883991746,-0.1447507634521244,-0.12966228133655563,-0.12118577998865519,-0.1351136503725205,-0.13551673675151102,-0.09813184411528339,-0.1248956181905194,-0.15178979986961516,-0.10081723076739837,-0.09895224467639215,1.0555719822626157,-0.4947352370672933,-0.702414580846841,-0.13767014415645012,-0.6897948923151376,0.7193560441669825,-0.6419284421408341,1723.0,Philadelphia,8086,2.0
-0.10141777393587113,-0.11963649650641348,-0.1269573755340082,-0.1316507885483611,-0.09001309187317237,-0.07835667426853396,0.12239627486033211,0.023755627145860565,-0.036719388746824226,-0.14054113883860275,-0.039197929125516055,-0.016966847762380128,0.11243408341909653,-0.4282449160802487,-0.014883940071399576,0.7223509645591754,-0.2759981508775456,-0.44983582838119734,-0.06216816471605742,-0.03276036625092484,-0.05078133741736877,-0.04991576426497357,-0.07496587686205551,-0.04775391314303027,-0.0367288830792071,-0.08299352040000417,-0.04550541197643047,-0.048441659811300435,0.34231690699201317,-0.09059432415750092,-0.08079000291090094,1.0555719822626157,-0.4947352370672933,-0.702414580846841,-0.13767014415645012,-0.6897948923151376,0.7193560441669825,-0.11642158846166392,2265.0,Miami,33073,2.0
-0.08619838557778438,-0.11800756808376953,-0.12139065217635782,-0.13353829699667719,-0.11235213626005612,-0.12047196956325865,-0.08236717719913085,-0.11731232756404276,-0.13945566128768802,-0.13737396656187134,-0.14104219097910103,-0.12357278055755881,0.39446689192538736,-0.15321227487017922,-0.48597258672491206,0.7731594748286454,-0.026994812603152084,-0.5790195390567453,-0.12466327049631239,-0.032536630840301776,-0.12014989112441783,-0.14800761150337113,-0.12906122194672595,-0.1436452279127651,-0.14323935584937716,-0.11847124849662156,-0.12935518184359804,-0.1135264243797964,-0.15267730185560072,-0.1090929170706487,-0.12043258830288656,-0.9473536781987172,2.021283153243401,-0.702414580846841,-0.13767014415645012,-0.6897948923151376,0.7193560441669825,-1.1338167555231051,982.0,Louisville,47122,4.0
-0.08805017427534627,-0.10970003312828536,-0.10542824062068562,-0.11606136691967626,-0.11280343008605377,-0.12254475814599677,-0.03649386165932218,0.1058042629148704,0.2905865935887822,0.4193174682328382,-0.09648276905923199,-0.006079236199204557,0.9319172002843223,0.41618408259836914,-0.5577937013734531,1.1158706849555227,0.41066543565456753,-0.09674806617970107,-0.021282908164779252,0.05318669220394343,-0.004302153907325623,-0.06967765583016565,-0.09875781104281335,-0.09056723574836475,-0.1291388669336553,-0.0474580109872685,-0.08440868358146768,0.027934898610054312,-0.4625016193432668,-0.1090929170706487,-0.10349280511776494,-0.9473536781987172,2.021283153243401,-0.702414580846841,-0.13767014415645012,-0.6897948923151376,0.7193560441669825,-0.8945010282393394,1690.0,Indianapolis,46074,4.0
