"feature id","feature label","shid","geoid","Total Employed (2023)","Total Employed (2020-2024)","Total Unemployed (2020-2024)"
"publicpolygonfeature:5:43778","ZIP Code 34683","country:us/state:fl/zip:34683","34683","5813","17655","633"
"publicpolygonfeature:5:43779","ZIP Code 34684","country:us/state:fl/zip:34684","34684","9733","11521","354"
"publicpolygonfeature:5:43780","ZIP Code 34685","country:us/state:fl/zip:34685","34685","3443","8055","251"
"publicpolygonfeature:5:43781","ZIP Code 34688","country:us/state:fl/zip:34688","34688","1102","3853","229"
"publicpolygonfeature:5:43782","ZIP Code 34689","country:us/state:fl/zip:34689","34689","9232","12495","542"
"publicpolygonfeature:5:43783","ZIP Code 34690","country:us/state:fl/zip:34690","34690","1502","5346","314"
"publicpolygonfeature:5:43784","ZIP Code 34698","country:us/state:fl/zip:34698","34698","10283","17278","930"
"publicpolygonfeature:5:6680134","ZIP Code 33530","country:us/state:fl/zip:33530","33530",,"0","0"
"publicpolygonfeature:5:6697676","ZIP Code 33574","country:us/state:fl/zip:33574","33574","1282","468","104"
"publicpolygonfeature:5:6701323","ZIP Code 33550","country:us/state:fl/zip:33550","33550","22","0","0"
"publicpolygonfeature:22:928724","Tampa-St. Petersburg-Clearwater, FL Area","country:us/state:fl/msa:tampa-st_petersburg-clearwater","45300","1288208","1593376","76790"
