"feature id","feature label","shid","geoid","Total Employed (2023)","Total Employed (2020-2024)","Total Unemployed (2020-2024)"
"publicpolygonfeature:5:47989","ZIP Code 47108","country:us/state:in/zip:47108","47108","394","1030","31"
"publicpolygonfeature:5:47990","ZIP Code 47110","country:us/state:in/zip:47110","47110","46","253","1"
"publicpolygonfeature:5:47992","ZIP Code 47111","country:us/state:in/zip:47111","47111","3264","9340","348"
"publicpolygonfeature:5:47993","ZIP Code 47112","country:us/state:in/zip:47112","47112","5989","8041","300"
"publicpolygonfeature:5:47994","ZIP Code 47115","country:us/state:in/zip:47115","47115","267","1407","126"
"publicpolygonfeature:5:47996","ZIP Code 47122","country:us/state:in/zip:47122","47122","1376","5996","205"
"publicpolygonfeature:5:47998","ZIP Code 47117","country:us/state:in/zip:47117","47117","1086","2066","52"
"publicpolygonfeature:5:47999","ZIP Code 47124","country:us/state:in/zip:47124","47124","357","2547","63"
"publicpolygonfeature:5:48000","ZIP Code 47125","country:us/state:in/zip:47125","47125","127","958","0"
"publicpolygonfeature:5:48003","ZIP Code 47119","country:us/state:in/zip:47119","47119","2428","6376","199"
"publicpolygonfeature:5:48005","ZIP Code 47126","country:us/state:in/zip:47126","47126","451","2256","41"
"publicpolygonfeature:5:48006","ZIP Code 47129","country:us/state:in/zip:47129","47129","10692","9852","653"
"publicpolygonfeature:5:48007","ZIP Code 47130","country:us/state:in/zip:47130","47130","32643","25584","1113"
"publicpolygonfeature:5:48008","ZIP Code 47142","country:us/state:in/zip:47142","47142","103","321","0"
"publicpolygonfeature:5:48009","ZIP Code 47135","country:us/state:in/zip:47135","47135","69","430","19"
"publicpolygonfeature:5:48010","ZIP Code 47136","country:us/state:in/zip:47136","47136","352","2241","58"
"publicpolygonfeature:5:48015","ZIP Code 47141","country:us/state:in/zip:47141","47141","29","844","23"
"publicpolygonfeature:5:48018","ZIP Code 47143","country:us/state:in/zip:47143","47143","434","2273","6"
"publicpolygonfeature:5:48020","ZIP Code 47162","country:us/state:in/zip:47162","47162","95","236","0"
"publicpolygonfeature:5:48021","ZIP Code 47147","country:us/state:in/zip:47147","47147","123","825","0"
"publicpolygonfeature:5:48022","ZIP Code 47150","country:us/state:in/zip:47150","47150","25494","23684","1193"
"publicpolygonfeature:5:48023","ZIP Code 47160","country:us/state:in/zip:47160","47160","132","25","2"
"publicpolygonfeature:5:48024","ZIP Code 47161","country:us/state:in/zip:47161","47161","558","1904","122"
"publicpolygonfeature:5:48026","ZIP Code 47163","country:us/state:in/zip:47163","47163","41","570","0"
"publicpolygonfeature:5:48027","ZIP Code 47164","country:us/state:in/zip:47164","47164","334","1460","33"
"publicpolygonfeature:5:48028","ZIP Code 47165","country:us/state:in/zip:47165","47165","197","3313","16"
"publicpolygonfeature:5:48029","ZIP Code 47166","country:us/state:in/zip:47166","47166","129","748","0"
"publicpolygonfeature:5:48031","ZIP Code 47167","country:us/state:in/zip:47167","47167","3905","6934","380"
"publicpolygonfeature:5:48033","ZIP Code 47170","country:us/state:in/zip:47170","47170","4409","6377","250"
"publicpolygonfeature:5:48035","ZIP Code 47172","country:us/state:in/zip:47172","47172","5269","10654","354"
"publicpolygonfeature:5:48037","ZIP Code 47177","country:us/state:in/zip:47177","47177","61","635","54"
"publicpolygonfeature:5:48075","ZIP Code 47281","country:us/state:in/zip:47281","47281","51","946","0"
"publicpolygonfeature:5:6672668","ZIP Code 40221","country:us/state:ky/zip:40221","40221","37","0","0"
"publicpolygonfeature:22:928417","Louisville/Jefferson County, KY-IN Area","country:us/state:ky/msa:louisville_jefferson_county","31140","648726","677890","33216"
