"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Work From Home (2020-2024)","Workers in Construction who Work From Home (2020-2024)","Workers in Manufacturing who Work From Home (2020-2024)","Workers in Wholesale Trade who Work From Home (2020-2024)","Workers in Retail Trade who Work From Home (2020-2024)","Workers in Transportation who Work From Home (2020-2024)","Workers in Finance and Insurance who Work From Home (2020-2024)","Workers in Information who Work From Home (2020-2024)","Workers in Scientific and Professional who Work From Home (2020-2024)","Workers in Education and Health Care who Work From Home (2020-2024)","Workers in Arts, Food, and Entertainment who Work From Home (2020-2024)","Workers in Public Administration who Work From Home (2020-2024)","Workers in Other Services who Work From Home (2020-2024)","Workers in Armed Forces who Work From Home (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute to Work (2020-2024)","Workers in Construction who Commute to Work (2020-2024)","Workers in Manufacturing who Commute to Work (2020-2024)","Workers in Wholesale Trade who Commute to Work (2020-2024)","Workers in Retail Trade who Commute to Work (2020-2024)","Workers in Transportation who Commute to Work (2020-2024)","Workers in Finance and Insurance who Commute to Work (2020-2024)","Workers in Information who Commute to Work (2020-2024)","Workers in Scientific and Professional who Commute to Work (2020-2024)","Workers in Education and Health Care who Commute to Work (2020-2024)","Workers in Arts, Food, and Entertainment who Commute to Work (2020-2024)","Workers in Public Administration who Commute to Work (2020-2024)","Workers in Other Services who Commute to Work (2020-2024)","Workers in Armed Forces who Commute to Work (2020-2024)","Management, Business, Science, and Arts Occupations Work From Home (2020-2024)","Service Occupations Work From Home (2020-2024)","Sales and Office Occupations Work From Home (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Work From Home (2020-2024)","Production, Transportation, and Material Moving Occupations Work From Home (2020-2024)","Military Occupations Work From Home (2020-2024)","Management, Business, Science, and Arts Occupations Commute to Work (2020-2024)","Service Occupations Commute to Work (2020-2024)","Sales and Office Occupations Commute to Work (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute to Work (2020-2024)","Production, Transportation, and Material Moving Occupations Commute to Work (2020-2024)","Military Occupations Commute to Work (2020-2024)"
"publicpolygonfeature:5:60011","ZIP Code 78722","country:us/state:tx/zip:78722","78722","0","17","78","47","128","0","110","280","578","276","177","134","15","0","0","63","149","55","97","47","292","48","508","578","126","201","163","0","1582","35","163","4","56","0","1763","161","308","68","27","0"
"publicpolygonfeature:5:60012","ZIP Code 78723","country:us/state:tx/zip:78723","78723","0","217","512","34","468","63","719","430","2199","1135","261","337","262","0","55","1145","455","130","1348","620","844","286","2360","3980","1423","831","681","0","4893","222","1106","135","281","0","7529","2223","2403","1077","926","0"
"publicpolygonfeature:5:60013","ZIP Code 78724","country:us/state:tx/zip:78724","78724","0","24","74","52","134","83","194","142","801","391","123","146","20","0","45","1692","1215","124","1630","500","397","112","1273","2437","1662","1237","480","38","1328","323","475","13","45","0","4607","2385","2892","1592","1341","25"
"publicpolygonfeature:5:60014","ZIP Code 78725","country:us/state:tx/zip:78725","78725","0","10","163","23","200","64","321","21","271","192","0","327","41","0","37","495","277","190","685","256","190","49","1323","645","600","513","91","0","912","0","696","0","25","0","2107","935","1035","550","724","0"
"publicpolygonfeature:5:60015","ZIP Code 78726","country:us/state:tx/zip:78726","78726","0","0","296","17","234","67","356","180","1103","250","71","66","20","0","0","232","381","38","859","410","217","283","966","1055","685","156","130","0","2147","103","373","0","37","0","2645","1042","1213","193","319","0"
"publicpolygonfeature:5:60016","ZIP Code 78727","country:us/state:tx/zip:78727","78727","20","160","431","79","303","134","1023","309","2406","653","127","237","262","49","9","510","1282","72","1800","599","509","477","1850","2282","1085","502","587","10","4282","215","1408","110","148","30","6485","1535","2182","688","674","10"
"publicpolygonfeature:5:60017","ZIP Code 78728","country:us/state:tx/zip:78728","78728","0","93","410","96","295","543","330","132","1747","638","166","234","380","0","37","681","1268","263","1652","634","1074","457","1857","2490","733","481","318","14","3040","415","1168","35","406","0","5994","1282","2578","678","1427","0"
"publicpolygonfeature:5:60018","ZIP Code 78729","country:us/state:tx/zip:78729","78729","0","42","551","297","275","84","364","292","1797","570","275","515","64","0","0","508","999","134","2006","888","848","246","2711","3061","1056","541","685","0","4121","63","841","8","93","0","7232","1956","2808","420","1267","0"
"publicpolygonfeature:5:60019","ZIP Code 78730","country:us/state:tx/zip:78730","78730","0","103","229","25","135","74","591","140","838","62","46","102","11","0","0","165","238","33","119","27","275","84","610","584","316","106","41","0","1610","29","604","113","0","0","1841","205","412","108","32","0"
"publicpolygonfeature:5:60020","ZIP Code 78731","country:us/state:tx/zip:78731","78731","17","68","340","99","104","77","735","222","2778","727","263","358","115","51","34","506","603","190","709","349","921","453","1986","2071","753","455","194","48","4889","121","797","15","81","51","6433","826","1424","203","348","38"
