"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Work From Home (2020-2024)","Workers in Construction who Work From Home (2020-2024)","Workers in Manufacturing who Work From Home (2020-2024)","Workers in Wholesale Trade who Work From Home (2020-2024)","Workers in Retail Trade who Work From Home (2020-2024)","Workers in Transportation who Work From Home (2020-2024)","Workers in Finance and Insurance who Work From Home (2020-2024)","Workers in Information who Work From Home (2020-2024)","Workers in Scientific and Professional who Work From Home (2020-2024)","Workers in Education and Health Care who Work From Home (2020-2024)","Workers in Arts, Food, and Entertainment who Work From Home (2020-2024)","Workers in Public Administration who Work From Home (2020-2024)","Workers in Other Services who Work From Home (2020-2024)","Workers in Armed Forces who Work From Home (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute to Work (2020-2024)","Workers in Construction who Commute to Work (2020-2024)","Workers in Manufacturing who Commute to Work (2020-2024)","Workers in Wholesale Trade who Commute to Work (2020-2024)","Workers in Retail Trade who Commute to Work (2020-2024)","Workers in Transportation who Commute to Work (2020-2024)","Workers in Finance and Insurance who Commute to Work (2020-2024)","Workers in Information who Commute to Work (2020-2024)","Workers in Scientific and Professional who Commute to Work (2020-2024)","Workers in Education and Health Care who Commute to Work (2020-2024)","Workers in Arts, Food, and Entertainment who Commute to Work (2020-2024)","Workers in Public Administration who Commute to Work (2020-2024)","Workers in Other Services who Commute to Work (2020-2024)","Workers in Armed Forces who Commute to Work (2020-2024)","Management, Business, Science, and Arts Occupations Work From Home (2020-2024)","Service Occupations Work From Home (2020-2024)","Sales and Office Occupations Work From Home (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Work From Home (2020-2024)","Production, Transportation, and Material Moving Occupations Work From Home (2020-2024)","Military Occupations Work From Home (2020-2024)","Management, Business, Science, and Arts Occupations Commute to Work (2020-2024)","Service Occupations Commute to Work (2020-2024)","Sales and Office Occupations Commute to Work (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute to Work (2020-2024)","Production, Transportation, and Material Moving Occupations Commute to Work (2020-2024)","Military Occupations Commute to Work (2020-2024)"
"publicpolygonfeature:5:47597","ZIP Code 46068","country:us/state:in/zip:46068","46068","0","3","0","3","0","0","12","0","0","2","0","11","0","0","33","81","205","13","85","107","76","32","90","286","108","40","80","0","12","0","19","0","0","0","420","126","207","250","233","0"
"publicpolygonfeature:5:47598","ZIP Code 46069","country:us/state:in/zip:46069","46069","5","0","26","29","5","0","52","0","91","121","0","7","37","0","43","401","500","145","276","297","102","0","311","797","280","63","346","0","255","30","74","5","9","0","1364","672","558","450","517","0"
"publicpolygonfeature:5:47599","ZIP Code 46070","country:us/state:in/zip:46070","46070","0","0","0","0","3","10","0","0","19","7","0","17","30","0","3","64","224","2","86","33","15","12","36","171","32","10","147","2","39","20","11","16","0","0","192","84","233","137","189","2"
"publicpolygonfeature:5:47600","ZIP Code 46071","country:us/state:in/zip:46071","46071","14","13","155","0","4","0","4","30","7","92","13","5","3","0","35","80","227","34","143","104","87","22","49","273","101","42","43","0","136","11","44","13","136","0","445","181","149","169","296","0"
"publicpolygonfeature:5:47601","ZIP Code 46072","country:us/state:in/zip:46072","46072","27","0","65","0","88","41","19","0","52","78","0","0","0","0","96","226","762","63","312","247","54","39","236","827","225","378","294","0","124","68","166","0","12","0","1328","690","606","182","953","0"
"publicpolygonfeature:5:47602","ZIP Code 46074","country:us/state:in/zip:46074","46074","175","155","764","199","377","77","1234","303","1901","812","234","156","85","0","257","1082","2210","555","2891","1020","1544","90","1962","5717","1403","265","744","50","4149","397","1744","129","53","0","10056","2629","4410","1319","1376","0"
"publicpolygonfeature:5:47603","ZIP Code 46075","country:us/state:in/zip:46075","46075","0","31","297","14","61","0","64","13","295","233","38","36","18","0","54","282","370","77","562","244","234","23","412","1434","414","215","163","0","833","27","225","15","0","0","2375","679","802","205","423","0"
"publicpolygonfeature:5:47604","ZIP Code 46076","country:us/state:in/zip:46076","46076","0","0","5","0","10","0","13","5","3","3","0","4","0","0","10","42","281","12","70","35","35","7","25","105","35","86","17","0","23","0","15","0","5","0","195","58","200","42","265","0"
"publicpolygonfeature:5:47605","ZIP Code 46077","country:us/state:in/zip:46077","46077","0","54","968","33","173","94","637","141","1279","1014","179","229","60","0","125","827","1743","230","1250","672","1042","161","1337","4136","969","465","597","0","3784","78","832","71","96","0","8667","1039","2163","791","894","0"
"publicpolygonfeature:5:47606","ZIP Code 46103","country:us/state:in/zip:46103","46103","0","2","0","0","0","0","0","0","0","3","0","0","0","0","0","21","43","7","37","12","3","0","8","29","14","12","11","0","3","0","2","0","0","0","33","27","40","27","70","0"
