"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Work From Home (2020-2024)","Workers in Construction who Work From Home (2020-2024)","Workers in Manufacturing who Work From Home (2020-2024)","Workers in Wholesale Trade who Work From Home (2020-2024)","Workers in Retail Trade who Work From Home (2020-2024)","Workers in Transportation who Work From Home (2020-2024)","Workers in Finance and Insurance who Work From Home (2020-2024)","Workers in Information who Work From Home (2020-2024)","Workers in Scientific and Professional who Work From Home (2020-2024)","Workers in Education and Health Care who Work From Home (2020-2024)","Workers in Arts, Food, and Entertainment who Work From Home (2020-2024)","Workers in Public Administration who Work From Home (2020-2024)","Workers in Other Services who Work From Home (2020-2024)","Workers in Armed Forces who Work From Home (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute to Work (2020-2024)","Workers in Construction who Commute to Work (2020-2024)","Workers in Manufacturing who Commute to Work (2020-2024)","Workers in Wholesale Trade who Commute to Work (2020-2024)","Workers in Retail Trade who Commute to Work (2020-2024)","Workers in Transportation who Commute to Work (2020-2024)","Workers in Finance and Insurance who Commute to Work (2020-2024)","Workers in Information who Commute to Work (2020-2024)","Workers in Scientific and Professional who Commute to Work (2020-2024)","Workers in Education and Health Care who Commute to Work (2020-2024)","Workers in Arts, Food, and Entertainment who Commute to Work (2020-2024)","Workers in Public Administration who Commute to Work (2020-2024)","Workers in Other Services who Commute to Work (2020-2024)","Workers in Armed Forces who Commute to Work (2020-2024)","Management, Business, Science, and Arts Occupations Work From Home (2020-2024)","Service Occupations Work From Home (2020-2024)","Sales and Office Occupations Work From Home (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Work From Home (2020-2024)","Production, Transportation, and Material Moving Occupations Work From Home (2020-2024)","Military Occupations Work From Home (2020-2024)","Management, Business, Science, and Arts Occupations Commute to Work (2020-2024)","Service Occupations Commute to Work (2020-2024)","Sales and Office Occupations Commute to Work (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute to Work (2020-2024)","Production, Transportation, and Material Moving Occupations Commute to Work (2020-2024)","Military Occupations Commute to Work (2020-2024)"
"publicpolygonfeature:5:34923","ZIP Code 08035","country:us/state:nj/zip:08035","08035","0","30","96","19","98","76","166","98","353","215","33","7","2","0","0","252","188","85","208","81","64","52","447","969","326","181","60","0","895","18","264","11","5","0","1721","446","350","249","147","0"
"publicpolygonfeature:5:34924","ZIP Code 08036","country:us/state:nj/zip:08036","08036","0","0","30","28","155","72","92","22","134","0","0","0","22","0","0","183","70","315","313","253","155","0","220","558","363","149","61","0","349","20","186","0","0","0","1026","284","746","217","367","0"
"publicpolygonfeature:5:34926","ZIP Code 08037","country:us/state:nj/zip:08037","08037","46","83","16","4","10","84","47","7","379","227","52","52","27","0","345","838","646","203","1423","604","397","64","870","2642","799","638","507","75","679","193","75","16","71","0","3370","2037","1991","1349","1277","27"
"publicpolygonfeature:5:34927","ZIP Code 08038","country:us/state:nj/zip:08038","08038","2","11","0","0","0","0","0","0","0","0","0","0","0","0","3","43","56","2","0","6","2","0","40","21","13","0","2","0","0","0","0","11","2","0","17","48","52","49","22","0"
"publicpolygonfeature:5:34928","ZIP Code 08039","country:us/state:nj/zip:08039","08039","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","5","0","0","0","0","0","0","0","7","0","0","0","0","5","7","0","0","0"
"publicpolygonfeature:5:34929","ZIP Code 08041","country:us/state:nj/zip:08041","08041","0","0","12","9","3","6","0","0","3","11","5","0","0","0","14","49","34","0","16","9","0","0","11","54","6","22","34","6","35","5","9","0","0","0","116","16","37","34","52","0"
"publicpolygonfeature:5:34930","ZIP Code 08042","country:us/state:nj/zip:08042","08042","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","5","0","0","0","0","0","7","80","0","5","0","0","0","0","0","0","0","0","85","12","0","7","0","0"
"publicpolygonfeature:5:34931","ZIP Code 08043","country:us/state:nj/zip:08043","08043","0","24","199","36","309","95","654","286","1011","591","73","196","41","21","10","440","874","187","1435","484","678","215","1893","3614","552","381","514","166","2385","265","764","0","122","0","6772","1252","2231","324","852","12"
"publicpolygonfeature:5:34932","ZIP Code 08045","country:us/state:nj/zip:08045","08045","0","0","0","8","0","5","12","0","9","32","6","0","0","0","0","67","60","24","158","214","28","31","98","456","166","63","36","9","39","4","21","0","8","0","417","388","230","67","299","9"
"publicpolygonfeature:5:34933","ZIP Code 08046","country:us/state:nj/zip:08046","08046","0","12","59","16","95","42","371","58","292","555","24","103","19","0","7","530","1259","686","2038","1409","541","147","905","3931","637","1289","689","204","861","183","475","17","110","0","4614","2657","3251","1090","2595","65"
"publicpolygonfeature:5:34934","ZIP Code 08048","country:us/state:nj/zip:08048","08048","0","64","34","39","35","0","262","35","475","156","34","131","24","0","37","214","375","105","852","272","335","127","545","1241","490","412","294","301","1023","127","125","0","14","0","2672","798","1100","342","637","51"
"publicpolygonfeature:5:34935","ZIP Code 08049","country:us/state:nj/zip:08049","08049","0","0","13","0","16","5","49","24","190","42","0","31","21","0","0","191","209","22","336","127","125","63","272","581","104","162","124","33","226","7","124","0","34","0","721","333","619","316","344","16"
