"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Work From Home (2020-2024)","Workers in Construction who Work From Home (2020-2024)","Workers in Manufacturing who Work From Home (2020-2024)","Workers in Wholesale Trade who Work From Home (2020-2024)","Workers in Retail Trade who Work From Home (2020-2024)","Workers in Transportation who Work From Home (2020-2024)","Workers in Finance and Insurance who Work From Home (2020-2024)","Workers in Information who Work From Home (2020-2024)","Workers in Scientific and Professional who Work From Home (2020-2024)","Workers in Education and Health Care who Work From Home (2020-2024)","Workers in Arts, Food, and Entertainment who Work From Home (2020-2024)","Workers in Public Administration who Work From Home (2020-2024)","Workers in Other Services who Work From Home (2020-2024)","Workers in Armed Forces who Work From Home (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute to Work (2020-2024)","Workers in Construction who Commute to Work (2020-2024)","Workers in Manufacturing who Commute to Work (2020-2024)","Workers in Wholesale Trade who Commute to Work (2020-2024)","Workers in Retail Trade who Commute to Work (2020-2024)","Workers in Transportation who Commute to Work (2020-2024)","Workers in Finance and Insurance who Commute to Work (2020-2024)","Workers in Information who Commute to Work (2020-2024)","Workers in Scientific and Professional who Commute to Work (2020-2024)","Workers in Education and Health Care who Commute to Work (2020-2024)","Workers in Arts, Food, and Entertainment who Commute to Work (2020-2024)","Workers in Public Administration who Commute to Work (2020-2024)","Workers in Other Services who Commute to Work (2020-2024)","Workers in Armed Forces who Commute to Work (2020-2024)","Management, Business, Science, and Arts Occupations Work From Home (2020-2024)","Service Occupations Work From Home (2020-2024)","Sales and Office Occupations Work From Home (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Work From Home (2020-2024)","Production, Transportation, and Material Moving Occupations Work From Home (2020-2024)","Military Occupations Work From Home (2020-2024)","Management, Business, Science, and Arts Occupations Commute to Work (2020-2024)","Service Occupations Commute to Work (2020-2024)","Sales and Office Occupations Commute to Work (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute to Work (2020-2024)","Production, Transportation, and Material Moving Occupations Commute to Work (2020-2024)","Military Occupations Commute to Work (2020-2024)"
"publicpolygonfeature:5:45675","ZIP Code 40012","country:us/state:ky/zip:40012","40012","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","12","72","0","0","91","0","0","0","123","0","9","54","0","11","0","0","0","0","0","76","68","44","23","150","0"
"publicpolygonfeature:5:45676","ZIP Code 40022","country:us/state:ky/zip:40022","40022","21","5","0","6","0","0","15","0","17","0","0","0","0","0","0","70","50","4","34","52","8","0","30","86","5","1","55","0","36","0","23","5","0","0","103","20","100","82","90","0"
"publicpolygonfeature:5:45677","ZIP Code 40013","country:us/state:ky/zip:40013","40013","35","0","19","0","18","14","18","0","16","110","0","0","5","0","55","473","327","65","212","203","82","7","64","956","42","122","146","0","162","41","18","14","0","0","1151","251","365","541","446","0"
"publicpolygonfeature:5:45678","ZIP Code 40023","country:us/state:ky/zip:40023","40023","0","75","51","0","13","33","258","10","106","107","0","9","26","0","21","199","428","25","453","219","224","34","167","601","107","70","101","0","336","20","236","51","45","0","1274","220","457","195","503","0"
"publicpolygonfeature:5:45679","ZIP Code 40025","country:us/state:ky/zip:40025","40025","0","0","0","0","5","2","20","0","40","2","0","0","0","0","0","0","15","3","22","5","22","3","38","73","5","5","7","0","59","0","7","0","3","0","158","12","21","0","7","0"
"publicpolygonfeature:5:45680","ZIP Code 40014","country:us/state:ky/zip:40014","40014","0","123","337","12","246","61","384","0","546","688","111","11","64","0","46","887","1328","249","856","574","765","104","866","2238","682","312","347","74","1735","105","689","10","44","0","4494","1064","1851","689","1213","17"
"publicpolygonfeature:5:45681","ZIP Code 40019","country:us/state:ky/zip:40019","40019","0","0","0","0","0","0","17","0","19","38","25","11","0","0","40","77","373","18","207","128","115","1","84","268","117","65","77","4","64","29","17","0","0","0","409","309","272","74","506","4"
"publicpolygonfeature:5:45682","ZIP Code 40020","country:us/state:ky/zip:40020","40020","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","27","0","0","9","8","0","2","16","0","1","0","0","0","0","2","0","0","0","33","0","1","25","5","0"
"publicpolygonfeature:5:45683","ZIP Code 40031","country:us/state:ky/zip:40031","40031","66","106","63","0","102","133","305","38","316","401","19","50","15","0","81","626","1367","83","1149","541","580","149","951","2567","956","415","430","0","1042","144","311","76","41","0","4233","1800","1373","722","1767","0"
"publicpolygonfeature:5:45684","ZIP Code 40036","country:us/state:ky/zip:40036","40036","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0"
"publicpolygonfeature:5:45686","ZIP Code 40228","country:us/state:ky/zip:40228","40228","58","3","148","30","30","131","340","35","217","258","5","102","39","0","9","295","1367","57","1039","892","545","47","717","1641","758","423","277","16","753","44","478","21","100","0","2792","1385","1670","367","1869","0"
"publicpolygonfeature:5:45687","ZIP Code 40046","country:us/state:ky/zip:40046","40046","12","0","0","0","0","0","6","0","21","0","0","0","0","0","14","32","120","6","128","0","0","0","58","132","0","7","0","0","18","0","21","0","0","0","110","117","70","72","128","0"
"publicpolygonfeature:5:45688","ZIP Code 40047","country:us/state:ky/zip:40047","40047","8","79","126","74","112","61","448","33","189","242","16","6","39","0","53","823","1772","284","1149","1113","472","74","794","2328","638","509","624","40","872","52","370","121","18","0","3805","1315","2195","1034","2311","13"
"publicpolygonfeature:5:45691","ZIP Code 40050","country:us/state:ky/zip:40050","40050","0","0","0","0","0","0","0","0","0","12","0","2","3","0","16","32","178","22","95","38","5","0","25","195","30","102","28","0","8","3","6","0","0","0","307","94","100","71","194","0"
"publicpolygonfeature:5:45692","ZIP Code 40051","country:us/state:ky/zip:40051","40051","0","0","18","0","101","26","3","8","52","9","0","1","20","0","3","128","699","0","155","120","133","0","85","376","83","98","80","0","44","29","139","16","10","0","658","189","354","178","581","0"
"publicpolygonfeature:5:45693","ZIP Code 40057","country:us/state:ky/zip:40057","40057","19","0","0","0","37","0","74","8","47","29","16","67","15","0","39","147","259","44","262","51","53","17","172","291","40","73","56","0","205","18","14","33","42","0","403","248","317","201","335","0"
"publicpolygonfeature:5:45694","ZIP Code 40058","country:us/state:ky/zip:40058","40058","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45695","ZIP Code 40059","country:us/state:ky/zip:40059","40059","4","0","145","67","219","86","710","34","492","194","34","67","56","0","36","295","839","124","869","454","807","119","1117","1882","473","155","336","14","1457","29","550","26","46","0","4432","667","1430","355","636","0"
"publicpolygonfeature:5:45699","ZIP Code 40068","country:us/state:ky/zip:40068","40068","6","0","44","0","38","35","12","0","61","28","10","0","0","0","50","167","203","9","159","76","49","34","14","118","127","52","86","0","141","34","11","13","35","0","340","189","128","183","304","0"
"publicpolygonfeature:5:45700","ZIP Code 40065","country:us/state:ky/zip:40065","40065","173","105","149","50","88","125","323","99","278","316","68","187","24","0","131","926","2896","165","1871","968","852","98","923","2738","903","543","617","44","1143","226","477","33","106","0","4206","2086","2746","1174","3463","0"
