"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Work From Home (2020-2024)","Workers in Construction who Work From Home (2020-2024)","Workers in Manufacturing who Work From Home (2020-2024)","Workers in Wholesale Trade who Work From Home (2020-2024)","Workers in Retail Trade who Work From Home (2020-2024)","Workers in Transportation who Work From Home (2020-2024)","Workers in Finance and Insurance who Work From Home (2020-2024)","Workers in Information who Work From Home (2020-2024)","Workers in Scientific and Professional who Work From Home (2020-2024)","Workers in Education and Health Care who Work From Home (2020-2024)","Workers in Arts, Food, and Entertainment who Work From Home (2020-2024)","Workers in Public Administration who Work From Home (2020-2024)","Workers in Other Services who Work From Home (2020-2024)","Workers in Armed Forces who Work From Home (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute to Work (2020-2024)","Workers in Construction who Commute to Work (2020-2024)","Workers in Manufacturing who Commute to Work (2020-2024)","Workers in Wholesale Trade who Commute to Work (2020-2024)","Workers in Retail Trade who Commute to Work (2020-2024)","Workers in Transportation who Commute to Work (2020-2024)","Workers in Finance and Insurance who Commute to Work (2020-2024)","Workers in Information who Commute to Work (2020-2024)","Workers in Scientific and Professional who Commute to Work (2020-2024)","Workers in Education and Health Care who Commute to Work (2020-2024)","Workers in Arts, Food, and Entertainment who Commute to Work (2020-2024)","Workers in Public Administration who Commute to Work (2020-2024)","Workers in Other Services who Commute to Work (2020-2024)","Workers in Armed Forces who Commute to Work (2020-2024)","Management, Business, Science, and Arts Occupations Work From Home (2020-2024)","Service Occupations Work From Home (2020-2024)","Sales and Office Occupations Work From Home (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Work From Home (2020-2024)","Production, Transportation, and Material Moving Occupations Work From Home (2020-2024)","Military Occupations Work From Home (2020-2024)","Management, Business, Science, and Arts Occupations Commute to Work (2020-2024)","Service Occupations Commute to Work (2020-2024)","Sales and Office Occupations Commute to Work (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute to Work (2020-2024)","Production, Transportation, and Material Moving Occupations Commute to Work (2020-2024)","Military Occupations Commute to Work (2020-2024)"
"publicpolygonfeature:5:39895","ZIP Code 33169","country:us/state:fl/zip:33169","33169","37","76","17","14","130","211","318","99","282","459","160","74","165","0","11","1492","405","455","2532","2003","508","231","1742","4681","1903","876","1177","30","958","218","486","87","293","0","4610","4950","3968","1883","2605","30"
"publicpolygonfeature:5:41403","ZIP Code 33030","country:us/state:fl/zip:33030","33030","315","111","10","5","56","38","56","0","215","89","97","22","148","0","2135","2661","452","159","1361","913","430","116","2494","2238","1299","535","591","0","512","249","170","124","107","0","2854","3855","1910","4673","2092","0"
"publicpolygonfeature:5:41411","ZIP Code 33031","country:us/state:fl/zip:33031","33031","55","56","0","0","0","0","67","0","75","41","0","0","0","0","56","414","45","41","513","411","102","0","364","338","149","152","130","0","139","0","99","56","0","0","1015","249","915","259","277","0"
"publicpolygonfeature:5:41416","ZIP Code 33032","country:us/state:fl/zip:33032","33032","0","299","106","109","208","654","1182","95","719","281","121","50","216","0","585","2523","1386","628","3007","2710","1468","318","3106","6180","2185","1455","1462","28","1304","362","1733","240","401","0","7549","6215","6564","3566","3119","28"
"publicpolygonfeature:5:41430","ZIP Code 33035","country:us/state:fl/zip:33035","33035","0","0","23","0","77","6","156","14","85","65","23","0","99","0","0","907","84","182","741","676","444","71","991","1751","1648","131","328","111","293","148","84","0","23","0","3140","1570","1671","920","698","66"
"publicpolygonfeature:5:41513","ZIP Code 33170","country:us/state:fl/zip:33170","33170","0","0","0","0","46","17","64","0","13","76","0","0","12","0","122","582","160","126","1279","600","300","19","1212","1442","517","634","356","0","104","4","108","12","0","0","2081","1718","1464","834","1252","0"
"publicpolygonfeature:5:41519","ZIP Code 33172","country:us/state:fl/zip:33172","33172","0","209","144","176","250","263","302","39","575","268","82","85","146","0","88","1428","840","540","3010","2555","1261","366","2481","3158","2193","567","966","212","1218","270","705","120","226","0","5517","4058","5165","1703","3137","85"
"publicpolygonfeature:5:41530","ZIP Code 33173","country:us/state:fl/zip:33173","33173","34","179","48","70","82","23","560","122","593","243","118","123","125","0","22","717","500","211","1134","1166","1086","228","1861","4080","1022","475","422","48","1500","31","648","104","37","0","6577","1778","3147","519","903","48"
"publicpolygonfeature:5:41558","ZIP Code 33174","country:us/state:fl/zip:33174","33174","10","146","55","10","210","63","236","27","341","365","65","85","129","0","72","1225","866","424","1606","1702","948","158","1520","3425","1138","325","1218","0","851","324","341","132","94","0","4058","3367","3243","1571","2388","0"
"publicpolygonfeature:5:41600","ZIP Code 33054","country:us/state:fl/zip:33054","33054","0","167","45","2","46","121","103","4","68","162","31","15","107","22","7","1480","1026","481","1364","1262","351","159","961","2154","1496","259","656","14","325","171","128","116","131","22","2457","2453","2422","1642","2696","0"
