city,geoid,Median Home Rent (2020-2024),predicted_rent,residual,residual_pct,affordability_category
Orlando,32806,1552.0,1685.524356842041,-133.52435684204102,-7.921828972688898,Highly Affordable
Denver,80422,1719.0,1851.8728408813477,-132.87284088134766,-7.175052085007656,Highly Affordable
Miami,33035,1958.0,2090.835968017578,-132.83596801757812,-6.353246741949167,Highly Affordable
Philadelphia,19520,1079.0,1211.6687316894531,-132.66873168945312,-10.949257682375821,Highly Affordable
Tampa,33592,1150.0,1282.1590270996094,-132.15902709960938,-10.307537856561229,Highly Affordable
Denver,80112,2043.0,2175.1412963867188,-132.14129638671875,-6.075067243044304,Highly Affordable
SanFrancisco,94610,2209.0,2340.678726196289,-131.67872619628906,-5.625664245270989,Highly Affordable
SanFrancisco,94019,2028.0,2158.21484375,-130.21484375,-6.033451402073835,Highly Affordable
Tampa,33604,1412.0,1540.0852355957031,-128.08523559570312,-8.316762776195299,Highly Affordable
Miami,33441,1655.0,1782.0184936523438,-127.01849365234376,-7.127787624246955,Highly Affordable
Denver,80033,1587.0,1712.4613189697266,-125.46131896972656,-7.326373891190036,Highly Affordable
Tampa,33603,1518.0,1642.392841339111,-124.39284133911131,-7.573878685302152,Highly Affordable
Orlando,32832,2314.0,2437.2604370117188,-123.26043701171876,-5.057335487825264,Highly Affordable
SanFrancisco,94020,1715.0,1837.549865722656,-122.54986572265624,-6.6691994600353794,Highly Affordable
Denver,80134,2118.0,2240.3796997070312,-122.37969970703124,-5.462453517278099,Highly Affordable
Tampa,33548,1975.0,2097.040771484375,-122.040771484375,-5.819666128760545,Highly Affordable
Charlotte,29055,819.0,939.8595886230468,-120.85958862304688,-12.8593238911478,Highly Affordable
Orlando,34771,1822.0,1942.6398620605469,-120.63986206054688,-6.210099175695122,Highly Affordable
Tampa,33527,968.0,1088.5247192382812,-120.52471923828124,-11.072299701436364,Highly Affordable
Tampa,33542,1141.0,1261.4279479980469,-120.42794799804688,-9.546954163269683,Highly Affordable
SanFrancisco,94102,1536.0,1654.9774169921875,-118.9774169921875,-7.189065891208421,Highly Affordable
Denver,80439,1962.0,2079.98876953125,-117.98876953125,-5.6725676243838645,Highly Affordable
Philadelphia,8518,1359.0,1476.89532661438,-117.89532661437988,-7.982646060952874,Highly Affordable
Miami,33308,1851.0,1968.5923538208008,-117.59235382080078,-5.973423273364249,Highly Affordable
Philadelphia,8045,1073.0,1190.407257080078,-117.40725708007812,-9.862780689699727,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
Austin,78666,1319.0,1436.122428894043,-117.12242889404295,-8.155462691592309,Highly Affordable
